600000 浦发银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	15.97	16.13	15.90	16.04	18997369	304990144.00
2017/03/28	16.11	16.13	15.97	16.01	13212969	211750768.00
2017/03/29	16.01	16.11	15.80	15.87	23446792	372794464.00
2017/03/30	15.88	15.90	15.72	15.81	23645144	373665120.00
2017/03/31	15.78	16.05	15.77	16.01	24187120	385793408.00
2017/04/05	16.05	16.20	15.89	16.16	31036271	499121568.00
2017/04/06	16.09	16.18	16.03	16.10	22335442	359361856.00
2017/04/07	16.06	16.16	16.02	16.10	20126948	323821632.00
2017/04/10	16.12	16.12	15.94	15.97	16154024	258662672.00
2017/04/11	15.97	15.99	15.81	15.89	18611375	295381664.00
2017/04/12	15.88	15.96	15.75	15.89	22210541	352357728.00
2017/04/13	15.88	15.89	15.73	15.75	23426650	369388224.00
2017/04/14	15.76	15.78	15.42	15.51	40156553	625510656.00
2017/04/17	15.53	15.60	15.30	15.56	36739448	566536768.00
2017/04/18	15.50	15.52	15.30	15.30	22889980	351624608.00
2017/04/19	15.25	15.27	15.11	15.11	24455407	371021504.00
2017/04/20	15.12	15.14	14.90	14.91	41061406	614436352.00
2017/04/21	14.92	15.07	14.85	15.05	22688358	340453120.00
2017/04/24	15.05	15.11	14.91	15.00	17627803	264649936.00
2017/04/25	15.02	15.10	14.99	15.05	12975919	195296864.00
2017/04/26	15.06	15.11	15.00	15.05	14939871	225022672.00
2017/04/27	15.05	15.25	15.03	15.21	22887645	345791520.00
2017/04/28	15.15	15.22	15.08	15.21	15718509	238419168.00
2017/05/02	15.21	15.22	15.13	15.16	12607509	191225520.00
2017/05/03	15.16	15.16	15.05	15.08	14247943	215130848.00
2017/05/04	15.07	15.07	14.90	14.98	19477788	291839744.00
2017/05/05	14.95	14.98	14.52	14.92	40194577	592160192.00
2017/05/08	14.78	14.90	14.51	14.86	43568576	638780992.00
2017/05/09	14.69	14.84	14.66	14.76	19225492	283864640.00
2017/05/10	14.76	14.85	14.55	14.61	28359413	418201408.00
2017/05/11	14.57	14.79	14.55	14.75	27312908	400313952.00
2017/05/12	14.75	15.23	14.73	15.21	45733426	687468480.00
2017/05/15	15.27	15.43	15.16	15.27	29965820	458298656.00
2017/05/16	15.23	15.29	15.08	15.27	24875396	377908576.00
2017/05/17	15.24	15.26	15.07	15.21	33434411	505883680.00
2017/05/18	15.10	15.14	14.95	15.01	30657927	460669376.00
2017/05/19	15.04	15.08	14.91	15.02	28610626	428236192.00
2017/05/22	15.02	15.06	14.93	15.04	30227245	453230624.00
2017/05/23	15.00	15.57	14.98	15.43	75400428	1154524416.00
2017/05/24	15.38	15.52	15.21	15.47	70439028	1081377024.00
2017/05/25	11.75	12.93	11.72	12.93	222373433	2803027200.00
2017/05/26	12.81	12.91	12.54	12.84	176456630	2246593280.00
2017/05/31	12.75	13.05	12.66	12.84	113009809	1450286592.00
2017/06/01	12.78	12.97	12.69	12.92	96217055	1235216000.00
2017/06/02	12.93	13.01	12.74	12.89	80197701	1034450240.00
2017/06/05	12.79	12.88	12.51	12.85	75876475	963227264.00
2017/06/06	12.80	12.84	12.66	12.80	36104406	460469440.00
2017/06/07	12.81	12.99	12.78	12.84	64395191	827766592.00
2017/06/08	12.76	12.86	12.67	12.84	48194843	615876288.00
2017/06/09	12.79	13.20	12.77	12.93	114434319	1489264512.00
2017/06/12	12.90	13.14	12.76	12.78	73931192	955965952.00
2017/06/13	12.78	12.78	12.56	12.59	52716070	665205824.00
2017/06/14	12.60	12.64	12.31	12.46	55306982	687620416.00
2017/06/15	12.41	12.46	12.28	12.38	37492860	462612608.00
2017/06/16	12.38	12.46	12.27	12.35	47351062	586081472.00
2017/06/19	12.36	12.43	12.30	12.40	32941278	407834848.00
2017/06/20	12.41	12.44	12.22	12.29	44645196	548932352.00
2017/06/21	12.40	12.40	12.26	12.34	34000062	418820224.00
2017/06/22	12.33	12.84	12.29	12.57	110259441	1392278656.00
2017/06/23	12.55	12.65	12.36	12.64	68579079	858095936.00
2017/06/26	12.64	12.82	12.55	12.64	60509162	766551232.00
2017/06/27	12.64	12.73	12.53	12.70	46687475	589020032.00
2017/06/28	12.66	12.91	12.60	12.79	75349557	963202816.00
2017/06/29	12.81	12.86	12.70	12.76	38994542	497489984.00
2017/06/30	12.70	12.73	12.59	12.65	36566479	462244032.00
2017/07/03	12.64	12.65	12.47	12.56	38778949	486264672.00
2017/07/04	12.55	12.58	12.41	12.55	36659128	458434432.00
2017/07/05	12.50	12.65	12.47	12.62	26470507	332542464.00
