600007 中国国贸 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	20.88	21.14	20.71	20.91	1726988	36069712.00
2017/03/28	20.91	21.08	20.76	20.98	983299	20574952.00
2017/03/29	21.06	21.14	20.34	20.36	1506822	31156348.00
2017/03/30	20.15	20.33	19.38	19.81	2599929	51415424.00
2017/03/31	19.82	20.09	19.73	20.01	1092660	21834604.00
2017/04/05	20.00	21.20	19.98	20.56	1420981	29321484.00
2017/04/06	20.60	20.76	20.39	20.63	761120	15667474.00
2017/04/07	20.61	20.82	20.51	20.76	984200	20390328.00
2017/04/10	20.78	21.16	20.38	21.12	2409714	50451792.00
2017/04/11	21.19	21.40	20.91	21.08	1866910	39475712.00
2017/04/12	20.92	21.26	20.64	20.68	1908108	40028064.00
2017/04/13	20.78	21.17	20.60	20.97	853948	17907082.00
2017/04/14	21.31	21.31	20.80	20.88	1311250	27625398.00
2017/04/17	20.80	20.89	20.06	20.88	1073999	22028660.00
2017/04/18	20.80	20.99	20.42	20.82	1674512	34633844.00
2017/04/19	20.64	20.64	20.17	20.48	1376797	27975948.00
2017/04/20	20.47	20.47	20.21	20.30	1234600	25073052.00
2017/04/21	20.30	20.51	20.00	20.50	604001	12271765.00
2017/04/24	20.46	20.46	19.91	20.11	1285808	25869492.00
2017/04/25	19.95	20.27	19.82	20.01	807700	16220953.00
2017/04/26	20.01	20.31	19.94	20.19	719079	14511422.00
2017/04/27	20.19	20.28	19.86	20.12	827291	16558737.00
2017/04/28	20.07	20.13	19.93	20.00	1013008	20239508.00
2017/05/02	19.90	20.88	19.90	20.77	1773709	36183464.00
2017/05/03	20.58	20.77	20.23	20.28	1035366	21149112.00
2017/05/04	20.40	20.40	19.91	19.97	900422	18111160.00
2017/05/05	19.95	20.16	19.77	20.01	1781172	35582800.00
2017/05/08	19.89	19.99	19.20	19.40	1546574	30317524.00
2017/05/09	19.56	19.79	18.85	19.58	1052066	20327400.00
2017/05/10	19.40	19.61	18.89	18.90	624215	12004786.00
2017/05/11	19.08	19.28	18.72	19.15	1523802	28997208.00
2017/05/12	19.19	19.36	19.03	19.30	772051	14837690.00
2017/05/15	19.30	19.72	19.01	19.65	1655833	32218220.00
2017/05/16	19.46	19.98	19.43	19.97	989646	19566526.00
2017/05/17	19.97	20.44	19.88	19.91	862242	17361132.00
2017/05/18	19.89	20.10	19.81	19.96	425739	8479615.00
2017/05/19	20.02	20.66	20.02	20.66	1907187	39140580.00
2017/05/22	20.60	20.99	20.40	20.62	1077264	22287688.00
2017/05/23	20.62	20.62	19.90	20.39	1485256	30025480.00
2017/05/24	20.20	20.50	19.97	20.36	644170	13010251.00
2017/05/25	20.35	20.78	20.35	20.70	954102	19685224.00
2017/05/26	20.70	20.77	20.41	20.49	461161	9490002.00
2017/05/31	20.80	20.89	20.40	20.55	808128	16646670.00
2017/06/01	20.40	20.59	20.27	20.55	831443	17001848.00
2017/06/02	20.42	20.54	20.15	20.40	689849	13986504.00
2017/06/05	20.31	20.43	20.11	20.31	590360	11944730.00
2017/06/06	20.30	20.48	20.12	20.46	487710	9896143.00
2017/06/07	20.45	20.98	20.38	20.93	1048542	21787518.00
2017/06/08	20.90	21.05	20.80	20.81	708879	14836280.00
2017/06/09	20.83	21.00	20.61	20.81	467208	9695666.00
2017/06/12	20.78	21.12	20.75	20.83	687902	14431648.00
2017/06/13	20.80	21.05	20.64	20.92	482760	10049343.00
2017/06/14	20.91	20.99	20.71	20.75	317601	6616392.00
2017/06/15	20.80	21.29	20.70	21.10	738098	15546368.00
2017/06/16	21.25	21.25	20.49	20.74	758783	15795799.00
2017/06/19	20.52	20.61	20.30	20.50	629995	12903179.00
2017/06/20	20.57	20.69	20.37	20.51	698337	14300959.00
2017/06/21	20.43	20.59	20.30	20.59	534805	10936624.00
2017/06/22	20.59	20.67	20.00	20.07	778585	15890051.00
2017/06/23	19.71	20.25	19.71	20.24	635076	12766791.00
2017/06/26	20.24	20.76	20.19	20.69	842019	17284800.00
2017/06/27	20.69	20.88	20.54	20.84	770217	15966687.00
2017/06/28	20.64	20.82	20.51	20.55	317550	6554749.00
2017/06/29	20.55	20.69	20.39	20.58	480931	9854394.00
2017/06/30	20.56	20.84	20.48	20.81	590374	12242960.00
2017/07/03	20.80	20.97	20.53	20.67	506450	10479232.00
2017/07/04	20.65	20.90	20.30	20.32	406525	8315603.00
2017/07/05	20.32	20.60	20.23	20.57	381106	7776348.00
2017/07/06	20.39	20.56	20.26	20.27	308201	6293723.00
2017/07/07	20.45	20.49	20.00	20.12	671527	13545967.00
2017/07/10	20.12	20.33	19.95	20.19	361275	7272188.00
2017/07/11	20.15	20.47	20.00	20.04	665634	13391934.00
2017/07/12	20.02	20.36	19.94	20.23	913810	18470784.00
2017/07/13	20.34	20.34	20.00	20.08	328056	6589160.00
2017/07/14	20.04	20.16	19.98	20.14	529852	10610276.00
2017/07/17	19.99	20.19	19.66	19.79	569754	11320625.00
2017/07/18	19.70	19.93	19.57	19.87	479700	9483216.00
2017/07/19	19.93	20.00	19.71	19.97	515014	10244670.00
2017/07/20	19.97	20.00	19.78	19.93	432470	8611703.00
2017/07/21	19.79	19.92	19.36	19.69	1359447	26682664.00
2017/07/24	19.69	19.70	19.50	19.53	685302	13398616.00
2017/07/25	19.50	19.66	19.49	19.55	596700	11663571.00
2017/07/26	19.55	20.09	19.41	20.03	1291168	25563448.00
2017/07/27	20.03	20.15	19.85	19.95	283375	5658088.00
2017/07/28	20.00	20.00	19.70	19.76	368570	7301816.00
2017/07/31	19.80	19.82	19.57	19.59	533381	10493539.00
2017/08/01	19.55	19.87	19.52	19.72	515402	10145763.00
2017/08/02	19.70	19.78	19.52	19.59	360725	7074737.00
2017/08/03	19.63	19.84	19.55	19.70	659035	12972737.00
2017/08/04	19.59	19.80	19.55	19.59	373000	7321706.00
2017/08/07	19.58	19.77	19.55	19.72	182867	3594860.00
2017/08/08	19.73	19.75	19.60	19.68	217599	4278597.00
2017/08/09	19.56	19.69	19.54	19.59	340800	6674006.00
2017/08/10	19.59	19.99	19.54	19.87	1494552	29466788.00
2017/08/11	19.80	20.03	19.60	19.83	1013451	20208446.00
2017/08/14	19.83	20.01	19.70	19.89	317600	6321699.00
2017/08/15	19.89	20.07	19.77	20.00	306199	6109515.00
2017/08/16	20.02	20.02	19.84	19.87	202100	4019402.00
2017/08/17	19.89	19.90	19.73	19.80	255282	5058114.00
2017/08/18	19.79	20.08	19.71	20.08	811705	16212083.00
2017/08/21	20.08	20.09	19.84	19.98	367777	7345417.00
2017/08/22	19.89	20.04	19.82	19.90	244875	4874175.00
2017/08/23	19.84	19.90	19.76	19.78	234001	4636440.00
2017/08/24	19.88	20.06	19.76	19.76	437900	8736786.00
2017/08/25	19.74	19.92	19.55	19.72	716901	14082464.00
2017/08/28	19.76	19.84	19.65	19.75	440821	8701993.00
2017/08/29	19.72	19.88	19.68	19.76	344500	6812742.00
2017/08/30	19.77	19.77	19.54	19.71	1614420	31601280.00
2017/08/31	19.65	19.87	19.59	19.75	540900	10689170.00
2017/09/01	19.72	19.91	19.62	19.84	455722	9044156.00
2017/09/04	19.92	19.92	19.73	19.85	248300	4921420.00
2017/09/05	19.90	19.90	19.74	19.85	283762	5622541.00
2017/09/06	19.96	19.96	19.75	19.84	301513	5972581.00
2017/09/07	19.89	19.89	19.69	19.85	426036	8425491.00
2017/09/08	19.84	19.85	19.67	19.71	528422	10442387.00
2017/09/11	19.66	19.79	19.66	19.71	543707	10719781.00
2017/09/12	19.81	19.95	19.70	19.92	1011667	20066784.00
2017/09/13	19.90	20.14	19.68	19.70	779411	15498426.00
2017/09/14	19.83	19.83	19.61	19.68	660272	12977115.00
2017/09/15	19.68	19.81	19.60	19.61	492600	9706595.00
2017/09/18	19.62	19.80	19.56	19.70	1508699	29670314.00
2017/09/19	19.72	19.92	19.61	19.68	1256153	24832080.00
2017/09/20	19.68	19.68	19.55	19.62	418809	8205642.00
2017/09/21	19.70	19.70	19.38	19.41	1240700	24191088.00
2017/09/22	19.39	19.40	19.22	19.27	397700	7673984.00
2017/09/25	19.26	19.39	18.57	18.78	1277191	24138936.00
