600015 华夏银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	11.20	11.45	11.19	11.34	35076240	398484416.00
2017/03/28	11.31	11.37	11.22	11.23	17285321	195034000.00
2017/03/29	11.26	11.30	11.11	11.17	26786975	299844384.00
2017/03/30	11.18	11.23	11.12	11.18	21134047	236077776.00
2017/03/31	11.18	11.32	11.15	11.29	25726421	289456256.00
2017/04/05	11.46	11.49	11.28	11.39	45684970	518883968.00
2017/04/06	11.35	11.40	11.29	11.32	30612855	347005376.00
2017/04/07	11.30	11.36	11.29	11.35	23082595	261453440.00
2017/04/10	11.35	11.35	11.18	11.21	36716438	412974176.00
2017/04/11	11.18	11.20	11.03	11.16	40549866	450504256.00
2017/04/12	11.14	11.16	11.04	11.06	29748673	330287968.00
2017/04/13	11.03	11.06	10.86	10.90	47642158	521374176.00
2017/04/14	10.89	10.92	10.74	10.82	36242339	392403552.00
2017/04/17	10.80	10.88	10.71	10.85	27901652	300572192.00
2017/04/18	10.83	10.84	10.67	10.70	26044305	279938272.00
2017/04/19	10.66	10.72	10.60	10.68	27028937	288073184.00
2017/04/20	10.70	10.73	10.65	10.71	21136870	225857008.00
2017/04/21	10.70	10.84	10.69	10.81	24113254	260042080.00
2017/04/24	10.80	10.81	10.70	10.75	22619601	243131216.00
2017/04/25	10.75	10.82	10.71	10.76	28369553	305471936.00
2017/04/26	10.74	10.80	10.66	10.66	30822996	330724448.00
2017/04/27	10.62	10.68	10.59	10.65	30582676	325178304.00
2017/04/28	10.65	10.67	10.46	10.63	42681434	450543040.00
2017/05/02	10.50	10.56	10.30	10.36	52963174	551658752.00
2017/05/03	10.36	10.37	10.15	10.25	34571585	354428000.00
2017/05/04	10.23	10.25	10.13	10.17	30501977	310777984.00
2017/05/05	10.15	10.16	10.05	10.14	30454939	307366368.00
2017/05/08	10.10	10.16	10.03	10.15	28549025	288096000.00
2017/05/09	10.12	10.27	10.07	10.23	26116738	266071632.00
2017/05/10	10.23	10.33	10.18	10.21	25511085	261884816.00
2017/05/11	10.19	10.29	10.16	10.26	19258056	197054448.00
2017/05/12	10.26	10.54	10.24	10.54	41080067	429451904.00
2017/05/15	10.53	10.60	10.46	10.46	26073019	274289760.00
2017/05/16	10.45	10.48	10.31	10.44	28066146	291173312.00
2017/05/17	10.40	10.42	10.32	10.33	21354814	221442656.00
2017/05/18	10.28	10.32	10.22	10.26	18963648	194734720.00
2017/05/19	10.25	10.29	10.23	10.24	15104210	154925472.00
2017/05/22	10.23	10.32	10.18	10.25	25487903	261345328.00
2017/05/23	10.23	10.51	10.23	10.40	38843750	403434560.00
2017/05/24	10.38	10.45	10.26	10.42	32665016	337968384.00
2017/05/25	10.39	10.89	10.37	10.78	83617654	893766080.00
2017/05/26	10.76	10.81	10.68	10.73	37025580	397404576.00
2017/05/31	10.74	10.84	10.69	10.71	37246733	400661248.00
2017/06/01	10.72	10.83	10.69	10.82	40867903	439597440.00
2017/06/02	10.80	10.94	10.76	10.82	37546514	407114496.00
2017/06/05	10.80	10.81	10.61	10.70	34881396	371967872.00
2017/06/06	10.67	10.72	10.61	10.70	19926795	212428816.00
2017/06/07	10.68	10.83	10.68	10.79	32574917	350879264.00
2017/06/08	10.79	10.80	10.71	10.79	21951644	236083920.00
2017/06/09	10.78	11.01	10.78	10.93	53258426	581705344.00
2017/06/12	10.92	10.96	10.82	10.83	21843052	237806608.00
2017/06/13	10.82	10.84	10.71	10.79	22037793	237202528.00
2017/06/14	10.80	10.80	10.66	10.76	23510957	252117056.00
2017/06/15	10.74	10.75	10.66	10.68	18198134	194627648.00
2017/06/16	10.70	10.74	10.68	10.71	13472054	144336160.00
2017/06/19	10.71	10.76	10.64	10.72	24224078	259645872.00
2017/06/20	10.73	10.76	10.67	10.70	14751116	157874496.00
2017/06/21	10.74	10.75	10.64	10.72	24277613	259600976.00
2017/06/22	10.71	11.16	10.70	10.92	83150385	912300096.00
2017/06/23	10.90	11.07	10.83	11.02	39004888	426527616.00
2017/06/26	11.05	11.23	10.97	10.99	60965295	676472000.00
2017/06/27	11.01	11.21	10.93	11.12	48630298	536130848.00
2017/06/28	11.09	11.41	11.07	11.35	81908878	924910528.00
2017/06/29	9.35	9.38	9.25	9.30	42123550	391868320.00
2017/06/30	9.27	9.27	9.14	9.22	41317190	379909280.00
2017/07/03	9.21	9.22	9.14	9.17	31417076	288310688.00
2017/07/04	9.17	9.20	9.12	9.19	31404205	287801856.00
2017/07/05	9.17	9.25	9.15	9.23	32886510	302703552.00
2017/07/06	9.22	9.31	9.19	9.26	32721441	302319456.00
2017/07/07	9.25	9.27	9.17	9.24	34129178	314423264.00
2017/07/10	9.25	9.26	9.20	9.25	23034726	212620896.00
2017/07/11	9.21	9.65	9.21	9.49	95789322	909306176.00
2017/07/12	9.50	9.72	9.47	9.53	92018076	883561280.00
2017/07/13	9.50	9.79	9.50	9.78	78536208	760505088.00
2017/07/14	9.82	10.20	9.81	10.19	145412719	1453643648.00
2017/07/17	10.24	10.64	10.03	10.31	156340187	1615481856.00
2017/07/18	10.19	10.31	9.95	10.21	72220007	733302080.00
2017/07/19	10.18	10.38	10.18	10.36	69677034	714813952.00
2017/07/20	10.30	10.36	10.17	10.26	52469114	536902144.00
2017/07/21	10.25	10.26	10.05	10.13	52656667	533336864.00
2017/07/24	10.12	10.23	10.08	10.19	51227171	520250976.00
2017/07/25	10.17	10.28	9.99	10.05	78531708	795445824.00
2017/07/26	10.00	10.17	9.90	9.99	64562988	646826816.00
2017/07/27	9.97	10.01	9.87	9.98	37387020	371588704.00
2017/07/28	9.97	10.02	9.91	10.00	26163671	260874288.00
2017/07/31	10.00	10.04	9.87	10.00	47740181	475163680.00
2017/08/01	9.99	10.17	9.95	10.15	79423777	800434176.00
