600016 民生银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	8.60	8.65	8.59	8.61	75358656	649342144.00
2017/03/28	8.62	8.62	8.53	8.55	57693733	494561952.00
2017/03/29	8.56	8.59	8.50	8.52	69486414	591948160.00
2017/03/30	8.50	8.52	8.40	8.46	84600664	714830208.00
2017/03/31	8.45	8.53	8.45	8.48	64726457	549116672.00
2017/04/05	8.48	8.52	8.44	8.51	112715854	956009728.00
2017/04/06	8.52	8.52	8.46	8.49	84781791	718808064.00
2017/04/07	8.49	8.53	8.46	8.50	94919413	806794816.00
2017/04/10	8.50	8.51	8.42	8.43	83224332	703609600.00
2017/04/11	8.41	8.44	8.34	8.41	90538494	759699776.00
2017/04/12	8.40	8.40	8.34	8.37	84105159	703813568.00
2017/04/13	8.36	8.38	8.32	8.33	65694859	547590272.00
2017/04/14	8.33	8.34	8.17	8.20	147849664	1215637760.00
2017/04/17	8.19	8.24	8.06	8.23	150439270	1223536128.00
2017/04/18	8.18	8.18	8.05	8.06	127617152	1033016640.00
2017/04/19	7.97	8.02	7.92	7.94	125634094	999685824.00
2017/04/20	7.91	7.94	7.81	7.84	124753165	982129664.00
2017/04/21	7.86	7.93	7.84	7.90	92113985	724969216.00
2017/04/24	7.90	7.90	7.82	7.83	79466600	623077632.00
2017/04/25	7.84	7.87	7.81	7.84	88293592	691465536.00
2017/04/26	7.83	7.84	7.70	7.71	155213521	1207016960.00
2017/04/27	7.72	7.88	7.66	7.87	174973149	1363354240.00
2017/04/28	7.87	7.90	7.79	7.87	123853840	971020416.00
2017/05/02	7.85	7.89	7.81	7.86	74415128	584386496.00
2017/05/03	7.85	7.86	7.77	7.78	81726499	638250752.00
2017/05/04	7.79	7.80	7.68	7.71	129687354	1002770816.00
2017/05/05	7.68	7.72	7.58	7.71	146323673	1118763648.00
2017/05/08	7.66	7.76	7.61	7.75	135850734	1043439104.00
2017/05/09	7.71	7.77	7.70	7.75	76013682	588643008.00
2017/05/10	7.74	7.87	7.73	7.75	118856444	926774592.00
2017/05/11	7.75	7.82	7.72	7.79	86480313	671847232.00
2017/05/12	7.80	8.02	7.78	7.99	191380457	1518377472.00
2017/05/15	7.99	8.04	7.94	7.95	100557732	802732608.00
2017/05/16	7.94	7.97	7.89	7.94	93436024	740207680.00
2017/05/17	7.92	7.95	7.87	7.88	82055291	648031616.00
2017/05/18	7.85	7.87	7.80	7.82	87586687	686199680.00
2017/05/19	7.81	7.84	7.76	7.81	68225090	531438720.00
2017/05/22	7.82	7.82	7.73	7.77	83769679	651029312.00
2017/05/23	7.76	7.95	7.73	7.89	193869101	1524752768.00
2017/05/24	7.87	7.90	7.75	7.82	129098861	1008571968.00
2017/05/25	7.79	8.15	7.79	8.11	336327060	2694603776.00
2017/05/26	8.05	8.11	7.98	8.01	210430079	1692199168.00
2017/05/31	8.01	8.12	8.00	8.03	127050707	1023328896.00
2017/06/01	8.02	8.06	7.99	8.02	106270385	852589376.00
2017/06/02	8.03	8.07	7.96	8.00	122939443	984801792.00
2017/06/05	8.00	8.00	7.89	7.90	107650626	853054592.00
2017/06/06	7.90	7.95	7.89	7.93	66507920	526636960.00
2017/06/07	7.93	8.04	7.92	8.02	108526991	868508544.00
2017/06/08	8.00	8.08	7.99	8.06	94899643	762181248.00
2017/06/09	8.04	8.17	8.04	8.12	135153141	1097876864.00
2017/06/12	8.11	8.15	8.05	8.05	100701370	815372352.00
2017/06/13	8.04	8.10	8.02	8.09	62684675	505574208.00
2017/06/14	8.05	8.09	8.02	8.06	99284801	798796672.00
2017/06/15	8.05	8.06	8.00	8.02	77804457	624645760.00
2017/06/16	8.03	8.07	8.02	8.03	57707440	464303712.00
2017/06/19	8.03	8.11	8.03	8.10	68255639	551595648.00
2017/06/20	8.11	8.12	8.06	8.10	61889622	500395712.00
2017/06/21	8.12	8.13	8.06	8.10	65134556	526895072.00
2017/06/22	8.07	8.27	8.07	8.14	189430201	1550741504.00
2017/06/23	8.12	8.16	8.03	8.11	113489653	917950400.00
2017/06/26	8.10	8.18	8.09	8.12	124381880	1011546496.00
2017/06/27	8.12	8.21	8.10	8.18	106388502	866534528.00
2017/06/28	8.16	8.32	8.15	8.27	224681461	1858161792.00
2017/06/29	8.27	8.30	8.24	8.25	75761384	626143744.00
2017/06/30	8.24	8.27	8.20	8.22	76690964	630752704.00
2017/07/03	8.24	8.26	8.21	8.23	49293325	405630944.00
2017/07/04	8.24	8.24	8.16	8.17	76845612	628787840.00
2017/07/05	8.16	8.21	8.14	8.20	77828325	636648128.00
2017/07/06	8.06	8.08	8.03	8.06	84549699	680989312.00
2017/07/07	8.06	8.07	7.99	8.03	79833081	640939840.00
2017/07/10	8.02	8.04	7.99	8.04	63909676	512494624.00
2017/07/11	8.03	8.22	8.02	8.13	214069944	1743498880.00
2017/07/12	8.14	8.29	8.13	8.20	247683626	2037695488.00
2017/07/13	8.20	8.42	8.18	8.41	245913115	2044261504.00
2017/07/14	8.43	8.59	8.42	8.55	273520360	2324291584.00
2017/07/17	8.59	8.83	8.43	8.59	386860123	3344928256.00
2017/07/18	8.54	8.65	8.49	8.55	193009856	1651439232.00
2017/07/19	8.55	8.70	8.51	8.67	187810307	1620301312.00
2017/07/20	8.66	8.70	8.55	8.61	134197440	1154432256.00
2017/07/21	8.58	8.61	8.51	8.54	95555388	817456512.00
2017/07/24	8.53	8.72	8.52	8.69	152764001	1319165056.00
2017/07/25	8.67	8.76	8.57	8.62	151990294	1317574784.00
2017/07/26	8.60	8.77	8.54	8.59	149134329	1289329280.00
2017/07/27	8.58	8.60	8.47	8.50	111177076	947466368.00
2017/07/28	8.48	8.54	8.46	8.53	55465382	471210784.00
2017/07/31	8.52	8.61	8.51	8.60	104540405	895994240.00
2017/08/01	8.63	8.70	8.61	8.69	117622484	1018423296.00
2017/08/02	8.70	8.78	8.67	8.68	141296670	1232610688.00
2017/08/03	8.67	8.74	8.56	8.58	88621875	765380864.00
2017/08/04	8.58	8.65	8.55	8.56	80200084	689659136.00
2017/08/07	8.56	8.59	8.51	8.57	51746931	442333824.00
2017/08/08	8.57	8.60	8.53	8.56	51984497	445054816.00
2017/08/09	8.56	8.56	8.35	8.36	128384507	1082547456.00
2017/08/10	8.35	8.41	8.27	8.34	94061386	784225472.00
2017/08/11	8.31	8.31	8.17	8.18	107226967	883157568.00
2017/08/14	8.20	8.23	8.14	8.18	113905202	931435776.00
2017/08/15	8.19	8.29	8.18	8.23	95739796	789746816.00
2017/08/16	8.21	8.22	8.16	8.17	63926311	523154016.00
2017/08/17	8.17	8.23	8.16	8.22	57339530	469303456.00
2017/08/18	8.19	8.23	8.17	8.21	44634613	366157312.00
2017/08/21	8.21	8.23	8.16	8.19	52595218	430655552.00
2017/08/22	8.19	8.22	8.17	8.20	57640379	472378464.00
2017/08/23	8.20	8.28	8.19	8.24	71465464	588705344.00
2017/08/24	8.23	8.28	8.18	8.19	71728306	589621824.00
2017/08/25	8.20	8.39	8.19	8.38	136876379	1137457152.00
2017/08/28	8.42	8.52	8.39	8.45	142178138	1201329280.00
2017/08/29	8.43	8.45	8.38	8.43	88683675	746746176.00
2017/08/30	8.43	8.50	8.41	8.44	88243504	744998976.00
2017/08/31	8.42	8.44	8.36	8.40	67878279	569647488.00
2017/09/01	8.39	8.43	8.34	8.37	71147509	596187136.00
2017/09/04	8.34	8.40	8.31	8.38	76447700	639207168.00
2017/09/05	8.39	8.45	8.37	8.40	73793060	620747520.00
2017/09/06	8.39	8.39	8.32	8.34	71532229	596728000.00
2017/09/07	8.37	8.37	8.30	8.30	59190905	492652800.00
2017/09/08	8.32	8.36	8.29	8.30	46938410	390327072.00
2017/09/11	8.33	8.37	8.31	8.33	54993636	458367680.00
2017/09/12	8.34	8.35	8.29	8.33	62849282	522652352.00
2017/09/13	8.33	8.33	8.27	8.29	41080514	340826784.00
2017/09/14	8.29	8.30	8.23	8.24	68186941	563306048.00
2017/09/15	8.23	8.25	8.21	8.23	51559409	424245472.00
2017/09/18	8.23	8.27	8.23	8.25	49855204	411161024.00
2017/09/19	8.25	8.28	8.23	8.25	47004321	387997824.00
2017/09/20	8.25	8.26	8.23	8.25	35743736	294808512.00
2017/09/21	8.21	8.28	8.19	8.23	70369240	578959872.00
2017/09/22	8.21	8.23	8.17	8.18	68634028	562257088.00
2017/09/25	8.17	8.19	8.15	8.16	67170803	548527872.00
2017/09/26	8.07	8.08	8.04	8.05	43894389	353745664.00
2017/09/27	8.04	8.06	8.01	8.01	46024442	369625504.00
2017/09/28	8.03	8.04	7.98	7.99	48865940	390811040.00
2017/09/29	8.00	8.05	8.00	8.02	46067814	369678368.00
2017/10/09	8.18	8.21	8.10	8.12	93539225	763581504.00
2017/10/10	8.12	8.16	8.11	8.16	59583736	485231552.00
2017/10/11	8.16	8.21	8.15	8.19	63705735	521310720.00
2017/10/12	8.19	8.20	8.15	8.16	50330670	411304256.00
2017/10/13	8.16	8.19	8.16	8.17	29984501	244945664.00
2017/10/16	8.17	8.21	8.14	8.16	53476166	437244192.00
2017/10/17	8.18	8.18	8.13	8.14	28748253	234222480.00
2017/10/18	8.14	8.16	8.13	8.13	42955168	349617024.00
2017/10/19	8.13	8.15	8.06	8.07	61607341	498519808.00
2017/10/20	8.08	8.08	8.05	8.07	32898389	265337360.00
2017/10/23	8.07	8.08	8.04	8.05	37450283	301773696.00
2017/10/24	8.05	8.13	8.05	8.10	61703316	499688064.00
2017/10/25	8.10	8.13	8.09	8.10	32274833	261769056.00
2017/10/26	8.10	8.14	8.09	8.12	54471978	442091584.00
2017/10/27	8.12	8.23	8.11	8.18	78128917	639990272.00
2017/10/30	8.19	8.23	8.11	8.17	85409634	696839616.00
2017/10/31	8.19	8.40	8.15	8.29	138640337	1148880128.00
2017/11/01	8.26	8.28	8.21	8.24	79305296	653675840.00
2017/11/02	8.23	8.25	8.08	8.22	125690811	1025441536.00
2017/11/03	8.18	8.27	8.13	8.25	110219883	904049344.00
2017/11/06	8.23	8.26	8.18	8.26	68348136	562105344.00
2017/11/07	8.26	8.38	8.21	8.36	109547875	910261056.00
2017/11/08	8.36	8.42	8.33	8.40	129385383	1085277952.00
2017/11/09	8.40	8.45	8.36	8.37	86659737	728653504.00
2017/11/10	8.37	8.41	8.35	8.41	103641779	868334400.00
2017/11/13	8.48	8.56	8.41	8.45	202602105	1720606208.00
2017/11/14	8.45	8.45	8.33	8.44	137092069	1150138368.00
2017/11/15	8.41	8.44	8.32	8.36	113214060	948200640.00
2017/11/16	8.33	8.34	8.27	8.28	64614840	535988352.00
2017/11/17	8.25	8.56	8.25	8.54	238443038	2011206912.00
2017/11/20	8.48	8.63	8.44	8.59	166298028	1420479616.00
2017/11/21	8.60	8.68	8.56	8.64	154544596	1333881600.00
2017/11/22	8.69	9.28	8.66	9.07	389506526	3492335360.00
2017/11/23	9.13	9.44	9.05	9.07	493276582	4553856000.00
2017/11/24	9.07	9.24	8.97	9.10	258475228	2355920640.00
2017/11/27	9.02	9.21	8.95	9.11	224165429	2035185408.00
2017/11/28	9.07	9.11	8.78	8.84	209857971	1861210368.00
2017/11/29	8.84	8.88	8.71	8.85	141850132	1247219840.00
2017/11/30	8.81	8.96	8.72	8.85	137450088	1216349312.00
2017/12/01	8.79	8.86	8.68	8.83	133017638	1167279616.00
2017/12/04	8.79	8.86	8.76	8.84	86831890	765035712.00
2017/12/05	8.82	9.10	8.80	9.03	239648915	2152088320.00
2017/12/06	8.95	8.99	8.81	8.87	108223628	964007552.00
2017/12/07	8.83	8.90	8.72	8.87	101262539	892833536.00
2017/12/08	8.84	8.88	8.78	8.82	74920149	660720320.00
2017/12/11	8.79	8.82	8.65	8.75	108122040	941872448.00
2017/12/12	8.71	8.75	8.54	8.56	98806893	855300224.00
2017/12/13	8.58	8.64	8.53	8.60	57461464	493082816.00
2017/12/14	8.63	8.65	8.48	8.51	80939046	690706432.00
2017/12/15	8.54	8.55	8.43	8.44	62418345	528713120.00
2017/12/18	8.47	8.50	8.42	8.46	42979402	363664832.00
