600017 日照港 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	4.16	4.35	4.15	4.29	137582179	587463104.00
2017/03/28	4.27	4.28	4.18	4.21	60379200	254438800.00
2017/03/29	4.23	4.63	4.21	4.63	248263774	1107664768.00
2017/03/30	4.62	4.93	4.50	4.55	332426216	1560117376.00
2017/03/31	4.47	4.50	4.25	4.30	159860003	690990720.00
2017/04/05	4.42	4.43	4.30	4.37	105932037	463099712.00
2017/04/06	4.35	4.65	4.32	4.53	166888842	749516416.00
2017/04/07	4.48	4.48	4.36	4.41	92893960	409953888.00
2017/04/10	4.34	4.45	4.33	4.40	64709798	284266592.00
2017/04/11	4.38	4.63	4.35	4.57	149090377	672521600.00
2017/04/12	4.53	4.70	4.48	4.50	119587440	549647552.00
2017/04/13	4.48	4.66	4.43	4.62	106008554	481870912.00
2017/04/14	4.60	4.60	4.46	4.48	73955967	335630112.00
2017/04/17	4.42	4.56	4.41	4.47	55208371	247598064.00
2017/04/18	4.46	4.54	4.40	4.41	63008728	281164192.00
2017/04/19	4.35	4.36	4.20	4.26	67930172	290058048.00
2017/04/20	4.28	4.39	4.26	4.33	68543754	296782816.00
2017/04/21	4.30	4.36	4.25	4.28	33843100	145471840.00
2017/04/24	4.29	4.30	4.03	4.12	45409200	188755376.00
2017/04/25	4.12	4.24	4.11	4.18	55419501	232106320.00
2017/04/26	4.17	4.20	4.12	4.15	32633452	135755296.00
2017/04/27	4.13	4.29	4.07	4.25	66798071	279697888.00
2017/04/28	4.20	4.29	4.20	4.26	42552605	181205312.00
2017/05/02	4.27	4.38	4.24	4.29	46057929	198971088.00
2017/05/03	4.28	4.40	4.26	4.34	50252446	217590448.00
2017/05/04	4.31	4.37	4.26	4.30	37089247	159976944.00
2017/05/05	4.28	4.32	4.23	4.26	40147224	171701024.00
2017/05/08	4.28	4.32	4.12	4.14	47924231	202612608.00
2017/05/09	4.11	4.18	4.10	4.18	23854921	98828272.00
2017/05/10	4.17	4.20	4.03	4.05	40287859	165766880.00
2017/05/11	4.00	4.16	3.99	4.15	54386307	220418736.00
2017/05/12	4.13	4.27	4.09	4.22	58447267	245308272.00
2017/05/15	4.26	4.27	4.17	4.22	41479872	174658416.00
2017/05/16	4.21	4.32	4.15	4.31	50692630	215469904.00
2017/05/17	4.30	4.38	4.29	4.31	52052055	225499696.00
2017/05/18	4.27	4.31	4.25	4.28	25200031	107870200.00
2017/05/19	4.28	4.33	4.25	4.27	21986970	94218616.00
2017/05/22	4.25	4.28	4.16	4.20	30630900	128944240.00
2017/05/23	4.19	4.20	4.11	4.12	21086991	87547360.00
2017/05/24	4.11	4.20	4.06	4.19	19594284	80979784.00
2017/05/25	4.18	4.26	4.16	4.24	19605295	82546832.00
2017/05/26	4.24	4.28	4.21	4.22	18730152	79460400.00
2017/05/31	4.23	4.30	4.23	4.29	26425115	112937816.00
2017/06/01	4.27	4.31	4.19	4.22	22847340	97322296.00
2017/06/02	4.18	4.30	4.16	4.29	21921107	92692272.00
2017/06/05	4.29	4.35	4.27	4.34	31615750	136341888.00
2017/06/06	4.32	4.37	4.31	4.34	22412166	97235368.00
2017/06/07	4.33	4.42	4.31	4.41	42612675	186715872.00
2017/06/08	4.40	4.44	4.38	4.38	33753999	148637536.00
