600021 上海电力 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	12.09	12.19	12.08	12.14	7535840	91452968.00
2017/03/28	12.13	12.14	11.98	12.00	7954227	95589248.00
2017/03/29	12.00	12.06	11.96	11.98	7724583	92674240.00
2017/03/30	12.02	12.50	11.96	12.42	32523663	399184544.00
2017/03/31	12.43	12.75	12.19	12.32	29204072	364480160.00
2017/04/05	12.22	12.60	12.01	12.50	17977216	221814976.00
2017/04/06	12.40	12.75	12.38	12.56	19526104	246584128.00
2017/04/07	12.53	12.93	12.49	12.79	29716988	378953344.00
2017/04/10	12.70	12.88	12.57	12.77	18226603	231856000.00
2017/04/11	12.71	12.83	12.45	12.77	17607372	223089184.00
2017/04/12	12.74	12.93	12.57	12.86	16915845	216435744.00
2017/04/13	12.75	12.94	12.70	12.90	13564462	174333744.00
2017/04/14	12.90	12.92	12.63	12.69	10421450	132672152.00
2017/04/17	12.69	12.87	12.48	12.85	9254350	116928184.00
2017/04/18	12.83	12.84	12.45	12.63	9310398	117944040.00
2017/04/19	12.51	12.61	12.20	12.57	11776597	145586032.00
2017/04/20	12.50	12.65	12.30	12.47	7165434	89242904.00
2017/04/21	12.46	12.99	12.42	12.95	25207052	322089344.00
2017/04/24	12.99	13.27	12.80	13.08	35612577	463398144.00
2017/04/25	13.10	13.25	12.86	13.16	25522271	335250880.00
2017/04/26	13.12	13.21	12.85	13.01	19160009	250408800.00
2017/04/27	13.00	13.04	12.71	12.99	11904386	153605872.00
2017/04/28	12.81	13.06	12.77	13.01	13693668	177580448.00
2017/05/02	12.98	13.04	12.53	12.54	13527038	172164224.00
2017/05/03	12.46	12.48	12.18	12.30	13571380	166579920.00
2017/05/04	12.22	12.45	12.20	12.29	6790796	83708576.00
2017/05/05	12.20	12.58	12.20	12.37	8384225	104188952.00
2017/05/08	12.38	12.48	12.28	12.47	5634467	69902424.00
2017/05/09	12.46	12.85	12.41	12.66	12699173	161481184.00
2017/05/10	12.62	12.66	12.31	12.54	7846754	97772936.00
2017/05/11	12.45	12.71	12.31	12.65	11332912	142372576.00
2017/05/12	12.71	12.84	12.60	12.63	5359683	68046032.00
2017/05/15	12.75	12.81	12.54	12.75	6672731	84678944.00
2017/05/16	12.69	12.85	12.61	12.83	7871872	100631192.00
2017/05/17	12.80	12.87	12.74	12.77	7280706	93293752.00
2017/05/18	12.72	12.73	12.38	12.59	6976656	87528400.00
2017/05/19	12.48	13.00	12.40	12.87	10077224	128841296.00
2017/05/22	12.76	12.88	12.60	12.87	8697215	110900952.00
2017/05/23	12.86	12.86	12.45	12.80	14121004	178943024.00
2017/05/24	12.68	12.74	12.54	12.72	5079717	64297420.00
2017/05/25	12.65	12.76	12.57	12.70	4721113	59914632.00
2017/05/26	12.74	12.85	12.67	12.76	7026524	89745632.00
2017/05/31	12.77	12.97	12.70	12.95	10464956	134735728.00
2017/06/01	12.95	13.05	12.79	13.03	20153366	261651600.00
2017/06/02	13.00	13.06	12.71	12.85	10396039	134002416.00
2017/06/05	12.78	13.25	12.77	13.23	19972542	262049232.00
2017/06/06	13.19	13.19	13.04	13.08	10809171	141614912.00
2017/06/07	13.09	13.15	13.00	13.10	10653627	139197632.00
2017/06/08	13.10	13.10	12.96	13.06	6532129	85061864.00
2017/06/09	13.10	13.12	12.80	12.81	10877872	140361424.00
2017/06/12	12.79	12.90	12.71	12.83	6162349	78875576.00
2017/06/13	12.77	12.85	12.55	12.61	13094034	165832480.00
2017/06/14	12.63	12.63	12.20	12.34	18834871	232595600.00
2017/06/15	12.34	12.39	12.26	12.34	8786975	108264968.00
2017/06/16	12.33	12.44	12.31	12.36	5212900	64562212.00
2017/06/19	12.31	12.43	12.27	12.38	5334382	65918340.00
2017/06/20	12.41	12.42	12.33	12.37	4002128	49466088.00
2017/06/21	12.41	12.55	12.35	12.52	6824457	84997936.00
2017/06/22	12.56	12.65	12.51	12.58	9012265	113333616.00
2017/06/23	12.35	12.42	12.20	12.33	7055270	86826840.00
2017/06/26	12.41	12.41	12.25	12.33	5499070	67767648.00
2017/06/27	12.38	12.38	12.22	12.24	5959047	73147792.00
2017/06/28	12.25	12.30	12.05	12.08	8321945	101139352.00
