600023 浙能电力 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	5.62	5.66	5.61	5.64	18118042	102161184.00
2017/03/28	5.64	5.65	5.61	5.64	16160825	91009032.00
2017/03/29	5.65	5.65	5.57	5.63	19504541	109466928.00
2017/03/30	5.61	5.72	5.56	5.68	45469129	256619936.00
2017/03/31	5.67	5.75	5.65	5.70	34173017	194932128.00
2017/04/05	5.68	5.78	5.66	5.75	38756342	221946176.00
2017/04/06	5.74	5.78	5.72	5.76	27981093	160838144.00
2017/04/07	5.75	5.79	5.72	5.76	33275193	191437792.00
2017/04/10	5.72	5.75	5.68	5.69	36207346	207033648.00
2017/04/11	5.69	5.72	5.62	5.72	32570883	184916944.00
2017/04/12	5.71	5.84	5.68	5.80	75648747	437503168.00
2017/04/13	5.77	5.85	5.76	5.80	41514601	241242400.00
2017/04/14	5.81	5.85	5.72	5.78	37189644	215408192.00
2017/04/17	5.76	5.81	5.71	5.80	26488973	152393984.00
2017/04/18	5.78	5.82	5.70	5.71	28600729	164642336.00
2017/04/19	5.69	5.72	5.61	5.71	32207549	182291616.00
2017/04/20	5.68	5.73	5.64	5.72	25816725	146462256.00
2017/04/21	5.70	5.78	5.68	5.76	21355889	122271104.00
2017/04/24	5.76	5.81	5.66	5.79	42336575	242454864.00
2017/04/25	5.77	5.79	5.74	5.76	22045355	127094088.00
2017/04/26	5.72	5.73	5.51	5.53	65885436	369126240.00
2017/04/27	5.50	5.50	5.40	5.47	32753555	178328320.00
2017/04/28	5.45	5.48	5.41	5.47	21752128	118421648.00
2017/05/02	5.45	5.47	5.42	5.43	13729610	74693408.00
2017/05/03	5.43	5.45	5.34	5.37	23681807	127708704.00
2017/05/04	5.35	5.41	5.33	5.37	22437817	120395520.00
2017/05/05	5.37	5.39	5.30	5.39	25808675	138083424.00
2017/05/08	5.36	5.50	5.34	5.48	34798301	189072464.00
2017/05/09	5.45	5.56	5.44	5.50	23857926	131434648.00
2017/05/10	5.50	5.54	5.46	5.49	23107259	127022400.00
2017/05/11	5.46	5.59	5.44	5.56	45725124	252759232.00
2017/05/12	5.57	5.57	5.53	5.54	7989914	44302168.00
2017/05/15	5.54	5.60	5.54	5.58	16715089	93106384.00
2017/05/16	5.58	5.61	5.50	5.59	15449025	85937664.00
2017/05/17	5.59	5.61	5.48	5.49	23992311	132755768.00
2017/05/18	5.48	5.54	5.46	5.53	14108418	77683080.00
2017/05/19	5.52	5.55	5.49	5.55	12426038	68637752.00
2017/05/22	5.54	5.61	5.42	5.59	27564870	151990160.00
2017/05/23	5.54	5.66	5.50	5.65	40919504	229054016.00
2017/05/24	5.61	5.67	5.57	5.66	19355446	108684288.00
2017/05/25	5.63	5.67	5.61	5.64	11009205	62108712.00
2017/05/26	5.64	5.71	5.63	5.66	15272148	86568104.00
2017/05/31	5.66	5.75	5.64	5.72	26177040	149189504.00
2017/06/01	5.71	5.80	5.64	5.79	49263119	283299168.00
2017/06/02	5.76	5.81	5.75	5.77	16501753	95469480.00
2017/06/05	5.75	5.78	5.71	5.74	14723027	84493232.00
2017/06/06	5.74	5.76	5.68	5.70	17032632	97389736.00
2017/06/07	5.70	5.72	5.63	5.71	39915876	226247856.00
2017/06/08	5.68	5.69	5.66	5.68	13477403	76475720.00
2017/06/09	5.70	5.72	5.67	5.69	15511429	88363600.00
2017/06/12	5.70	5.75	5.69	5.72	16197864	92649424.00
2017/06/13	5.70	5.73	5.68	5.72	11412376	65158840.00
2017/06/14	5.71	5.77	5.70	5.75	25244570	144787120.00
2017/06/15	5.50	5.51	5.43	5.45	25622991	139934832.00
2017/06/16	5.44	5.46	5.41	5.42	12223063	66340036.00
2017/06/19	5.42	5.45	5.41	5.44	8497706	46152408.00
2017/06/20	5.44	5.45	5.41	5.41	8890546	48171588.00
2017/06/21	5.43	5.45	5.40	5.44	10957231	59422660.00
2017/06/22	5.44	5.48	5.43	5.46	20809193	113681560.00
2017/06/23	5.45	5.48	5.40	5.48	18341102	99866560.00
2017/06/26	5.48	5.50	5.44	5.49	14416447	78927776.00
2017/06/27	5.49	5.50	5.44	5.45	16925434	92448080.00
2017/06/28	5.45	5.47	5.42	5.42	19718001	107313208.00
2017/06/29	5.42	5.44	5.41	5.43	9748089	52904420.00
2017/06/30	5.43	5.47	5.41	5.46	18098708	98474504.00
2017/07/03	5.46	5.47	5.42	5.44	14013587	76280592.00
2017/07/04	5.44	5.45	5.41	5.42	13594416	73723632.00
2017/07/05	5.41	5.43	5.39	5.43	14307161	77339528.00
2017/07/06	5.42	5.44	5.39	5.43	16376242	88680120.00
2017/07/07	5.42	5.45	5.40	5.44	15118280	82032792.00
2017/07/10	5.43	5.44	5.41	5.42	12595485	68320752.00
2017/07/11	5.42	5.47	5.41	5.45	20362556	110906008.00
2017/07/12	5.44	5.45	5.40	5.42	14888058	80699384.00
2017/07/13	5.42	5.43	5.40	5.43	9532585	51608692.00
2017/07/14	5.42	5.47	5.41	5.46	21223864	115599312.00
2017/07/17	5.44	5.48	5.32	5.46	34649386	187610784.00
2017/07/18	5.43	5.46	5.41	5.44	15407815	83759216.00
2017/07/19	5.44	5.53	5.42	5.52	28807166	158200624.00
2017/07/20	5.52	5.61	5.48	5.58	43990255	244414832.00
2017/07/21	5.59	5.62	5.55	5.55	22758687	127024336.00
2017/07/24	5.57	5.59	5.54	5.56	19454902	108383832.00
2017/07/25	5.56	5.59	5.52	5.55	16365111	90807640.00
2017/07/26	5.55	5.56	5.52	5.55	13746089	76154112.00
2017/07/27	5.55	5.59	5.52	5.54	20509590	113798752.00
2017/07/28	5.53	5.58	5.52	5.53	16431143	91045848.00
2017/07/31	5.52	5.55	5.52	5.54	16394378	90742824.00
2017/08/01	5.55	5.55	5.52	5.54	14481753	80160336.00
2017/08/02	5.54	5.54	5.44	5.45	26903851	147767248.00
2017/08/03	5.43	5.47	5.41	5.44	22649794	123167944.00
2017/08/04	5.44	5.47	5.43	5.43	14550416	79282552.00
2017/08/07	5.42	5.47	5.42	5.46	15395622	83756512.00
2017/08/08	5.45	5.45	5.42	5.43	14015200	76183808.00
2017/08/09	5.43	5.44	5.42	5.43	12433367	67502392.00
2017/08/10	5.43	5.44	5.39	5.40	19304072	104527008.00
2017/08/11	5.41	5.46	5.34	5.36	26115231	141167504.00
2017/08/14	5.36	5.39	5.35	5.38	16721778	89812032.00
2017/08/15	5.38	5.39	5.36	5.37	13075237	70211688.00
2017/08/16	5.37	5.38	5.34	5.35	16051590	85970256.00
2017/08/17	5.35	5.41	5.35	5.40	15366656	82736024.00
2017/08/18	5.39	5.43	5.37	5.39	16410917	88598160.00
2017/08/21	5.44	5.50	5.43	5.47	28601891	156321504.00
2017/08/22	5.47	5.48	5.44	5.45	15492673	84567272.00
2017/08/23	5.46	5.46	5.42	5.44	11187254	60858400.00
2017/08/24	5.46	5.46	5.38	5.41	12939177	70046208.00
