600025 华能水电 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/12/15	2.60	3.12	2.60	3.12	3242494	10068969.00
2017/12/18	3.43	3.43	3.43	3.43	1923883	6598919.00
2017/12/19	3.77	3.77	3.77	3.77	2368529	8929354.00
2017/12/20	4.15	4.15	4.15	4.15	3927349	16298498.00
2017/12/21	4.57	4.57	4.28	4.57	754467875	3381054976.00
2017/12/22	4.60	5.03	4.57	5.03	404553755	1933577600.00
2017/12/25	5.47	5.53	5.01	5.05	891008394	4711083008.00
2017/12/26	5.14	5.56	5.01	5.56	601921738	3198402304.00
2017/12/27	5.79	6.12	5.71	6.12	807041052	4833708032.00
2017/12/28	6.11	6.11	5.75	5.88	622355235	3674795520.00
2017/12/29	5.60	5.67	5.29	5.30	578188774	3103801856.00
2018/01/02	5.21	5.49	5.17	5.34	346440422	1847257088.00
2018/01/03	5.25	5.33	5.13	5.27	315443702	1653315072.00
2018/01/04	5.17	5.42	5.02	5.35	525425549	2744447232.00
2018/01/05	5.27	5.39	5.20	5.22	275383490	1453642496.00
2018/01/08	5.13	5.23	5.10	5.18	221018700	1136866816.00
2018/01/09	5.18	5.24	5.10	5.12	188853833	974376000.00
2018/01/10	5.07	5.10	4.91	4.96	268449181	1341450240.00
2018/01/11	4.92	5.09	4.81	4.97	225287606	1119393152.00
2018/01/12	4.96	4.97	4.81	4.82	204350099	994597568.00
2018/01/15	4.76	4.76	4.53	4.57	203351226	941727424.00
2018/01/16	4.54	5.03	4.50	5.03	395792153	1960494336.00
2018/01/17	5.28	5.45	5.10	5.16	548478266	2897082112.00
2018/01/18	5.03	5.18	4.86	5.05	283594868	1415170048.00
2018/01/19	4.98	5.18	4.92	5.00	190817077	964069888.00
2018/01/22	4.95	4.95	4.81	4.89	147959385	722717568.00
2018/01/23	4.84	4.94	4.84	4.92	119723472	583765376.00
2018/01/24	4.95	5.07	4.86	4.93	150490567	746469824.00
2018/01/25	4.89	4.95	4.83	4.87	131454007	641572864.00
2018/01/26	4.83	4.89	4.82	4.83	96941673	468846432.00
2018/01/29	4.86	4.95	4.83	4.87	120648549	587471296.00
2018/01/30	4.93	4.95	4.85	4.91	127520211	625012352.00
2018/01/31	4.86	4.89	4.65	4.71	140008035	665785344.00
2018/02/01	4.73	4.74	4.52	4.57	115500037	532413056.00
2018/02/02	4.56	4.74	4.36	4.62	102610646	470623040.00
2018/02/05	4.50	4.57	4.45	4.52	70714678	319992416.00
2018/02/06	4.42	4.47	4.20	4.21	116290313	506800512.00
2018/02/07	4.30	4.37	4.10	4.25	90435825	384538720.00
2018/02/08	4.21	4.27	4.20	4.24	62267425	263843504.00
2018/02/09	4.13	4.13	3.92	3.96	107172090	430619296.00
2018/02/12	4.01	4.05	3.98	4.03	53352202	214601808.00
2018/02/13	4.05	4.09	4.01	4.02	54858262	222118000.00
2018/02/14	4.03	4.04	3.98	4.00	37176863	148661504.00
2018/02/22	4.03	4.09	4.01	4.07	53306045	216134448.00
2018/02/23	4.07	4.40	4.04	4.23	103408030	437599936.00
2018/02/26	4.21	4.35	4.20	4.31	85781185	367887648.00
2018/02/27	4.29	4.30	4.22	4.24	65424321	278012160.00
2018/02/28	4.20	4.27	4.16	4.23	51545829	217266432.00
2018/03/01	4.19	4.23	4.17	4.21	54134806	227488736.00
2018/03/02	4.17	4.35	4.16	4.24	80396287	341567808.00
2018/03/05	4.23	4.23	4.17	4.19	57848579	242355872.00
2018/03/06	4.19	4.28	4.18	4.26	84638269	357466912.00
2018/03/07	4.23	4.38	4.22	4.28	128849681	554084736.00
2018/03/08	4.23	4.33	4.20	4.27	86648362	369348448.00
2018/03/09	4.25	4.29	4.23	4.28	84949818	362186080.00
2018/03/12	4.29	4.32	4.26	4.28	83792716	358619584.00
2018/03/13	4.27	4.28	4.21	4.23	71851206	304777056.00
