600026 中远海能 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	7.40	7.42	7.26	7.29	37341076	274343200.00
2017/03/28	7.29	7.35	7.20	7.32	31270362	227307728.00
2017/03/29	7.38	7.74	7.33	7.47	94129787	707504448.00
2017/03/30	7.48	7.59	7.25	7.36	62860037	466891616.00
2017/03/31	7.32	7.36	7.10	7.16	49358865	354906912.00
2017/04/05	7.12	7.24	7.12	7.21	31758039	228530624.00
2017/04/06	7.19	7.36	7.16	7.32	45374771	329391488.00
2017/04/07	7.30	7.33	7.20	7.23	29917138	217356576.00
2017/04/10	7.22	7.31	7.19	7.30	27888740	202649984.00
2017/04/11	7.28	7.40	7.15	7.39	45003888	327518464.00
2017/04/12	7.37	7.47	7.30	7.31	40068135	296079808.00
2017/04/13	7.26	7.41	7.25	7.38	23183630	170103616.00
2017/04/14	7.35	7.39	7.20	7.23	24997645	181690976.00
2017/04/17	7.22	7.32	7.13	7.20	20998313	151830512.00
2017/04/18	7.20	7.25	7.10	7.13	20207009	145200432.00
2017/04/19	7.10	7.13	6.86	6.94	29964454	208709632.00
2017/04/20	6.93	6.99	6.85	6.92	15199595	105230336.00
2017/04/21	6.93	6.96	6.87	6.90	12435700	85927728.00
2017/04/24	6.90	6.91	6.61	6.63	22698565	151964912.00
2017/04/25	6.63	6.71	6.62	6.66	10080674	67241856.00
2017/04/26	6.66	6.71	6.61	6.64	12002712	79930016.00
2017/04/27	6.65	6.70	6.45	6.69	19945559	131369464.00
2017/04/28	6.67	6.69	6.62	6.67	14315366	95209552.00
2017/05/02	6.68	6.71	6.60	6.68	11468439	76530488.00
2017/05/03	6.68	6.71	6.63	6.68	10784589	71932616.00
2017/05/04	6.68	6.70	6.61	6.66	11831608	78825672.00
2017/05/05	6.63	6.66	6.48	6.49	14868569	97703200.00
2017/05/08	6.45	6.53	6.30	6.34	15386636	98801296.00
2017/05/09	6.32	6.42	6.27	6.40	12459071	79049216.00
2017/05/10	6.38	6.41	6.15	6.16	14349856	90633496.00
2017/05/11	6.13	6.19	5.96	6.12	20328138	123552624.00
2017/05/12	6.10	6.22	6.04	6.18	17858567	109670408.00
2017/05/15	6.26	6.29	6.16	6.17	13732971	85295136.00
2017/05/16	6.16	6.25	6.08	6.24	13700436	84447032.00
2017/05/17	6.25	6.33	6.24	6.29	15961046	100479536.00
2017/05/18	6.25	6.26	6.20	6.21	10543918	65659104.00
2017/05/19	6.19	6.27	6.18	6.24	7240923	45136988.00
2017/05/22	6.26	6.27	6.13	6.14	10108413	62724700.00
2017/05/23	6.14	6.16	6.08	6.09	10749709	65716704.00
2017/05/24	6.08	6.13	6.00	6.12	9349658	56761512.00
2017/05/25	6.13	6.29	6.07	6.25	16036382	99224832.00
2017/05/26	6.25	6.29	6.22	6.23	9190858	57427644.00
2017/05/31	6.28	6.31	6.24	6.24	9970676	62528652.00
2017/06/01	6.23	6.28	6.20	6.20	9087510	56712100.00
2017/06/02	6.20	6.28	6.14	6.28	9864319	61257400.00
2017/06/05	6.27	6.31	6.25	6.28	11443462	71829960.00
2017/06/06	6.26	6.30	6.26	6.30	6650537	41771736.00
2017/06/07	6.30	6.39	6.29	6.38	14739613	93610768.00
2017/06/08	6.38	6.38	6.33	6.36	10721970	68103200.00
2017/06/09	6.34	6.36	6.29	6.33	11716704	74099848.00
2017/06/12	6.31	6.31	6.23	6.24	11759525	73693824.00
2017/06/13	6.24	6.32	6.23	6.32	9296565	58459744.00
2017/06/14	6.31	6.40	6.30	6.34	15291563	97192744.00
2017/06/15	6.33	6.38	6.31	6.36	11699596	74298392.00
2017/06/16	6.36	6.37	6.32	6.35	7199482	45666180.00
2017/06/19	6.35	6.42	6.33	6.41	12516973	79836240.00
2017/06/20	6.40	6.42	6.36	6.40	8763000	55947864.00
2017/06/21	6.45	6.47	6.38	6.41	15694725	100739704.00
2017/06/22	6.41	6.48	6.37	6.39	16941348	109106960.00
2017/06/23	6.39	6.43	6.29	6.39	13489431	85847696.00
2017/06/26	6.37	6.57	6.37	6.56	29051791	189006384.00
2017/06/27	6.59	6.60	6.51	6.57	14864725	97324288.00
2017/06/28	6.55	6.59	6.52	6.55	12498331	81953864.00
2017/06/29	6.52	6.62	6.52	6.61	13144512	86592352.00
2017/06/30	6.58	6.64	6.56	6.63	14886425	98283392.00
2017/07/03	6.44	6.44	6.36	6.42	15883039	101589112.00
2017/07/04	6.42	6.43	6.30	6.32	17566451	111608200.00
2017/07/05	6.33	6.38	6.29	6.37	12534437	79580040.00
2017/07/06	6.38	6.40	6.34	6.37	12149987	77356280.00
2017/07/07	6.37	6.46	6.36	6.45	20152804	129364888.00
2017/07/10	6.46	6.59	6.44	6.49	21358287	139017712.00
2017/07/11	6.51	6.56	6.43	6.44	16660823	107986072.00
2017/07/12	6.46	6.47	6.34	6.39	17955496	114679728.00
2017/07/13	6.39	6.52	6.35	6.51	21722796	140145440.00
2017/07/14	6.51	6.56	6.48	6.50	15438285	100571344.00
2017/07/17	6.51	6.52	6.25	6.31	23645478	150922144.00
2017/07/18	6.28	6.46	6.28	6.45	16361081	104343216.00
2017/07/19	6.36	6.64	6.34	6.63	52780307	343622272.00
2017/07/20	6.60	6.66	6.55	6.59	26390656	174216240.00
2017/07/21	6.59	6.70	6.55	6.67	33021515	219685648.00
2017/07/24	6.66	6.89	6.63	6.82	49289366	335739008.00
2017/07/25	6.81	6.81	6.68	6.71	26711512	179417792.00
2017/07/26	6.75	6.85	6.62	6.71	29988768	201229136.00
2017/07/27	6.71	6.79	6.60	6.72	26880191	180115424.00
2017/07/28	6.73	6.78	6.66	6.74	23140395	155511776.00
2017/07/31	6.69	6.85	6.68	6.84	36207024	246410656.00
2017/08/01	6.84	6.88	6.74	6.80	23325251	158504992.00
2017/08/02	6.81	6.81	6.70	6.74	20514195	138434944.00
2017/08/03	6.72	6.77	6.65	6.75	16995108	114103944.00
2017/08/04	6.77	7.05	6.76	6.87	61145643	424077184.00
2017/08/07	6.87	7.02	6.70	6.98	48162126	330560544.00
2017/08/08	6.92	7.14	6.91	6.99	49414426	347094240.00
2017/08/09	6.93	6.96	6.82	6.93	28171151	194118320.00
2017/08/10	6.93	7.15	6.93	7.07	62770104	443174912.00
2017/08/11	6.95	7.01	6.71	6.74	42375836	291052960.00
2017/08/14	6.74	6.83	6.73	6.82	19173520	130086592.00
2017/08/15	6.81	6.81	6.68	6.74	28929973	194594304.00
2017/08/16	6.71	6.73	6.63	6.71	22719887	151676896.00
2017/08/17	6.73	6.81	6.72	6.77	20420111	138103536.00
2017/08/18	6.73	6.78	6.69	6.74	14308736	96436704.00
2017/08/21	6.74	6.83	6.74	6.78	16625909	112785760.00
2017/08/22	6.78	6.82	6.70	6.73	15383350	103998000.00
2017/08/23	6.71	6.72	6.60	6.63	17168843	114237432.00
2017/08/24	6.63	6.63	6.53	6.55	16584813	108958208.00
2017/08/25	6.54	6.64	6.53	6.64	11950649	78930304.00
2017/08/28	6.64	6.71	6.64	6.69	14589070	97602672.00
2017/08/29	6.71	6.72	6.65	6.67	12211353	81640856.00
2017/08/30	6.67	6.73	6.64	6.71	14045153	94065344.00
2017/08/31	6.70	6.71	6.63	6.66	11955718	79658456.00
2017/09/01	6.67	6.75	6.64	6.74	19442975	130487592.00
2017/09/04	6.72	6.73	6.64	6.65	18388168	122676000.00
2017/09/05	6.66	6.68	6.60	6.62	15101274	100084344.00
2017/09/06	6.61	6.64	6.54	6.64	19614443	129170928.00
2017/09/07	6.61	6.63	6.56	6.57	12266315	80894088.00
2017/09/08	6.60	6.63	6.55	6.60	13694800	90270416.00
2017/09/11	6.60	6.63	6.55	6.62	12632267	83279992.00
2017/09/12	6.64	6.70	6.61	6.64	25487025	169868672.00
2017/09/13	6.62	6.63	6.55	6.59	16236234	106808672.00
2017/09/14	6.59	6.65	6.55	6.59	15378797	101341136.00
2017/09/15	6.60	6.61	6.51	6.52	13517790	88411120.00
2017/09/18	6.50	6.54	6.47	6.53	11802988	76791312.00
2017/09/19	6.52	6.53	6.45	6.47	10940270	70974128.00
2017/09/20	6.48	6.53	6.47	6.53	9676953	62958656.00
2017/09/21	6.55	6.58	6.50	6.50	11753480	76868096.00
2017/09/22	6.51	6.51	6.38	6.40	14371305	92538936.00
2017/09/25	6.39	6.43	6.32	6.33	8965666	57154852.00
2017/09/26	6.34	6.44	6.33	6.40	10912217	69867072.00
2017/09/27	6.40	6.41	6.37	6.39	5177641	33103154.00
2017/09/28	6.39	6.41	6.31	6.33	8400208	53364624.00
2017/09/29	6.33	6.37	6.32	6.35	6937664	44043052.00
2017/10/09	6.42	6.49	6.40	6.43	11879735	76424856.00
2017/10/10	6.43	6.48	6.41	6.47	9136811	58836644.00
2017/10/11	6.47	6.48	6.42	6.44	8422449	54289860.00
2017/10/12	6.44	6.45	6.37	6.41	9091301	58263228.00
2017/10/13	6.41	6.44	6.39	6.43	6056213	38822976.00
2017/10/16	6.43	6.46	6.38	6.40	11180451	71846968.00
2017/10/17	6.40	6.43	6.38	6.40	6323800	40502212.00
2017/10/18	6.40	6.44	6.33	6.35	8104591	51829928.00
2017/10/19	6.34	6.36	6.25	6.26	10491729	66096396.00
2017/10/20	6.30	6.56	6.30	6.49	26806406	172929584.00
2017/10/23	6.49	6.52	6.41	6.48	17615352	113775184.00
2017/10/24	6.44	6.48	6.39	6.45	10744059	69054736.00
2017/10/25	6.45	6.47	6.40	6.44	9890998	63582484.00
2017/10/26	6.43	6.49	6.40	6.45	14569676	94009296.00
2017/11/01	6.44	6.48	6.37	6.42	16174104	103744040.00
2017/11/02	6.40	6.42	6.28	6.30	12893067	81724456.00
2017/11/03	6.33	6.33	6.08	6.13	17313082	107015512.00
2017/11/06	6.13	6.15	6.04	6.14	9111411	55514832.00
2017/11/07	6.14	6.24	6.12	6.22	16844267	103885608.00
2017/11/08	6.20	6.26	6.15	6.19	9086096	56328552.00
2017/11/09	6.19	6.25	6.17	6.20	8435570	52339712.00
2017/11/10	6.17	6.19	6.14	6.16	8994692	55409112.00
2017/11/13	6.16	6.19	6.12	6.15	7717068	47450400.00
2017/11/14	6.16	6.19	6.13	6.15	7478151	46082288.00
2017/11/15	6.16	6.16	6.09	6.10	6783829	41492824.00
2017/11/16	6.09	6.11	6.03	6.05	7531371	45722428.00
2017/11/17	6.05	6.06	5.85	5.90	18138164	107719384.00
2017/11/20	5.89	5.93	5.82	5.92	8265536	48529080.00
2017/11/21	5.92	6.02	5.90	5.99	11309295	67370872.00
2017/11/22	5.99	6.05	5.98	6.02	8677471	52176176.00
2017/11/23	6.02	6.05	5.90	5.91	9053433	54260872.00
2017/11/24	5.91	5.96	5.85	5.94	6025960	35649592.00
2017/11/27	5.97	6.01	5.93	5.94	6603471	39485020.00
2017/11/28	5.94	6.05	5.93	6.04	8226470	49371648.00
2017/11/29	6.04	6.07	6.01	6.07	7804842	47203416.00
2017/11/30	6.07	6.08	6.01	6.01	5287339	31936572.00
2017/12/01	6.02	6.12	6.02	6.10	9806778	59688244.00
2017/12/04	6.12	6.31	6.10	6.16	20536023	127412600.00
2017/12/05	6.12	6.15	6.00	6.04	13214850	80202472.00
2017/12/06	6.04	6.08	5.93	6.02	8784397	52631816.00
2017/12/07	6.02	6.03	5.95	5.96	6693989	40037632.00
2017/12/08	5.97	6.02	5.95	6.01	5302773	31798764.00
2017/12/11	6.01	6.11	6.01	6.09	8487053	51525616.00
2017/12/12	6.08	6.12	5.98	5.99	8794332	53186956.00
2017/12/13	6.01	6.09	5.98	6.08	7586878	45830088.00
2017/12/14	6.08	6.10	6.03	6.09	6959876	42232020.00
2017/12/15	6.08	6.10	6.00	6.03	7298792	44026996.00
2017/12/18	6.06	6.07	5.99	6.01	5372866	32360764.00
2017/12/19	6.01	6.04	5.98	6.01	5322692	31994424.00
2017/12/20	5.98	6.09	5.98	6.02	12888301	77852480.00
2017/12/21	5.98	6.01	5.90	5.96	12133172	72197408.00
2017/12/22	5.96	6.11	5.95	6.06	14648263	88754600.00
2017/12/25	6.05	6.14	6.03	6.05	10315784	62812632.00
2017/12/26	6.07	6.12	6.02	6.11	8269158	50234440.00
2017/12/27	6.10	6.14	6.07	6.07	7245410	44205156.00
2017/12/28	6.07	6.10	6.04	6.07	8619159	52372824.00
2017/12/29	6.09	6.15	6.07	6.12	8293457	50739864.00
2018/01/02	6.11	6.23	6.10	6.20	12479999	77256688.00
2018/01/03	6.20	6.33	6.20	6.23	19407984	121717016.00
2018/01/04	6.22	6.29	6.21	6.28	11748889	73564072.00
2018/01/05	6.29	6.37	6.23	6.35	18510344	116657000.00
2018/01/08	6.30	6.35	6.29	6.32	12014057	75919992.00
2018/01/09	6.32	6.32	6.23	6.27	10309229	64514744.00
2018/01/10	6.26	6.27	6.19	6.25	11461563	71496248.00
2018/01/11	6.24	6.25	6.20	6.23	7350856	45742284.00
2018/01/12	6.21	6.26	6.19	6.22	8384771	52152840.00
2018/01/15	6.21	6.22	6.08	6.09	12407325	76209584.00
2018/01/16	6.09	6.13	6.08	6.13	7887029	48132960.00
2018/01/17	6.11	6.22	6.06	6.19	15051554	92505528.00
2018/01/18	6.18	6.29	6.15	6.25	14200689	88465480.00
2018/01/19	6.25	6.28	6.22	6.24	10734553	67089280.00
2018/01/22	6.25	6.32	6.23	6.30	12187337	76671008.00
2018/01/23	6.30	6.36	6.26	6.31	11561059	72904584.00
2018/01/24	6.30	6.37	6.28	6.37	18741801	118662016.00
2018/01/25	6.36	6.38	6.31	6.32	14238790	90358592.00
2018/01/26	6.30	6.43	6.29	6.36	21567194	137405696.00
2018/01/29	6.35	6.42	6.22	6.25	22790282	144149984.00
2018/01/30	6.24	6.30	6.24	6.28	10619590	66614760.00
2018/01/31	6.26	6.28	6.19	6.21	10495733	65334628.00
2018/02/01	6.21	6.23	6.02	6.03	17550727	107313280.00
2018/02/02	6.03	6.08	5.90	6.06	10660801	64025904.00
2018/02/05	6.04	6.08	5.97	6.06	8842712	53330376.00
2018/02/06	6.00	6.05	5.87	5.88	14299470	85228280.00
2018/02/07	5.95	6.00	5.88	5.89	11607947	68886880.00
2018/02/08	5.90	5.93	5.86	5.90	10178909	59990352.00
2018/02/09	5.81	5.83	5.43	5.52	17328147	97546432.00
2018/02/12	5.55	5.61	5.48	5.58	6945802	38620504.00
2018/02/13	5.61	5.64	5.56	5.58	5903346	33104230.00
2018/02/14	5.57	5.60	5.48	5.50	9400200	51914736.00
2018/02/22	5.55	5.62	5.52	5.59	8865156	49380064.00
2018/02/23	5.58	5.66	5.58	5.61	7824300	43931728.00
2018/02/26	5.62	5.71	5.59	5.69	10140172	57255236.00
2018/02/27	5.68	5.69	5.63	5.65	7479185	42275668.00
2018/02/28	5.63	5.68	5.60	5.65	7808740	44042280.00
2018/03/01	5.62	5.68	5.62	5.66	8014469	45294820.00
2018/03/02	5.65	5.65	5.62	5.64	6253955	35216824.00
2018/03/05	5.64	5.65	5.61	5.62	5207401	29282172.00
2018/03/06	5.63	5.71	5.62	5.70	8381332	47548772.00
2018/03/07	5.71	5.74	5.67	5.68	7988830	45505284.00
2018/03/08	5.66	5.76	5.66	5.74	7793573	44591816.00
2018/03/09	5.75	5.79	5.73	5.77	8038428	46275024.00
2018/03/12	5.78	5.80	5.73	5.78	9052588	52117216.00
2018/03/13	5.76	5.77	5.73	5.73	7015621	40320012.00
2018/03/14	5.72	5.75	5.70	5.72	5056867	28932352.00
2018/03/15	5.70	5.72	5.65	5.68	5895074	33473496.00
2018/03/16	5.68	5.72	5.66	5.67	5555640	31599348.00
2018/03/19	5.67	5.70	5.62	5.64	5764213	32556820.00
2018/03/20	5.61	5.61	5.55	5.60	6352997	35445996.00
2018/03/21	5.60	5.64	5.58	5.58	6947214	39021924.00
2018/03/22	5.59	5.63	5.55	5.59	4480843	25031312.00
