600027 华电国际 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	5.04	5.06	5.02	5.05	15225016	76825232.00
2017/03/28	5.05	5.05	4.97	5.01	23381089	117129072.00
2017/03/29	5.00	5.01	4.97	4.99	28346876	141333984.00
2017/03/30	4.98	5.08	4.97	5.04	47869720	240660304.00
2017/03/31	5.03	5.11	5.00	5.04	40177027	203035520.00
2017/04/05	5.02	5.08	4.98	5.08	36381291	183320272.00
2017/04/06	5.06	5.12	5.05	5.10	40813446	207838000.00
2017/04/07	5.10	5.14	5.07	5.12	33017526	168662912.00
2017/04/10	5.11	5.16	5.10	5.13	32569356	167248384.00
2017/04/11	5.13	5.16	5.10	5.16	38372962	197346992.00
2017/04/12	5.15	5.25	5.12	5.13	47502339	246401376.00
2017/04/13	5.12	5.22	5.11	5.19	38358440	198964416.00
2017/04/14	5.19	5.25	5.12	5.15	35342439	183314560.00
2017/04/17	5.15	5.22	5.13	5.18	31494400	163324608.00
2017/04/18	5.17	5.22	5.13	5.13	24080006	125015720.00
2017/04/19	5.12	5.18	5.06	5.10	22678396	115864384.00
2017/04/20	5.07	5.13	5.04	5.07	26695471	135702400.00
2017/04/21	5.05	5.21	5.05	5.18	45038960	232468400.00
2017/04/24	5.18	5.23	5.10	5.12	27663146	142423632.00
2017/04/25	5.11	5.21	5.07	5.20	50198324	260042048.00
2017/04/26	5.18	5.20	5.12	5.16	21669583	111949256.00
2017/04/27	5.13	5.24	5.11	5.22	47814241	248446624.00
2017/04/28	5.20	5.23	5.16	5.20	18303104	95097984.00
2017/05/02	5.16	5.16	4.98	4.99	47051972	237017440.00
2017/05/03	4.99	5.00	4.73	4.76	45063925	218266352.00
2017/05/04	4.78	4.85	4.70	4.77	22520027	107792088.00
2017/05/05	4.75	4.80	4.73	4.76	15233433	72681152.00
2017/05/08	4.75	4.78	4.68	4.70	13284614	62742276.00
2017/05/09	4.73	5.00	4.70	4.92	47609622	232859040.00
2017/05/10	4.90	4.91	4.82	4.82	13392415	65162880.00
2017/05/11	4.81	4.91	4.76	4.87	14921699	72147512.00
2017/05/12	4.85	4.90	4.81	4.83	18892293	91892664.00
2017/05/15	4.84	4.89	4.83	4.86	9242971	44919456.00
2017/05/16	4.85	4.92	4.79	4.91	13602962	66122832.00
2017/05/17	4.91	4.97	4.89	4.93	14653747	72394064.00
2017/05/18	4.91	4.91	4.79	4.83	25363404	122501144.00
2017/05/19	4.81	4.87	4.78	4.84	14068983	67938640.00
2017/05/22	4.82	4.82	4.70	4.77	26769212	127031624.00
2017/05/23	4.75	4.78	4.71	4.73	10564386	50068408.00
2017/05/24	4.71	4.74	4.68	4.73	6605882	31163364.00
2017/05/25	4.74	4.81	4.71	4.77	9996606	47510992.00
2017/05/26	4.78	4.87	4.77	4.84	12286822	59300448.00
2017/05/31	4.88	4.93	4.84	4.85	5197655	25253160.00
2017/06/01	4.84	4.90	4.84	4.85	11269984	54881080.00
2017/06/02	4.81	4.92	4.78	4.91	19162449	93559272.00
2017/06/05	5.01	5.11	5.00	5.09	43986765	223220384.00
2017/06/06	5.06	5.15	5.00	5.10	29663438	150327392.00
2017/06/07	5.10	5.13	5.03	5.07	20513755	103896280.00
2017/06/08	5.07	5.07	5.00	5.02	12586399	63184784.00
2017/06/09	5.02	5.04	4.98	5.00	12514105	62609832.00
2017/06/12	4.98	5.01	4.93	4.95	15823382	78649792.00
2017/06/13	4.94	5.01	4.93	4.97	8908382	44180456.00
2017/06/14	4.97	4.97	4.89	4.92	12887263	63442276.00
2017/06/15	4.91	4.93	4.88	4.90	13140702	64379552.00
2017/06/16	4.90	4.92	4.84	4.84	10806100	52646428.00
2017/06/19	4.84	4.86	4.82	4.85	14382805	69581856.00
