600029 南方航空 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/28	8.02	8.22	7.90	7.94	191484497	1542313728.00
2017/03/29	8.01	8.24	7.91	8.19	182142251	1477872768.00
2017/03/30	8.17	8.33	8.03	8.20	154711315	1265227392.00
2017/03/31	8.10	8.16	7.96	8.06	108653110	875376640.00
2017/04/05	8.04	8.17	7.90	8.16	109279230	880077376.00
2017/04/06	8.19	8.22	8.08	8.18	102127766	833167360.00
2017/04/07	8.18	8.54	8.14	8.25	189342305	1583231104.00
2017/04/10	8.20	8.49	8.08	8.34	139243887	1151569280.00
2017/04/11	8.25	8.47	8.15	8.45	125008615	1039141632.00
2017/04/12	8.42	8.44	8.20	8.28	87172374	725791168.00
2017/04/13	8.20	8.36	8.15	8.26	49983207	413600832.00
2017/04/14	8.28	8.31	8.11	8.16	69019463	565452480.00
2017/04/17	8.16	8.23	7.97	8.17	55267902	449676800.00
2017/04/18	8.15	8.28	8.10	8.11	44850902	367841440.00
2017/04/19	8.08	8.16	7.90	8.06	66093095	529425536.00
2017/04/20	8.03	8.08	7.94	8.07	40671467	326051328.00
2017/04/21	8.08	8.15	8.00	8.14	47553268	383886656.00
2017/04/24	8.15	8.18	7.89	8.08	65398903	523290592.00
2017/04/25	8.01	8.08	7.85	7.87	46430221	368481344.00
2017/04/26	7.86	7.88	7.59	7.66	65124016	503433760.00
2017/04/27	7.60	7.82	7.45	7.74	67867063	518125376.00
2017/04/28	7.71	7.73	7.62	7.70	33435497	256356336.00
2017/05/02	7.65	7.85	7.62	7.78	38160923	296808928.00
2017/05/03	7.76	7.96	7.74	7.86	49888246	393417792.00
2017/05/04	7.85	7.88	7.75	7.80	29339812	228998256.00
2017/05/05	7.98	8.12	7.87	7.91	77745955	621150656.00
2017/05/08	7.90	8.10	7.85	8.01	58164923	465155936.00
2017/05/09	7.98	8.08	7.92	7.99	41948968	336318720.00
2017/05/10	8.01	8.07	7.83	7.91	35858496	284348000.00
2017/05/11	7.81	8.07	7.69	8.05	57272772	453965248.00
2017/05/12	8.05	8.23	8.02	8.18	55199484	451141664.00
2017/05/15	8.20	8.33	8.14	8.17	41310308	340339680.00
2017/05/16	8.16	8.22	8.03	8.19	32408202	263418384.00
2017/05/17	8.15	8.27	8.07	8.09	26742145	217807104.00
2017/05/18	8.03	8.16	8.00	8.09	23012680	185781488.00
2017/05/19	8.09	8.11	7.95	8.00	30608290	244977968.00
2017/05/22	8.00	8.10	7.87	8.09	25307032	202331856.00
2017/05/23	8.09	8.21	7.91	8.18	54603780	442279808.00
2017/05/24	8.12	8.23	8.03	8.19	35094298	286059424.00
2017/05/25	8.15	8.35	8.13	8.32	58204455	481777984.00
2017/05/26	8.42	8.78	8.41	8.50	112295444	963511936.00
2017/05/31	8.54	8.79	8.47	8.63	66570155	574770688.00
