600031 三一重工 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	7.63	7.74	7.51	7.53	54057279	411071936.00
2017/03/28	7.51	7.52	7.41	7.45	30988480	231151968.00
2017/03/29	7.45	7.61	7.43	7.49	43128949	324224992.00
2017/03/30	7.48	7.53	7.28	7.31	61896572	458725248.00
2017/03/31	7.31	7.37	7.16	7.20	42259367	306879872.00
2017/04/05	7.68	7.68	7.30	7.35	263711343	1960810368.00
2017/04/06	7.34	7.42	7.21	7.33	89649889	653979456.00
2017/04/07	7.32	7.36	7.21	7.25	61464615	446606624.00
2017/04/10	7.26	7.33	7.22	7.26	44454283	322988544.00
2017/04/11	7.29	7.40	7.21	7.34	90436454	659622912.00
2017/04/12	7.28	7.28	7.06	7.09	86425951	618806912.00
2017/04/13	7.06	7.12	7.04	7.07	30834317	217865312.00
2017/04/14	7.06	7.13	6.89	6.91	47433828	332343904.00
2017/04/17	6.90	6.91	6.72	6.81	55434244	376555360.00
2017/04/18	6.88	6.94	6.77	6.81	41556264	285497696.00
2017/04/19	6.80	6.85	6.64	6.77	40378763	272445856.00
2017/04/20	6.78	6.84	6.70	6.83	32653432	221914672.00
2017/04/21	6.86	6.93	6.86	6.91	33404445	230558912.00
2017/04/24	6.95	6.95	6.70	6.71	32342679	219077280.00
2017/04/25	6.70	6.85	6.70	6.81	28781708	195524224.00
2017/04/26	6.80	7.00	6.80	6.98	46560643	323649472.00
2017/04/27	6.97	7.05	6.86	7.04	37351077	260478368.00
2017/04/28	7.06	7.10	6.91	7.03	51953195	362674944.00
2017/05/02	7.00	7.10	6.95	7.02	36930315	259886768.00
2017/05/03	7.02	7.18	7.02	7.18	56020209	399599424.00
2017/05/04	7.10	7.26	7.10	7.17	59169289	425887808.00
2017/05/05	7.13	7.17	6.92	6.99	63839139	446871936.00
2017/05/08	6.94	6.94	6.71	6.88	53492535	364348896.00
2017/05/09	6.84	6.88	6.78	6.82	26547959	181289392.00
2017/05/10	6.83	6.87	6.60	6.62	30157096	204192096.00
2017/05/11	6.60	6.74	6.43	6.60	50007143	329602784.00
2017/05/12	6.60	6.71	6.60	6.67	32106646	213574112.00
2017/05/15	6.78	6.82	6.67	6.70	26935347	181601328.00
2017/05/16	6.68	6.76	6.51	6.75	39046051	259713920.00
2017/05/17	6.76	6.81	6.73	6.74	36084639	244707152.00
2017/05/18	6.68	6.81	6.63	6.73	24380071	164050528.00
2017/05/19	6.71	6.79	6.65	6.70	22207617	148981152.00
2017/05/22	6.70	6.83	6.66	6.70	23274308	156735776.00
2017/05/23	6.67	6.71	6.55	6.70	40959418	271973536.00
2017/05/24	6.66	6.70	6.58	6.69	18869512	125362128.00
2017/05/25	6.69	6.88	6.66	6.84	40083219	271950112.00
2017/05/26	6.81	6.99	6.81	6.91	33858677	234641584.00
2017/05/31	6.95	7.10	6.89	6.90	32387277	226058496.00
2017/06/01	6.85	7.01	6.85	6.97	27587378	191535952.00
2017/06/02	6.96	6.96	6.81	6.93	27101398	186453728.00
2017/06/05	6.95	7.00	6.86	6.88	25245382	174416112.00
2017/06/06	6.87	6.90	6.81	6.85	18214679	124625872.00
2017/06/07	6.84	6.97	6.82	6.97	27217485	188314896.00
2017/06/08	6.99	6.99	6.92	6.96	20755235	144307872.00
2017/06/09	6.92	7.33	6.92	7.30	103505692	742321408.00
2017/06/12	7.26	7.40	7.23	7.29	72897382	533975136.00
2017/06/13	7.30	7.41	7.26	7.32	41451387	303739296.00
2017/06/14	7.30	7.45	7.27	7.33	52728857	388243136.00
2017/06/15	7.30	7.40	7.25	7.34	44402867	325853792.00
2017/06/16	7.33	7.36	7.20	7.26	34727718	252261216.00
2017/06/19	7.32	7.49	7.30	7.47	60339180	447629504.00
2017/06/20	7.48	7.53	7.40	7.44	33539459	250007856.00
2017/06/21	7.59	7.59	7.39	7.45	41183310	307456064.00
2017/06/22	7.45	7.80	7.43	7.60	103981831	796255360.00
2017/06/23	7.58	7.75	7.56	7.74	71914773	550435712.00
2017/06/26	7.78	8.47	7.76	8.29	156338076	1278943360.00
