600033 福建高速 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	3.67	3.76	3.67	3.72	25350232	94350200.00
2017/03/28	3.70	3.71	3.67	3.69	15252166	56228792.00
2017/03/29	3.69	4.06	3.69	4.06	153745923	604388480.00
2017/03/30	4.00	4.18	3.92	3.98	204660276	825629184.00
2017/03/31	3.90	3.93	3.71	3.85	92689036	353063680.00
2017/04/05	3.82	3.95	3.77	3.90	70710990	271181280.00
2017/04/06	3.87	3.97	3.83	3.91	78334048	305670560.00
2017/04/07	3.86	3.88	3.79	3.81	63590705	243121792.00
2017/04/10	3.80	3.85	3.79	3.83	42114986	160841760.00
2017/04/11	3.82	3.96	3.76	3.92	74338938	286292928.00
2017/04/12	3.90	4.12	3.88	3.94	90179525	360911552.00
2017/04/13	3.90	4.00	3.86	3.98	53168994	209236288.00
2017/04/14	3.96	3.98	3.89	3.89	37609235	147518208.00
2017/04/17	3.92	3.95	3.87	3.90	29006013	113439648.00
2017/04/18	3.90	3.91	3.80	3.83	30710071	118624272.00
2017/04/19	3.81	3.95	3.77	3.87	44927418	173479296.00
2017/04/20	3.84	3.92	3.78	3.84	26170937	100537304.00
2017/04/21	3.84	3.86	3.80	3.82	14162874	54147252.00
2017/04/24	3.81	3.82	3.70	3.72	27067498	101275952.00
2017/04/25	3.73	3.77	3.72	3.75	17480880	65389740.00
2017/04/26	3.74	3.83	3.73	3.83	22387985	84886888.00
2017/04/27	3.83	3.90	3.76	3.88	29818695	114269792.00
2017/04/28	3.86	3.90	3.83	3.88	15258072	59043032.00
2017/05/02	3.88	3.97	3.86	3.91	25407479	99547560.00
2017/05/03	3.92	3.93	3.88	3.90	14238285	55552264.00
2017/05/04	3.89	3.90	3.82	3.84	17802053	68672560.00
2017/05/05	3.83	3.85	3.78	3.78	14617796	55660356.00
2017/05/08	3.77	3.84	3.76	3.79	16688889	63375952.00
2017/05/09	3.78	3.86	3.76	3.85	15273327	58207944.00
2017/05/10	3.85	3.87	3.77	3.78	15298828	58482256.00
2017/05/11	3.76	3.89	3.76	3.87	33511135	128389552.00
2017/05/12	3.86	3.93	3.82	3.89	32065764	124195112.00
2017/05/15	3.89	3.93	3.87	3.88	25237643	98489568.00
2017/05/16	3.86	3.93	3.80	3.92	28179375	108978352.00
2017/05/17	3.91	3.94	3.85	3.87	28837803	112255032.00
2017/05/18	3.85	3.88	3.83	3.85	13358351	51437028.00
2017/05/19	3.84	3.86	3.82	3.83	14182335	54357444.00
2017/05/22	3.82	3.83	3.68	3.69	32663300	122790520.00
2017/05/23	3.68	3.75	3.67	3.74	25629083	95458992.00
2017/05/24	3.72	3.75	3.68	3.74	11212201	41697968.00
2017/05/25	3.74	3.79	3.72	3.78	16204300	60947512.00
2017/05/26	3.79	3.81	3.77	3.78	11275866	42758276.00
2017/05/31	3.80	3.82	3.76	3.77	12245504	46397408.00
2017/06/01	3.77	3.78	3.72	3.73	9998585	37453244.00
2017/06/02	3.73	3.79	3.70	3.78	12730640	47736332.00
2017/06/05	3.78	3.82	3.77	3.79	13001129	49389156.00
2017/06/06	3.79	3.85	3.78	3.83	14216502	54218600.00
2017/06/07	3.83	3.89	3.82	3.89	29349045	113545008.00
2017/06/08	3.89	3.89	3.86	3.87	10407048	40305372.00
2017/06/09	3.87	3.90	3.86	3.89	16831471	65325552.00
2017/06/12	3.88	3.97	3.87	3.89	23748118	93133424.00
2017/06/13	3.87	3.89	3.86	3.87	14583362	56497820.00
2017/06/14	3.87	3.93	3.87	3.90	16807352	65603756.00
2017/06/15	3.89	3.92	3.87	3.90	10355110	40328940.00
2017/06/16	3.89	3.99	3.87	3.92	23233842	91132416.00
2017/06/19	3.91	3.98	3.89	3.97	31513252	124486368.00
2017/06/20	3.99	4.01	3.94	3.95	22174342	88061504.00
2017/06/21	3.96	3.98	3.92	3.96	15158721	59809640.00
2017/06/22	3.97	3.99	3.92	3.93	21840388	86511216.00
2017/06/23	3.93	3.94	3.85	3.91	24602998	95818464.00
2017/06/26	3.92	4.00	3.90	3.99	29209446	115736528.00
2017/06/27	4.00	4.00	3.95	3.98	38693676	153885360.00
2017/06/28	3.83	3.85	3.80	3.80	24947450	95367856.00
2017/06/29	3.80	3.82	3.78	3.80	13817302	52422452.00
2017/06/30	3.80	3.81	3.79	3.81	9569018	36347044.00
2017/07/03	3.82	3.83	3.78	3.83	14209860	54130112.00
2017/07/04	3.83	3.83	3.80	3.80	10405640	39649616.00
