600035 楚天高速 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	5.81	5.85	5.72	5.79	4438140	25645406.00
2017/03/28	5.81	5.81	5.76	5.78	2148539	12431174.00
2017/03/29	5.78	6.17	5.75	5.99	16324937	97759176.00
2017/03/30	5.94	6.00	5.82	5.91	12716220	74786000.00
2017/03/31	5.88	5.91	5.80	5.83	5876518	34270764.00
2017/04/05	5.85	5.88	5.77	5.87	5630815	32848180.00
2017/04/06	5.87	5.97	5.82	5.91	11998017	70851488.00
2017/04/07	5.90	5.93	5.86	5.88	4702340	27710612.00
2017/04/10	5.88	5.93	5.82	5.84	4516917	26442348.00
2017/04/11	5.82	5.87	5.75	5.87	6291092	36512432.00
2017/04/12	5.86	5.93	5.83	5.86	8505770	50111472.00
2017/04/13	5.86	5.92	5.83	5.92	7808199	46037040.00
2017/04/14	5.91	5.92	5.83	5.83	5058730	29639218.00
2017/04/17	5.81	5.83	5.72	5.75	5529698	31916000.00
2017/04/18	5.69	5.84	5.67	5.73	6756497	38832160.00
2017/04/19	5.73	5.73	5.55	5.65	8800170	49525768.00
2017/04/20	5.56	5.70	5.56	5.64	6003311	33846696.00
2017/04/21	5.58	5.71	5.54	5.56	6628896	37214444.00
2017/04/24	5.56	5.60	5.45	5.49	5782328	31912532.00
2017/04/25	5.50	5.59	5.50	5.56	3623723	20151216.00
2017/04/26	5.57	5.61	5.56	5.57	2478671	13849153.00
2017/04/27	5.58	5.60	5.51	5.59	2995053	16628078.00
2017/04/28	5.59	5.62	5.58	5.61	1631647	9145242.00
2017/05/02	5.63	5.77	5.58	5.71	5525765	31558402.00
2017/05/03	5.71	5.76	5.67	5.76	2858088	16411441.00
2017/05/04	5.73	5.83	5.71	5.78	3165016	18311080.00
2017/05/05	5.73	5.81	5.73	5.76	2845832	16456510.00
2017/05/08	5.73	5.81	5.62	5.64	3556461	20321188.00
2017/05/09	5.65	5.69	5.57	5.61	3342773	18763064.00
2017/05/10	5.61	5.69	5.58	5.61	3767093	21209324.00
2017/05/11	5.61	5.62	5.44	5.55	3876671	21512736.00
2017/05/12	5.55	5.62	5.52	5.61	1668823	9284162.00
2017/05/15	5.63	5.67	5.50	5.63	1833607	10338019.00
2017/05/16	5.66	5.66	5.56	5.65	2623196	14716150.00
2017/05/17	5.66	5.73	5.65	5.72	3410332	19446192.00
2017/05/18	5.70	5.74	5.66	5.69	3220437	18351432.00
2017/05/19	5.70	5.74	5.66	5.69	1353547	7718292.00
2017/05/22	5.72	5.72	5.63	5.65	1722902	9771375.00
2017/05/23	5.64	5.65	5.56	5.60	2308904	12938504.00
2017/05/24	5.53	5.53	5.43	5.49	2812365	15388851.00
2017/05/25	5.51	5.55	5.44	5.53	3286548	18015492.00
2017/05/26	5.55	5.55	5.46	5.48	2032252	11177095.00
2017/05/31	5.50	5.55	5.44	5.47	2951264	16196177.00
2017/06/01	5.47	5.50	5.40	5.42	3402920	18552032.00
2017/06/02	5.43	5.47	5.36	5.46	2899981	15682346.00
2017/06/05	5.46	5.50	5.43	5.46	2506566	13727605.00
2017/06/06	5.46	5.50	5.43	5.48	1069976	5839019.00
2017/06/07	5.50	5.54	5.45	5.54	2767130	15240850.00
2017/06/08	5.54	5.55	5.49	5.51	2494240	13754049.00
2017/06/09	5.49	5.59	5.49	5.58	4803393	26661140.00
2017/06/12	5.58	5.65	5.54	5.56	4409158	24631920.00
2017/06/13	5.55	5.61	5.52	5.59	5204650	29020544.00
2017/06/14	5.60	5.62	5.55	5.58	3128360	17444990.00
2017/06/15	5.57	5.63	5.55	5.62	3749893	20978296.00
2017/06/16	5.61	5.64	5.56	5.58	3956034	22162044.00
2017/06/19	5.58	5.62	5.55	5.61	2694656	15061853.00
2017/06/20	5.60	5.61	5.57	5.59	2105413	11762341.00
2017/06/21	5.60	5.62	5.56	5.58	1519456	8479598.00
2017/06/22	5.58	5.64	5.55	5.58	6358673	35618056.00
2017/06/23	5.56	5.58	5.51	5.56	3023867	16737378.00
2017/06/26	5.53	5.57	5.50	5.54	7714661	42752568.00
2017/06/27	5.55	5.56	5.52	5.55	2836764	15725873.00
2017/06/28	5.54	5.77	5.51	5.61	8978880	50818364.00
2017/06/29	5.57	5.61	5.53	5.55	6031899	33510392.00
2017/06/30	5.55	5.56	5.46	5.51	5876617	32324256.00
2017/07/03	5.51	5.61	5.51	5.56	5891316	32784952.00
2017/07/04	5.56	5.58	5.54	5.56	4479502	24897784.00
2017/07/05	5.56	5.61	5.54	5.58	4559701	25449434.00
2017/07/06	5.57	5.68	5.56	5.63	5300408	29808172.00
2017/07/07	5.60	5.63	5.58	5.63	3519097	19714650.00
2017/07/10	5.64	5.75	5.61	5.68	7528297	42782816.00
2017/07/11	5.71	5.71	5.60	5.61	4261331	24082798.00
2017/07/12	5.64	5.65	5.53	5.62	4870749	27175620.00
2017/07/13	5.60	5.62	5.55	5.61	3695851	20643676.00
2017/07/14	5.62	5.62	5.55	5.57	3038400	16909812.00
2017/07/17	5.56	5.57	5.01	5.39	5161785	27884444.00
2017/07/18	5.34	5.41	5.30	5.37	3130797	16765670.00
2017/07/19	5.34	5.48	5.33	5.47	4595643	24906772.00
2017/07/20	5.47	5.53	5.45	5.48	3295121	18040708.00
2017/07/21	5.48	5.54	5.46	5.51	3488341	19225228.00
2017/07/24	5.58	5.87	5.56	5.82	22715895	130930936.00
2017/07/25	5.75	5.81	5.62	5.68	13068380	74432520.00
2017/07/26	5.68	5.69	5.57	5.62	7809826	43884808.00
2017/07/27	5.62	5.70	5.58	5.67	6308631	35652864.00
2017/07/28	5.68	5.68	5.58	5.60	5209401	29221236.00
2017/07/31	5.60	5.68	5.56	5.68	7641892	42940072.00
2017/08/01	5.66	5.71	5.62	5.64	6625338	37530864.00
2017/08/02	5.62	5.65	5.60	5.61	5283380	29706168.00
2017/08/03	5.61	5.64	5.58	5.62	3610209	20230948.00
2017/08/04	5.62	5.63	5.55	5.56	5870210	32808124.00
2017/08/07	5.56	5.59	5.48	5.56	6067906	33560048.00
2017/08/08	5.56	5.61	5.53	5.60	5462859	30467448.00
2017/08/09	5.58	5.61	5.53	5.56	3801617	21164572.00
2017/08/10	5.54	5.58	5.51	5.54	3509409	19441840.00
2017/08/11	5.51	5.54	5.46	5.48	6585617	36195772.00
2017/08/14	5.48	5.55	5.45	5.53	3499040	19333006.00
2017/08/15	5.52	5.60	5.51	5.54	3617890	20134256.00
2017/08/16	5.55	5.56	5.50	5.55	2462711	13622998.00
2017/08/17	5.55	5.64	5.53	5.63	4733056	26450194.00
2017/08/18	5.61	5.69	5.58	5.68	6938627	39280344.00
2017/08/21	5.70	5.70	5.62	5.66	4250428	24046808.00
2017/08/22	5.67	5.67	5.60	5.62	3191105	17944840.00
2017/08/23	5.61	5.64	5.59	5.62	3249472	18260444.00
2017/08/24	5.63	5.66	5.59	5.61	2779180	15630923.00
2017/08/25	5.63	5.66	5.60	5.65	3485272	19670656.00
2017/08/28	5.65	5.69	5.64	5.68	5141911	29123564.00
2017/08/29	5.68	5.70	5.65	5.66	3809572	21568612.00
2017/08/30	5.68	5.71	5.66	5.71	5020278	28579960.00
2017/08/31	5.71	5.73	5.67	5.73	4873250	27808212.00
2017/09/01	5.72	5.74	5.66	5.70	6302797	35885872.00
2017/09/04	5.68	5.70	5.65	5.68	4280160	24301472.00
2017/09/05	5.68	5.70	5.63	5.67	3595938	20411760.00
2017/09/06	5.67	5.70	5.65	5.70	3611536	20501304.00
2017/09/07	5.68	5.70	5.65	5.70	5008848	28447620.00
2017/09/08	5.71	6.11	5.71	5.83	34254394	202301968.00
2017/09/11	5.81	5.94	5.78	5.85	17552060	102482920.00
2017/09/12	5.82	5.88	5.79	5.84	8214823	47823272.00
2017/09/13	5.85	5.91	5.81	5.84	7155734	41860000.00
2017/09/14	5.81	5.84	5.76	5.77	6949087	40240152.00
2017/09/15	5.76	5.89	5.76	5.86	8627318	50348776.00
2017/09/18	5.86	5.98	5.86	5.89	7581380	44820664.00
2017/09/19	5.93	5.99	5.89	5.90	5361022	31647916.00
2017/09/20	5.91	5.96	5.86	5.92	4626205	27293252.00
2017/09/21	5.93	6.06	5.93	5.99	8600457	51544108.00
2017/09/22	6.06	6.06	5.92	5.98	5618787	33528140.00
2017/09/25	5.98	5.98	5.68	5.71	11749047	68167264.00
2017/09/26	5.73	5.84	5.71	5.83	8759049	50480960.00
2017/09/27	5.84	5.87	5.75	5.82	4377322	25458932.00
2017/09/28	5.80	5.84	5.76	5.77	3920781	22711484.00
2017/09/29	5.77	5.83	5.75	5.82	2927764	17011364.00
2017/10/09	5.85	5.98	5.84	5.94	9322373	54952724.00
2017/10/10	5.96	6.05	5.94	6.02	11740196	70634104.00
2017/10/11	6.05	6.08	5.94	5.97	8068853	48433852.00
2017/10/12	5.97	5.97	5.90	5.93	5197463	30809596.00
2017/10/13	5.91	6.05	5.91	6.05	8653492	52005600.00
2017/10/16	6.05	6.08	5.90	5.91	8179596	48837564.00
2017/10/17	5.90	5.95	5.83	5.90	6960684	40929256.00
2017/10/18	5.95	5.95	5.77	5.85	5736232	33595084.00
2017/10/19	5.84	5.86	5.60	5.68	8747746	50317452.00
2017/10/20	5.66	5.72	5.63	5.71	5299675	30097788.00
2017/10/23	5.70	5.74	5.67	5.72	4728942	26966548.00
2017/10/24	5.73	5.73	5.66	5.68	4668473	26597702.00
2017/10/25	5.70	5.79	5.70	5.78	4284321	24671540.00
