600036 招商银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	18.79	19.32	18.79	19.10	80019192	1531802496.00
2017/03/28	19.25	19.31	18.91	18.97	42027343	801684352.00
2017/03/29	18.99	19.16	18.98	19.09	44934719	857221824.00
2017/03/30	19.09	19.15	18.96	19.02	25726855	490686368.00
2017/03/31	19.02	19.25	19.02	19.17	33962346	650952960.00
2017/04/05	19.22	19.29	19.01	19.07	48602592	929280320.00
2017/04/06	19.05	19.11	18.93	19.04	34096737	648458304.00
2017/04/07	19.05	19.08	18.82	18.89	44034033	833989120.00
2017/04/10	18.93	18.97	18.70	18.91	32313532	609971584.00
2017/04/11	18.91	19.05	18.88	19.02	39407570	748244160.00
2017/04/12	19.02	19.12	18.90	19.05	32143538	611280960.00
2017/04/13	19.04	19.05	18.85	18.92	26704897	505235744.00
2017/04/14	18.91	18.94	18.65	18.82	30142700	564136320.00
2017/04/17	18.77	18.90	18.60	18.88	40758304	763022080.00
2017/04/18	18.80	18.85	18.60	18.60	31585792	591650432.00
2017/04/19	18.58	18.75	18.40	18.46	30928072	573673728.00
2017/04/20	18.59	18.60	18.38	18.39	28367769	523852160.00
2017/04/21	18.50	18.93	18.39	18.80	49743044	935678848.00
2017/04/24	18.89	19.01	18.80	18.91	37143301	703849024.00
2017/04/25	18.95	19.06	18.78	18.96	40879001	773462784.00
2017/04/26	18.97	19.18	18.91	19.11	42419144	810267712.00
2017/04/27	19.01	19.08	18.83	18.98	34557480	654130112.00
2017/04/28	19.10	19.24	19.01	19.13	49459693	945369152.00
2017/05/02	19.14	19.21	18.94	19.01	27786907	529881152.00
2017/05/03	18.99	19.03	18.85	18.93	18057905	342113792.00
2017/05/04	18.95	18.97	18.66	18.75	39673390	743771328.00
2017/05/05	18.79	18.84	18.54	18.80	34318443	640625536.00
2017/05/08	18.67	18.86	18.65	18.79	42998487	806982656.00
2017/05/09	18.80	18.85	18.74	18.79	14905601	280094848.00
2017/05/10	18.85	19.18	18.81	19.02	42066330	802326336.00
2017/05/11	19.09	19.45	19.00	19.26	47193321	909384832.00
2017/05/12	19.25	20.38	19.19	20.34	122392416	2442104320.00
2017/05/15	20.45	21.10	20.42	20.67	83559057	1738353280.00
2017/05/16	20.55	20.74	20.34	20.49	64731794	1325991040.00
2017/05/17	20.36	20.53	20.06	20.19	59693502	1206835072.00
2017/05/18	20.01	20.32	20.01	20.25	36345421	732979584.00
2017/05/19	20.17	20.59	20.11	20.53	39179460	798985920.00
2017/05/22	20.46	21.15	20.46	20.89	57888523	1212784512.00
2017/05/23	20.88	22.00	20.88	21.83	95034429	2057868416.00
2017/05/24	21.82	22.26	21.54	21.91	74150674	1623533184.00
2017/05/25	21.81	23.01	21.80	22.95	106667813	2416876288.00
2017/05/26	22.99	23.06	22.44	22.64	78505419	1785010176.00
2017/05/31	22.45	22.96	22.18	22.42	73975517	1666165888.00
2017/06/01	22.33	22.65	22.23	22.59	78092238	1753824128.00
2017/06/02	22.70	22.75	22.07	22.16	51019453	1138839808.00
2017/06/05	21.93	22.17	21.60	21.98	65026549	1419799552.00
2017/06/06	22.00	22.13	21.66	21.93	54884450	1199205632.00
2017/06/07	22.02	22.58	21.95	22.52	96496305	2160376576.00
2017/06/08	22.35	22.78	21.98	22.74	74865798	1680209792.00
2017/06/09	22.75	23.30	22.62	22.91	83753301	1924613504.00
2017/06/12	22.84	23.26	22.66	22.84	55565434	1276327552.00
2017/06/13	22.90	22.98	22.30	22.49	54260816	1220058112.00
2017/06/14	21.75	21.86	21.22	21.30	51801561	1115250432.00
2017/06/15	21.30	21.64	20.90	20.93	67537281	1425902848.00
2017/06/16	20.91	21.09	20.74	20.81	53191074	1113029504.00
2017/06/19	20.92	21.30	20.83	21.16	54663330	1152930432.00
2017/06/20	21.30	21.54	20.92	21.08	53216817	1127816320.00
2017/06/21	21.29	21.35	20.84	21.31	50786321	1074173568.00
2017/06/22	21.25	23.23	21.20	22.73	152388802	3414570752.00
2017/06/23	22.61	23.08	22.28	23.03	94120881	2136408576.00
2017/06/26	23.08	23.91	22.99	23.04	88995783	2084599680.00
2017/06/27	22.94	24.58	22.73	24.36	107584636	2541436928.00
2017/06/28	24.11	24.48	23.80	23.80	73712967	1774023808.00
2017/06/29	24.00	24.34	23.67	24.15	59421356	1432956928.00
2017/06/30	24.00	24.18	23.70	23.91	40698820	972087168.00
2017/07/03	23.80	23.80	23.33	23.52	41623871	979092992.00
2017/07/04	23.51	23.60	22.82	23.00	57363680	1325615872.00
2017/07/05	22.98	24.05	22.85	23.90	78399696	1836342528.00
2017/07/06	23.71	24.14	23.40	23.96	62433300	1481675264.00
2017/07/07	23.80	23.90	23.05	23.26	63217985	1478551296.00
2017/07/10	23.32	23.58	23.05	23.26	37203437	866708224.00
2017/07/11	23.23	24.38	23.16	24.08	73038307	1747996928.00
2017/07/12	24.10	25.07	23.95	24.34	85800391	2107028224.00
2017/07/13	24.34	25.05	24.21	24.90	55940416	1386998144.00
2017/07/14	24.99	25.41	24.74	25.18	50806029	1271884032.00
2017/07/17	25.10	25.65	24.74	25.11	70928750	1788461056.00
2017/07/18	24.90	25.06	24.04	24.52	64534655	1583816704.00
2017/07/19	24.44	25.37	24.40	25.22	63077091	1570233856.00
2017/07/20	25.10	25.25	24.80	25.20	51433744	1286272384.00
2017/07/21	25.08	25.36	24.64	24.74	32764747	818375360.00
2017/07/24	24.77	25.76	24.67	25.71	62592201	1587410688.00
2017/07/25	25.80	26.24	25.40	25.53	74394506	1922841216.00
2017/07/26	25.52	26.04	25.16	25.46	46334311	1184402304.00
2017/07/27	25.48	26.17	25.40	25.90	43453232	1124251904.00
2017/07/28	25.77	26.00	25.50	25.78	28036197	720520384.00
2017/07/31	25.64	25.95	25.38	25.57	34195965	875073792.00
2017/08/01	25.58	26.15	25.35	26.14	47806569	1237126912.00
2017/08/02	26.12	27.08	26.02	26.62	60628359	1619543936.00
2017/08/03	26.52	26.66	25.84	25.89	51028609	1338776448.00
2017/08/04	25.87	26.10	25.32	25.52	48927096	1252754944.00
2017/08/07	25.40	26.10	25.40	25.98	30913583	799024704.00
2017/08/08	25.90	26.06	25.66	25.85	22046346	569318272.00
2017/08/09	25.78	26.08	25.51	25.54	29248590	754403264.00
2017/08/10	25.47	25.74	24.98	25.14	46465133	1172008448.00
2017/08/11	24.97	25.26	24.44	24.49	52173238	1295751424.00
2017/08/14	24.60	24.88	24.25	24.80	53594772	1318539776.00
2017/08/15	24.80	25.86	24.78	25.53	53690010	1370978560.00
2017/08/16	25.41	25.47	25.02	25.17	29782847	750197184.00
2017/08/17	25.19	25.30	24.85	25.06	32146044	803371840.00
2017/08/18	24.91	25.59	24.80	25.42	39734426	1003556224.00
2017/08/21	25.42	25.52	25.05	25.30	31525364	796215296.00
2017/08/22	25.42	25.93	25.18	25.89	50287937	1289000320.00
2017/08/23	25.98	26.83	25.83	26.52	60736801	1607392896.00
2017/08/24	26.50	26.84	26.21	26.69	46161550	1228209408.00
2017/08/25	26.80	27.58	26.80	27.53	66092014	1796548736.00
2017/08/28	27.58	27.90	27.01	27.24	54746121	1504650752.00
2017/08/29	27.26	27.46	27.06	27.14	32870241	894606528.00
2017/08/30	27.39	27.96	26.97	27.16	47205569	1292864128.00
2017/08/31	27.16	27.28	26.41	26.75	59081038	1576347776.00
2017/09/01	26.74	27.18	26.53	26.76	47974643	1287996672.00
2017/09/04	26.54	26.99	26.42	26.96	35631693	953928896.00
2017/09/05	26.90	27.37	26.74	27.34	40573290	1101284992.00
2017/09/06	27.28	27.28	26.78	26.88	32948666	890348928.00
2017/09/07	26.90	26.90	26.31	26.35	46675659	1237783168.00
2017/09/08	26.36	26.60	26.29	26.38	29097213	768685696.00
2017/09/11	26.60	26.89	26.12	26.18	46759279	1236452352.00
2017/09/12	26.28	26.49	25.96	26.44	42620226	1117346048.00
2017/09/13	26.44	26.48	26.05	26.17	32866866	861995136.00
2017/09/14	26.18	26.25	25.65	25.86	47223452	1222804992.00
2017/09/15	25.75	26.08	25.59	25.97	32786267	847804864.00
2017/09/18	25.97	26.10	25.69	25.76	51107728	1323656320.00
2017/09/19	25.79	26.25	25.69	26.17	47274118	1228816256.00
2017/09/20	26.11	26.32	25.82	25.89	51785947	1350601216.00
2017/09/21	25.95	26.29	25.85	26.06	40927253	1066972480.00
2017/09/22	25.90	26.28	25.83	25.95	28030992	729528064.00
2017/09/25	25.86	26.12	25.70	25.81	32006496	829467456.00
2017/09/26	25.71	25.90	25.64	25.71	22468076	578862336.00
