600037 歌华有线 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	15.26	15.47	15.22	15.46	12056316	185072816.00
2017/03/28	15.42	15.55	15.37	15.51	9766391	151038048.00
2017/03/29	15.54	15.55	15.39	15.42	7220986	111796784.00
2017/03/30	15.42	15.44	15.10	15.20	8287179	126186368.00
2017/03/31	15.16	15.25	15.11	15.14	4818807	73107104.00
2017/04/05	15.35	15.61	15.35	15.52	18321625	283635744.00
2017/04/06	15.55	15.66	15.39	15.54	17252708	268483808.00
2017/04/07	15.60	16.24	15.50	16.02	35752448	567156416.00
2017/04/10	16.01	16.49	15.90	16.10	29103553	471690272.00
2017/04/11	16.00	16.35	15.96	16.21	20272019	327261504.00
2017/04/12	16.02	16.16	15.76	15.87	15614682	249283712.00
2017/04/13	15.84	16.02	15.76	15.92	10391736	165368736.00
2017/04/14	15.86	16.33	15.75	16.13	22454660	361370976.00
2017/04/17	16.06	16.15	15.60	16.01	12813602	203669680.00
2017/04/18	15.95	16.00	15.65	15.67	9441338	149775872.00
2017/04/19	15.62	15.75	15.10	15.49	14048129	216280976.00
2017/04/20	15.45	15.46	15.10	15.35	8238564	125878104.00
2017/04/21	15.35	15.51	15.16	15.48	7232035	110896640.00
2017/04/24	15.33	15.41	14.95	15.35	11723116	177672304.00
2017/04/25	15.22	15.39	15.14	15.15	6063790	92676816.00
2017/04/26	15.17	15.38	15.13	15.32	6983692	106712552.00
2017/04/27	15.29	15.49	15.14	15.48	7332258	112513416.00
2017/04/28	15.42	15.48	15.25	15.37	5575107	85482328.00
2017/05/02	15.18	15.29	15.10	15.13	6938567	105152640.00
2017/05/03	15.17	15.22	15.10	15.18	3359501	50915544.00
2017/05/04	15.17	15.25	14.95	15.04	6702351	101079864.00
2017/05/05	15.02	15.09	14.40	14.71	19433619	284112960.00
2017/05/08	14.62	14.82	14.45	14.81	7967915	117209488.00
2017/05/09	14.67	14.85	14.48	14.58	5363246	78522872.00
2017/05/10	14.54	14.63	13.97	14.03	8264757	118063232.00
2017/05/11	13.95	14.19	13.61	14.11	13638388	190291680.00
2017/05/12	14.00	14.25	13.97	14.06	3803666	53611876.00
2017/05/15	14.02	14.16	14.01	14.10	3872763	54638396.00
2017/05/16	14.10	14.48	13.99	14.42	5473536	78112328.00
2017/05/17	14.40	14.79	14.33	14.54	5149382	74761008.00
2017/05/18	14.45	14.55	14.35	14.48	3473680	50215032.00
2017/05/19	14.47	14.69	14.39	14.63	4894790	70878648.00
2017/05/22	14.53	14.74	14.41	14.71	8056371	117079568.00
2017/05/23	14.60	14.76	14.46	14.67	10174080	149151040.00
2017/05/24	14.65	14.66	14.27	14.41	6361316	91491128.00
2017/05/25	14.35	14.60	14.24	14.49	4355644	62766912.00
2017/05/26	14.52	14.78	14.52	14.59	4686452	68736040.00
2017/05/31	14.65	14.72	14.31	14.33	4603687	66952592.00
2017/06/01	14.31	14.41	13.85	13.88	6148390	87089400.00
2017/06/02	13.88	14.12	13.88	14.01	4402065	61681312.00
2017/06/05	14.01	14.12	13.90	13.99	4902796	68707416.00
2017/06/06	13.98	14.10	13.92	14.07	2755151	38715728.00
2017/06/07	14.07	14.39	14.02	14.37	5461164	77752800.00
2017/06/08	14.44	14.44	14.21	14.37	5148309	73791040.00
2017/06/09	14.26	14.41	14.15	14.36	5740513	82077424.00
2017/06/12	14.34	14.35	14.18	14.23	3841568	54771824.00
2017/06/13	14.20	14.44	14.20	14.43	3773611	54147808.00
2017/06/14	14.39	14.52	14.32	14.35	2666313	38419640.00
2017/06/15	14.30	14.50	14.30	14.46	2919140	42145336.00
2017/06/16	14.45	14.60	14.40	14.50	3777000	54801200.00
2017/06/19	14.45	14.57	14.43	14.49	2450288	35501316.00
2017/06/20	14.52	14.53	14.40	14.42	2324127	33615724.00
2017/06/21	14.55	14.59	14.41	14.49	3085515	44657436.00
2017/06/22	14.50	14.75	14.42	14.43	8617278	125940328.00
2017/06/23	14.42	14.48	14.24	14.43	4162311	59739472.00
2017/06/26	14.46	14.66	14.39	14.65	6516538	94889600.00
2017/06/27	14.64	14.85	14.61	14.75	6525982	96105232.00
2017/06/28	14.73	14.79	14.63	14.70	4085467	60095816.00
2017/06/29	14.68	14.73	14.51	14.65	3472574	50898048.00
2017/06/30	14.67	14.67	14.49	14.56	4229792	61464028.00
2017/07/03	14.59	14.69	14.50	14.69	2989102	43698592.00
2017/07/04	14.66	14.69	14.44	14.46	3614063	52498348.00
2017/07/05	14.46	14.58	14.44	14.57	4227620	61338960.00
2017/07/06	14.58	14.58	14.36	14.38	7057000	101750696.00
2017/07/07	14.37	14.43	14.09	14.14	11081914	157149600.00
2017/07/10	14.13	14.20	14.06	14.14	6070684	85749640.00
2017/07/11	14.15	14.16	14.07	14.08	5059589	71408712.00
2017/07/12	14.09	14.15	13.93	14.07	4395934	61710180.00
2017/07/13	14.06	14.09	13.98	14.07	3453884	48474676.00
2017/07/14	14.06	14.14	14.00	14.13	3113077	43854620.00
2017/07/17	14.13	14.17	13.62	13.64	7036300	97028456.00
2017/07/18	13.63	13.79	13.54	13.77	4804172	65637928.00
2017/07/19	13.75	13.97	13.66	13.91	5245179	72625936.00
2017/07/20	13.94	14.13	13.83	14.02	5521424	77307752.00
2017/07/21	14.02	14.08	13.94	13.96	2976591	41668276.00
2017/07/24	13.96	14.10	13.90	14.04	3244009	45536412.00
2017/07/25	14.03	14.12	13.97	14.00	2851305	40037820.00
2017/07/26	14.03	14.05	13.90	13.95	2493243	34848516.00
2017/07/27	13.90	14.15	13.90	14.10	5311371	74769120.00
2017/07/28	14.09	14.20	14.06	14.07	4148398	58541312.00
2017/07/31	14.06	14.16	14.03	14.11	3930363	55455028.00
2017/08/01	14.12	14.44	14.10	14.39	9009202	128414552.00
2017/08/02	14.30	14.46	14.28	14.35	6036134	86654664.00
2017/08/03	14.35	14.62	14.23	14.49	7652989	110762784.00
2017/08/04	14.57	14.59	14.35	14.46	4994245	72153760.00
