600038 中直股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	49.63	50.66	49.59	50.49	5012088	252345760.00
2017/03/28	50.50	51.10	50.27	50.33	2996983	151770544.00
2017/03/29	50.34	50.84	49.57	49.63	5322789	267477744.00
2017/03/30	49.48	50.11	48.71	48.99	4643193	229268032.00
2017/03/31	49.17	50.37	49.10	50.00	5835070	291154176.00
2017/04/05	50.00	50.75	48.50	50.54	4500477	226886528.00
2017/04/06	50.57	50.96	50.10	50.19	4064764	205545888.00
2017/04/07	50.12	51.67	50.12	51.44	7201026	369236576.00
2017/04/10	51.80	52.20	51.03	51.71	6928810	357504736.00
2017/04/11	51.99	53.99	51.34	53.60	13269678	701832960.00
2017/04/12	53.20	54.70	52.69	52.82	8541703	458533760.00
2017/04/13	53.00	53.47	51.20	51.55	6680119	346185344.00
2017/04/14	51.55	52.08	51.01	51.09	4343307	223401552.00
2017/04/17	50.99	50.99	49.50	49.95	3740988	187120672.00
2017/04/18	50.05	50.43	49.74	49.97	2172720	108655296.00
2017/04/19	49.73	50.18	48.50	48.90	4257514	209235264.00
2017/04/20	48.87	49.38	47.17	47.96	5140742	247974656.00
2017/04/21	48.00	48.25	47.20	47.49	2944293	140259440.00
2017/04/24	47.59	47.71	46.49	46.51	2826051	132782816.00
2017/04/25	46.82	46.94	45.95	46.72	3387585	157387136.00
2017/04/26	46.79	47.13	46.61	46.85	2895580	135733584.00
2017/04/27	46.77	47.66	45.38	47.33	4649848	216153888.00
2017/04/28	47.03	47.68	47.00	47.62	2407941	114156824.00
2017/05/02	47.54	47.54	46.50	47.07	3092457	145227872.00
2017/05/03	46.60	47.66	46.52	47.63	3328647	157358112.00
2017/05/04	47.50	47.50	46.00	46.02	4685853	217479840.00
2017/05/05	46.12	46.29	42.95	42.98	8397610	370163072.00
2017/05/08	42.50	43.60	41.62	42.18	4664027	198548016.00
2017/05/09	42.01	44.14	41.85	43.80	7115443	308372672.00
2017/05/10	43.90	44.59	43.35	43.37	4466817	196076880.00
2017/05/11	43.03	44.12	42.35	43.85	3215462	139760080.00
2017/05/12	43.99	44.35	43.20	43.35	2079646	90861192.00
2017/05/15	43.35	45.30	43.35	44.49	4037203	180282416.00
2017/05/16	44.49	44.80	43.83	44.71	2459112	108934464.00
2017/05/17	44.25	45.99	44.25	45.63	4131457	188372912.00
2017/05/18	45.60	46.17	44.80	44.87	3133799	142320256.00
2017/05/19	44.86	45.35	44.04	44.66	1910726	85034336.00
2017/05/22	44.16	44.93	44.01	44.17	2356071	104648320.00
2017/05/23	44.23	44.50	41.30	41.53	3297124	140972560.00
2017/05/24	41.52	42.25	40.03	41.97	4018269	165301408.00
2017/05/25	42.15	42.43	40.52	42.17	4776867	197419840.00
2017/05/26	41.81	42.48	40.99	41.05	3715087	154806784.00
2017/05/31	41.55	42.35	41.00	41.09	2206261	91556248.00
2017/06/01	41.01	41.39	39.50	39.55	2891616	117093896.00
2017/06/02	39.55	40.10	38.10	40.04	6623997	258621664.00
2017/06/05	40.04	42.00	40.04	41.00	5194853	213645200.00
2017/06/06	41.29	42.64	41.06	41.95	4434981	186241216.00
2017/06/07	41.99	42.80	41.99	42.66	5374055	228110576.00
2017/06/08	42.58	42.58	41.87	42.26	3996598	168551696.00
2017/06/09	42.26	42.41	41.94	42.35	2898927	122274520.00
2017/06/12	42.25	42.25	40.62	41.07	4922530	202997312.00
2017/06/13	40.80	42.35	40.70	42.19	4755302	198106336.00
2017/06/14	42.00	43.23	41.61	42.82	7168219	306253888.00
2017/06/15	42.68	44.27	42.46	43.67	7171190	313829152.00
2017/06/16	43.67	44.33	43.11	44.03	3718823	162840544.00
2017/06/19	43.90	45.70	43.90	45.05	6017441	272338560.00
2017/06/20	45.12	45.46	44.70	44.95	3075247	138379104.00
2017/06/21	45.26	45.88	44.21	44.58	4240037	190212480.00
2017/06/22	44.50	44.60	43.30	43.34	5183313	227052528.00
2017/06/23	43.70	44.38	43.04	44.05	5190111	226828784.00
2017/06/26	44.00	45.02	43.20	45.01	6132941	272082528.00
2017/06/27	45.28	45.40	44.71	44.78	4838064	217840784.00
2017/06/28	44.83	44.96	43.76	44.11	3920639	172954912.00
2017/06/29	44.06	45.65	43.94	45.59	6032175	271428352.00
2017/06/30	45.61	46.07	45.10	45.77	4782375	218419792.00
2017/07/03	46.00	46.04	45.30	45.92	3111674	141816096.00
2017/07/04	45.85	45.89	45.33	45.72	3357464	152998816.00
2017/07/05	45.72	45.87	45.05	45.64	3827597	173697616.00
2017/07/06	45.63	45.96	44.78	45.45	4737201	214774608.00
2017/07/07	45.30	45.79	44.80	45.43	4444156	201127616.00
2017/07/10	45.53	46.90	44.73	44.80	7137743	325147968.00
2017/07/11	44.50	44.51	43.07	43.16	6598509	289144800.00
2017/07/12	43.20	43.50	42.33	42.89	4142102	177443728.00
2017/07/13	42.97	44.26	42.88	44.15	4719234	206198224.00
2017/07/14	44.00	44.26	43.58	43.90	2790584	122637256.00
2017/07/17	43.88	43.88	41.20	41.39	5837227	245968672.00
2017/07/18	41.50	41.98	40.52	41.20	4322715	177680944.00
2017/07/19	41.05	42.17	40.71	42.12	4841945	200020816.00
2017/07/20	42.10	42.74	41.70	41.84	5717959	241564496.00
2017/07/21	41.92	42.42	41.25	41.82	4451174	186237424.00
2017/07/24	41.80	44.64	41.45	44.59	9915739	429664000.00
2017/07/25	44.57	44.80	43.75	43.78	6422070	283262496.00
2017/07/26	43.76	44.69	43.43	44.39	5670423	250410880.00
2017/07/27	44.39	45.60	44.00	45.49	7893148	354708512.00
2017/07/28	45.24	45.65	44.81	44.86	4525296	204086048.00
2017/07/31	45.18	45.30	43.32	43.81	8693341	380477440.00
2017/08/01	43.92	44.21	42.95	43.12	7715926	335824768.00
2017/08/02	43.20	43.50	41.59	41.90	8762842	370785824.00
2017/08/03	41.80	42.39	41.72	41.98	3588841	151053056.00
2017/08/04	42.43	46.18	42.43	46.18	25627412	1161782656.00
2017/08/07	45.64	46.09	44.89	45.58	13830258	628683200.00
2017/08/08	45.29	47.20	44.91	46.40	17062754	788332416.00
2017/08/09	45.97	46.59	45.58	45.92	6627239	304805632.00
2017/08/10	46.17	47.65	46.17	46.30	10468668	490848544.00
2017/08/11	46.16	48.30	45.43	45.92	14254165	671451520.00
2017/08/14	45.63	47.18	44.90	47.14	8867277	408677504.00
2017/08/15	46.90	47.42	46.43	46.71	7321073	342689920.00
2017/08/16	46.49	47.45	46.00	47.37	8321500	390244192.00
2017/08/17	47.05	48.44	46.88	47.35	10305145	491459360.00
2017/08/18	46.97	46.97	46.01	46.06	7362158	341435392.00
2017/08/21	46.30	46.47	45.50	45.91	6313779	288969696.00
2017/08/22	45.91	46.19	44.83	45.18	6483981	294988032.00
2017/08/23	45.22	45.75	44.71	45.54	4299233	194686224.00
2017/08/24	45.55	45.68	44.68	44.70	4431364	199492048.00
2017/08/25	44.60	45.28	44.56	45.26	3686614	165786208.00
2017/08/28	43.33	43.48	41.50	43.09	21166373	901350720.00
2017/08/29	42.54	42.68	42.09	42.11	9834166	416208768.00
2017/08/30	42.05	42.43	41.92	42.36	5261729	222356240.00
2017/08/31	42.34	42.34	41.70	41.99	6449610	270382080.00
2017/09/01	41.99	42.19	41.66	42.07	5725347	239806048.00
2017/09/04	42.58	42.97	42.35	42.77	8745089	373211232.00
2017/09/05	42.78	42.86	42.38	42.83	4273894	181975248.00
2017/09/06	42.90	43.55	42.60	43.49	8363900	362034080.00
2017/09/07	43.32	43.47	42.90	42.97	4631439	199508096.00
2017/09/08	42.80	43.19	42.41	42.57	4076375	174428464.00
2017/09/11	42.74	43.13	42.30	43.02	4269654	182970800.00
2017/09/12	43.00	43.03	42.51	42.56	4073354	174162352.00
2017/09/13	42.60	43.28	42.60	43.08	4196402	180688400.00
2017/09/14	43.10	43.18	42.55	43.00	3019300	129365648.00
2017/09/15	43.15	44.16	43.10	43.72	8952157	391781856.00
2017/09/18	43.72	44.25	43.40	43.90	4148219	181275136.00
2017/09/19	43.95	43.98	42.60	42.84	5560473	239242704.00
2017/09/20	42.70	43.26	42.46	42.73	4027313	171964896.00
2017/09/21	42.65	42.70	41.90	41.91	6134383	258776144.00
2017/09/22	41.90	42.15	41.71	42.00	3769312	158265264.00
2017/09/25	42.29	42.64	42.07	42.10	5116590	216955184.00
2017/09/26	42.30	42.50	41.91	42.04	3482200	146768352.00
2017/09/27	42.22	42.30	41.95	42.09	2945344	124065488.00
