600039 四川路桥 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	5.08	5.18	5.04	5.06	39850975	203313344.00
2017/03/28	5.10	5.16	4.97	4.98	44776457	226828048.00
2017/03/29	5.00	5.16	4.97	5.12	56253638	286274272.00
2017/03/30	5.11	5.15	5.00	5.10	46336538	235077312.00
2017/03/31	5.08	5.10	4.96	5.00	34728247	173595584.00
2017/04/05	4.99	5.11	4.98	5.11	49090906	248296960.00
2017/04/06	5.13	5.33	5.06	5.18	77259172	399732064.00
2017/04/07	5.14	5.16	5.06	5.09	51631160	263254080.00
2017/04/10	5.08	5.12	5.04	5.06	30412282	154119120.00
2017/04/11	5.06	5.11	4.99	5.10	39717167	200643904.00
2017/04/12	5.12	5.27	5.08	5.15	82217456	425536896.00
2017/04/13	5.14	5.29	5.13	5.25	60939381	319063904.00
2017/04/14	5.22	5.29	5.13	5.16	42883041	223038976.00
2017/04/17	5.14	5.14	4.99	5.05	50138795	253613696.00
2017/04/18	5.04	5.07	4.99	5.01	36949262	185669392.00
2017/04/19	4.98	4.99	4.82	4.94	37347983	183126064.00
2017/04/20	4.94	4.97	4.88	4.93	22202818	109216192.00
2017/04/21	4.94	4.96	4.90	4.94	13101652	64655040.00
2017/04/24	4.93	4.93	4.56	4.67	28980962	138890144.00
2017/04/25	4.65	4.77	4.59	4.64	23602892	110607264.00
2017/04/26	4.65	4.72	4.65	4.69	20214866	94897488.00
2017/04/27	4.69	4.74	4.56	4.74	21007106	97849240.00
2017/04/28	4.73	4.75	4.69	4.73	14777701	69707200.00
2017/05/02	4.70	4.70	4.59	4.61	32178900	148416352.00
2017/05/03	4.59	4.64	4.46	4.48	34022742	154331936.00
2017/05/04	4.47	4.48	4.34	4.36	42935386	189241824.00
2017/05/05	4.35	4.36	4.23	4.25	39720392	170228896.00
2017/05/08	4.24	4.27	4.20	4.24	20438074	86391176.00
2017/05/09	4.21	4.26	4.18	4.26	20248777	85522376.00
2017/05/10	4.26	4.28	4.07	4.07	27151194	113302880.00
2017/05/11	4.04	4.07	3.95	4.04	23348990	93656688.00
2017/05/12	4.03	4.10	4.01	4.07	16684144	67729968.00
2017/05/15	4.08	4.12	4.05	4.07	12033619	49215312.00
2017/05/16	4.04	4.11	4.00	4.10	24805389	100500016.00
2017/05/17	4.11	4.16	4.09	4.12	21605724	89204152.00
2017/05/18	4.08	4.12	4.06	4.07	13091990	53532896.00
2017/05/19	4.07	4.10	4.02	4.07	12681309	51460960.00
2017/05/22	4.07	4.07	3.98	4.00	21352637	85738448.00
2017/05/23	3.98	3.99	3.86	3.88	22575176	88407432.00
2017/05/24	3.85	3.91	3.83	3.90	13525919	52434824.00
2017/05/25	3.90	3.98	3.87	3.98	17059225	67064496.00
2017/05/26	3.96	4.00	3.95	3.97	11321329	45010484.00
2017/05/31	3.99	4.03	3.97	3.97	12487056	49907152.00
2017/06/01	3.98	3.99	3.92	3.92	12128407	48081864.00
2017/06/02	3.92	3.98	3.88	3.98	11670935	45937060.00
2017/06/05	3.99	4.01	3.98	4.00	9267024	37042856.00
2017/06/06	4.00	4.05	3.98	4.04	13145089	52874752.00
2017/06/07	4.04	4.10	4.03	4.10	16223654	66141652.00
2017/06/08	4.13	4.17	4.11	4.12	20535077	85013536.00
2017/06/09	4.10	4.12	4.06	4.11	18571445	75912264.00
2017/06/12	4.09	4.11	4.06	4.07	13576893	55438144.00
2017/06/13	4.07	4.12	4.06	4.11	13055450	53519968.00
2017/06/14	4.11	4.11	4.07	4.10	9410620	38446120.00
2017/06/15	4.09	4.14	4.08	4.14	14593761	60057648.00
2017/06/16	4.13	4.13	4.10	4.11	10122444	41691616.00
2017/06/19	4.13	4.14	4.10	4.14	8371285	34503388.00
2017/06/20	4.19	4.30	4.18	4.20	33955148	144113472.00
2017/06/21	4.20	4.24	4.16	4.21	16088266	67491360.00
2017/06/22	4.18	4.18	4.09	4.10	19127654	79250320.00
2017/06/23	4.09	4.11	4.00	4.06	17158359	69467360.00
2017/06/26	4.06	4.11	4.05	4.11	11839499	48488108.00
2017/06/27	4.12	4.13	4.10	4.11	10355014	42580968.00
2017/06/28	4.09	4.11	4.07	4.09	9233999	37766816.00
2017/06/29	4.09	4.14	4.08	4.12	11178101	46051196.00
2017/06/30	4.10	4.18	4.09	4.16	17296219	71652672.00
2017/07/03	4.16	4.18	4.13	4.17	13436015	55836248.00
2017/07/04	4.17	4.18	4.12	4.14	11438136	47403160.00
2017/07/05	4.14	4.17	4.14	4.17	12649105	52570368.00
2017/07/06	4.16	4.21	4.15	4.19	16096882	67369272.00
2017/07/07	4.18	4.21	4.14	4.20	16578455	69118464.00
2017/07/10	4.19	4.37	4.18	4.29	39874998	169334096.00
2017/07/11	4.25	4.26	4.20	4.21	31405755	132768256.00
2017/07/12	4.17	4.34	4.17	4.29	42938863	183698768.00
2017/07/13	4.29	4.72	4.27	4.72	154272207	717517312.00
2017/07/14	4.74	4.75	4.58	4.69	154710706	721273088.00
2017/07/17	4.61	4.66	4.36	4.52	87889768	397690688.00
2017/07/18	4.47	4.63	4.42	4.62	79460708	362164032.00
2017/07/19	4.56	4.89	4.53	4.76	119616966	561776960.00
2017/07/20	4.69	4.73	4.61	4.64	72052739	336374592.00
2017/07/21	4.64	4.67	4.56	4.62	41728499	192136656.00
2017/07/24	4.58	4.72	4.57	4.67	44064070	205924352.00
2017/07/25	4.65	4.66	4.50	4.52	41285470	187922144.00
2017/07/26	4.50	4.54	4.45	4.53	28876772	129709328.00
2017/07/27	4.52	4.52	4.42	4.48	29089740	130041776.00
2017/07/28	4.46	4.54	4.46	4.50	22914251	103204544.00
2017/07/31	4.48	4.57	4.46	4.57	29626657	134383216.00
2017/08/01	4.56	4.59	4.51	4.56	32702414	148739968.00
2017/08/02	4.51	4.53	4.45	4.46	30985426	138921088.00
2017/08/03	4.43	4.47	4.42	4.45	18232991	81046072.00
2017/08/04	4.46	4.55	4.45	4.48	25985702	116928136.00
2017/08/07	4.52	4.57	4.50	4.57	25037215	113774528.00
2017/08/08	4.60	4.63	4.52	4.55	27920304	127537296.00
2017/08/09	5.01	5.01	4.74	4.80	204503251	997515776.00
2017/08/10	4.67	4.73	4.62	4.63	96001174	447083968.00
2017/08/11	4.58	4.61	4.43	4.45	55910200	252579232.00
2017/08/14	4.44	4.51	4.44	4.48	27927604	125018008.00
2017/08/15	4.46	4.51	4.44	4.47	24967308	111547056.00
2017/08/16	4.48	4.49	4.43	4.45	19590472	87196896.00
2017/08/17	4.46	4.48	4.43	4.47	22835517	101769552.00
2017/08/18	4.45	4.47	4.44	4.45	16923310	75323032.00
2017/08/21	4.46	4.53	4.45	4.52	22013380	99249712.00
2017/08/22	4.52	4.53	4.48	4.53	18845530	84878880.00
2017/08/23	4.52	4.52	4.45	4.46	16382729	73389288.00
2017/08/24	4.47	4.48	4.38	4.39	18959020	83585744.00
2017/08/25	4.39	4.49	4.38	4.48	21078117	93766200.00
2017/08/28	4.48	4.52	4.47	4.49	17813340	80122136.00
2017/08/29	4.53	4.57	4.49	4.56	28286586	127952976.00
2017/08/30	4.56	4.60	4.52	4.56	24315355	110913504.00
2017/08/31	4.55	4.59	4.49	4.56	24613912	111730792.00
2017/09/01	4.57	4.66	4.56	4.64	37662280	174213328.00
2017/09/04	4.64	4.68	4.60	4.62	26987778	125321840.00
2017/09/05	4.62	4.64	4.58	4.60	15339597	70546144.00
2017/09/06	4.58	4.64	4.56	4.63	16098154	73991952.00
2017/09/07	4.65	4.66	4.53	4.55	25607360	117291680.00
2017/09/08	4.55	4.57	4.52	4.53	13283992	60272904.00
2017/09/11	4.53	4.58	4.50	4.55	14859881	67482320.00
2017/09/12	4.55	4.58	4.51	4.52	17567859	79727272.00
