600050 中国联通 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	7.65	7.71	7.51	7.53	175580529	1331322240.00
2017/03/28	7.52	7.54	7.30	7.44	179087574	1329445248.00
2017/03/29	7.40	7.58	7.36	7.43	160833555	1201165440.00
2017/03/30	7.40	7.55	7.32	7.34	153207268	1139190784.00
2017/03/31	7.32	7.53	7.32	7.47	125692309	934052352.00
2017/08/21	8.22	8.22	8.22	8.22	21811341	179289216.00
2017/08/22	9.04	9.04	8.80	9.04	692199667	6247721472.00
2017/08/23	9.10	9.29	8.91	8.96	980472419	8917329920.00
2017/08/24	8.80	8.85	8.22	8.36	859121208	7309202432.00
2017/08/25	8.29	8.52	8.16	8.38	563782913	4709903872.00
2017/08/28	8.32	8.46	8.20	8.35	529774343	4410407936.00
2017/08/29	8.34	8.42	8.24	8.34	385125988	3207049472.00
2017/08/30	8.33	8.38	8.10	8.20	472184513	3874224128.00
2017/08/31	8.14	8.19	7.93	8.04	544610051	4375106560.00
2017/09/01	8.04	8.13	7.91	7.96	429614487	3436765952.00
2017/09/04	7.91	8.08	7.88	8.05	389492973	3107113216.00
2017/09/05	8.04	8.04	7.88	7.89	308336080	2446795520.00
2017/09/06	7.85	7.95	7.75	7.88	297205444	2328184832.00
2017/09/07	7.86	7.99	7.78	7.91	278265612	2196468736.00
2017/09/08	7.86	7.89	7.72	7.74	221494282	1730993024.00
2017/09/11	7.71	7.75	7.50	7.54	436545349	3314975232.00
2017/09/12	7.56	7.64	7.51	7.58	295243961	2234209280.00
2017/09/13	7.57	7.57	7.47	7.48	203858948	1528939520.00
2017/09/14	7.50	7.57	7.46	7.48	214493956	1609927936.00
2017/09/15	7.49	7.49	7.30	7.31	322846842	2377919488.00
2017/09/18	7.35	7.40	7.13	7.32	547911517	3983707648.00
2017/09/19	7.28	7.32	7.19	7.25	312599751	2264856320.00
2017/09/20	7.25	7.33	7.20	7.21	327148291	2375363328.00
2017/09/21	7.25	7.65	7.22	7.48	778118545	5816093696.00
2017/09/22	7.42	7.51	7.36	7.41	297353899	2206074624.00
2017/09/25	7.39	7.40	7.16	7.18	306827671	2223693568.00
2017/09/26	7.19	7.36	7.17	7.32	260108953	1891405184.00
2017/09/27	7.29	7.50	7.27	7.47	337422194	2500311552.00
2017/09/28	7.50	7.56	7.43	7.44	262831383	1965533952.00
2017/09/29	7.45	7.49	7.34	7.42	252969552	1877329664.00
2017/10/09	7.51	7.53	7.26	7.29	420944045	3104962304.00
2017/10/10	7.27	7.32	7.15	7.20	335699391	2413505024.00
2017/10/11	7.18	7.20	7.08	7.15	271275437	1936932608.00
2017/10/12	7.19	7.41	7.14	7.32	403631829	2937853184.00
2017/10/13	7.27	7.30	7.22	7.25	171056516	1240022016.00
2017/10/16	7.28	7.38	7.20	7.21	201027736	1464342528.00
2017/10/17	7.18	7.24	7.15	7.21	117206970	843231680.00
2017/10/18	7.21	7.26	7.13	7.16	134849702	969575296.00
2017/10/19	7.15	7.15	6.92	6.92	279917433	1966662016.00
2017/10/20	6.97	7.03	6.95	6.99	153638424	1074005632.00
2017/10/23	7.03	7.15	6.97	7.12	218381016	1547023616.00
2017/10/24	7.10	7.11	7.01	7.06	129866126	916824896.00
2017/10/25	7.06	7.15	7.02	7.08	119502092	847208000.00
2017/10/26	7.06	7.15	7.05	7.13	164961266	1172532224.00
2017/10/27	7.20	7.52	7.20	7.35	621619370	4607741952.00
2017/10/30	7.35	7.65	7.25	7.65	708679107	5326366720.00
2017/10/31	7.60	7.68	7.51	7.64	372664620	2832693248.00
2017/11/01	7.65	7.93	7.60	7.80	551959819	4314785792.00
2017/11/02	7.80	7.88	7.60	7.65	386208197	2971461120.00
2017/11/03	7.62	7.65	7.37	7.46	375419961	2808974848.00
2017/11/06	7.47	7.58	7.34	7.57	317190815	2370136064.00
2017/11/07	7.59	7.98	7.57	7.97	669968790	5243172864.00
2017/11/08	7.94	8.04	7.82	7.86	461078388	3649865472.00
2017/11/09	7.86	8.22	7.81	8.19	592474482	4799031296.00
2017/11/10	8.15	8.28	8.12	8.25	469747404	3855023104.00
2017/11/13	8.25	8.28	8.14	8.24	324924116	2665869312.00
2017/11/14	8.21	8.22	7.81	7.85	551096322	4397424640.00
2017/11/15	7.81	8.12	7.79	8.01	391615488	3125581824.00
2017/11/16	7.95	8.02	7.81	7.95	271152193	2146394624.00
2017/11/17	7.98	8.24	7.92	7.97	550616704	4453317632.00
2017/11/20	7.81	8.12	7.74	8.11	422645509	3365355520.00
2017/11/21	8.07	8.25	7.96	8.23	600188438	4872501248.00
2017/11/22	8.18	8.37	8.11	8.18	531442182	4371989504.00
2017/11/23	8.22	8.44	8.11	8.19	690515777	5726105600.00
2017/11/24	8.10	8.14	7.76	7.78	524651628	4178725376.00
2017/11/27	7.71	7.71	7.05	7.12	604772650	4447310848.00
2017/11/28	7.06	7.20	7.02	7.17	332123412	2363134208.00
2017/11/29	7.17	7.19	6.98	7.06	291598529	2056558208.00
2017/11/30	7.07	7.08	6.95	6.96	249668839	1744473216.00
2017/12/01	6.96	7.12	6.96	7.04	191176814	1348799488.00
2017/12/04	7.04	7.19	7.03	7.12	205563973	1461227008.00
2017/12/05	7.10	7.11	6.99	7.05	197748352	1390779904.00
2017/12/06	7.02	7.04	6.91	7.01	203501318	1418354304.00
2017/12/07	6.98	7.03	6.93	6.93	140566154	980060096.00
2017/12/08	6.93	7.04	6.91	6.98	170450702	1188857344.00
2017/12/11	7.00	7.08	6.96	7.07	197429440	1387983872.00
2017/12/12	7.06	7.07	6.94	6.95	153885075	1077270272.00
2017/12/13	6.95	7.04	6.93	6.99	111772345	781004608.00
2017/12/14	7.00	7.02	6.92	6.96	116151718	807456192.00
2017/12/15	6.94	6.95	6.81	6.83	224672962	1538506368.00
2017/12/18	6.85	6.90	6.67	6.71	189594582	1280441984.00
2017/12/19	6.72	6.78	6.70	6.77	120072752	808254208.00
2017/12/20	6.77	6.77	6.57	6.59	187277455	1245329920.00
2017/12/21	6.56	6.73	6.47	6.68	220312977	1460706048.00
2017/12/22	6.67	6.73	6.62	6.63	110807515	738028288.00
2017/12/25	6.63	6.68	6.51	6.52	109682281	721470080.00
2017/12/26	6.52	6.62	6.49	6.61	127459959	834517504.00
2017/12/27	6.61	6.61	6.48	6.51	156164808	1019295424.00
2017/12/28	6.49	6.51	6.37	6.41	173967054	1118208768.00
2017/12/29	6.41	6.42	6.30	6.33	167532991	1062816576.00
2018/01/02	6.35	6.45	6.34	6.44	155838868	998885632.00
2018/01/03	6.44	6.75	6.41	6.70	344376115	2286842112.00
2018/01/04	6.70	6.73	6.62	6.68	162584506	1083484544.00
2018/01/05	6.66	6.83	6.63	6.73	252184661	1705529088.00
2018/01/08	6.70	6.83	6.65	6.83	228868232	1547508736.00
2018/01/09	6.81	6.83	6.75	6.79	140378491	952888768.00
2018/01/10	6.78	6.79	6.65	6.68	186093047	1244932992.00
