600051 宁波联合 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	13.04	13.06	12.61	12.68	4595425	58881472.00
2017/03/28	12.70	13.00	12.61	12.95	4786544	61534772.00
2017/03/29	12.90	12.98	12.77	12.82	2644236	34039920.00
2017/03/30	12.82	12.86	12.00	12.04	6763616	83050936.00
2017/03/31	12.09	12.17	11.75	12.04	5582756	66875640.00
2017/04/05	12.05	12.57	12.02	12.53	5636260	70026464.00
2017/04/06	12.50	12.73	12.43	12.59	4106819	51793244.00
2017/04/07	12.65	12.70	12.53	12.64	2606090	32855460.00
2017/04/10	12.53	12.66	12.45	12.59	3123677	39213304.00
2017/04/11	12.59	12.59	12.18	12.35	3185292	39364000.00
2017/04/12	12.40	12.46	12.24	12.35	3365110	41557208.00
2017/04/13	12.38	12.38	12.19	12.20	3694761	45287944.00
2017/04/14	12.27	12.27	11.86	11.95	3232760	38680956.00
2017/04/17	11.94	11.98	11.56	11.62	3586336	42132348.00
2017/04/18	11.68	11.70	11.32	11.47	3522286	40482008.00
2017/04/19	11.33	11.46	10.80	11.01	5109636	56270456.00
2017/04/20	10.96	11.06	10.44	10.49	6930887	73956232.00
2017/04/21	10.56	10.88	10.51	10.69	4017895	42880156.00
2017/04/24	10.70	10.92	10.53	10.73	5792968	62349048.00
2017/04/25	10.73	10.79	10.45	10.46	3835477	40775652.00
2017/04/26	10.46	10.55	10.04	10.21	7939576	81082136.00
2017/04/27	10.17	10.27	9.88	10.22	4625012	46643432.00
2017/04/28	10.23	10.42	10.16	10.38	3093535	32022508.00
2017/05/02	10.35	10.45	10.20	10.25	5205741	53507472.00
2017/05/03	10.28	10.29	10.03	10.20	5492948	55656160.00
2017/05/04	10.14	10.29	10.05	10.15	4023584	41029604.00
2017/05/05	10.14	10.18	10.01	10.05	3475323	35079456.00
2017/05/08	10.01	10.01	9.70	9.71	3788390	37096228.00
2017/05/09	9.64	9.80	9.62	9.78	2432665	23638388.00
2017/05/10	9.78	9.87	9.28	9.32	4605952	44397736.00
2017/05/11	9.31	9.47	9.15	9.43	4591280	42687220.00
2017/05/12	9.43	9.45	9.11	9.26	4125513	38225964.00
2017/05/15	9.21	9.33	9.20	9.31	2394541	22218194.00
2017/05/16	9.29	9.72	9.21	9.69	4700023	44544020.00
2017/05/17	9.71	9.81	9.63	9.72	4027313	39159260.00
2017/05/18	9.68	9.79	9.53	9.59	2171953	20989672.00
2017/05/19	9.60	9.66	9.50	9.59	1703287	16312184.00
2017/05/22	9.59	9.63	9.24	9.28	2483523	23364652.00
2017/05/23	9.27	9.30	8.90	8.91	4100995	37255892.00
2017/05/24	8.82	9.08	8.79	9.03	3678778	32926504.00
2017/05/25	9.03	9.19	8.89	9.13	3009548	27209680.00
2017/05/26	9.13	9.22	9.05	9.10	2400219	21894728.00
2017/05/31	9.20	9.30	9.12	9.13	2755155	25366286.00
2017/06/01	9.16	9.19	8.79	8.81	3807826	34212936.00
2017/06/02	8.83	9.04	8.71	8.99	3198152	28285348.00
2017/06/05	8.93	9.03	8.88	8.95	2765558	24817316.00
2017/06/06	8.95	9.22	8.94	9.08	4819844	43862192.00
2017/06/07	9.04	9.41	9.04	9.37	4984441	46183136.00
2017/06/08	9.37	9.51	9.25	9.36	3915092	36692600.00
2017/06/09	9.37	9.39	9.25	9.36	2447947	22796216.00
2017/06/12	9.35	9.35	9.19	9.21	2958072	27358800.00
2017/06/13	9.28	9.37	9.17	9.31	4077573	37834648.00
2017/06/14	9.31	9.42	9.29	9.35	4595020	42920504.00
2017/06/15	9.30	9.68	9.28	9.54	5552797	52827448.00
2017/06/16	9.49	9.57	9.42	9.54	2768591	26296104.00
2017/06/19	9.50	9.59	9.49	9.58	1968285	18799952.00
2017/06/20	9.59	9.67	9.55	9.64	2517214	24226936.00
