600052 浙江广厦 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	6.74	6.74	6.64	6.66	5778834	38560292.00
2017/03/28	6.67	6.67	6.54	6.55	6083596	40225176.00
2017/03/29	6.58	6.62	6.54	6.56	4985938	32797462.00
2017/03/30	6.57	6.58	6.33	6.35	8440362	54026556.00
2017/03/31	6.35	6.39	6.28	6.36	4945602	31337312.00
2017/04/05	6.39	6.47	6.34	6.45	8487273	54399600.00
2017/04/06	6.45	6.48	6.41	6.45	5536725	35648424.00
2017/04/07	6.46	6.47	6.42	6.45	3813922	24587688.00
2017/04/10	6.47	6.48	6.40	6.41	4643729	29847200.00
2017/04/11	6.40	6.59	6.38	6.58	9501569	61603204.00
2017/04/12	6.56	6.71	6.53	6.63	10598005	70627584.00
2017/04/13	6.65	6.65	6.53	6.61	6490431	42783488.00
2017/04/14	6.59	6.69	6.50	6.50	5812062	38266776.00
2017/04/17	6.51	6.54	6.32	6.37	4624506	29555212.00
2017/04/18	6.37	6.42	6.27	6.28	4127139	26123624.00
2017/04/19	6.25	6.25	5.95	6.09	7729731	46883784.00
2017/04/20	6.05	6.10	6.00	6.08	4615933	27883372.00
2017/04/21	6.07	6.07	5.76	5.80	11416566	67338616.00
2017/04/24	5.72	5.79	5.50	5.58	7411637	41388292.00
2017/04/25	5.58	5.65	5.45	5.50	6904907	38580244.00
2017/04/26	5.49	5.56	5.35	5.49	9093836	49634412.00
2017/04/27	5.43	5.52	5.12	5.51	11199605	59485268.00
2017/04/28	5.44	5.64	5.39	5.59	5623954	31128686.00
2017/05/02	5.57	5.68	5.55	5.57	4278433	23965224.00
2017/05/03	5.57	5.61	5.43	5.53	5872971	32388600.00
2017/05/04	5.49	5.55	5.44	5.51	3903299	21484792.00
2017/05/05	5.49	5.57	5.48	5.50	4087243	22556436.00
2017/05/08	5.47	5.53	5.00	5.43	5662585	30435272.00
2017/05/09	5.39	5.41	5.23	5.39	4260693	22665932.00
2017/05/10	5.39	5.43	5.22	5.25	3380716	18044410.00
2017/05/11	5.21	5.25	5.03	5.24	5215170	26849274.00
2017/05/12	5.23	5.25	5.10	5.24	4697584	24340124.00
2017/05/15	5.25	5.29	5.21	5.24	2211759	11585335.00
2017/05/16	5.24	5.34	5.07	5.31	3546846	18622564.00
2017/05/17	5.29	5.43	5.28	5.38	4128010	22213382.00
2017/05/18	5.35	5.37	5.27	5.29	3445654	18287096.00
2017/05/19	5.30	5.35	5.23	5.27	1623387	8572752.00
2017/05/22	5.28	5.29	5.11	5.20	3849006	19921994.00
2017/05/23	5.19	5.20	4.90	4.92	4802853	24369268.00
2017/05/24	4.86	4.97	4.78	4.93	4088938	19951884.00
2017/05/25	4.93	5.04	4.84	5.00	3745924	18522888.00
2017/05/26	5.00	5.03	4.96	4.98	2608224	13029056.00
2017/05/31	5.02	5.12	4.98	4.99	3218590	16220322.00
2017/06/01	4.95	4.98	4.80	4.86	4733337	23038884.00
2017/06/02	4.80	4.98	4.74	4.97	4183986	20373188.00
2017/06/05	4.97	5.06	4.93	5.01	3816426	19146552.00
2017/06/06	5.04	5.09	4.98	5.05	2505200	12648622.00
2017/06/07	5.05	5.14	5.04	5.13	3417482	17477320.00
2017/06/08	5.11	5.19	5.08	5.12	2732164	14038450.00
2017/06/09	5.11	5.13	5.01	5.09	3147137	15912786.00
