600054 黄山旅游 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	17.70	18.02	17.60	17.64	4806502	85821248.00
2017/03/28	17.61	17.80	17.51	17.57	3255234	57412600.00
2017/03/29	17.60	17.63	17.21	17.34	4392055	76359744.00
2017/03/30	17.25	17.30	16.99	17.10	3703128	63299224.00
2017/03/31	17.00	17.34	16.95	17.30	2222753	38201500.00
2017/04/05	16.76	17.72	16.76	17.29	7796387	135028240.00
2017/04/06	17.17	17.49	17.08	17.27	2958829	51195344.00
2017/04/07	17.26	17.57	17.21	17.54	4144295	72132832.00
2017/04/10	17.56	17.75	17.41	17.63	5340238	94137800.00
2017/04/11	17.72	17.72	17.06	17.20	5775249	99348904.00
2017/04/12	17.12	17.54	17.09	17.22	3294532	57086360.00
2017/04/13	17.21	17.40	17.14	17.37	2718562	47051204.00
2017/04/14	17.40	17.49	17.26	17.38	3955365	68714768.00
2017/04/17	17.38	17.99	17.38	17.99	7725080	137420288.00
2017/04/18	18.00	18.25	17.84	18.01	7894956	142491488.00
2017/04/19	17.76	18.48	17.70	18.34	8304995	150405168.00
2017/04/20	18.35	18.83	18.19	18.64	7533259	140493648.00
2017/04/21	18.59	18.79	18.26	18.55	4649501	86199624.00
2017/04/24	18.58	18.60	17.62	18.11	6099263	109949416.00
2017/04/25	18.10	18.35	17.98	18.20	2860284	51925668.00
2017/04/26	18.19	18.39	18.00	18.38	2857560	51917516.00
2017/04/27	18.24	18.56	17.80	18.48	4590393	83056304.00
2017/04/28	17.90	18.20	17.80	18.06	4172788	75093872.00
2017/05/02	18.00	18.00	17.31	17.71	4392310	77384800.00
2017/05/03	17.51	17.75	17.17	17.30	3456010	60354856.00
2017/05/04	17.44	17.96	17.32	17.88	3796979	67337712.00
2017/05/05	17.88	17.92	17.55	17.78	2515139	44538192.00
2017/05/08	17.70	17.77	17.45	17.55	986856	17333226.00
2017/05/09	17.51	17.66	17.32	17.65	815231	14283935.00
2017/05/10	17.63	17.83	17.41	17.47	1889804	33496744.00
2017/05/11	17.44	17.76	17.30	17.73	2426935	42489540.00
