600055 万东医疗 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	17.17	17.23	17.08	17.16	2069592	35507036.00
2017/03/28	17.15	17.29	17.10	17.26	2146579	36924672.00
2017/03/29	17.28	17.29	17.04	17.05	1971171	33846056.00
2017/03/30	17.08	17.41	16.86	16.88	4177636	71828400.00
2017/03/31	16.99	16.99	16.57	16.76	2243497	37598392.00
2017/04/05	16.95	17.63	16.80	17.60	5523460	95540344.00
2017/04/06	17.51	17.73	17.43	17.56	4196519	73854368.00
2017/04/07	17.56	18.19	17.42	18.12	6803044	121707640.00
2017/04/20	18.38	18.40	17.50	17.80	10276620	183952160.00
2017/04/21	17.88	18.59	17.84	17.99	4885796	88941584.00
2017/04/24	17.65	17.75	16.89	17.26	3738680	65004388.00
2017/04/25	17.25	17.49	17.12	17.42	1888608	32678552.00
2017/04/26	17.18	17.75	17.10	17.67	2055251	36032840.00
2017/04/27	17.68	18.13	17.30	18.05	2899828	51247520.00
2017/04/28	17.90	18.23	17.85	17.98	1569793	28270232.00
2017/05/02	17.96	18.15	17.76	17.82	1431401	25620778.00
2017/05/03	17.93	18.12	17.78	17.99	1907082	34334728.00
2017/05/04	17.99	18.05	17.50	17.69	1987136	35335672.00
2017/05/05	17.68	17.81	17.45	17.56	1246400	21972556.00
2017/05/08	17.68	17.79	17.25	17.28	1146077	20155084.00
2017/05/09	17.29	17.95	17.01	17.63	2193528	38371312.00
2017/05/10	17.52	17.88	17.16	17.39	3305267	57938648.00
2017/05/11	17.34	17.43	16.51	17.16	2076759	35447792.00
2017/05/12	17.16	17.30	16.78	16.96	1529333	25977472.00
2017/05/15	17.10	17.19	16.88	16.94	1096846	18656528.00
2017/05/16	17.08	17.22	16.76	17.19	2958710	50085180.00
2017/05/17	17.06	17.28	16.90	16.93	3332802	56773708.00
2017/05/18	16.88	17.01	16.54	16.62	2584789	43282796.00
2017/05/19	16.60	16.73	16.43	16.72	1309744	21703000.00
2017/05/22	16.68	16.70	16.32	16.49	1524505	25215180.00
2017/05/23	16.49	16.66	16.12	16.21	1608580	26473388.00
2017/05/24	16.18	16.22	15.75	16.03	2249500	36023900.00
2017/05/25	15.99	16.10	15.79	15.92	2032958	32390306.00
2017/05/26	15.98	16.25	15.95	16.03	2027759	32576332.00
2017/05/31	16.23	16.35	15.90	15.91	1287620	20710938.00
2017/06/01	16.00	16.08	15.69	15.70	1413493	22410614.00
