600057 象屿股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	11.16	11.29	11.13	11.19	8664436	97171168.00
2017/03/28	11.16	11.18	10.99	11.02	7226323	79897648.00
2017/03/29	11.02	11.58	10.98	11.28	18393771	207381136.00
2017/03/30	11.20	11.40	11.04	11.08	12929117	144738080.00
2017/03/31	11.02	11.18	11.00	11.05	6294175	69638472.00
2017/04/05	11.05	11.21	11.00	11.18	5987738	66810736.00
2017/04/06	11.13	11.39	11.12	11.38	8650574	97900248.00
2017/04/07	11.38	11.38	11.23	11.34	6313514	71313512.00
2017/04/10	11.26	11.34	11.04	11.06	7671667	85540864.00
2017/04/11	11.04	11.19	10.91	11.18	7695924	85049384.00
2017/04/12	11.13	11.69	11.07	11.36	15538693	177073408.00
2017/04/13	11.36	11.36	11.20	11.34	7230262	81471272.00
2017/04/14	11.34	11.34	11.09	11.11	7098884	79394800.00
2017/04/17	11.05	11.19	10.74	10.87	8795295	96313072.00
2017/04/18	10.84	10.91	10.70	10.73	7312410	78748960.00
2017/04/19	10.71	10.80	10.46	10.61	5919255	62672592.00
2017/04/20	10.62	10.77	10.61	10.69	3833558	40918320.00
2017/04/21	10.71	10.76	10.61	10.73	2962516	31683176.00
2017/04/24	10.69	10.72	10.13	10.16	8714971	89605896.00
2017/04/25	10.17	10.28	10.10	10.17	4686139	47696976.00
2017/04/26	10.23	10.32	10.18	10.26	3223962	33034052.00
2017/04/27	10.21	10.28	10.00	10.27	6012068	61161004.00
2017/04/28	10.27	10.37	10.19	10.26	4503912	46264224.00
2017/05/02	10.26	10.28	10.01	10.06	8204829	83071208.00
2017/05/03	10.06	10.18	10.03	10.16	5740957	57970316.00
2017/05/04	10.15	10.27	10.05	10.16	4640496	47303232.00
2017/05/05	10.12	10.23	10.12	10.19	4270919	43551272.00
2017/05/08	10.18	10.24	10.04	10.05	5416743	54919108.00
2017/05/09	10.06	10.12	9.90	10.00	4602926	45945220.00
2017/05/10	10.02	10.13	9.91	9.93	4531888	45463676.00
2017/05/11	9.92	9.92	9.50	9.65	5515823	53358604.00
2017/05/12	9.66	9.85	9.60	9.74	4390534	42774436.00
2017/05/15	9.74	9.85	9.74	9.76	2664628	26070202.00
2017/05/16	9.74	9.91	9.56	9.89	3731731	36352880.00
2017/05/17	9.84	10.02	9.80	9.96	4235999	42159176.00
2017/05/18	9.96	10.01	9.85	9.90	2962046	29400280.00
2017/05/19	9.94	10.00	9.87	9.91	2794573	27714440.00
2017/05/22	10.03	10.03	9.80	9.86	3597216	35703896.00
2017/05/23	9.87	9.93	9.55	9.59	3626406	35230940.00
2017/05/24	9.61	9.70	9.47	9.67	2253909	21609424.00
2017/05/25	9.68	9.78	9.52	9.73	2932531	28375740.00
2017/05/26	9.75	9.86	9.67	9.77	1967417	19263220.00
2017/05/31	9.87	9.95	9.75	9.87	4117110	40669480.00
2017/06/01	9.81	9.90	9.51	9.54	3985075	38587092.00
2017/06/02	9.55	9.67	9.47	9.67	2886378	27627480.00
2017/06/05	9.67	9.80	9.67	9.74	2845898	27714642.00
2017/06/06	9.69	9.80	9.69	9.76	1772647	17295016.00
2017/06/07	9.76	9.92	9.73	9.89	4007542	39474848.00
2017/06/08	9.91	9.92	9.81	9.86	2849738	28063548.00
2017/06/09	9.86	9.89	9.75	9.89	3463143	34040464.00
2017/06/12	9.88	9.89	9.77	9.78	3250062	31915844.00
2017/06/13	9.78	9.87	9.75	9.85	3056567	30041738.00
2017/06/14	9.85	9.90	9.78	9.81	3226410	31734566.00
2017/06/15	9.81	9.95	9.71	9.87	5011318	49400632.00
2017/06/16	9.88	10.26	9.84	10.09	7548629	75761752.00
2017/06/19	10.04	10.12	9.95	10.03	5563559	55732228.00
2017/06/20	10.03	10.22	9.99	10.05	6901824	69821760.00
2017/06/21	10.07	10.17	10.01	10.13	3027069	30584372.00
2017/06/22	10.15	10.15	9.88	9.92	3121891	31431244.00
2017/06/23	9.90	10.01	9.85	9.97	3194441	31679966.00
2017/06/26	9.98	10.19	9.98	10.17	4195268	42322000.00
2017/07/04	10.17	10.17	9.90	10.06	10631516	106074144.00
2017/07/05	9.99	9.99	9.87	9.95	7332950	72767784.00
2017/07/06	9.95	10.12	9.91	10.03	6947060	69562288.00
2017/07/07	10.00	10.05	9.94	10.02	3270801	32683488.00
2017/07/10	10.06	10.24	10.02	10.16	7247044	73578272.00
2017/07/11	10.16	10.21	10.08	10.08	5229583	53075416.00
2017/07/12	10.08	10.15	9.98	10.07	4176408	41872544.00
2017/07/13	10.06	10.06	9.96	10.01	3720200	37265460.00
2017/07/14	9.97	10.03	9.92	9.98	4014710	40037424.00
2017/07/17	9.98	10.00	9.55	9.61	6381162	62371116.00
2017/07/18	9.60	9.80	9.58	9.79	4159222	40274600.00
2017/07/19	9.78	9.96	9.73	9.94	3685039	36443596.00
2017/07/20	10.21	10.65	10.21	10.43	15147464	158093312.00
2017/07/21	10.35	10.78	10.27	10.58	16632289	176141984.00
2017/07/24	10.54	11.40	10.50	10.94	25461148	280172320.00
2017/07/25	10.85	10.91	10.61	10.69	11560708	123953112.00
2017/07/26	10.66	11.00	10.58	10.89	15562210	168483024.00
2017/07/27	10.88	10.88	10.54	10.75	8059617	86429544.00
2017/07/28	10.75	11.00	10.65	10.89	10420696	113547232.00
2017/07/31	10.80	11.11	10.70	11.07	12875361	141159440.00
2017/08/01	11.09	11.13	10.78	10.85	12663653	138455056.00
2017/08/02	10.94	10.96	10.76	10.80	7915944	85821280.00
2017/08/03	10.72	10.85	10.72	10.80	6465441	69806496.00
2017/08/04	10.77	11.04	10.65	10.74	9620442	104018840.00
2017/08/07	10.74	10.95	10.60	10.94	8220274	88932888.00
2017/08/08	10.95	11.20	10.94	10.98	10625629	117649368.00
2017/08/09	10.95	10.99	10.73	10.88	6256468	67870672.00
2017/08/10	10.82	10.90	10.72	10.79	4159548	44924904.00
2017/08/11	10.70	10.75	10.52	10.55	5263526	55923448.00
2017/08/14	10.50	10.99	10.50	10.94	7521755	81431568.00
2017/08/15	10.90	11.04	10.81	10.85	4529310	49444688.00
2017/08/16	10.82	10.90	10.70	10.77	4007242	43116416.00
2017/08/17	10.76	11.14	10.72	11.00	10850129	119059928.00
2017/08/18	10.91	11.25	10.90	11.14	17540803	195514576.00
2017/08/21	11.14	11.32	11.01	11.25	13093712	146010992.00
2017/08/22	11.20	11.32	10.99	11.04	10058094	111654880.00
2017/08/23	11.05	11.08	10.78	10.80	8330926	90410392.00
2017/08/24	10.83	10.96	10.72	10.82	6501265	70293304.00
2017/08/25	10.80	10.88	10.72	10.84	6066460	65626416.00
2017/08/28	10.87	11.04	10.81	11.03	9321723	102105120.00
2017/08/29	11.06	11.80	11.00	11.63	39034268	444312288.00
2017/08/30	11.63	11.63	11.22	11.33	24584950	278385984.00
2017/08/31	11.32	11.32	11.15	11.27	11872319	133374440.00
