600058 五矿发展 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	14.86	14.86	14.74	14.77	3587600	53037552.00
2017/03/28	14.84	14.84	14.75	14.80	2878580	42559528.00
2017/03/29	14.80	14.83	14.49	14.50	7631404	111564504.00
2017/03/30	14.50	14.53	14.08	14.20	6000553	85619576.00
2017/03/31	14.26	14.30	14.18	14.27	2620272	37317304.00
2017/04/05	14.76	14.76	14.49	14.62	5505269	80434976.00
2017/04/06	14.65	14.72	14.56	14.70	4404181	64466456.00
2017/04/07	14.68	14.81	14.60	14.63	3967571	58298096.00
2017/04/10	14.63	14.73	14.20	14.31	6295416	91161040.00
2017/04/11	14.32	14.78	14.25	14.75	6948821	101111576.00
2017/04/12	14.76	14.77	14.55	14.57	4659454	68164672.00
2017/04/13	14.56	14.70	14.52	14.65	3384266	49505512.00
2017/04/14	14.65	14.75	14.52	14.55	4599717	67334760.00
2017/04/17	14.55	14.55	14.26	14.36	4567112	65711584.00
2017/04/18	14.37	15.30	14.30	14.67	12648634	187786000.00
2017/04/19	14.36	14.50	14.10	14.32	8461057	120968584.00
2017/04/20	14.22	14.44	14.22	14.38	4684166	67196872.00
2017/04/21	14.39	14.46	14.13	14.18	3679218	52552956.00
2017/04/24	14.11	14.16	13.65	13.69	5646996	77985896.00
2017/04/25	13.72	13.83	13.58	13.60	2790716	38196968.00
2017/04/26	13.57	13.72	13.37	13.38	3617154	48982032.00
2017/04/27	13.40	13.45	12.85	13.22	5263170	68935152.00
2017/04/28	13.21	13.33	13.10	13.29	2352759	31180460.00
2017/05/02	13.25	13.49	13.24	13.33	3502061	46827384.00
2017/05/03	13.33	13.49	13.10	13.14	4410052	58639852.00
2017/05/04	13.24	13.37	13.10	13.14	3624902	47952808.00
2017/05/05	13.14	13.16	12.65	12.71	5726384	73972312.00
2017/05/08	12.70	12.77	12.30	12.31	5308017	66285404.00
2017/05/09	12.32	12.55	12.26	12.44	3821480	47375936.00
2017/05/10	12.48	12.56	12.00	12.01	4547561	55847880.00
2017/05/11	11.97	11.98	11.41	11.80	6667910	78351280.00
2017/05/12	11.78	11.98	11.72	11.84	3271032	38799960.00
2017/05/15	11.88	12.23	11.86	12.06	3225967	38923536.00
2017/05/16	12.05	12.17	11.60	12.17	3813956	45631544.00
2017/05/17	12.17	12.26	12.13	12.19	3025763	36906016.00
2017/05/18	12.05	12.16	11.90	11.99	2960999	35682036.00
2017/05/19	12.02	13.19	11.98	12.63	8342335	104200408.00
2017/05/22	12.31	12.51	12.01	12.03	6865029	84310320.00
2017/05/23	11.98	12.08	11.53	11.60	4548393	53570604.00
2017/05/24	11.59	11.90	11.45	11.85	3309858	38766280.00
2017/05/25	11.55	12.15	11.55	12.03	3524864	42055928.00
2017/05/26	12.00	12.17	11.96	12.05	2493327	30068162.00
2017/05/31	12.18	12.27	12.03	12.04	2247698	27263082.00
2017/06/01	12.07	12.08	11.63	11.64	3456357	40792432.00
2017/06/02	11.67	11.85	11.55	11.84	2566701	30069616.00
2017/06/05	11.90	12.08	11.86	11.91	2657662	31796140.00
2017/06/06	11.86	12.06	11.86	12.00	2519593	30189138.00
2017/06/07	12.02	12.29	11.98	12.24	4169035	50744244.00
2017/06/08	12.21	12.29	12.09	12.17	3155676	38425164.00
2017/06/09	12.18	12.19	12.00	12.13	3553964	42947140.00
2017/06/12	12.03	12.12	11.90	11.92	3280312	39374632.00
2017/06/13	11.91	12.18	11.89	12.14	3798338	45987080.00
2017/06/14	12.09	12.33	12.08	12.15	3946739	48224128.00
2017/06/15	12.09	12.29	12.09	12.28	4017710	49131200.00
2017/06/16	12.30	12.40	12.16	12.24	4047372	49677192.00
2017/06/19	12.23	12.35	12.12	12.34	5798437	71079736.00
2017/06/20	12.32	12.47	12.30	12.38	5369479	66456904.00
2017/06/21	12.39	12.44	12.22	12.35	4270484	52577104.00
2017/06/22	12.35	12.35	12.07	12.08	3869370	47377192.00
2017/06/23	12.06	12.24	11.90	12.10	4687302	56456448.00
2017/06/26	12.10	12.22	11.99	12.20	4002290	48599248.00
2017/06/27	12.19	12.34	12.15	12.29	4283895	52450028.00
2017/06/28	12.26	12.34	12.16	12.25	3797149	46552600.00
2017/06/29	12.25	12.49	12.25	12.43	6323377	78434192.00
2017/06/30	12.39	12.42	12.24	12.41	3193929	39379600.00
2017/07/03	12.38	12.47	12.30	12.47	4701892	58328516.00
2017/07/04	12.48	12.60	12.31	12.36	4636491	57700264.00
2017/07/05	12.37	12.61	12.30	12.57	6148098	76839768.00
2017/07/06	12.55	12.86	12.50	12.83	12500123	158885920.00
2017/07/07	12.71	13.58	12.67	13.24	19001522	249492352.00
2017/07/10	13.15	13.37	13.02	13.13	12824443	169411616.00
2017/07/11	13.08	13.28	12.71	12.75	10311808	133901968.00
2017/07/12	12.76	13.00	12.61	12.95	7385685	94334912.00
2017/07/13	12.87	13.50	12.77	13.33	19813035	262308272.00
2017/07/14	13.16	13.19	12.94	13.07	9363451	122196048.00
