600059 古越龙山 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	10.81	10.85	10.70	10.73	10460417	112503792.00
2017/03/28	10.71	10.75	10.56	10.61	7463549	79345800.00
2017/03/29	10.61	10.64	10.41	10.41	10673010	111930232.00
2017/03/30	10.41	10.42	10.12	10.19	9357989	96004632.00
2017/03/31	10.22	10.25	10.13	10.21	5547531	56606960.00
2017/04/05	10.23	10.38	10.20	10.36	5950988	61330516.00
2017/04/06	10.36	10.50	10.27	10.43	8008201	83129432.00
2017/04/07	10.40	10.50	10.39	10.42	5345256	55764564.00
2017/04/10	10.35	10.42	10.20	10.24	5613713	57665492.00
2017/04/11	10.27	10.34	10.21	10.32	5375900	55218088.00
2017/04/12	10.33	10.50	10.23	10.35	8595345	89412768.00
2017/04/13	10.32	10.48	10.32	10.40	4716421	49088412.00
2017/04/14	10.37	10.43	10.21	10.23	5771211	59311824.00
2017/04/17	10.21	10.39	10.13	10.33	5695824	58463688.00
2017/04/18	10.33	10.41	10.00	10.02	7575714	77546496.00
2017/04/19	10.00	10.17	9.96	10.08	9078326	91320112.00
2017/04/20	10.04	10.47	10.02	10.36	10818583	111542632.00
2017/04/21	10.28	10.41	10.26	10.30	4290869	44314176.00
2017/04/24	10.30	10.33	9.88	9.93	9803947	98151960.00
2017/04/25	9.91	10.02	9.85	9.90	4805368	47707080.00
2017/04/26	9.99	10.24	9.99	10.02	7318179	73822248.00
2017/04/27	10.00	10.05	9.75	9.98	7555327	74866960.00
2017/04/28	9.88	9.90	9.63	9.66	12318818	119850728.00
2017/05/02	9.61	9.64	9.43	9.46	9204239	87719328.00
2017/05/03	9.46	9.53	9.37	9.44	4954156	46788384.00
2017/05/04	9.43	9.50	9.35	9.40	4945607	46605016.00
2017/05/05	9.39	9.42	9.28	9.30	5183696	48351368.00
2017/05/08	9.33	9.33	9.15	9.16	4121088	37987460.00
2017/05/09	9.15	9.26	9.13	9.23	3377699	31101480.00
2017/05/10	9.28	9.29	9.01	9.02	4722461	43279012.00
2017/05/11	9.00	9.04	8.80	8.95	6462340	57811828.00
2017/05/12	9.06	9.09	8.95	9.00	4074062	36699272.00
2017/05/15	9.02	9.20	9.02	9.08	4263570	38745312.00
2017/05/16	9.14	9.28	9.04	9.26	5376992	49214404.00
2017/05/17	9.29	9.36	9.17	9.20	5249825	48632560.00
2017/05/18	9.16	9.26	9.14	9.15	3158306	29050480.00
2017/05/19	9.15	9.26	9.13	9.17	2353833	21605772.00
2017/05/22	9.17	9.23	8.88	8.93	6809418	61514324.00
2017/05/23	8.94	8.99	8.76	8.76	4489200	39841368.00
2017/05/24	8.77	8.89	8.64	8.87	4859768	42646432.00
2017/05/25	8.88	8.99	8.77	8.95	5877920	52365776.00
2017/05/26	8.96	9.05	8.90	8.96	4108805	36912676.00
2017/05/31	9.05	9.11	8.92	8.94	5660300	51044640.00
2017/06/01	8.95	9.00	8.80	8.82	4009399	35654984.00
