600060 海信电器 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	18.48	18.68	18.36	18.38	25242788	467216224.00
2017/03/28	18.31	18.35	18.01	18.11	25914005	469345152.00
2017/03/29	18.15	18.15	17.97	18.02	18396994	332239328.00
2017/03/30	18.01	18.04	17.64	17.80	19118069	340984608.00
2017/03/31	17.78	18.18	17.75	18.09	16694087	300228416.00
2017/04/05	18.09	18.23	17.96	18.17	22824630	414209376.00
2017/04/07	18.18	18.24	17.81	17.91	23730599	426148576.00
2017/04/10	17.91	17.96	17.52	17.68	24075771	427356608.00
2017/04/11	17.66	17.82	17.47	17.77	18926220	334035680.00
2017/04/12	17.77	17.77	17.62	17.67	11742439	207469424.00
2017/04/13	17.66	17.85	17.58	17.63	15813659	280068608.00
2017/04/14	17.62	17.69	17.37	17.44	12902068	226319904.00
2017/04/17	17.41	17.50	17.26	17.48	12027296	208963328.00
2017/04/18	17.48	17.94	17.45	17.75	25801002	458731008.00
2017/04/19	17.77	17.91	17.61	17.88	21227981	377782240.00
2017/04/20	17.83	18.53	17.78	18.31	43585805	795913472.00
2017/04/21	18.24	18.32	18.00	18.26	22425050	407524096.00
2017/04/24	18.14	18.22	17.77	18.16	23571609	424800992.00
2017/04/25	18.09	18.36	17.96	18.27	18558557	337239552.00
2017/04/26	18.32	18.66	17.92	17.99	40374577	740932736.00
2017/04/27	17.76	17.76	17.10	17.43	32349759	563316032.00
2017/04/28	17.31	17.43	16.97	17.15	24580218	421790560.00
2017/05/02	15.44	15.79	15.44	15.44	39218500	606044224.00
2017/05/03	14.89	14.94	14.52	14.62	62981708	928951744.00
2017/05/04	14.63	14.73	14.41	14.57	33101265	482505216.00
2017/05/05	14.50	14.55	14.31	14.48	27229056	392383104.00
2017/05/08	14.41	14.56	14.16	14.52	33795945	484818240.00
2017/05/09	14.38	14.52	14.28	14.43	15886770	228916480.00
2017/05/10	14.48	14.48	13.99	14.00	18911207	269781024.00
