600061 国投资本 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	15.30	15.39	15.25	15.28	6388991	97840000.00
2017/03/28	15.26	15.32	15.13	15.22	4932168	75139968.00
2017/03/29	15.25	15.26	15.02	15.14	6376831	96524856.00
2017/03/30	15.09	15.18	14.97	15.06	6953573	104705200.00
2017/03/31	15.05	15.13	14.94	15.04	6426053	96602984.00
2017/04/05	14.99	15.33	14.99	15.25	9543123	145113040.00
2017/04/06	15.28	15.28	15.16	15.22	6371412	96915056.00
2017/04/07	15.27	15.43	15.25	15.37	11232326	172385680.00
2017/04/10	15.34	15.41	15.12	15.23	8108092	123598256.00
2017/04/11	15.16	15.33	15.10	15.32	7960417	121016432.00
2017/04/12	15.35	15.48	15.20	15.33	12015528	184771600.00
2017/04/13	15.25	15.31	15.21	15.29	5516424	84159200.00
2017/04/14	15.29	15.31	15.16	15.27	6060397	92227968.00
2017/04/17	15.18	15.28	15.09	15.25	5442428	82698592.00
2017/04/18	15.18	15.23	14.99	15.05	5287920	79927856.00
2017/04/19	14.98	15.07	14.81	15.05	7789888	116530736.00
2017/04/20	15.01	15.05	14.84	14.98	5929038	88444568.00
2017/04/21	14.92	15.15	14.91	15.11	6144359	92218696.00
2017/04/24	15.06	15.13	14.85	15.11	12080416	181864576.00
2017/04/25	15.05	15.10	14.96	14.99	5315665	79799400.00
2017/04/26	14.98	15.11	14.91	14.96	5809480	87043632.00
2017/04/27	14.90	14.95	14.46	14.66	15211755	223048208.00
2017/04/28	14.64	14.66	14.48	14.66	8627499	125510336.00
2017/05/02	14.64	14.66	14.53	14.56	5223624	76266160.00
2017/05/03	15.16	15.55	14.93	14.96	29038000	441750368.00
2017/05/04	14.63	15.14	14.61	14.98	19169094	285041248.00
2017/05/05	14.86	15.03	14.68	15.00	17351352	257587104.00
2017/05/08	14.90	15.11	14.71	15.10	13938026	208630928.00
2017/05/09	14.91	15.05	14.85	14.97	6225498	93031136.00
2017/05/10	14.95	15.00	14.71	14.88	8437804	125359352.00
2017/05/11	14.75	15.05	14.68	14.98	11821265	176071648.00
2017/05/12	15.05	15.29	14.92	15.11	8279201	125388448.00
2017/05/15	15.03	15.20	14.99	15.14	7691551	116086088.00
2017/05/16	15.10	15.18	14.84	15.17	7101954	106616680.00
2017/05/17	15.18	15.27	15.00	15.06	9020505	136169920.00
2017/05/18	14.88	14.96	14.79	14.87	6356919	94575472.00
2017/05/19	14.87	14.91	14.69	14.76	5216355	77098272.00
2017/05/22	14.57	14.71	14.14	14.49	10975997	158370560.00
2017/05/23	14.42	14.71	14.26	14.69	9597537	139497312.00
2017/05/24	14.55	14.78	14.46	14.74	5120526	74831168.00
2017/05/25	14.68	15.34	14.60	15.08	13172000	197555280.00
2017/05/26	15.00	15.16	14.93	15.07	7561780	113785960.00
2017/05/31	15.10	15.30	15.06	15.23	12916876	196362048.00
2017/06/01	15.21	15.40	15.08	15.34	20716876	317025248.00
2017/06/02	15.28	15.43	15.13	15.29	7128418	108994224.00
2017/06/05	15.28	15.33	15.10	15.11	5884486	89310624.00
2017/06/06	15.10	15.23	15.08	15.20	3805921	57759696.00
2017/06/07	15.19	15.35	15.14	15.29	8112344	123779632.00
2017/06/08	15.25	15.28	15.10	15.15	5270253	79932592.00
2017/06/09	15.14	15.22	14.93	15.01	7129117	107459216.00
2017/06/12	14.99	15.07	14.84	14.94	4830325	72142232.00
2017/06/13	14.88	15.05	14.88	15.00	4167995	62435472.00
2017/06/14	14.96	15.04	14.90	14.99	3410859	51118840.00
2017/06/15	14.96	15.15	14.88	15.09	4987832	74957984.00
2017/06/16	15.09	15.21	15.05	15.18	6903703	104700184.00
2017/06/19	15.25	15.51	15.20	15.33	13939830	214051280.00
2017/06/20	15.33	15.49	15.21	15.24	10584145	162585632.00
2017/06/21	15.38	15.44	15.17	15.29	7973867	121720200.00
2017/06/22	15.21	15.44	15.13	15.27	11593809	177043632.00
2017/06/23	15.15	15.31	14.95	15.30	9800568	148616448.00
2017/06/26	15.28	15.53	15.25	15.53	13255698	204634976.00
2017/06/27	15.53	15.56	15.38	15.44	7111030	109913896.00
2017/06/28	15.47	15.65	15.39	15.59	14922100	232017120.00
2017/06/29	15.59	15.64	15.40	15.46	7317281	113266992.00
2017/06/30	15.40	15.57	15.36	15.55	6247640	96776352.00
2017/07/03	15.54	15.57	15.33	15.52	8982580	139066832.00
2017/07/04	15.53	15.60	15.38	15.58	7083492	109844208.00
2017/07/05	15.52	15.59	15.40	15.48	6370431	98610352.00
2017/07/06	15.43	15.48	15.27	15.42	7751814	119065688.00
2017/07/07	15.38	15.62	15.14	15.58	15041829	231674016.00
2017/07/10	15.52	15.77	15.43	15.64	13158629	205593248.00
2017/07/11	15.54	15.77	15.51	15.56	10665529	167135840.00
2017/07/12	15.54	15.65	15.29	15.35	7172143	110515736.00
2017/07/13	15.34	15.55	15.30	15.54	7828113	120787512.00
2017/07/14	15.50	15.76	15.48	15.75	10260689	160309728.00
2017/07/17	15.74	16.40	15.30	15.88	29264040	465340544.00
2017/07/18	15.78	16.10	15.54	16.04	22545615	358279744.00
2017/07/19	16.08	16.69	15.90	16.68	54397577	894017344.00
2017/07/20	16.58	16.75	16.40	16.43	25045378	413383104.00
2017/07/21	16.32	16.57	16.06	16.20	20936564	341557184.00
2017/07/24	16.10	16.30	16.07	16.11	16319813	263950320.00
2017/07/25	16.13	16.19	15.82	15.90	13967631	222759600.00
2017/07/26	15.90	16.08	15.79	16.06	13380651	213191936.00
2017/07/27	15.92	16.17	15.60	16.15	21330280	338932608.00
2017/07/28	16.05	16.06	15.73	15.78	10146654	161555040.00
2017/07/31	15.76	15.94	15.62	15.84	12831544	202926832.00
2017/08/01	15.94	16.25	15.89	15.97	19476385	313245760.00
2017/08/02	15.96	16.23	15.92	16.03	19064328	306462240.00
2017/08/03	16.08	16.20	15.89	16.00	14531107	233573504.00
2017/08/04	16.01	16.31	15.92	16.05	19966017	322606080.00
2017/08/07	16.05	16.09	15.80	15.88	11866355	188849568.00
2017/08/08	15.87	15.96	15.65	15.83	13246933	209014384.00
2017/08/09	15.75	15.79	15.51	15.57	12050485	188562912.00
2017/08/10	15.57	15.75	15.47	15.67	10722811	167597872.00
2017/08/11	15.59	15.66	15.35	15.60	13881790	215580368.00
2017/08/14	15.62	15.89	15.51	15.84	10023710	157442896.00
2017/08/15	15.82	15.85	15.61	15.74	5447294	85633816.00
2017/08/16	15.74	15.78	15.62	15.70	4842467	76006448.00
2017/08/17	15.70	15.95	15.65	15.93	11054679	175082832.00
2017/08/18	15.81	16.03	15.81	15.92	9745136	155216832.00
2017/08/21	15.98	16.10	15.92	15.98	6505727	104079752.00
2017/08/22	16.06	16.14	15.90	15.96	6904478	110569976.00
2017/08/23	15.97	16.22	15.71	16.03	11065437	176845200.00
2017/08/24	16.04	16.05	15.72	15.74	6999671	111006024.00
2017/08/25	15.78	16.17	15.74	16.10	16248347	259964704.00
2017/08/28	16.19	16.94	16.18	16.71	48528315	808755520.00
2017/08/29	16.61	16.64	16.36	16.44	21513800	354743200.00
2017/08/30	16.40	16.92	16.40	16.46	26869538	447271904.00
2017/08/31	16.47	16.67	16.40	16.53	16364827	270558144.00
2017/09/01	16.54	16.73	16.38	16.48	16429324	271892576.00
2017/09/04	16.48	16.63	16.31	16.52	14727927	242070432.00
2017/09/05	16.48	16.74	16.46	16.57	15595892	259390192.00
2017/09/06	16.51	16.65	16.38	16.53	11452697	188919584.00
2017/09/07	16.55	16.65	16.22	16.23	12669931	208442000.00
2017/09/08	16.21	16.33	16.10	16.24	11091620	179717936.00
2017/09/11	16.24	16.35	16.13	16.14	9708494	157438304.00
2017/09/12	16.18	16.45	16.15	16.25	14567800	237145072.00
2017/09/13	16.20	16.33	16.02	16.10	10724663	172856976.00
2017/09/14	16.10	16.24	16.01	16.07	11043722	178138448.00
2017/09/15	16.05	16.21	16.02	16.12	8619188	138871792.00
2017/09/18	16.20	16.31	16.11	16.16	14350436	232772816.00
2017/09/19	16.20	16.24	15.98	16.06	9694793	155789744.00
2017/09/20	16.06	16.11	15.98	16.09	8104133	130057968.00
2017/09/21	16.08	16.23	16.01	16.02	9535485	153742464.00
2017/09/22	16.00	16.13	15.69	16.06	16474263	261516640.00
2017/09/25	15.95	16.06	15.78	16.03	12346974	196740896.00
2017/09/26	15.99	16.10	15.92	16.06	5816881	93240936.00
2017/09/27	16.04	16.13	16.00	16.00	4393601	70586976.00
2017/09/28	16.04	16.13	15.97	16.03	6881555	110560808.00
2017/09/29	16.05	16.32	16.05	16.31	14102680	228781744.00
2017/10/09	16.67	16.72	16.18	16.21	17893242	293237728.00
2017/10/10	16.18	16.25	16.09	16.24	9829004	159001152.00
2017/10/11	16.28	16.29	16.12	16.17	7509600	121639432.00
2017/10/12	16.14	16.18	15.93	15.99	9487811	152133600.00
2017/10/13	16.00	16.04	15.91	16.01	5792451	92545512.00
2017/10/16	16.04	16.16	15.80	15.83	10243929	163876784.00
2017/10/17	15.85	15.90	15.71	15.77	6327592	100063576.00
2017/10/18	15.76	15.95	15.75	15.92	9969846	157946880.00
2017/10/19	15.90	15.90	15.46	15.87	13242366	207807360.00
