600064 南京高科 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	17.87	17.92	17.59	17.60	8878485	157406048.00
2017/03/28	17.69	17.92	17.62	17.73	6762123	120166984.00
2017/03/29	17.73	17.86	17.60	17.67	9756485	172918752.00
2017/03/30	17.20	17.27	16.62	16.70	23286644	393102432.00
2017/03/31	16.68	16.78	16.58	16.67	7558245	126142800.00
2017/04/05	16.70	16.96	16.70	16.85	9526730	160545264.00
2017/04/06	16.88	16.88	16.76	16.81	6071822	102068944.00
2017/04/07	16.83	16.84	16.74	16.83	5145998	86388416.00
2017/04/10	16.82	16.83	16.57	16.59	8290725	138363376.00
2017/04/11	16.55	16.84	16.50	16.78	6271892	104526640.00
2017/04/12	16.72	16.86	16.69	16.79	4193550	70344176.00
2017/04/13	16.73	17.15	16.73	16.98	7282866	123416312.00
2017/04/14	17.08	17.25	16.91	16.96	10395978	177563312.00
2017/04/17	16.88	16.88	16.60	16.77	6939753	115839816.00
2017/04/18	16.68	16.90	16.56	16.58	6724317	112306208.00
2017/04/19	16.50	16.61	16.30	16.58	8006629	131444952.00
2017/04/20	16.58	16.58	16.34	16.52	4561163	74959040.00
2017/04/21	16.53	16.63	16.39	16.60	4078395	67319952.00
2017/04/24	16.49	16.60	16.18	16.58	6636616	108562792.00
2017/04/25	16.49	16.57	16.31	16.34	3247236	53397460.00
2017/04/26	16.36	16.46	16.25	16.26	2944433	48167792.00
2017/04/27	16.26	16.26	16.03	16.22	4704240	75849744.00
2017/04/28	16.16	16.27	16.13	16.16	2882167	46714264.00
2017/05/02	15.85	15.89	15.50	15.56	8788219	137699504.00
2017/05/03	15.56	15.59	15.35	15.38	3671702	56778124.00
2017/05/04	15.38	15.55	15.38	15.47	2725482	42190128.00
2017/05/05	15.45	15.45	15.30	15.32	2225146	34209156.00
2017/05/08	15.21	15.31	14.96	14.98	3795833	57375224.00
2017/05/09	14.97	15.11	14.88	14.98	3599076	53960304.00
2017/05/10	14.98	15.14	14.85	14.85	3151162	47355120.00
2017/05/11	14.78	14.90	14.59	14.84	4991534	73630000.00
2017/05/12	14.81	15.07	14.79	14.99	3352339	50091792.00
2017/05/15	14.96	15.09	14.96	14.99	1977388	29707734.00
2017/05/16	15.00	15.08	14.80	15.07	4342184	64785752.00
2017/05/17	15.03	15.16	15.03	15.05	3228762	48725048.00
2017/05/18	14.97	14.98	14.83	14.86	3077090	45839408.00
2017/05/19	14.86	14.93	14.80	14.84	1833714	27222958.00
2017/05/22	14.80	14.95	14.66	14.69	2637391	39065424.00
2017/05/23	14.65	14.79	14.48	14.53	3108132	45401236.00
2017/05/24	14.48	14.61	14.32	14.60	2778667	40262668.00
2017/05/25	14.59	15.06	14.50	14.95	4412396	65455596.00
2017/05/26	14.94	15.09	14.92	14.98	3155586	47303116.00
2017/05/31	15.12	15.23	14.94	14.99	3426478	51485424.00
2017/06/01	14.95	14.95	14.70	14.74	2810698	41643040.00
2017/06/02	14.70	15.05	14.69	14.97	3870184	57662836.00
2017/06/05	15.00	15.06	14.94	15.01	2866431	43006656.00
2017/06/06	15.04	15.04	14.85	14.96	2774103	41427640.00
2017/06/07	14.92	15.18	14.92	15.15	5143026	77555896.00
2017/06/08	15.15	15.25	15.10	15.18	3672649	55752452.00
2017/06/09	15.18	15.25	15.11	15.21	3472631	52759000.00
2017/06/12	15.17	15.26	15.08	15.11	3272004	49680072.00
2017/06/13	15.05	15.24	15.05	15.24	2549247	38703952.00
2017/06/14	15.17	15.30	15.17	15.26	3378667	51564632.00
2017/06/15	14.89	14.97	14.86	14.88	3862685	57607664.00
2017/06/16	14.90	14.92	14.70	14.72	3201368	47325604.00
2017/06/19	14.79	14.92	14.74	14.83	2203869	32657362.00
2017/06/20	14.82	14.90	14.77	14.82	2322806	34494900.00
2017/06/21	14.82	14.92	14.82	14.90	3898187	58026836.00
2017/06/22	14.92	15.11	14.86	14.89	5944261	89004096.00
2017/06/23	14.88	14.90	14.71	14.86	3450824	51133768.00
2017/06/26	14.83	15.06	14.82	15.03	4507667	67442856.00
2017/06/27	15.04	15.13	15.02	15.10	3580065	53970528.00
2017/06/28	15.10	15.10	14.99	15.01	2935772	44124876.00
2017/06/29	15.05	15.13	15.00	15.06	2118836	31950008.00
2017/06/30	15.06	15.13	15.01	15.10	2695416	40701464.00
2017/07/03	15.15	15.15	15.02	15.13	2071147	31232940.00
2017/07/04	15.13	15.16	14.99	15.03	3222100	48477904.00
2017/07/05	15.03	15.18	14.99	15.16	3179276	48049184.00
2017/07/06	15.16	15.17	15.03	15.09	2522525	38109148.00
2017/07/07	15.06	15.13	15.00	15.08	1973851	29735036.00
2017/07/10	15.09	15.12	14.98	14.99	4100405	61664312.00
2017/07/11	14.95	14.98	14.78	14.80	6432050	95523840.00
2017/07/12	14.80	14.87	14.63	14.69	5120889	75437776.00
2017/07/13	14.69	14.82	14.64	14.80	3892260	57306856.00
2017/07/14	14.78	14.96	14.74	14.87	3576119	53157256.00
2017/07/17	14.86	14.94	14.42	14.50	6434424	94512560.00
2017/07/18	14.45	14.66	14.44	14.58	3450547	50161664.00
2017/07/19	14.59	14.90	14.52	14.89	4772292	70416760.00
2017/07/20	14.83	14.99	14.83	14.87	3732600	55678440.00
2017/07/21	14.87	15.13	14.81	15.06	6861636	102633384.00
2017/07/24	15.06	15.30	15.03	15.10	7907917	120046272.00
2017/07/25	15.09	15.18	14.83	15.00	6064729	90734376.00
2017/07/26	14.94	15.01	14.87	14.97	2910229	43470492.00
2017/07/27	14.99	15.06	14.88	15.00	5423718	81127672.00
2017/07/28	15.02	15.04	14.86	14.88	3963000	59227160.00
2017/07/31	15.35	16.36	15.35	16.22	32689418	519063200.00
2017/08/01	16.00	16.14	15.83	15.91	18678828	297824256.00
2017/08/02	15.94	16.06	15.56	15.65	15288809	241342496.00
2017/08/03	15.62	15.91	15.59	15.81	11264341	177638576.00
2017/08/04	15.80	15.80	15.45	15.46	8698608	135989312.00
2017/08/07	15.51	15.72	15.47	15.52	7023140	109600624.00
2017/08/08	15.59	15.92	15.52	15.84	11220791	177499744.00
2017/08/09	15.79	15.89	15.66	15.80	6238244	98499384.00
2017/08/10	15.80	15.93	15.53	15.63	6470266	101678440.00
2017/08/11	15.62	15.62	15.22	15.25	7374948	113692152.00
2017/08/14	15.28	15.52	15.28	15.43	4744092	73236576.00
2017/08/15	15.45	15.56	15.40	15.46	3341140	51688384.00
2017/08/16	15.44	15.53	15.36	15.51	3795017	58631040.00
2017/08/17	15.50	15.55	15.38	15.48	5262011	81268408.00
2017/08/18	15.39	15.46	15.30	15.42	4091221	62974216.00
2017/08/21	15.45	15.67	15.39	15.66	5683881	88096400.00
2017/08/22	15.61	15.73	15.52	15.59	4809711	75041680.00
2017/08/23	15.56	15.61	15.42	15.46	3476200	53878332.00
2017/08/24	15.54	15.54	15.32	15.34	3373463	52003668.00
2017/08/25	15.35	15.57	15.35	15.56	4913079	76156592.00
2017/08/28	15.61	15.86	15.59	15.82	8600344	135515152.00
2017/08/29	15.80	15.84	15.61	15.76	5288829	83222960.00
2017/08/30	15.74	15.82	15.68	15.74	3545028	55825248.00
2017/08/31	15.76	15.76	15.61	15.68	3824647	59921060.00
2017/09/01	15.72	15.75	15.57	15.61	5398909	84509728.00
2017/09/04	15.57	15.67	15.55	15.63	4245765	66257452.00
2017/09/05	15.63	15.78	15.61	15.72	4813912	75642400.00
2017/09/06	15.67	15.78	15.57	15.58	4884224	76336176.00
2017/09/07	15.63	15.70	15.52	15.53	6894975	107642816.00
2017/09/08	15.54	15.59	15.45	15.50	4226092	65634416.00
2017/09/11	15.49	15.57	15.46	15.53	3534530	54852928.00
2017/09/12	15.54	15.64	15.51	15.56	5094949	79326208.00
2017/09/13	15.50	15.56	15.46	15.54	3442594	53392788.00
2017/09/14	15.55	15.58	15.46	15.49	3566311	55348916.00
2017/09/15	15.50	15.76	15.47	15.67	8888831	139200400.00
2017/09/18	15.70	15.74	15.62	15.68	5035646	78916896.00
2017/09/19	15.70	15.92	15.65	15.82	10846168	171812000.00
2017/09/20	15.76	15.80	15.67	15.78	5787344	91056376.00
2017/09/21	15.75	15.76	15.53	15.57	5136170	80405680.00
2017/09/22	15.54	15.54	15.40	15.46	4092109	63249760.00
2017/09/25	15.45	15.46	15.12	15.18	5439418	83184584.00
2017/09/26	15.19	15.24	15.15	15.20	2339892	35534564.00
2017/09/27	15.20	15.28	15.16	15.22	2725879	41485728.00
2017/09/28	15.24	15.24	15.13	15.14	2717884	41291176.00
2017/09/29	15.14	15.25	15.14	15.18	2400167	36456788.00
2017/10/09	15.42	15.47	15.31	15.32	3771084	58035336.00
2017/10/10	15.39	15.51	15.34	15.50	3091878	47690296.00
2017/10/11	15.51	15.59	15.46	15.52	2885088	44826944.00
2017/10/12	15.52	15.56	15.40	15.44	2293581	35483156.00
2017/10/13	15.41	15.50	15.39	15.48	2352141	36357548.00
2017/10/16	15.55	15.55	15.27	15.28	3579925	54971508.00
