600066 宇通客车 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	21.59	21.88	21.50	21.52	18920691	410413088.00
2017/03/28	21.42	21.42	20.89	21.12	21246246	448440448.00
2017/03/29	21.14	21.27	20.94	21.08	13458741	284043072.00
2017/03/30	21.02	21.24	20.96	21.14	9874628	208484128.00
2017/03/31	21.19	21.51	21.06	21.48	16322556	348679104.00
2017/04/05	21.51	21.77	21.40	21.69	18664122	403566720.00
2017/04/06	21.69	21.70	21.47	21.62	12509299	269826592.00
2017/04/07	21.62	21.72	21.50	21.56	11956425	258726560.00
2017/04/10	21.55	21.62	21.37	21.44	9794008	210522848.00
2017/04/11	21.42	21.52	21.13	21.49	12924229	275071584.00
2017/04/12	21.53	21.53	21.18	21.37	9329333	198728480.00
2017/04/13	21.34	21.43	21.25	21.39	7000570	149508032.00
2017/04/14	21.40	21.44	21.12	21.21	7578228	160905008.00
2017/04/17	21.19	21.35	21.06	21.29	6653946	141269632.00
2017/04/18	21.29	21.65	21.21	21.48	12387588	266494896.00
2017/04/19	21.48	21.64	21.38	21.48	12202281	262523952.00
2017/04/20	21.35	21.35	20.22	20.41	47007018	969937856.00
2017/04/21	20.11	20.64	19.85	20.59	19331783	391372960.00
2017/04/24	20.40	20.67	20.12	20.64	17097598	348905888.00
2017/04/25	20.60	20.68	20.45	20.50	6948655	142861536.00
2017/04/26	20.60	20.65	20.36	20.43	11006995	225104288.00
2017/04/27	20.43	20.53	20.29	20.40	7641968	155721392.00
2017/04/28	20.36	20.41	19.94	20.14	11302976	226951408.00
2017/05/02	19.96	20.07	19.90	19.94	7764608	154914336.00
2017/05/03	19.90	20.05	19.81	19.92	6658663	132887264.00
2017/05/04	19.97	20.00	19.82	19.90	7928574	157781424.00
2017/05/05	19.43	19.80	18.68	19.70	26098729	502893472.00
2017/05/08	19.48	19.81	19.20	19.79	17351316	339079264.00
2017/05/09	19.59	19.60	19.20	19.23	11019907	213152256.00
2017/05/10	19.23	19.37	19.00	19.21	12107012	232390240.00
2017/05/11	19.17	19.60	19.02	19.45	9471154	183179904.00
2017/05/12	19.43	19.58	19.22	19.35	5435084	105503552.00
2017/05/15	19.36	19.86	19.34	19.78	8549627	168241712.00
2017/05/16	19.82	19.92	19.70	19.92	6228431	123274264.00
2017/05/17	19.93	20.00	19.74	19.81	5397012	107247504.00
2017/05/18	19.70	19.70	19.40	19.59	7730304	151105472.00
2017/05/19	19.45	19.59	19.33	19.41	8101494	157177552.00
2017/05/22	19.39	19.62	19.22	19.59	10648275	206337776.00
2017/05/23	19.49	20.00	19.42	19.95	14150152	280368096.00
2017/05/24	19.95	20.07	19.75	20.05	7653772	152418160.00
2017/05/25	20.00	20.06	19.75	19.94	7570754	150646512.00
2017/05/26	19.94	20.25	19.85	20.10	9696359	194749616.00
2017/05/31	20.12	20.45	20.12	20.39	7993600	162016720.00
2017/06/01	20.39	20.70	20.31	20.66	13483471	277311808.00
2017/06/02	20.52	20.71	20.38	20.51	9535460	195859264.00
2017/06/05	20.50	20.70	20.42	20.53	7275988	149920336.00
2017/06/06	20.59	20.81	20.52	20.80	9382503	194060624.00
2017/06/07	20.60	21.23	20.55	21.22	21054594	442000544.00
2017/06/08	21.21	21.62	21.08	21.51	15121881	325214720.00
2017/06/09	21.50	21.99	21.50	21.67	14255196	310286496.00
2017/06/12	21.75	23.06	21.75	22.87	39772714	902581760.00
2017/06/13	22.94	23.08	22.70	23.05	28141928	646345664.00
2017/06/14	22.15	22.17	21.46	21.88	24073825	528668320.00
2017/06/15	21.88	21.98	21.00	21.26	18092492	387413664.00
2017/06/16	21.26	21.28	20.92	21.05	10883363	229261760.00
2017/06/19	21.05	21.54	21.05	21.28	12099490	257677760.00
2017/06/20	21.40	21.45	20.66	20.88	15795369	330355744.00
2017/06/21	21.08	21.31	20.68	21.28	15844905	332630016.00
2017/06/22	21.33	21.47	21.17	21.38	13426106	286337984.00
2017/06/23	21.25	21.47	21.03	21.43	12800439	272586240.00
2017/06/26	21.50	22.42	21.50	21.91	24723888	544745664.00
2017/06/27	22.00	22.07	21.72	21.85	13664231	299143456.00
2017/06/28	21.60	22.04	21.52	21.55	11657977	253468080.00
2017/06/29	21.68	21.87	21.50	21.86	6462400	139895088.00
2017/06/30	21.80	22.06	21.56	21.97	7366948	161291376.00
2017/07/03	22.20	22.25	21.88	22.07	8469411	187307632.00
2017/07/04	22.06	22.13	21.67	21.97	7688516	168534640.00
2017/07/05	21.75	21.85	21.63	21.76	9606652	208978496.00
2017/07/06	21.77	22.09	21.75	21.95	13108125	287868096.00
2017/07/07	21.83	22.22	21.83	22.06	11219305	247325344.00
2017/07/10	22.14	22.29	21.74	22.06	7923221	174314208.00
2017/07/11	22.00	22.10	21.76	21.84	9245801	202671072.00
2017/07/12	21.84	22.00	21.31	21.47	11492785	248324384.00
2017/07/13	21.46	21.56	21.23	21.30	10191078	217631392.00
2017/07/14	21.30	21.74	21.28	21.68	6705221	144268512.00
2017/07/17	21.58	21.88	21.16	21.68	12088812	259813040.00
2017/07/18	21.66	22.04	21.54	21.82	11644877	253920160.00
2017/07/19	21.81	21.88	21.40	21.54	16065476	347130624.00
2017/07/20	21.50	22.19	21.33	22.16	20271407	444528384.00
2017/07/21	22.15	23.20	22.02	23.08	28305033	646226240.00
2017/07/24	23.01	23.09	22.63	22.79	10618104	243026656.00
2017/07/25	22.78	23.05	22.53	22.64	10846163	247103824.00
2017/07/26	22.74	22.80	22.18	22.58	10964631	246843328.00
2017/07/27	22.45	22.67	22.26	22.59	9549241	214118304.00
2017/07/28	22.57	22.57	22.10	22.13	7323159	162668208.00
2017/07/31	22.14	22.44	22.02	22.11	7139169	158332960.00
2017/08/01	22.16	22.49	22.08	22.24	7768739	172808480.00
2017/08/02	22.28	22.36	21.97	22.08	6864580	151619664.00
2017/08/03	22.00	22.09	21.66	21.83	8093319	176808576.00
2017/08/04	21.76	22.07	21.48	22.06	9347223	203807392.00
2017/08/07	22.07	22.10	21.70	22.00	6309438	138357168.00
2017/08/08	22.00	22.09	21.57	21.74	7518319	164323712.00
2017/08/09	21.75	21.97	21.60	21.80	4885596	106480080.00
2017/08/10	21.83	22.30	21.41	22.27	8887277	194891088.00
2017/08/11	22.05	22.28	21.74	22.27	11159896	246042176.00
2017/08/14	22.10	22.27	22.07	22.12	6890094	152709568.00
2017/08/15	22.18	22.56	22.01	22.05	7827666	174423344.00
2017/08/16	22.03	22.05	21.70	21.75	5381631	117229776.00
2017/08/17	21.83	21.91	21.59	21.72	6236022	135327616.00
2017/08/18	21.69	22.01	21.61	21.90	3342995	73099408.00
2017/08/21	21.90	22.01	21.70	21.81	3191696	69734456.00
2017/08/22	21.78	21.89	21.51	21.52	5851012	126512024.00
2017/08/23	21.52	21.62	21.10	21.39	6749798	143956400.00
2017/08/24	21.34	21.52	20.84	20.86	9621373	202896816.00
2017/08/25	20.87	21.05	20.70	20.92	7733023	161322928.00
2017/08/28	20.93	21.17	20.89	21.00	7304738	153314368.00
2017/08/29	21.15	21.65	21.02	21.40	14256356	305381248.00
2017/08/30	21.39	21.64	21.16	21.24	6266670	133425760.00
2017/08/31	21.20	21.20	20.30	20.78	23454905	484476576.00
2017/09/01	20.66	21.06	20.58	21.00	10465397	218271312.00
2017/09/04	20.99	21.08	20.76	21.05	6253097	131069024.00
2017/09/05	21.10	21.32	21.00	21.28	7285515	154615440.00
