600067 冠城大通 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	7.08	7.11	6.98	7.01	8915848	62710096.00
2017/03/28	7.02	7.04	6.99	6.99	5972523	41855604.00
2017/03/29	7.01	7.03	6.95	6.95	6282934	43889080.00
2017/03/30	6.95	6.98	6.78	6.80	8902861	61163532.00
2017/03/31	6.96	6.98	6.81	6.89	9336740	64460816.00
2017/04/05	7.01	7.12	7.01	7.07	20534166	145064336.00
2017/04/06	7.08	7.15	7.06	7.11	20595435	146390976.00
2017/04/07	7.14	7.16	7.10	7.11	10592726	75436056.00
2017/04/10	7.13	7.21	7.10	7.10	12013686	85914768.00
2017/04/11	7.12	7.25	7.09	7.22	16663982	119700064.00
2017/04/12	7.24	7.28	7.16	7.17	15844974	114405328.00
2017/04/13	7.20	7.39	7.16	7.31	24855142	181072800.00
2017/04/14	7.33	7.38	7.21	7.22	16838636	122455640.00
2017/04/17	7.21	7.26	7.13	7.17	10439673	74983080.00
2017/04/18	7.17	7.20	7.10	7.11	9766483	69840448.00
2017/04/19	7.10	7.10	6.89	6.95	14073207	98081920.00
2017/04/20	6.95	6.99	6.88	6.93	9140825	63368936.00
2017/04/21	6.93	6.97	6.83	6.85	11736779	80832480.00
2017/04/24	6.87	6.90	6.60	6.64	12014274	80633776.00
2017/04/25	6.67	6.73	6.61	6.70	9650335	64415484.00
2017/04/26	6.77	6.95	6.76	6.82	14934416	102145136.00
2017/04/27	6.80	6.86	6.69	6.84	12029876	81515128.00
2017/04/28	6.80	6.94	6.71	6.90	8521825	58472072.00
2017/05/02	6.90	7.03	6.87	6.94	13478107	93821400.00
2017/05/03	6.92	6.96	6.85	6.90	11247406	77763352.00
2017/05/04	6.91	6.96	6.88	6.91	10220785	70830080.00
2017/05/05	6.89	6.95	6.75	6.79	10511603	71867760.00
2017/05/08	6.77	6.86	6.71	6.72	8021960	54447344.00
2017/05/09	6.70	6.87	6.62	6.78	8915638	60113888.00
2017/05/10	6.78	6.85	6.64	6.65	7018037	47384384.00
2017/05/11	6.61	6.68	6.37	6.59	13362339	87278208.00
2017/05/12	6.57	6.61	6.46	6.55	10497941	68671448.00
2017/05/15	6.55	6.63	6.51	6.58	6887149	45242080.00
2017/05/16	6.57	6.74	6.41	6.72	9914061	65564836.00
2017/05/17	6.70	6.75	6.67	6.69	6537258	43866928.00
2017/05/18	6.57	6.70	6.57	6.64	5727017	38096188.00
2017/05/19	6.64	6.74	6.62	6.70	6527633	43653816.00
2017/05/22	6.69	6.70	6.44	6.46	11006769	72032624.00
2017/05/23	6.47	6.52	6.33	6.35	8272444	53268672.00
2017/05/24	6.37	6.43	6.27	6.35	9444893	59902968.00
2017/05/25	6.35	6.49	6.25	6.48	12513066	79691792.00
2017/05/26	6.41	6.42	6.36	6.37	6042075	38580776.00
2017/05/31	6.45	6.52	6.38	6.39	8479668	54633700.00
2017/06/01	6.39	6.41	6.22	6.23	7270950	46019736.00
2017/06/02	6.24	6.57	6.20	6.44	13055882	82924864.00
2017/06/05	6.45	6.51	6.40	6.49	9555173	61575756.00
2017/06/06	6.46	6.51	6.43	6.51	9385344	60781320.00
2017/06/07	6.50	6.61	6.46	6.60	12983822	85144104.00
2017/06/08	6.58	6.60	6.52	6.54	8322725	54596096.00
2017/06/09	6.54	6.55	6.45	6.51	8608714	55870388.00
2017/06/12	6.50	6.50	6.39	6.41	9304923	59989312.00
2017/06/13	6.41	6.62	6.37	6.54	12302276	80279168.00
2017/06/14	6.54	6.58	6.47	6.50	8548389	55907896.00
2017/06/15	6.50	6.70	6.50	6.58	12066902	79761504.00
2017/06/16	6.62	6.64	6.52	6.59	8473435	55722380.00
2017/06/19	6.58	6.63	6.55	6.61	7214668	47568820.00
2017/06/20	6.63	6.67	6.60	6.62	7776155	51608216.00
2017/06/21	6.62	6.64	6.55	6.60	7539232	49711656.00
2017/06/22	6.59	6.62	6.48	6.50	11029659	72515696.00
2017/06/23	6.51	6.52	6.00	6.45	12302480	78882976.00
2017/06/26	6.46	6.59	6.41	6.58	13206047	85808200.00
2017/06/27	6.60	6.61	6.53	6.59	9503415	62422736.00
2017/06/28	6.55	6.59	6.49	6.52	8793364	57564292.00
2017/06/29	6.53	6.59	6.53	6.56	6300507	41335072.00
2017/06/30	6.80	7.17	6.75	6.87	43357636	299753056.00
2017/07/03	6.89	6.93	6.78	6.86	24349710	167009344.00
2017/07/04	6.91	6.93	6.83	6.88	17230982	118491288.00
2017/07/05	6.87	6.89	6.80	6.88	15752202	107904152.00
2017/07/06	6.86	7.08	6.85	7.02	30486479	213698944.00
2017/07/07	6.98	7.07	6.98	7.03	15814741	111013840.00
2017/07/10	7.02	7.14	6.98	7.07	17025671	120322744.00
