600068 葛洲坝 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	12.15	12.45	11.86	11.88	80726972	977766016.00
2017/03/28	11.83	12.03	11.67	11.88	50276399	595340800.00
2017/03/29	11.88	12.25	11.75	12.07	62025993	745532480.00
2017/03/30	12.10	12.25	11.70	11.86	78867092	944495680.00
2017/03/31	11.88	11.99	11.54	11.77	45628059	534565408.00
2017/04/05	12.00	12.23	11.80	12.14	100107300	1209983616.00
2017/04/06	12.24	12.75	12.09	12.67	125243743	1564826880.00
2017/04/07	12.60	12.94	12.46	12.68	73137400	927732224.00
2017/04/10	12.70	13.05	12.60	12.83	71580760	917205568.00
2017/04/11	13.09	13.14	12.37	12.91	93152577	1188569856.00
2017/04/12	12.89	13.00	12.65	12.73	46467173	592750656.00
2017/04/13	12.72	12.83	12.60	12.72	30908186	393259488.00
2017/04/14	12.73	12.90	12.61	12.72	48502741	618016128.00
2017/04/17	12.70	12.85	12.51	12.80	46151923	586567488.00
2017/04/18	12.80	13.25	12.76	13.05	91566823	1191422208.00
2017/04/19	12.95	13.07	12.64	12.92	67482277	865046976.00
2017/04/20	12.87	13.39	12.77	13.37	106843465	1409823360.00
2017/04/21	13.39	13.47	12.93	13.15	84388413	1111365120.00
2017/04/24	13.08	13.08	11.84	11.96	167736107	2025239552.00
2017/04/25	11.75	11.95	11.11	11.60	110267429	1274153216.00
2017/04/26	11.63	11.78	11.48	11.73	77567388	902258880.00
2017/04/27	11.68	12.09	11.17	12.04	100388032	1172967424.00
2017/04/28	12.00	12.04	11.63	11.94	68704575	814557120.00
2017/05/02	11.75	12.25	11.74	12.20	78044474	944395520.00
2017/05/03	12.22	12.47	12.05	12.19	63201373	775305344.00
2017/05/04	12.11	12.35	11.71	11.99	108946458	1301012480.00
2017/05/05	11.84	11.87	11.51	11.67	87749569	1025178752.00
2017/05/08	11.58	11.80	10.53	10.97	161746024	1777888000.00
2017/05/09	10.80	10.95	10.56	10.79	68376306	736847552.00
2017/05/10	10.93	11.04	10.50	10.52	66077420	711239808.00
2017/05/11	10.40	10.93	10.35	10.91	73532434	781311488.00
2017/05/12	10.87	11.07	10.80	10.86	66979483	733044544.00
2017/05/15	10.97	11.04	10.13	10.26	106961982	1123548288.00
2017/05/16	10.22	10.46	9.85	10.38	110095050	1114124288.00
2017/05/17	10.36	10.86	10.30	10.60	91923288	979508928.00
2017/05/18	10.49	10.81	10.36	10.56	50722215	538997952.00
2017/05/19	10.53	10.64	10.23	10.27	53714716	555420928.00
2017/05/22	10.25	10.31	9.96	10.04	63616241	642382208.00
2017/05/23	9.98	10.01	9.47	9.70	98384758	957998208.00
2017/05/24	9.64	9.74	9.35	9.73	53254567	510476480.00
2017/05/25	9.69	10.05	9.55	10.01	80733510	793750784.00
2017/05/26	10.05	10.37	9.99	10.19	81817576	837490688.00
2017/05/31	10.42	10.45	10.10	10.17	55124629	564673088.00
2017/06/01	10.11	10.14	9.85	9.93	61218630	609480512.00
2017/06/02	9.93	10.07	9.70	10.00	51468405	511947040.00
2017/06/05	10.07	10.38	10.01	10.37	73868385	754267392.00
2017/06/06	10.23	10.34	10.17	10.27	50185201	514330720.00
2017/06/07	10.25	10.56	10.25	10.50	70711141	740723648.00
2017/06/08	10.49	10.88	10.49	10.87	93124527	1001997952.00
2017/06/09	10.90	11.30	10.80	11.17	108597361	1207780608.00
2017/06/12	11.18	11.24	11.02	11.10	49323530	548545408.00
2017/06/13	11.10	11.20	10.97	11.09	50829606	561901120.00
2017/06/14	11.11	11.18	10.79	10.84	60580554	665140352.00
2017/06/15	10.81	10.92	10.66	10.80	59123260	636211520.00
2017/06/16	10.78	10.80	10.58	10.67	48206259	514248736.00
2017/06/19	10.75	11.06	10.72	11.05	84618180	926165888.00
2017/06/20	11.05	11.28	10.96	10.98	72055932	803584256.00
2017/06/21	11.12	11.17	10.90	11.06	47294957	520717728.00
2017/06/22	11.07	11.17	10.90	10.91	68510045	758965568.00
2017/06/23	10.86	11.02	10.70	10.99	55584162	601660096.00
2017/06/26	10.75	11.15	10.72	11.11	81853581	897766144.00
2017/06/27	11.11	11.48	11.08	11.09	80902368	908588480.00
2017/06/28	11.09	11.09	10.90	11.08	45765354	503615680.00
2017/06/29	11.06	11.35	11.05	11.22	62499267	701970432.00
2017/06/30	11.18	11.35	11.10	11.24	44449297	500285408.00
2017/07/03	11.25	11.47	11.24	11.32	59886974	679242240.00
2017/07/04	11.33	11.33	10.89	10.91	90789857	1002329920.00
2017/07/05	10.91	11.10	10.80	11.09	46450169	508654688.00
2017/07/06	11.11	11.30	11.11	11.24	68682197	770208704.00
2017/07/07	11.28	11.28	11.06	11.11	45317014	503428576.00
2017/07/10	11.18	11.38	11.10	11.33	82762244	934977728.00
2017/07/11	11.33	11.34	11.10	11.17	55474471	620570880.00
2017/07/12	11.10	11.14	10.89	10.97	66986850	735414272.00
2017/07/13	10.90	11.39	10.90	11.38	118324234	1331784832.00
2017/07/14	11.38	11.54	11.28	11.37	78651391	897581888.00
2017/07/17	11.33	11.47	10.89	11.05	92569644	1029108992.00
2017/07/18	11.00	11.30	10.85	11.29	93904932	1037879936.00
2017/07/19	11.27	11.93	11.14	11.82	200302472	2344196608.00
2017/07/20	11.81	12.13	11.75	11.83	120802148	1440856576.00
2017/07/21	11.86	12.19	11.86	11.97	105923704	1275141120.00
2017/07/24	11.92	12.34	11.77	11.94	98770959	1190927744.00
2017/07/25	11.99	12.01	11.48	11.65	108632901	1265305216.00
2017/07/26	11.66	11.70	11.39	11.57	72232417	830019904.00
2017/07/27	11.55	11.55	11.22	11.39	76827264	872668736.00
2017/07/28	11.36	11.50	11.30	11.42	56421101	643574464.00
