600070 浙江富润 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	13.39	13.47	13.30	13.37	2714473	36296260.00
2017/03/28	13.37	13.41	13.27	13.30	2054511	27386768.00
2017/03/29	13.30	13.33	13.08	13.11	2348755	30874152.00
2017/03/30	13.05	13.15	12.70	12.73	2654145	34315816.00
2017/03/31	12.75	12.87	12.70	12.83	2207491	28190572.00
2017/04/05	12.83	13.20	12.74	13.18	3786538	49070164.00
2017/04/06	13.15	13.38	13.09	13.12	2471683	32576560.00
2017/04/07	13.01	13.42	13.01	13.27	3056512	40680616.00
2017/04/10	13.26	13.28	12.92	12.99	2626386	34214360.00
2017/04/11	13.05	13.10	12.74	13.06	2623014	33878056.00
2017/04/12	13.12	13.12	12.80	12.98	1892464	24478276.00
2017/04/13	13.07	13.13	12.83	12.95	1613942	20970124.00
2017/04/14	13.00	13.00	12.80	12.86	1568207	20185232.00
2017/04/17	12.98	12.98	12.60	12.64	1608532	20464472.00
2017/04/18	12.70	12.70	12.35	12.37	2362284	29582704.00
2017/04/19	12.31	12.35	11.60	12.09	3542438	42540536.00
2017/04/20	12.01	12.38	11.93	12.16	2314019	28314126.00
2017/04/21	12.28	12.30	12.03	12.15	1323911	16059377.00
2017/04/24	12.16	12.16	11.72	11.91	2252397	26794320.00
2017/04/25	11.88	12.00	11.80	11.97	2488803	29686550.00
2017/04/26	11.93	11.93	10.77	10.77	10263485	114182008.00
2017/04/27	10.60	10.77	10.08	10.73	8402228	87712520.00
2017/04/28	10.57	10.74	10.51	10.69	4481455	47526432.00
2017/05/02	10.80	11.67	10.70	11.31	7160569	80407384.00
2017/05/03	11.48	11.48	11.00	11.39	4133404	46640656.00
2017/05/04	11.50	11.50	11.21	11.25	2399758	27166274.00
2017/05/05	11.27	11.30	10.91	11.18	2551943	28446430.00
2017/05/08	11.11	11.16	10.55	10.64	2433194	26241648.00
2017/05/09	10.64	10.97	10.55	10.96	2469978	26773864.00
2017/05/10	10.94	11.08	10.77	10.78	2424216	26499480.00
2017/05/11	10.72	10.79	10.22	10.55	2463325	25837536.00
2017/05/12	10.55	10.70	10.40	10.53	1422431	14997481.00
2017/05/15	10.58	11.30	10.54	11.15	4316101	47642956.00
2017/05/16	11.10	11.15	10.81	11.13	3584872	39286708.00
2017/05/17	11.07	11.24	11.00	11.10	2830328	31457294.00
2017/05/18	11.03	11.17	10.92	11.10	1828256	20275398.00
2017/05/19	11.17	11.17	11.01	11.06	1134274	12551630.00
2017/05/22	11.18	11.28	11.02	11.16	4136162	46225808.00
2017/05/23	11.10	11.27	10.90	11.07	2946445	32657968.00
2017/05/24	11.08	11.08	10.80	10.99	2134469	23400364.00
2017/05/25	10.98	11.14	10.88	11.03	1347552	14835273.00
2017/05/26	11.06	11.37	11.05	11.31	3433994	38774268.00
2017/05/31	11.35	11.35	11.15	11.26	2164790	24352416.00
2017/06/01	11.20	11.25	11.02	11.17	2097001	23395302.00
2017/06/02	11.18	11.96	11.06	11.79	9360806	107830368.00
2017/06/05	11.81	12.13	11.81	11.93	4314290	51540008.00
2017/06/06	12.10	12.13	11.86	11.95	3730259	44469756.00
2017/06/07	11.97	12.14	11.89	12.04	4317982	51823472.00
2017/06/08	11.99	12.68	11.99	12.47	5992017	74283472.00
2017/06/09	12.47	12.68	12.40	12.48	3568881	44537200.00
2017/06/12	12.45	12.66	12.30	12.36	3565800	44519776.00
2017/06/13	12.38	12.65	12.25	12.55	2287971	28621304.00
2017/06/14	12.62	12.66	12.42	12.53	2663340	33358248.00
2017/06/15	12.53	12.61	12.48	12.50	2088349	26185716.00
2017/06/16	12.51	13.00	12.20	12.26	9292211	115710832.00
2017/06/19	12.24	12.25	11.91	11.99	5398696	64997596.00
2017/06/20	12.08	12.10	11.94	11.99	3225380	38710624.00
