600071 凤凰光学 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	22.29	22.47	22.16	22.17	1985829	44219960.00
2017/03/28	22.00	22.15	21.55	21.58	2786907	60836492.00
2017/03/29	21.58	21.78	20.90	21.04	2905311	61762608.00
2017/03/30	20.70	21.25	20.30	20.61	2587423	53387276.00
2017/03/31	20.66	20.87	20.22	20.59	1713375	35236708.00
2017/04/05	20.57	20.96	20.57	20.89	1839197	38213652.00
2017/04/06	20.90	20.93	20.49	20.77	1687281	34863112.00
2017/04/07	20.91	21.36	20.71	21.22	2829218	59892384.00
2017/04/10	21.20	21.28	20.52	20.85	2551832	53279264.00
2017/04/11	20.85	20.99	20.18	20.71	1906516	39306772.00
2017/04/12	20.65	20.65	20.28	20.53	1396164	28559180.00
2017/04/13	20.50	20.64	20.20	20.26	1134278	23067020.00
2017/04/14	20.26	20.40	19.50	19.59	2444092	48256888.00
2017/04/17	19.65	19.68	18.91	19.05	1845672	35611752.00
2017/04/18	19.15	19.15	17.90	18.01	2446699	45218120.00
2017/04/19	17.98	17.99	16.51	17.54	3424839	59023396.00
2017/04/20	17.54	17.63	16.90	17.10	1714745	29506352.00
2017/04/21	17.10	17.55	17.00	17.13	1794692	30846894.00
2017/04/24	17.09	17.50	16.66	17.01	1944490	33123376.00
2017/04/25	17.01	17.22	16.69	17.00	4023240	68049584.00
2017/04/26	16.97	17.54	16.90	17.50	1466783	25193624.00
2017/04/27	17.40	17.62	17.02	17.53	1421097	24663404.00
2017/04/28	17.60	17.70	17.26	17.55	1224400	21353916.00
2017/05/02	17.52	17.52	17.25	17.28	1295031	22405988.00
2017/05/03	17.28	17.43	17.00	17.17	1553297	26678912.00
2017/05/04	17.18	17.24	17.04	17.17	1198207	20561056.00
2017/05/05	17.10	17.25	17.10	17.22	1047044	17967104.00
2017/05/08	17.30	18.94	17.24	18.94	4560196	85254888.00
2017/05/09	18.82	20.57	18.50	20.42	12851878	252772880.00
2017/05/10	20.44	20.44	18.85	18.98	7900281	155534576.00
2017/05/11	18.70	18.70	17.10	18.10	8432312	151848704.00
2017/05/12	18.20	18.43	17.21	17.51	4841108	85115416.00
2017/05/15	17.50	18.10	17.32	17.59	4908589	87363456.00
2017/05/16	17.49	17.79	16.91	17.71	4413496	76303072.00
2017/05/17	17.70	19.48	17.43	19.48	8232200	152805200.00
2017/05/18	19.19	20.35	18.83	19.54	8870837	172236640.00
2017/05/19	19.52	20.00	19.10	19.93	7112416	139478688.00
2017/05/22	19.70	20.66	19.56	20.19	8464286	171693072.00
2017/05/23	20.10	20.34	19.38	19.60	5026087	98874200.00
2017/05/24	19.20	19.98	18.42	19.94	3764483	73581552.00
2017/05/25	19.94	20.47	19.68	20.37	5796275	116828216.00
2017/05/26	20.25	20.50	20.01	20.38	3778459	76761680.00
2017/05/31	20.40	20.50	19.88	19.90	3205107	64539764.00
2017/06/01	19.78	20.00	19.00	19.57	3264553	63662956.00
2017/06/02	19.33	20.43	19.24	20.40	3801534	76136016.00
2017/06/05	20.40	21.22	20.22	20.88	4576493	95141504.00
2017/06/06	20.73	21.13	20.54	20.81	2273703	47445828.00
2017/06/07	20.90	21.37	20.72	21.29	3450860	72881688.00
2017/06/08	21.48	21.53	20.80	20.82	2532309	53448940.00
2017/06/09	20.82	21.04	20.70	20.98	1802981	37645388.00
2017/06/12	20.84	21.26	20.61	21.13	2454570	51571844.00
2017/06/13	21.00	21.02	20.41	20.61	3522107	72862088.00
2017/06/14	20.52	20.80	20.45	20.57	1595552	32892398.00
2017/06/15	20.47	21.54	20.45	21.28	3745913	79123016.00
2017/06/16	21.27	23.37	21.11	22.94	7173127	158989168.00
2017/06/19	22.90	23.75	22.45	22.85	6805134	157290064.00
2017/06/20	23.13	23.22	22.60	22.93	3416900	78036752.00
2017/06/21	22.88	22.98	22.12	22.87	4997601	113170456.00
2017/06/22	22.84	22.93	22.46	22.49	3334295	75677280.00
2017/06/23	22.48	23.48	22.26	22.99	3369192	77266336.00
2017/06/26	22.90	23.40	22.85	23.31	2854493	66082920.00
2017/06/27	23.31	23.66	23.10	23.31	2847583	66647496.00
2017/06/28	23.58	23.58	22.99	23.11	1724391	39922408.00
2017/06/29	23.04	23.31	22.80	23.11	1984428	45721312.00
2017/06/30	23.08	23.09	22.51	22.67	1700617	38652912.00
2017/07/03	22.78	22.99	22.52	22.70	1353427	30778108.00
2017/07/04	22.70	22.96	22.55	22.72	2304294	52262016.00
2017/07/05	22.70	23.28	22.62	23.12	2500831	57542976.00
2017/07/06	23.10	23.38	22.80	22.84	1641424	37653392.00
2017/07/07	22.84	22.88	22.70	22.87	1576220	35919452.00
2017/07/10	23.00	23.04	22.42	22.58	1884910	42733360.00
2017/07/11	22.47	22.60	21.33	21.35	3679225	80281120.00
2017/07/12	21.27	21.87	21.12	21.71	1714245	36848336.00
2017/07/13	21.80	21.97	21.36	21.82	1293913	28153320.00
2017/07/14	21.73	21.99	21.40	21.45	814848	17741792.00
2017/07/17	21.30	21.41	19.81	20.08	2817643	57883172.00
2017/07/18	20.05	20.20	18.81	19.38	3084691	59662700.00
2017/07/19	19.30	19.48	19.10	19.38	2258758	43606528.00
2017/07/20	19.38	20.34	19.38	20.01	3153220	62511140.00
2017/07/21	19.84	20.80	19.82	19.99	2104760	42532084.00
2017/07/24	19.90	20.15	19.71	20.02	1027602	20487524.00
2017/07/25	20.17	20.20	19.75	19.91	848600	16853708.00
2017/07/26	20.02	20.02	19.43	19.49	1042300	20527358.00
2017/07/27	19.40	19.96	19.40	19.80	971518	19161274.00
2017/07/28	19.96	19.96	19.77	19.80	891500	17680568.00
