600074 ST保千里 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	13.38	13.65	13.30	13.55	15354112	207139648.00
2017/03/28	13.55	13.63	13.37	13.41	8467804	114180704.00
2017/03/29	13.44	13.50	13.17	13.18	10572464	140713952.00
2017/03/30	13.17	13.17	12.80	12.92	18181214	234560000.00
2017/03/31	12.85	12.97	12.82	12.90	6623362	85349760.00
2017/04/05	12.90	13.16	12.90	13.12	8776997	114776160.00
2017/04/06	13.10	13.18	13.03	13.10	6373217	83533744.00
2017/04/07	13.12	13.15	12.97	13.01	7268294	94709696.00
2017/04/10	13.07	13.18	12.81	13.11	16743425	217531840.00
2017/04/11	13.08	13.32	12.99	13.29	15739023	207548704.00
2017/04/12	13.29	13.40	13.21	13.22	11322572	150459360.00
2017/04/13	13.17	13.24	13.10	13.23	7788281	102734064.00
2017/04/14	13.23	13.23	13.00	13.01	7777690	101805720.00
2017/04/17	13.00	13.25	12.83	13.19	12139346	159044928.00
2017/04/18	13.19	13.48	13.17	13.33	17333213	231552960.00
2017/04/19	13.23	13.36	13.04	13.09	9193885	120767880.00
2017/04/20	12.81	13.24	12.81	13.19	13010331	169664704.00
2017/04/21	13.18	13.23	12.97	13.02	6108232	80084088.00
2017/04/24	13.02	13.06	12.44	12.54	11295189	142959856.00
2017/04/25	12.48	12.64	12.30	12.48	11416073	142305856.00
2017/04/26	12.42	12.66	12.35	12.64	16394500	204767136.00
2017/04/27	12.66	12.66	12.36	12.56	6533251	81673784.00
2017/04/28	12.51	12.62	12.37	12.57	7094390	88632304.00
2017/05/02	12.57	12.65	12.46	12.60	11072441	139091408.00
2017/05/03	12.55	12.71	12.55	12.61	7359310	92812208.00
2017/05/04	12.56	12.64	12.52	12.54	7918455	99665944.00
2017/05/05	12.50	12.57	12.01	12.48	12224365	150636224.00
2017/05/08	12.35	12.50	12.26	12.42	7799076	96561032.00
2017/05/09	12.36	12.54	12.28	12.47	6100925	75689136.00
2017/05/10	12.51	12.51	12.22	12.26	8359900	103735664.00
2017/05/11	12.16	12.24	11.36	12.07	13830916	164352080.00
2017/05/12	11.90	12.15	11.58	12.09	16683515	197958144.00
2017/05/15	12.01	12.53	11.96	12.47	13292334	162253712.00
2017/05/16	12.37	12.83	12.26	12.78	13002295	163999744.00
2017/05/17	12.73	12.97	12.66	12.77	8712581	111524152.00
2017/05/18	12.70	12.95	12.62	12.79	7774456	99654168.00
2017/05/19	12.77	12.86	12.60	12.77	7380185	93951120.00
2017/05/22	12.70	12.75	12.48	12.51	5853681	73609224.00
2017/05/23	12.59	12.59	11.96	12.07	9405973	115714680.00
2017/05/24	12.03	12.38	12.02	12.22	8118090	98550520.00
2017/05/25	12.15	12.28	11.97	12.16	10760900	130428592.00
2017/05/26	12.20	12.33	12.15	12.25	5651745	69041456.00
2017/05/31	12.32	12.36	12.15	12.16	4702401	57733848.00
2017/06/01	12.14	12.17	11.80	11.85	6388301	76521416.00
2017/06/02	11.85	12.10	11.78	12.08	6390793	76394096.00
2017/06/05	12.11	12.12	12.02	12.06	4961517	59929096.00
2017/06/06	12.05	12.10	12.00	12.06	4925813	59350640.00
2017/06/07	12.06	12.20	12.03	12.18	7749973	94068120.00
2017/06/08	12.08	12.19	12.08	12.11	7206654	87343736.00
2017/06/09	12.15	12.15	11.92	12.06	8886611	106621032.00
2017/06/12	11.93	12.02	11.71	11.77	9311635	110644456.00
2017/06/13	11.72	11.97	11.72	11.92	8370845	99441888.00
2017/06/14	11.95	11.95	11.79	11.80	4551644	53876552.00
2017/06/15	11.85	11.96	11.80	11.94	6500010	77220512.00
2017/06/16	11.94	11.97	11.83	11.93	5001361	59397708.00
2017/06/19	11.93	11.94	11.84	11.90	4908737	58365272.00
2017/06/20	11.90	12.03	11.86	12.02	9088378	108766824.00
2017/06/21	12.18	12.22	11.96	12.07	9078517	109651600.00
2017/06/22	12.03	13.09	12.00	12.69	38949389	491411840.00
2017/06/23	12.62	13.18	12.52	13.13	32178694	414302624.00
2017/06/26	13.02	13.19	12.91	13.11	19963431	260787344.00
2017/06/27	13.02	13.08	12.81	12.84	16031107	206627760.00
2017/06/28	12.85	12.85	12.58	12.65	10482756	132768592.00
2017/06/29	12.73	12.94	12.65	12.78	9718455	124451384.00
2017/06/30	12.66	12.99	12.65	12.81	9352557	120355840.00
2017/07/03	12.82	13.24	12.71	13.21	23294238	303845984.00
2017/07/04	13.24	13.33	13.08	13.17	19634454	259211632.00
2017/07/05	13.08	13.44	13.07	13.37	20354525	270965952.00
