600075 新疆天业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	14.65	14.75	14.21	14.30	16045435	230621744.00
2017/03/28	14.20	14.97	14.20	14.92	27003158	397184000.00
2017/03/29	14.85	14.95	14.56	14.59	20858013	307513888.00
2017/03/30	14.50	15.27	14.41	14.76	36709393	549413248.00
2017/03/31	14.81	15.20	13.61	13.77	30912957	439310048.00
2017/04/05	13.51	14.06	13.51	13.99	13125486	182349360.00
2017/04/06	13.91	14.22	13.81	13.94	11267093	157968448.00
2017/04/07	13.88	13.99	13.60	13.83	11680246	160656992.00
2017/04/10	13.77	14.38	13.62	14.28	17568069	244953104.00
2017/04/11	14.11	14.67	14.05	14.54	18437707	265123088.00
2017/04/12	14.46	14.66	14.00	14.02	12113140	173964736.00
2017/04/13	13.88	14.13	13.87	14.03	6854436	95826688.00
2017/04/14	14.01	14.25	13.87	13.92	7429942	104414248.00
2017/04/17	14.08	14.27	13.82	14.21	8980445	126577200.00
2017/04/18	14.25	14.46	14.01	14.18	11121173	158445184.00
2017/04/19	14.06	14.28	13.51	13.68	13577463	188491696.00
2017/04/20	13.61	13.79	13.06	13.32	13324441	178700384.00
2017/04/21	13.33	13.47	12.99	13.11	9180061	121039176.00
2017/04/24	13.25	13.43	13.00	13.02	10134140	133932800.00
2017/04/25	12.91	13.21	12.80	13.09	5789444	75681456.00
2017/04/26	13.14	13.27	13.04	13.15	4840586	63767300.00
2017/04/27	13.10	13.46	12.86	13.37	8979813	118584224.00
2017/04/28	13.28	13.43	13.27	13.41	5364273	71581360.00
2017/05/02	13.40	13.92	13.36	13.83	10574276	145070736.00
2017/05/03	13.87	14.88	13.72	14.18	20773086	298473888.00
2017/05/04	14.15	14.39	13.92	14.19	13546520	191492144.00
2017/05/05	14.02	14.13	13.52	13.55	12619816	174475616.00
2017/05/08	13.58	13.87	13.19	13.24	10604171	143390784.00
2017/05/09	13.11	13.42	12.98	13.38	6694520	88559328.00
2017/05/10	13.37	13.50	12.90	13.01	7017797	92727928.00
2017/05/11	12.92	13.11	12.53	12.89	10964016	140406176.00
2017/05/12	12.89	12.98	12.66	12.96	5785227	74412704.00
2017/05/15	13.04	13.20	12.81	12.84	5356716	69498056.00
2017/05/16	12.78	13.06	12.53	13.05	8011837	102328160.00
2017/05/17	13.05	13.19	12.98	13.12	6286192	82473136.00
2017/05/18	12.97	13.05	12.58	12.84	5707831	73609008.00
2017/05/19	12.90	13.05	12.84	12.97	4048036	52407692.00
2017/05/22	12.85	12.97	12.48	12.51	5984465	75893600.00
2017/05/23	12.49	12.56	11.71	11.74	7856763	95223208.00
2017/05/24	11.75	11.97	11.60	11.92	4234219	49986724.00
2017/05/25	11.90	12.08	11.73	11.97	5169004	61605168.00
2017/05/26	12.03	12.09	11.86	11.91	5344263	63910024.00
2017/05/31	12.06	12.14	11.81	11.86	6586800	78808768.00
2017/06/01	11.95	11.95	11.51	11.53	5820406	68200144.00
2017/06/02	11.38	11.60	11.10	11.54	6131013	69677144.00
2017/06/05	11.61	12.10	11.61	12.00	6932362	82671936.00
2017/06/06	12.00	12.07	11.90	12.06	3076325	36895040.00
2017/06/07	12.03	12.33	12.01	12.29	6442730	78522696.00
2017/06/08	12.30	12.37	12.18	12.28	6805610	83523088.00
