600082 海泰发展 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	8.20	8.29	8.07	8.11	7103866	57666956.00
2017/03/28	8.10	8.15	8.01	8.07	5194912	41914192.00
2017/03/29	8.09	8.09	7.87	7.87	8840100	70378664.00
2017/03/30	7.76	7.81	7.38	7.48	16273295	123039024.00
2017/03/31	7.46	7.79	7.45	7.57	8119391	61616380.00
2017/04/05	8.29	8.29	7.86	7.98	19070778	153147792.00
2017/04/06	7.95	7.95	7.81	7.88	11558300	90916240.00
2017/04/07	7.87	8.23	7.68	8.18	21350654	170472432.00
2017/04/10	8.06	8.64	7.95	8.09	49348579	404724960.00
2017/04/11	7.98	8.46	7.94	8.39	41370314	341338688.00
2017/04/12	8.25	8.30	8.00	8.00	24822813	201722816.00
2017/04/13	8.00	8.50	7.94	8.41	23501505	193947632.00
2017/04/14	8.46	8.48	8.12	8.20	20838403	171966784.00
2017/04/17	8.06	8.20	7.91	7.96	12803160	102577360.00
2017/04/18	8.03	8.17	7.91	7.93	9318751	74811488.00
2017/04/19	7.81	7.86	7.48	7.66	16509772	126385264.00
2017/04/20	7.61	7.73	7.20	7.31	12877608	96264312.00
2017/04/21	7.36	7.44	7.25	7.32	5987320	43854024.00
2017/04/24	7.33	7.36	6.84	6.85	9553405	66588892.00
2017/04/25	6.91	7.05	6.80	6.91	8967041	62218988.00
2017/04/26	6.93	7.06	6.86	7.01	8526938	59517536.00
2017/04/27	7.01	7.07	6.66	7.06	13592424	93256048.00
2017/04/28	6.95	7.12	6.95	7.01	5814101	40873960.00
2017/05/02	7.06	7.13	6.95	7.03	5473070	38575144.00
2017/05/03	7.03	7.08	6.84	6.91	5813302	40295544.00
2017/05/04	7.00	7.30	6.85	7.08	10669302	76155160.00
2017/05/05	6.98	7.01	6.80	6.81	8039922	55448492.00
2017/05/08	6.72	6.79	6.45	6.47	7231400	47901744.00
2017/05/09	6.44	6.55	6.29	6.45	5438771	34901440.00
2017/05/10	6.47	6.52	6.38	6.40	5848401	37653548.00
2017/05/11	6.34	6.35	5.92	6.16	8508068	52186044.00
2017/05/12	6.15	6.21	6.05	6.14	3901794	23917160.00
2017/05/15	6.20	6.22	6.10	6.13	3634900	22377836.00
2017/05/16	6.13	6.45	6.02	6.39	8710100	55031992.00
2017/05/17	6.40	6.69	6.38	6.60	11171198	73346768.00
2017/05/18	6.52	6.58	6.41	6.45	5580701	36246340.00
2017/05/19	6.48	6.53	6.30	6.35	4842321	30877062.00
2017/05/22	6.38	6.38	6.05	6.10	5862348	36326688.00
2017/05/23	6.04	6.14	5.88	5.89	4845200	29165814.00
2017/05/24	5.89	5.99	5.72	5.99	3550402	20894208.00
2017/05/25	5.99	6.10	5.90	6.09	3795801	22882032.00
2017/05/26	6.08	6.13	6.03	6.09	3228800	19659866.00
2017/05/31	6.19	6.19	6.00	6.02	3822900	23298128.00
2017/06/01	6.02	6.08	5.84	5.86	3861100	23012592.00
2017/06/02	5.86	6.00	5.81	5.98	3675441	21795012.00
2017/06/05	5.98	6.58	5.96	6.58	12108585	76433088.00
2017/06/06	6.67	6.69	6.37	6.45	9393000	60983416.00
2017/06/07	6.47	6.92	6.47	6.65	11530001	77545952.00
2017/06/08	6.65	6.78	6.56	6.66	6539500	43429952.00
2017/06/09	6.66	6.75	6.59	6.62	4791001	31948952.00
2017/06/12	6.61	6.61	6.45	6.45	5208561	33818484.00
2017/06/13	6.45	6.58	6.45	6.56	3501000	22887584.00
2017/06/14	6.52	6.66	6.46	6.65	3806397	24974456.00
2017/06/15	6.62	6.77	6.60	6.72	5059200	33817348.00
2017/06/16	6.78	6.78	6.59	6.66	4057369	27112658.00
2017/06/19	6.62	6.71	6.61	6.67	2797601	18625736.00
2017/06/20	6.67	6.70	6.58	6.61	2871411	19085316.00
2017/06/21	6.60	6.66	6.51	6.56	3436062	22563860.00
2017/06/22	6.58	6.63	6.30	6.31	4323701	28066112.00
2017/06/23	6.34	6.45	6.29	6.42	3972811	25335624.00
2017/06/26	6.40	6.48	6.39	6.46	2779416	17889148.00
2017/06/27	6.49	6.52	6.40	6.44	2345800	15120952.00
2017/06/28	6.43	6.46	6.24	6.28	4113700	26007482.00
2017/06/29	6.26	6.40	6.25	6.26	3501715	22043648.00
2017/06/30	6.23	6.35	6.23	6.34	2358624	14867490.00
2017/07/03	6.35	6.38	6.29	6.36	2159801	13673331.00
2017/07/04	6.37	6.39	6.30	6.36	2517500	15964294.00
2017/07/05	6.37	6.49	6.34	6.48	3505561	22543324.00
2017/07/06	6.47	6.49	6.32	6.42	3195604	20543958.00
2017/07/07	6.38	6.47	6.38	6.45	2216502	14257932.00
2017/07/10	6.44	6.56	6.39	6.47	4657274	30161332.00
2017/07/11	6.44	6.45	6.24	6.26	5246201	33232264.00
2017/07/12	6.26	6.32	6.12	6.22	3246443	20127482.00
2017/07/13	6.20	6.25	6.13	6.17	3695901	22806294.00
2017/07/14	6.19	6.19	6.06	6.12	3578244	21876394.00
2017/07/17	6.11	6.14	5.70	5.81	5297807	31213660.00
2017/07/18	5.83	5.89	5.75	5.88	3020800	17613524.00
2017/07/19	5.81	5.92	5.81	5.90	4142200	24321888.00
