600084 中葡股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	11.75	11.80	11.55	11.70	36462156	424656192.00
2017/03/28	11.61	11.86	10.53	10.53	121072654	1325339776.00
2017/03/29	10.00	10.01	9.55	9.84	76789681	752908032.00
2017/03/30	9.70	9.96	9.60	9.69	43915473	427612064.00
2017/03/31	9.70	9.87	9.65	9.80	26809259	261685200.00
2017/04/05	9.75	9.89	9.70	9.83	24218770	237594000.00
2017/04/06	9.79	9.79	9.59	9.65	31495209	304262368.00
2017/04/07	9.63	9.65	9.39	9.48	27131782	257007120.00
2017/04/10	9.40	9.41	9.00	9.02	36458188	331831104.00
2017/04/11	9.00	9.21	8.70	9.12	27439103	247617312.00
2017/04/12	9.05	9.45	8.92	9.32	33838580	311902432.00
2017/04/13	9.21	9.28	9.11	9.17	18373471	168825856.00
2017/04/14	9.05	9.21	9.05	9.07	12855452	117281560.00
2017/04/17	9.01	9.08	8.73	8.80	16905706	149535040.00
2017/04/18	8.80	9.30	8.78	9.03	24539681	222393408.00
2017/04/19	8.95	9.08	8.80	8.92	14383792	128076672.00
2017/04/20	8.86	9.18	8.86	9.10	20455182	185105776.00
2017/04/21	9.10	9.17	8.94	9.11	15483427	140145648.00
2017/04/24	9.01	9.05	8.65	8.66	16204336	143216848.00
2017/04/25	8.60	8.82	8.17	8.36	24431823	207234272.00
2017/04/26	8.38	8.45	8.05	8.28	23006001	189919728.00
2017/04/27	8.20	8.35	7.90	8.16	26092515	211126304.00
2017/04/28	8.05	8.25	8.04	8.17	14513759	118104728.00
2017/05/02	8.17	8.28	8.10	8.22	13967674	114465288.00
2017/05/03	8.21	8.32	8.16	8.23	12230089	100661504.00
2017/05/04	8.20	8.22	7.99	8.06	15381115	124749624.00
2017/05/05	8.05	8.08	7.87	7.89	13234576	105761456.00
2017/05/08	7.71	7.83	7.10	7.10	25640305	191291888.00
2017/05/09	6.98	7.15	6.80	6.98	30641592	212785056.00
2017/05/10	6.98	7.13	6.88	6.90	17864636	125428528.00
2017/05/11	6.75	6.86	6.38	6.70	25334483	167948960.00
2017/05/12	6.72	6.91	6.68	6.87	19357360	131621920.00
2017/05/15	6.98	7.45	6.95	7.27	36926384	267666496.00
2017/05/16	7.26	7.26	7.04	7.25	21358922	152277232.00
2017/05/17	7.16	7.31	7.09	7.16	18226997	131125872.00
2017/05/18	7.01	7.21	6.96	7.03	18156415	128454096.00
2017/05/19	7.00	7.11	6.96	7.02	10556749	74144096.00
2017/05/22	7.00	7.03	6.64	6.68	15278572	104176064.00
2017/05/23	6.59	6.69	6.35	6.37	16297070	106036408.00
2017/05/24	6.30	6.37	6.10	6.36	15243168	95324800.00
2017/05/25	6.39	6.68	6.36	6.51	20999150	137072704.00
2017/05/26	6.45	6.65	6.44	6.54	15052769	98585864.00
2017/05/31	6.58	6.62	6.38	6.40	11091315	72396944.00
2017/06/01	6.30	6.48	6.17	6.18	13611746	86338720.00
2017/06/02	6.15	6.25	5.98	6.24	14467908	88645544.00
2017/06/05	6.24	6.37	6.20	6.31	11169974	70489360.00
2017/06/06	6.34	6.66	6.29	6.59	26065816	170590992.00
2017/06/07	6.50	6.74	6.49	6.69	21964851	145380368.00
2017/06/08	6.71	6.98	6.64	6.80	27008450	184136816.00
2017/06/09	6.78	6.84	6.72	6.81	11964801	81075232.00
2017/06/12	6.75	6.87	6.55	6.60	16325339	109276568.00
2017/06/13	6.60	6.77	6.55	6.72	13489375	90023960.00
2017/06/14	6.70	7.23	6.65	7.04	29624290	206536992.00
2017/06/15	6.98	7.28	6.94	7.11	27165180	193989088.00
2017/06/16	7.11	7.18	6.99	7.08	12835291	90721024.00
2017/06/19	7.08	7.11	7.00	7.09	10913300	77022872.00
2017/06/20	7.07	7.22	7.02	7.07	15435595	109626832.00
2017/06/21	7.07	7.15	7.03	7.11	12312635	87336576.00
2017/06/22	7.06	7.10	6.81	6.87	16131100	112529936.00
2017/06/23	6.83	6.96	6.69	6.93	14981781	102525320.00
2017/06/26	6.99	7.06	6.95	7.00	11481323	80504152.00
2017/06/27	7.03	7.38	7.03	7.29	34516899	250232416.00
2017/06/28	7.23	7.60	7.11	7.34	33072182	242986432.00
2017/06/29	7.27	7.37	7.21	7.24	15282208	111054992.00
2017/06/30	7.21	7.49	7.20	7.43	28543332	211196832.00
2017/07/03	7.36	7.48	7.33	7.44	17567685	130083864.00
2017/07/04	7.42	7.54	7.35	7.38	13593907	100856696.00
2017/07/05	7.32	7.41	7.27	7.40	11897945	87590384.00
2017/07/06	7.41	7.65	7.33	7.46	19725959	147915456.00
2017/07/07	7.45	7.55	7.36	7.52	17119966	127858600.00
2018/04/25	7.52	7.52	7.52	7.52	0	0.00
数据来源:通达信
