600085 同仁堂 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	32.80	32.88	32.18	32.45	7538567	244414480.00
2017/03/28	32.00	32.15	31.55	31.78	10343204	328340576.00
2017/03/29	31.78	31.90	31.59	31.66	5700928	181018720.00
2017/03/30	31.50	31.64	30.96	31.32	8655291	270004064.00
2017/03/31	31.25	31.75	31.12	31.61	5852881	184068800.00
2017/04/05	31.89	32.13	31.56	31.66	11255539	358090848.00
2017/04/06	31.66	31.80	31.34	31.79	6021523	189941744.00
2017/04/07	31.70	31.80	31.56	31.59	5041567	159606944.00
2017/04/10	31.51	31.52	30.96	31.10	7410159	230611744.00
2017/04/11	31.10	31.26	30.69	31.02	9819665	303523520.00
2017/04/12	30.97	31.37	30.72	31.23	5540896	172159888.00
2017/04/13	31.20	31.41	31.10	31.32	3723892	116547664.00
2017/04/14	31.13	31.29	31.01	31.12	3588611	111726368.00
2017/04/17	31.00	31.48	30.85	31.48	5121873	160177968.00
2017/04/18	31.50	31.97	31.40	31.78	9210781	292236224.00
2017/04/19	31.59	32.20	31.17	31.96	10223578	325355136.00
2017/04/20	31.85	33.19	31.83	32.68	18214075	594716352.00
2017/04/21	32.60	32.66	32.06	32.54	8843436	286250144.00
2017/04/24	32.36	32.36	31.00	32.10	7483471	236911776.00
2017/04/25	31.83	32.10	31.40	31.49	6353911	201701536.00
2017/04/26	31.40	32.32	31.40	31.71	9148828	292061728.00
2017/04/27	31.45	31.46	30.68	31.25	12428924	385591072.00
2017/04/28	31.19	31.25	30.80	31.03	6910686	214131568.00
2017/05/02	31.07	31.09	30.73	30.99	4354485	134343872.00
2017/05/03	30.99	31.15	30.73	30.94	4748496	146686208.00
2017/05/04	30.85	31.08	30.73	31.00	4356725	134676992.00
2017/05/05	30.84	31.10	30.08	31.07	8511952	261090320.00
2017/05/08	30.78	31.18	30.57	31.17	7172268	221779584.00
2017/05/09	31.00	31.08	30.68	30.81	3271233	100865792.00
2017/05/10	30.83	30.98	30.66	30.81	4773681	147002928.00
2017/05/11	30.68	30.98	30.28	30.92	6660750	204292672.00
2017/05/12	30.93	31.12	30.76	30.96	4091867	126642776.00
2017/05/15	30.87	31.53	30.86	31.51	7229740	226429136.00
2017/05/16	31.53	31.64	31.21	31.59	8232574	259071456.00
2017/05/17	31.59	31.62	31.08	31.13	5730216	179641232.00
2017/05/18	30.95	31.33	30.80	31.32	4141383	128869328.00
2017/05/19	31.39	31.87	31.21	31.69	6964966	220301440.00
2017/05/22	31.69	32.23	31.35	31.94	6890996	219356672.00
2017/05/23	31.85	32.57	31.45	32.45	10658945	342998304.00
2017/05/24	32.20	32.30	31.50	32.07	10112197	321704128.00
2017/05/25	31.85	32.28	31.76	32.16	6774342	216987392.00
2017/05/26	32.15	32.24	31.82	32.04	4996572	159811424.00
2017/05/31	32.10	32.36	31.76	32.29	7068435	226535136.00
2017/06/01	32.20	32.72	31.96	32.58	9889033	320477664.00
2017/06/02	32.45	32.65	32.20	32.40	5055660	164041024.00
2017/06/05	32.40	32.41	31.68	31.72	6498643	207296352.00
2017/06/06	31.74	32.15	31.74	32.10	4152584	132867920.00
2017/06/07	32.14	32.27	31.94	32.24	6289922	202147952.00
2017/06/08	32.24	33.26	32.08	33.17	13223176	433416256.00
2017/06/09	33.00	33.83	32.88	33.12	13099694	437769312.00
2017/06/12	33.10	34.16	32.93	33.87	15661549	528856416.00
2017/06/13	33.62	33.89	33.56	33.73	6421882	216529904.00
2017/06/14	33.25	33.43	32.80	32.94	9574382	316166112.00
2017/06/15	32.82	33.18	32.70	33.16	6773242	223352512.00
2017/06/16	33.16	33.16	32.70	32.76	5120294	168265232.00
2017/06/19	32.80	32.98	32.70	32.88	5721682	188049616.00
2017/06/20	32.83	33.08	32.64	32.74	6226312	204675248.00
2017/06/21	32.97	34.49	32.75	34.45	15184437	510760736.00
2017/06/22	34.25	34.87	33.57	33.78	15167556	520628672.00
2017/06/23	33.68	35.20	33.68	35.15	14855101	512245632.00
2017/06/26	35.00	36.10	34.81	35.19	17840900	634089728.00
2017/06/27	35.21	35.70	34.93	35.45	9518952	335596480.00
2017/06/28	35.26	35.26	34.65	34.80	8057547	281092864.00
2017/06/29	34.76	35.10	34.55	34.80	7447360	259162144.00
2017/06/30	34.76	35.13	34.54	34.96	9930266	346256736.00
2017/07/03	34.89	35.00	34.31	34.53	8166508	282778944.00
2017/07/04	34.45	34.45	33.98	34.15	8267434	282166752.00
2017/07/05	34.14	34.66	34.05	34.64	8925865	307068960.00
2017/07/06	34.65	34.67	33.74	34.19	8816761	301356416.00
2017/07/07	34.00	34.00	33.58	33.84	6554939	221418896.00
2017/07/10	33.88	33.89	33.11	33.43	7659827	255837264.00
2017/07/11	33.45	33.96	33.36	33.66	7640184	257058480.00
2017/07/12	33.60	33.70	33.10	33.60	5697824	190290928.00
2017/07/13	33.62	34.08	33.50	33.67	7834756	265140176.00
2017/07/14	33.67	34.02	33.30	34.01	5757651	193947344.00
2017/07/17	34.03	34.06	32.70	32.81	8905640	296107072.00
2017/07/18	32.77	32.99	32.31	32.58	6131333	199946608.00
2017/07/19	32.47	32.87	32.11	32.83	7888103	256845504.00
2017/07/20	32.80	33.04	32.65	33.00	5181734	170396032.00
2017/07/21	33.00	33.18	32.81	32.97	4473551	147663200.00
2017/07/24	32.92	33.18	32.75	33.06	4658703	153851488.00
2017/07/25	33.08	33.52	33.02	33.27	5384821	179431232.00
2017/07/26	33.26	33.28	32.38	32.58	6339753	207592912.00
2017/07/27	32.41	32.79	32.09	32.63	4315326	139955984.00
2017/07/28	32.60	33.03	32.43	32.78	4168824	136672688.00
2017/07/31	32.78	32.93	32.57	32.87	3627883	118904584.00
2017/08/01	32.87	33.08	32.75	33.08	4078551	134347440.00
2017/08/02	33.00	33.06	32.30	32.38	6115730	199169616.00
2017/08/03	32.15	32.57	32.15	32.30	3717494	120246576.00
2017/08/04	32.30	32.45	32.18	32.20	3671297	118528616.00
2017/08/07	32.19	32.35	32.09	32.13	6639812	213773360.00
2017/08/08	32.16	32.21	31.69	31.97	6073899	193532016.00
2017/08/09	31.85	32.45	31.84	32.30	5419202	174633312.00
2017/08/10	32.28	32.60	32.16	32.39	5307727	171872992.00
2017/08/11	32.30	32.44	32.12	32.23	4218769	136169568.00
2017/08/14	32.16	32.75	32.16	32.63	5440230	177214256.00
2017/08/15	32.68	32.82	32.45	32.60	3932900	128293776.00
2017/08/16	32.40	32.51	32.15	32.33	3364304	108801848.00
2017/08/17	32.48	32.79	32.30	32.75	5097013	166341824.00
2017/08/18	32.74	32.74	32.51	32.56	3212332	104760624.00
2017/08/21	32.64	32.90	32.51	32.71	4157070	135816400.00
2017/08/22	32.61	32.75	32.54	32.64	2674084	87254360.00
2017/08/23	32.50	32.60	32.11	32.15	4063803	131146160.00
2017/08/24	32.16	32.23	31.78	31.86	4381759	140136288.00
2017/08/25	31.86	32.17	31.86	32.15	2932827	93966528.00
2017/08/28	32.05	32.36	32.00	32.25	5117613	164716640.00
2017/08/29	32.35	32.54	32.26	32.31	4223151	136754544.00
2017/08/30	32.26	32.44	32.16	32.24	4180525	134866640.00
2017/08/31	32.24	32.36	31.90	32.27	4058836	130462376.00
2017/09/01	32.08	32.25	31.95	32.05	3645424	116906368.00
2017/09/04	32.05	32.14	31.77	31.99	6252926	199435184.00
2017/09/05	31.88	32.12	31.88	32.03	3774846	120815912.00
2017/09/06	31.90	32.18	31.80	32.12	4366501	140007552.00
2017/09/07	32.13	32.15	31.95	31.96	2931001	93909224.00
2017/09/08	31.92	32.10	31.81	31.92	2986651	95349600.00
2017/09/11	31.87	31.90	31.67	31.74	4943118	156900960.00
2017/09/12	31.74	31.80	31.22	31.34	7873813	247581728.00
2017/09/13	31.30	31.47	31.27	31.38	3488193	109450680.00
2017/09/14	31.38	31.69	31.38	31.67	3891125	122895320.00
2017/09/15	31.75	31.79	31.37	31.60	3576281	112645248.00
2017/09/18	31.61	31.78	31.40	31.70	2911468	92220784.00
2017/09/19	31.71	31.71	31.35	31.46	3639461	114600728.00
2017/09/20	31.42	31.56	31.35	31.53	2360608	74325920.00
2017/09/21	31.55	31.55	31.31	31.33	3097884	97189760.00
2017/09/22	31.32	31.40	31.22	31.32	2302919	72026576.00
2017/09/25	31.32	32.31	31.32	32.03	11998805	383813056.00
2017/09/26	32.10	32.16	31.80	31.85	4932371	157538592.00
2017/09/27	31.87	32.08	31.85	31.88	3451617	110142224.00
2017/09/28	31.91	32.13	31.82	32.08	5238763	167948112.00
2017/09/29	32.21	32.66	32.09	32.41	8168773	264714160.00
2017/10/09	32.58	32.68	32.32	32.43	7985244	259650672.00
2017/10/10	32.45	32.98	32.45	32.87	8425994	276137856.00
2017/10/11	32.88	33.25	32.67	32.73	9916604	327167200.00
2017/10/12	32.76	32.85	32.31	32.49	6245038	202907504.00
2017/10/13	32.49	32.69	32.40	32.58	4720667	153735952.00
2017/10/16	32.58	33.17	32.42	32.87	8257139	271399040.00
2017/10/17	32.78	33.10	32.56	32.90	6151046	202351616.00
2017/10/18	32.80	33.80	32.80	33.67	13264737	444194944.00
2017/10/19	33.66	34.12	33.38	33.56	12414923	418547840.00
2017/10/20	33.50	33.60	33.02	33.35	7216136	240008768.00
2017/10/23	33.34	34.16	33.31	33.96	11571643	392499296.00
2017/10/24	33.88	34.26	33.77	34.14	9608708	326867744.00
2017/10/25	33.92	34.24	33.81	34.07	6038054	205384864.00
2017/10/26	34.04	34.57	33.51	33.55	9130305	310077408.00
2017/10/27	33.56	34.30	33.44	34.19	8286331	280232992.00
2017/10/30	34.28	34.79	33.11	34.38	12716868	433323264.00
2017/10/31	34.02	34.27	33.50	33.67	7494124	252569216.00
2017/11/01	33.67	33.89	33.13	33.32	8112000	271437312.00
2017/11/02	33.32	33.38	32.71	33.08	5789483	190748496.00
2017/11/03	33.15	33.49	32.91	33.16	6807642	226055008.00
2017/11/06	33.19	34.78	32.85	34.75	18638136	636955648.00
2017/11/07	34.70	35.00	34.20	34.61	13299111	460862080.00
2017/11/08	34.59	34.82	34.32	34.61	9092586	313879552.00
2017/11/09	34.60	34.61	33.80	34.12	10652360	363053120.00
2017/11/10	34.01	34.45	33.70	34.25	12750282	434202080.00
2017/11/13	34.14	35.07	34.08	34.60	13912131	482145536.00
2017/11/14	34.60	34.69	33.55	33.73	11409705	388955488.00
2017/11/15	33.55	33.86	33.28	33.71	8962046	300595904.00
2017/11/16	33.53	34.35	33.53	34.20	7772070	264191792.00
2017/11/17	34.30	34.48	33.54	34.42	12862715	438929664.00
2017/11/20	33.98	34.70	33.30	34.67	9466980	322345344.00
2017/11/21	34.60	35.82	34.42	35.49	19928396	704616128.00
2017/11/22	35.59	35.75	34.81	35.27	13458655	474095872.00
2017/11/23	35.01	35.35	33.60	33.75	14228212	488496704.00
2017/11/24	33.51	33.51	32.95	33.26	10369770	344186144.00
2017/11/27	33.13	33.36	32.60	33.32	5862960	193976400.00
2017/11/28	33.15	33.43	32.91	33.37	3720320	123535184.00
2017/11/29	33.28	33.33	32.16	32.38	8118352	264382672.00
2017/11/30	32.00	32.67	32.00	32.28	5130439	165263408.00
2017/12/01	32.30	32.63	32.12	32.39	4142703	134448704.00
2017/12/04	32.39	32.66	32.09	32.44	3870433	125387472.00
2017/12/05	32.44	33.38	32.30	33.11	10145900	334113216.00
2017/12/06	33.11	33.25	32.86	33.12	3480358	114930088.00
2017/12/07	33.10	33.10	32.36	32.81	3577441	116926512.00
2017/12/08	32.77	32.92	32.54	32.72	3029221	99130328.00
2017/12/11	32.61	33.16	32.52	33.03	4188295	137973840.00
2017/12/12	32.88	33.05	32.38	32.43	4222923	137801024.00
2017/12/13	32.28	32.67	32.28	32.58	2683455	87302080.00
2017/12/14	32.58	32.64	32.12	32.28	3329281	107470896.00
2017/12/15	32.28	32.29	31.96	32.17	3760960	120739800.00
2017/12/18	32.14	32.34	31.77	32.12	3803802	121743960.00
2017/12/19	32.09	32.35	32.03	32.33	3380431	108866896.00
2017/12/20	32.26	32.52	32.09	32.44	3823322	123604232.00
2017/12/21	32.49	32.66	32.20	32.63	4147999	134715136.00
2017/12/22	32.60	32.63	32.10	32.21	3810876	123417632.00
2017/12/25	32.21	32.28	31.80	32.27	5333325	170706240.00
2017/12/26	32.30	32.39	31.88	32.34	3870089	124547976.00
2017/12/27	32.40	32.40	31.92	31.99	3163677	101551256.00
2017/12/28	31.86	32.13	31.82	31.92	3894542	124490760.00
2017/12/29	31.92	32.27	31.90	32.24	4474415	143776448.00
2018/01/02	32.25	32.53	32.10	32.47	5037316	162932416.00
2018/01/03	32.47	32.79	32.35	32.60	5057073	164992784.00
2018/01/04	32.60	32.86	32.41	32.52	4734561	154385184.00
2018/01/05	32.50	33.25	32.38	33.13	8973720	295223040.00
2018/01/08	33.00	34.00	32.88	33.43	8304299	277619648.00
2018/01/09	33.41	33.79	33.18	33.48	6031276	201972256.00
2018/01/10	33.37	33.65	33.00	33.30	5546686	184941552.00
2018/01/11	33.10	33.55	33.00	33.47	4842120	161789200.00
2018/01/12	33.41	33.45	32.97	33.18	4974636	164872752.00
2018/01/15	33.09	33.20	32.37	32.48	6960971	228112320.00
2018/01/16	32.50	33.53	32.40	33.50	10211806	337905088.00
2018/01/17	33.60	34.23	33.40	33.85	12433689	420996128.00
2018/01/18	33.69	34.26	33.60	34.12	8937770	303902176.00
2018/01/19	34.05	34.32	33.78	33.91	6702873	227880288.00
2018/01/22	33.86	34.60	33.75	34.53	10262766	351894400.00
2018/01/23	34.27	35.18	34.26	34.68	15913463	554222656.00
