600086 东方金钰 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	10.88	10.94	10.80	10.91	7177216	78060080.00
2017/03/28	10.91	10.94	10.76	10.79	5728973	62066504.00
2017/03/29	10.79	10.82	10.61	10.72	9228043	98952080.00
2017/03/30	10.64	10.70	10.59	10.60	7179503	76325408.00
2017/03/31	10.64	10.70	10.53	10.61	5990403	63576576.00
2017/04/05	10.82	11.10	10.68	11.01	15615419	170645888.00
2017/04/06	11.24	11.24	10.80	10.94	16867260	184415856.00
2017/04/07	10.90	11.61	10.83	11.49	33205109	374439648.00
2017/04/10	11.34	11.60	11.30	11.41	15819964	180300000.00
2017/04/11	11.41	11.54	11.25	11.27	18012338	205315648.00
2017/04/12	11.46	11.46	11.25	11.27	13510918	153079984.00
2017/04/13	11.34	11.45	11.21	11.35	8977048	101984848.00
2017/04/14	11.40	11.54	11.31	11.37	11167377	127568408.00
2017/04/17	11.27	11.46	11.26	11.41	12959664	147513616.00
2017/04/18	11.42	11.50	11.35	11.36	5176360	59071500.00
2017/04/19	11.31	11.45	11.29	11.44	8977924	102024224.00
2017/04/20	11.59	11.59	11.35	11.41	10234306	117418200.00
2017/04/21	11.34	11.49	11.32	11.40	6347900	72466040.00
2017/04/24	11.35	11.40	10.86	10.93	11118200	122880024.00
2017/04/25	11.01	11.01	10.87	10.90	5765084	62976548.00
2017/04/26	10.90	11.13	10.87	10.95	5763042	63430984.00
2017/04/27	10.90	11.02	10.78	10.99	5284822	57643408.00
2017/04/28	10.86	11.33	10.86	11.30	15917955	178373840.00
2017/05/15	10.43	10.70	10.17	10.39	46650837	478327616.00
2017/05/16	10.38	10.65	10.25	10.59	19273104	201501216.00
2017/05/17	10.68	10.77	10.45	10.69	13750025	146465040.00
2017/05/18	10.85	10.85	10.56	10.62	12979557	138526768.00
2017/05/19	10.64	10.69	10.50	10.59	8014971	84729168.00
2017/05/22	10.59	10.82	10.53	10.80	9469479	101212712.00
2017/05/23	10.78	10.99	10.70	10.86	9027710	97987096.00
2017/05/24	10.80	10.98	10.71	10.96	6068213	66072828.00
2017/05/25	10.96	11.06	10.84	11.03	5950630	65269212.00
2017/05/26	11.01	11.13	10.96	11.03	7071806	78028384.00
2017/05/31	11.08	11.22	10.82	11.20	4793400	53215708.00
2017/06/01	11.24	11.36	11.10	11.13	7535806	84449096.00
2017/06/02	11.12	11.42	11.00	11.38	11536403	129547736.00
2017/06/05	11.47	11.64	11.31	11.48	14433838	165846768.00
2017/06/06	11.45	11.81	11.25	11.79	18865188	219613296.00
2017/06/07	11.92	12.14	11.61	11.70	28311760	334301568.00
2017/06/08	11.48	11.53	11.21	11.26	28149315	318988160.00
2017/06/09	11.26	11.28	10.75	10.86	22981203	250864784.00
2017/06/12	10.90	11.08	10.70	10.99	13825832	150333248.00
2017/06/13	10.90	11.17	10.86	10.91	9794542	107469392.00
2017/06/14	10.91	10.96	10.72	10.86	7297922	78885192.00
2017/06/15	10.86	11.03	10.76	10.99	9393708	102348592.00
2017/06/16	10.99	11.05	10.80	10.87	6858549	74841024.00
2017/06/19	10.87	10.88	10.76	10.80	4686453	50640012.00
2017/06/20	10.80	10.92	10.79	10.84	3848244	41708820.00
2017/06/21	10.86	10.90	10.78	10.84	3852836	41663392.00
2017/06/22	10.84	10.92	10.80	10.84	5630830	61033548.00
2017/06/23	10.84	10.90	10.79	10.87	5069180	54922256.00
2017/06/26	10.86	10.87	10.74	10.85	5245886	56692128.00
2017/06/27	10.85	10.88	10.74	10.84	4841403	52339248.00
2017/06/28	10.84	10.92	10.80	10.84	6153920	66829780.00
2017/06/29	10.88	10.88	10.80	10.85	5647314	61178680.00
2017/06/30	10.85	10.85	10.75	10.81	4163780	44937332.00
2017/07/03	10.81	11.03	10.80	10.91	7689000	83811424.00
2017/07/04	10.92	10.96	10.79	10.87	4318803	46861840.00
2017/07/05	10.87	11.03	10.75	10.92	8342899	90717536.00
2017/07/06	10.92	10.94	10.85	10.89	6113800	66618148.00
2017/07/07	10.88	11.03	10.84	10.98	7989555	87395256.00
2017/07/10	10.98	11.07	10.96	11.01	8062297	88738400.00
2017/07/11	11.01	11.10	10.87	10.93	8561789	93813152.00
2017/07/12	10.93	10.98	10.80	10.88	6823894	74230208.00
2017/07/13	10.88	10.97	10.76	10.83	6346403	68810296.00
2017/07/14	10.82	10.84	10.61	10.76	8505706	91337272.00
2017/07/17	10.78	10.95	10.53	10.73	16591665	178318416.00
2017/07/18	10.78	10.86	10.70	10.83	5453762	58910256.00
2017/07/19	10.85	10.85	10.70	10.71	7967968	85694368.00
2017/07/20	10.74	10.75	10.54	10.62	12085524	128743704.00
2017/07/21	10.69	10.84	10.56	10.57	13812612	147284304.00
2017/07/24	10.63	10.63	10.34	10.58	11919556	124683696.00
2017/07/25	10.58	10.65	10.44	10.54	4938561	51965856.00
2017/07/26	10.54	10.61	10.38	10.51	6166328	64727536.00
2017/07/27	10.49	10.57	10.43	10.51	6216830	65237592.00
2017/07/28	10.50	10.55	10.44	10.50	5372818	56339824.00
2017/07/31	10.50	10.56	10.44	10.51	5192106	54452028.00
2017/08/01	10.56	10.56	10.43	10.53	4794762	50195736.00
2017/08/02	10.51	10.59	10.45	10.54	6681732	70167952.00
2017/08/03	10.53	10.78	10.48	10.76	15255760	161301440.00
2017/08/04	10.86	10.89	10.65	10.77	17730383	190642592.00
2017/08/07	10.76	10.82	10.60	10.74	11402207	121909368.00
2017/08/08	10.73	10.83	10.66	10.78	10771448	115665184.00
2017/08/09	10.76	10.78	10.60	10.76	7857411	84234800.00
2017/08/10	11.00	11.00	10.65	10.84	14631584	158092304.00
2017/08/11	10.78	10.90	10.66	10.81	12425502	133893128.00
2017/08/14	10.81	10.81	10.64	10.73	6968460	74586608.00
2017/08/15	10.72	10.82	10.65	10.73	7502785	80216432.00
2017/08/16	10.71	10.88	10.66	10.86	9199127	99118704.00
2017/08/17	10.84	10.92	10.77	10.90	7060486	76556856.00
2017/08/18	10.86	11.16	10.83	11.08	31020016	340807936.00
2017/08/21	11.02	11.19	10.96	11.19	21591687	238626528.00
2017/08/22	11.17	11.44	10.94	11.06	29224900	326437824.00
2017/08/23	11.11	11.21	10.88	11.02	10842995	119274768.00
2017/08/24	11.00	11.05	10.31	10.74	19134357	204664304.00
2017/08/25	10.64	10.71	10.48	10.50	13186830	139104288.00
2017/08/28	10.47	10.54	10.39	10.45	11228488	117239504.00
2017/08/29	10.49	10.49	10.35	10.38	8421028	87673880.00
2017/08/30	10.38	10.43	10.36	10.42	5026906	52271240.00
2017/08/31	10.45	10.45	10.34	10.36	5962706	61882976.00
2017/09/01	10.38	10.41	10.33	10.37	7500393	77785784.00
2017/09/04	10.39	10.57	10.32	10.49	10564010	110068208.00
2017/09/05	10.46	10.49	10.41	10.43	4723814	49335848.00
2017/09/06	10.40	10.61	10.32	10.50	15050462	157507168.00
2017/09/07	10.43	10.64	10.42	10.48	9772255	102699888.00
2017/09/08	10.48	10.66	10.48	10.58	13726806	145556048.00
2017/09/11	10.54	10.65	10.46	10.52	7957948	83900432.00
2017/09/12	10.51	10.54	10.40	10.52	9375533	98218464.00
2017/09/13	10.49	10.60	10.39	10.54	10477100	109917840.00
2017/09/14	10.48	10.54	10.43	10.45	3676204	38475812.00
2017/09/15	10.46	10.47	10.31	10.39	5196200	53933544.00
2017/09/18	10.37	10.41	10.34	10.37	3500900	36280376.00
2017/09/19	10.39	10.40	10.30	10.31	4920503	50917064.00
2017/09/20	10.31	10.33	10.23	10.26	5435509	55833044.00
2017/09/21	10.25	10.50	10.20	10.40	6102726	62841072.00
2017/09/22	10.40	10.41	10.23	10.38	4967423	51245752.00
2017/09/25	10.34	10.38	10.28	10.31	2918060	30125922.00
2017/09/26	10.35	10.39	10.33	10.36	3329600	34509496.00
2017/09/27	10.41	10.44	10.36	10.42	3926090	40898628.00
2017/09/28	10.41	10.45	10.33	10.40	3566000	37119360.00
2017/09/29	10.43	10.48	10.36	10.47	4499300	46856944.00
2017/10/09	10.50	10.52	10.41	10.43	3634100	37977068.00
2017/10/10	10.41	10.44	10.29	10.32	5988326	61935916.00
2017/10/11	10.37	10.37	10.26	10.34	3266495	33652032.00
2017/10/12	10.35	10.42	10.30	10.41	5440139	56421016.00
2017/10/13	10.43	10.54	10.38	10.50	9979406	104878928.00
2017/10/16	10.51	10.53	10.36	10.38	4826592	50453516.00
2017/10/17	10.36	10.45	10.28	10.40	3312700	34290756.00
2017/10/18	10.41	11.44	10.16	10.97	50686509	555042752.00
2017/10/19	10.76	10.88	10.66	10.73	13714493	147459888.00
2017/10/20	10.68	10.90	10.67	10.78	9026934	97421304.00
2017/10/23	10.73	10.78	10.51	10.62	5584406	59247608.00
2017/10/24	10.57	10.68	10.50	10.64	3203103	33932832.00
2017/10/25	10.58	10.66	10.58	10.61	3120409	33134514.00
2017/10/26	10.62	10.67	10.58	10.65	4885800	51980504.00
2017/10/27	10.67	10.68	10.48	10.60	3731100	39357288.00
2017/10/30	10.58	10.62	10.30	10.56	5950300	62407208.00
2017/10/31	10.41	10.74	10.41	10.67	4841603	51399972.00
2017/11/01	10.68	10.85	10.60	10.80	8525679	91847032.00
2017/11/02	10.79	10.82	10.69	10.81	4105616	44175028.00
2017/11/03	10.80	11.11	10.65	10.91	11842891	129518720.00
2017/11/06	10.88	11.04	10.74	10.93	6829751	74727536.00
2017/11/07	10.96	11.04	10.85	10.96	6888338	75551288.00
2017/11/08	10.97	11.01	10.85	10.99	7187985	78847200.00
2017/11/09	10.97	10.99	10.90	10.91	4344430	47528060.00
2017/11/10	10.90	11.00	10.80	10.94	8355406	91441696.00
2017/11/13	10.90	11.00	10.82	10.86	4710200	51370372.00
2017/11/14	10.88	10.88	10.72	10.86	5995773	65008160.00
2017/11/15	10.84	10.93	10.76	10.78	4213000	45705892.00
2017/11/16	10.70	10.83	10.66	10.79	3154003	33886252.00
2017/11/17	10.79	10.81	10.40	10.49	2697103	28602212.00
2017/11/20	10.47	10.56	10.31	10.37	4443876	46141564.00
2017/11/21	10.40	10.42	10.20	10.36	5550975	57245804.00
2017/11/22	10.30	10.39	10.28	10.36	2798880	28910182.00
2017/11/23	10.35	10.39	10.26	10.30	1947166	20101000.00
2017/11/24	10.15	10.40	9.50	10.38	8811961	88938480.00
2017/11/27	10.30	10.35	10.10	10.33	2448040	25107336.00
2017/11/28	10.25	10.53	10.24	10.51	2606715	27166444.00
2017/11/29	10.44	10.55	10.36	10.40	1733903	18112134.00
2017/11/30	10.32	10.59	10.32	10.55	3505207	36861004.00
2017/12/01	10.50	10.59	10.46	10.48	3635782	38374672.00
2017/12/04	10.45	10.68	10.30	10.62	5593359	59391052.00
2017/12/05	10.53	10.64	10.31	10.32	4571388	47871680.00
2017/12/06	10.30	10.30	9.88	10.16	6138980	62219080.00
2017/12/07	10.17	10.33	10.12	10.29	2396503	24493494.00
2017/12/08	10.33	10.33	10.10	10.31	3491503	35647736.00
2017/12/11	10.28	10.29	10.06	10.22	3418796	34840156.00
2017/12/12	10.16	10.29	10.16	10.27	2730185	27924308.00
2017/12/13	10.29	10.29	10.13	10.24	1560483	15936496.00
2017/12/14	10.35	10.35	10.18	10.27	2161808	22146940.00
2017/12/15	10.31	10.32	10.20	10.21	1822909	18736708.00
2017/12/18	10.21	10.29	10.12	10.26	2851004	29101180.00
2017/12/19	10.26	10.29	10.09	10.22	4268400	43399088.00
2017/12/20	10.12	10.18	10.05	10.12	2024238	20450770.00
2017/12/21	10.12	10.31	10.07	10.30	6373673	64992696.00
