600088 中视传媒 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	19.82	19.97	19.72	19.93	1415091	28090504.00
2017/03/28	19.93	19.95	19.72	19.74	925071	18353208.00
2017/03/29	19.77	19.77	19.19	19.22	1578874	30696952.00
2017/03/30	19.21	19.33	18.44	18.51	2306334	43298304.00
2017/03/31	18.60	18.98	18.52	18.91	1486472	27843464.00
2017/04/05	18.96	19.15	18.82	19.09	1428782	27140828.00
2017/04/06	19.07	19.24	18.94	19.05	1059378	20254522.00
2017/04/07	19.06	19.19	18.91	19.00	1187469	22594084.00
2017/04/10	19.08	19.08	18.85	18.97	835845	15860044.00
2017/04/11	19.55	20.87	19.55	20.87	8916651	182702224.00
2017/04/12	20.89	20.89	20.18	20.42	7586205	154943136.00
2017/04/13	20.40	20.43	19.90	20.36	3903453	78591008.00
2017/04/14	20.35	20.35	19.50	19.53	3340138	66639252.00
2017/04/17	19.50	19.50	18.63	18.92	2905293	55053940.00
2017/04/18	18.91	18.98	18.51	18.53	1822458	34118788.00
2017/04/19	18.45	18.66	18.18	18.43	1454224	26768088.00
2017/04/20	18.43	18.86	18.31	18.75	2014346	37324200.00
2017/04/21	18.66	18.78	18.34	18.44	1039700	19257252.00
2017/04/24	18.31	18.52	17.23	17.30	1658096	29291406.00
2017/04/25	17.29	17.57	17.16	17.24	1163283	20186246.00
2017/04/26	17.19	17.42	17.06	17.21	1116795	19243724.00
2017/04/27	17.16	17.42	16.75	17.32	2118547	36065792.00
2017/04/28	17.63	18.16	17.51	17.59	2018774	35959288.00
2017/05/02	17.46	17.78	17.42	17.67	927967	16397562.00
2017/05/03	17.65	17.80	17.42	17.56	1070287	18822642.00
2017/05/04	17.59	17.94	17.45	17.59	1159996	20507220.00
2017/05/05	17.65	17.65	17.07	17.13	945521	16425399.00
2017/05/08	17.08	17.30	16.98	17.05	933937	16032505.00
2017/05/09	17.20	17.32	16.80	17.20	939055	16012844.00
2017/05/10	17.23	17.50	16.67	16.70	1347628	23244900.00
2017/05/11	16.70	16.81	15.50	16.38	2211123	36019524.00
2017/05/12	16.23	16.51	15.80	16.21	1320383	21275816.00
2017/05/15	16.25	16.43	16.10	16.38	1352691	22004664.00
2017/05/16	16.36	17.18	15.84	16.95	2009741	33240848.00
2017/05/17	16.87	17.45	16.82	17.14	1672300	28741736.00
2017/05/18	17.14	17.34	17.01	17.11	1200688	20641276.00
2017/05/19	17.11	17.34	17.05	17.19	649822	11189685.00
2017/05/22	17.20	17.26	16.30	16.48	1358568	22830612.00
2017/05/23	16.53	16.63	16.08	16.25	962560	15770725.00
2017/05/24	16.20	16.52	15.98	16.50	1087279	17674854.00
2017/05/25	16.46	16.91	16.14	16.55	1091269	18000662.00
2017/05/26	16.65	16.89	16.50	16.68	998178	16684561.00
2017/05/31	16.79	17.09	16.55	16.59	994269	16668553.00
2017/06/01	16.58	16.58	15.50	15.77	1183723	19032620.00
2017/06/02	15.70	16.09	15.58	16.02	1140053	18039652.00
2017/06/05	16.18	16.34	16.08	16.17	1169896	18958476.00
2017/06/06	16.20	16.30	16.03	16.23	830740	13444561.00
2017/06/07	16.28	16.76	16.13	16.67	1401639	23181684.00
2017/06/08	16.62	16.79	16.53	16.59	1130183	18822896.00
