600091 ST明科 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	8.66	8.73	8.62	8.70	4245946	36870148.00
2017/03/28	8.72	8.95	8.68	8.90	4858176	42893008.00
2017/03/29	8.88	8.98	8.77	8.81	4636203	41124856.00
2017/03/30	8.73	8.78	8.37	8.39	8514300	72197576.00
2017/03/31	8.37	8.47	8.37	8.41	3331100	28009088.00
2017/04/05	8.41	8.53	8.35	8.52	4885264	41294260.00
2017/04/06	8.48	8.56	8.45	8.50	3489843	29711220.00
2017/04/07	8.50	8.51	8.41	8.45	3892226	32874368.00
2017/04/10	8.48	8.49	8.03	8.03	10581389	86619096.00
2017/04/11	8.00	8.03	7.69	7.92	10963117	85842520.00
2017/04/12	7.86	8.00	7.82	7.84	5208521	41194360.00
2017/04/13	7.80	7.94	7.75	7.90	3664323	28901000.00
2017/04/14	7.90	7.96	7.80	7.92	4136338	32675236.00
2017/04/17	7.86	7.86	7.52	7.52	6791400	51662892.00
2017/04/18	7.51	7.58	7.20	7.22	5006866	36979240.00
2017/04/19	7.15	7.26	7.01	7.15	5081898	36075696.00
2017/04/20	7.13	7.21	7.09	7.15	2510755	17953044.00
2017/04/21	7.16	7.51	7.12	7.51	6761640	50280840.00
2017/04/24	7.40	7.49	7.13	7.13	6579900	47392540.00
2017/04/25	7.10	7.18	7.03	7.14	2966765	21123474.00
2017/04/26	7.15	7.21	7.10	7.15	3076101	22008408.00
2017/04/27	7.14	7.19	6.85	7.17	4651025	32847840.00
2017/04/28	7.19	7.45	7.18	7.42	3527844	25853580.00
2017/05/02	7.40	7.62	7.35	7.50	3771400	28248108.00
2017/05/03	7.45	7.56	7.45	7.52	2954746	22193256.00
2017/05/04	7.52	7.55	7.41	7.45	2234924	16733762.00
2017/05/05	7.46	7.46	7.18	7.19	3382648	24831948.00
2017/05/08	7.10	7.19	7.01	7.04	2840076	20200224.00
2017/05/09	7.02	7.14	6.90	7.08	2485626	17458306.00
2017/05/10	7.10	7.43	7.02	7.04	5543184	40222320.00
2017/05/11	7.00	7.07	6.69	6.86	5792462	39680120.00
2017/05/12	6.86	7.13	6.83	7.04	3222595	22592898.00
2017/05/15	7.05	7.19	6.97	7.11	3310982	23425324.00
2017/05/16	7.07	7.21	6.95	7.19	3946961	28017492.00
2017/05/17	7.17	7.34	7.15	7.21	3753887	27166364.00
2017/05/18	7.11	7.35	7.10	7.22	3970573	28741530.00
2017/05/19	7.36	7.36	7.16	7.24	2213073	16044695.00
2017/05/22	7.25	7.25	6.96	7.02	2874912	20422350.00
2017/05/23	7.02	7.04	6.76	6.81	3426454	23678492.00
2017/05/24	6.70	6.75	6.47	6.68	3660597	24154892.00
2017/05/25	6.66	6.79	6.61	6.78	2135042	14314208.00
2017/05/26	6.75	6.87	6.73	6.82	1860686	12625649.00
2017/05/31	6.87	6.92	6.74	6.77	2120800	14506163.00
2017/06/01	6.74	6.80	6.43	6.43	3440500	22716708.00
2017/06/02	6.43	6.45	6.11	6.39	4915138	30781550.00
2017/06/05	6.40	6.64	6.37	6.48	2718359	17638992.00
2017/06/06	6.50	6.54	6.45	6.52	1650042	10738660.00
2017/06/07	6.48	6.73	6.46	6.67	2611871	17289804.00
2017/06/08	6.65	6.76	6.64	6.67	2564597	17184608.00
2017/06/09	6.65	6.74	6.62	6.68	2361903	15781824.00
2017/06/12	6.63	6.66	6.35	6.35	3802100	24396592.00
2017/06/13	6.32	6.48	6.20	6.46	2092811	13383694.00
2017/06/14	6.46	6.50	6.36	6.43	2163023	13895928.00
2017/06/15	6.42	6.61	6.42	6.56	2618609	17078900.00
2017/06/16	6.55	6.70	6.54	6.60	1914474	12658164.00
2017/06/19	6.62	6.71	6.59	6.68	2184971	14533969.00
2017/06/20	6.69	6.74	6.62	6.65	1826497	12205464.00
2017/06/21	6.65	6.66	6.57	6.62	1570071	10400444.00
2017/06/22	6.62	6.78	6.57	6.58	3758671	25095494.00
2017/06/23	6.61	6.64	6.44	6.63	2375468	15509329.00
2017/06/26	6.61	6.69	6.58	6.69	1840288	12237333.00
2017/06/27	6.69	6.84	6.64	6.74	2504379	16950404.00
2017/06/28	6.66	6.70	6.55	6.59	2044621	13578254.00
2017/06/29	6.63	6.68	6.58	6.68	1412048	9376269.00
2017/06/30	6.66	6.71	6.61	6.65	1765888	11762814.00
2017/07/03	6.65	6.82	6.65	6.74	2451288	16582636.00
2017/07/04	6.76	6.82	6.73	6.78	1540884	10424683.00
2017/07/05	6.80	6.87	6.75	6.86	2197800	15013567.00
2017/07/06	6.81	7.06	6.81	7.02	4267824	29708022.00
2017/07/07	7.01	7.02	6.93	6.98	1998300	13944366.00
2017/07/10	6.95	7.16	6.93	7.14	3506736	24810572.00
2017/07/11	7.08	7.20	7.08	7.13	2959303	21127572.00
2017/07/12	7.12	7.18	6.95	7.05	3327600	23437970.00
2017/07/13	7.07	7.13	6.97	7.02	2286800	16141296.00
2017/07/14	6.98	7.13	6.92	7.11	2273532	15985859.00
2017/07/17	7.10	7.11	6.75	6.75	4506784	31047912.00
2017/07/18	6.62	6.77	6.46	6.69	2687900	17809916.00
2017/07/19	6.70	7.02	6.66	7.02	6713587	46859152.00
2017/07/20	7.00	7.26	6.96	7.18	5908016	42050656.00
2017/07/21	7.19	7.54	7.12	7.52	8214486	60805312.00
2017/07/24	7.50	7.90	7.44	7.58	13048409	100981568.00
2017/07/25	7.48	7.60	7.37	7.58	5758188	42985196.00
2017/07/26	7.53	7.82	7.50	7.61	4384100	33655200.00
2017/07/27	7.51	7.55	7.31	7.42	5512287	40825108.00
2017/07/28	7.39	7.53	7.37	7.42	1629357	12116787.00
2017/07/31	7.38	7.65	7.35	7.49	3879589	29135528.00
2017/08/01	7.48	7.53	7.20	7.27	4590523	33736836.00
2017/08/02	7.29	7.37	7.20	7.23	2297412	16727911.00
2017/08/03	7.23	7.44	7.23	7.27	2383629	17424768.00
2017/08/04	7.30	7.39	7.23	7.25	2180328	15917295.00
2017/08/07	7.23	7.34	7.21	7.25	2507900	18189266.00
2017/08/08	7.23	7.25	7.15	7.23	3172042	22857360.00
