600094 大名城 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	8.36	8.36	8.28	8.34	7113010	59065956.00
2017/03/28	8.33	8.35	8.26	8.35	6645294	55170944.00
2017/03/29	8.33	8.33	8.25	8.25	4972171	41181848.00
2017/03/30	8.25	8.25	8.10	8.13	11875541	96559952.00
2017/03/31	8.13	8.14	8.10	8.10	5625845	45647424.00
2017/04/05	8.10	8.26	8.09	8.25	13930396	113822952.00
2017/04/06	8.22	8.50	8.14	8.31	15254958	126226160.00
2017/04/07	8.25	8.28	8.16	8.23	8293977	68167296.00
2017/04/10	8.20	8.23	8.14	8.20	6749754	55222664.00
2017/04/11	8.17	8.24	8.14	8.23	6660626	54512648.00
2017/04/12	8.22	8.27	8.17	8.26	10534009	86584976.00
2017/04/13	8.26	8.30	8.19	8.26	6667492	54995484.00
2017/04/14	8.23	8.25	8.14	8.21	7171870	58773608.00
2017/04/17	8.19	8.23	8.10	8.21	7979784	65158416.00
2017/04/18	8.20	8.20	8.10	8.13	4742988	38642676.00
2017/04/19	8.10	8.14	8.09	8.14	10808204	87632656.00
2017/04/20	8.12	8.13	8.08	8.11	11361410	92052240.00
2017/04/21	8.10	8.17	8.07	8.14	9750645	79045904.00
2017/04/24	8.12	8.18	8.07	8.16	13470101	109234904.00
2017/04/25	8.11	8.13	8.06	8.07	7016712	56681896.00
2017/04/26	8.07	8.09	8.06	8.08	4218996	34068840.00
2017/04/27	8.07	8.09	8.06	8.09	7927657	64017660.00
2017/04/28	8.09	8.09	8.05	8.08	7882509	63573416.00
2017/05/02	8.07	8.07	7.79	7.80	15760100	125147944.00
2017/05/03	7.80	7.83	7.40	7.82	20288484	155520576.00
2017/05/04	7.80	7.84	7.55	7.83	14966126	115246912.00
2017/05/05	7.72	7.87	7.67	7.85	10364585	80880768.00
2017/05/08	7.82	7.96	7.70	7.94	15945190	125255576.00
2017/05/09	7.88	7.89	7.77	7.82	6097595	47735236.00
2017/05/10	7.81	7.84	7.67	7.78	6359338	49345156.00
2017/05/11	7.72	7.90	7.63	7.84	14714507	114663128.00
2017/05/12	7.80	7.84	7.74	7.81	3115200	24232840.00
2017/05/15	7.78	7.86	7.75	7.82	5159417	40293916.00
2017/05/16	7.80	7.83	7.65	7.77	9297392	71677976.00
2017/05/17	7.78	7.78	7.70	7.77	6167301	47743472.00
