600095 哈高科 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	12.53	12.59	11.54	11.69	25879688	310520736.00
2017/03/28	11.51	12.04	11.33	11.91	21280973	246954960.00
2017/03/29	11.80	11.87	11.58	11.62	10271845	120155680.00
2017/03/30	11.50	11.66	11.00	11.12	11874809	133430704.00
2017/03/31	11.18	11.41	11.02	11.37	9519190	106664072.00
2017/04/05	11.45	11.65	11.26	11.53	7826178	89434664.00
2017/04/06	11.55	11.66	11.25	11.29	9425258	107776680.00
2017/04/07	11.30	11.40	10.98	11.16	10228978	113697080.00
2017/04/10	11.17	11.17	10.83	10.90	8006466	87514032.00
2017/04/11	10.90	10.91	10.01	10.39	20673061	212795056.00
2017/04/12	10.30	10.61	10.23	10.38	12054024	126226752.00
2017/04/13	10.30	10.48	10.30	10.37	5031015	52241948.00
2017/04/14	9.90	10.30	9.90	10.16	5817936	59126960.00
2017/04/17	10.19	10.23	9.14	9.14	24921281	232947536.00
2017/04/18	9.15	9.50	9.15	9.22	10490442	97587392.00
2017/04/19	9.09	9.44	9.05	9.36	8000003	74135864.00
2017/04/20	9.47	9.47	9.12	9.22	6327678	58382292.00
2017/04/21	9.28	9.28	9.09	9.16	5569088	50966936.00
2017/04/24	9.16	9.18	8.37	8.49	9709761	83553056.00
2017/04/25	8.50	8.64	8.44	8.47	5519976	47073900.00
2017/04/26	8.53	8.75	8.37	8.67	7775949	66078304.00
2017/04/27	8.60	9.21	8.51	9.01	16503301	147494224.00
2017/04/28	9.46	9.91	9.27	9.91	32416956	315555104.00
2017/05/02	10.00	10.90	9.92	10.90	53113310	568644608.00
2017/05/03	9.96	11.46	9.92	10.53	60589019	628392128.00
2017/05/04	10.20	10.49	9.80	9.86	41102262	414885376.00
2017/05/05	9.69	9.74	9.20	9.25	29008880	274939712.00
2017/05/08	9.15	9.31	8.64	8.74	19637147	176178000.00
2017/05/09	8.72	8.80	8.45	8.76	16324201	141109536.00
2017/05/10	8.73	8.83	8.38	8.39	15704014	135443968.00
2017/05/11	8.05	8.17	7.63	8.01	19657282	154707280.00
2017/05/12	7.99	8.19	7.94	8.02	12394590	100017816.00
2017/05/15	8.19	8.20	7.75	7.81	11105745	88748432.00
2017/05/16	7.95	8.32	7.80	8.27	17662365	142021264.00
