600098 广州发展 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	9.49	9.55	9.41	9.54	17638665	167034944.00
2017/03/28	9.54	9.71	9.46	9.66	26570563	256018576.00
2017/03/29	9.69	9.71	9.52	9.53	17106656	163925424.00
2017/03/30	9.52	9.58	9.30	9.48	26842011	253663936.00
2017/03/31	9.49	9.53	9.40	9.41	14687290	138777296.00
2017/04/05	9.42	9.49	9.28	9.48	19308440	181562352.00
2017/04/06	9.44	9.45	9.35	9.40	24671160	231875280.00
2017/04/07	9.39	9.47	9.35	9.37	20750235	194757920.00
2017/04/10	9.35	9.38	9.18	9.21	26974031	249600320.00
2017/04/11	9.20	9.63	9.19	9.62	46141111	435026624.00
2017/04/12	9.85	10.28	9.85	10.11	112662453	1136840576.00
2017/04/13	9.93	9.98	9.68	9.82	47070081	462286048.00
2017/04/14	9.72	9.78	9.38	9.41	37673116	360350496.00
2017/04/17	9.43	9.46	9.31	9.38	14992244	140628576.00
2017/04/18	9.40	9.46	9.25	9.26	13929684	130324632.00
2017/04/19	9.26	9.27	8.90	9.08	22468553	203052352.00
2017/04/20	9.13	9.17	8.93	9.00	12179826	110053584.00
2017/04/21	8.99	9.04	8.93	8.95	9300063	83509520.00
2017/04/24	8.95	8.95	8.58	8.68	15625342	135894928.00
2017/04/25	8.68	8.75	8.60	8.71	10536229	91688528.00
2017/04/26	8.71	8.73	8.63	8.68	9545651	82759032.00
2017/04/27	8.68	8.68	8.32	8.56	16964205	144046176.00
2017/04/28	8.55	8.80	8.54	8.76	13763899	119801888.00
2017/05/02	8.41	8.54	8.39	8.48	17429032	147662848.00
2017/05/03	8.48	8.48	8.29	8.34	14773811	123550424.00
2017/05/04	8.31	8.34	8.20	8.22	12549781	103599568.00
2017/05/05	8.20	8.20	8.05	8.07	14120913	114324672.00
2017/05/08	8.06	8.06	7.66	7.69	14742284	116347072.00
2017/05/09	7.70	7.84	7.65	7.79	9003813	69844176.00
2017/05/10	7.80	7.86	7.58	7.59	8540500	66195324.00
2017/05/11	7.59	7.59	7.16	7.37	19620025	144043824.00
2017/05/12	7.38	7.42	7.22	7.28	14558541	106039936.00
2017/05/15	7.28	7.35	7.26	7.29	7471648	54517272.00
2017/05/16	7.28	7.41	7.13	7.40	13627957	99122952.00
2017/05/17	7.45	7.55	7.38	7.47	16440524	122669824.00
2017/05/18	7.41	7.57	7.33	7.46	11366496	84936736.00
2017/05/19	7.47	7.88	7.42	7.62	16493712	125916784.00
2017/05/22	7.58	7.60	7.42	7.51	9662304	72512760.00
2017/05/23	7.50	7.50	7.18	7.22	10974161	80307000.00
2017/05/24	7.22	7.32	7.09	7.25	7642809	55232332.00
2017/05/25	7.25	7.39	7.22	7.36	8158279	59595888.00
2017/05/26	7.37	7.41	7.33	7.34	5873615	43240972.00
2017/05/31	7.42	7.53	7.42	7.42	9191573	68559096.00
2017/06/01	7.40	7.40	7.22	7.23	6607959	48272492.00
2017/06/02	7.23	7.33	7.18	7.32	5673052	41140320.00
2017/06/05	7.37	7.39	7.31	7.36	6749488	49654456.00
2017/06/06	7.37	7.39	7.31	7.37	5158707	37943116.00
2017/06/07	7.37	7.58	7.37	7.54	12141324	90920576.00
2017/06/08	7.54	7.69	7.51	7.54	12987613	98467712.00
2017/06/09	7.48	7.63	7.47	7.62	11144997	84285112.00
2017/06/12	7.58	7.59	7.46	7.47	7430300	55960504.00
2017/06/13	7.47	7.58	7.45	7.56	7371414	55612560.00
2017/06/14	7.58	7.58	7.52	7.53	7119730	53752792.00
2017/06/15	7.51	7.62	7.51	7.60	8979944	68165400.00
2017/06/16	7.58	7.70	7.56	7.64	8397536	63957536.00
2017/06/19	7.61	7.68	7.61	7.66	7537977	57672756.00
2017/06/20	7.70	7.71	7.62	7.64	7764012	59450484.00
2017/06/21	7.64	7.70	7.58	7.66	6146593	46907992.00
2017/06/22	7.70	7.70	7.47	7.48	10988200	83461616.00
2017/06/23	7.46	7.48	7.37	7.47	7298945	54203688.00
2017/06/26	7.48	7.59	7.41	7.58	6726341	50554220.00
2017/06/27	7.58	7.68	7.56	7.62	7306388	55804300.00
2017/06/28	7.54	7.59	7.46	7.56	9862450	74468064.00
2017/06/29	7.55	7.64	7.54	7.63	9953403	75724592.00
2017/06/30	7.65	8.05	7.62	7.91	25986728	205397200.00
2017/07/03	7.92	7.93	7.80	7.87	11793589	92576120.00
2017/07/04	7.81	7.86	7.76	7.85	9808176	76479520.00
2017/07/05	7.81	7.85	7.77	7.85	6510478	50923156.00
2017/07/06	7.84	7.87	7.74	7.79	7339071	57285156.00
2017/07/07	7.75	7.84	7.73	7.80	5238708	40845328.00
2017/07/10	7.79	7.85	7.76	7.76	5787144	45112424.00
2017/07/11	7.76	7.80	7.70	7.75	6024214	46626236.00
2017/07/12	7.71	7.75	7.56	7.65	7130344	54413236.00
2017/07/13	7.69	7.69	7.60	7.62	4735550	36105164.00
2017/07/14	7.62	7.72	7.61	7.66	5764400	44252364.00
2017/07/17	7.65	7.66	7.28	7.30	10010694	73891104.00
2017/07/18	7.30	7.36	7.19	7.27	8955471	64861464.00
2017/07/19	7.29	7.36	7.24	7.35	6115471	44702888.00
2017/07/20	7.35	7.51	7.34	7.46	7423019	55119216.00
2017/07/21	7.45	7.47	7.40	7.42	4948000	36750196.00
2017/07/24	7.40	7.48	7.40	7.45	5273301	39224552.00
2017/07/25	7.42	7.46	7.32	7.38	6550924	48267736.00
2017/07/26	7.34	7.40	7.33	7.35	4095902	30121788.00
2017/07/27	7.35	7.41	7.31	7.40	6447203	47445864.00
2017/07/28	7.39	7.41	7.36	7.38	5492100	40556704.00
2017/07/31	7.36	7.45	7.35	7.41	5540294	41049544.00
2017/08/01	7.40	7.56	7.38	7.49	10641296	79727392.00
2017/08/02	7.40	7.66	7.40	7.57	13020586	98729824.00
2017/08/03	7.60	7.64	7.52	7.55	9256127	70071992.00
2017/08/04	7.60	7.65	7.54	7.57	8783562	66729320.00
2017/08/07	7.52	7.62	7.43	7.61	8676579	65571072.00
2017/08/08	7.60	7.60	7.54	7.56	5608534	42412596.00
2017/08/09	7.55	7.55	7.47	7.51	5736146	43043104.00
2017/08/10	7.51	7.51	7.35	7.39	6776900	50275276.00
2017/08/11	7.37	7.37	7.28	7.29	6466602	47279188.00
2017/08/14	7.29	7.41	7.28	7.40	4608300	33994288.00
2017/08/15	7.38	7.42	7.35	7.38	3324625	24515852.00
2017/08/16	7.37	7.42	7.35	7.40	4298161	31769592.00
2017/08/17	7.40	7.45	7.38	7.45	4940803	36705064.00
2017/08/18	7.41	7.60	7.38	7.54	10615512	79749616.00
2017/08/21	7.60	7.63	7.49	7.55	6967397	52606776.00
2017/08/22	7.55	7.55	7.38	7.43	11348319	84314728.00
2017/08/23	7.43	7.43	7.28	7.33	11198808	82141600.00
2017/08/24	7.35	7.36	7.31	7.33	4817511	35335536.00
2017/08/25	7.34	7.38	7.31	7.36	6228465	45812880.00
2017/08/28	7.38	7.45	7.37	7.42	7298800	54139636.00
2017/08/29	7.40	7.48	7.40	7.42	6711850	49891160.00
2017/08/30	7.42	7.46	7.39	7.41	7494277	55664248.00
2017/08/31	7.44	7.45	7.38	7.41	6244703	46277836.00
2017/09/01	7.43	7.53	7.43	7.49	14079308	105366464.00
2017/09/04	7.48	7.51	7.43	7.47	7801282	58186384.00
2017/09/05	7.48	7.49	7.43	7.48	6540978	48767936.00
2017/09/06	7.45	7.54	7.43	7.52	9842101	73614256.00
2017/09/07	7.50	7.87	7.48	7.63	26716629	204614944.00
2017/09/08	7.60	7.67	7.49	7.54	12869270	97721288.00
2017/09/11	7.55	7.61	7.53	7.57	8111479	61414184.00
2017/09/12	7.56	7.61	7.51	7.52	10307949	77808656.00
2017/09/13	7.56	7.58	7.52	7.58	6209512	46843040.00
2017/09/14	7.59	7.61	7.51	7.53	5821984	43927052.00
2017/09/15	7.52	7.67	7.49	7.58	8863429	67038168.00
2017/09/18	7.58	7.60	7.55	7.58	6568675	49768072.00
2017/09/19	7.58	7.59	7.50	7.51	7995638	60325600.00
2017/09/20	7.53	7.55	7.47	7.50	8314675	62337080.00
2017/09/21	7.50	7.51	7.44	7.45	6738880	50336896.00
2017/09/22	7.49	7.49	7.35	7.38	9519920	70343016.00
2017/09/25	7.37	7.39	7.31	7.35	5835475	42813908.00
2017/09/26	7.34	7.38	7.29	7.33	6421395	46984572.00
2017/09/27	7.33	7.36	7.31	7.35	3904180	28664232.00
2017/09/28	7.36	7.36	7.28	7.33	6563624	48011948.00
2017/09/29	7.30	7.36	7.29	7.32	5886776	43101404.00
2017/10/09	7.37	7.39	7.32	7.36	10508186	77189024.00
2017/10/10	7.36	7.38	7.31	7.38	11712581	85903024.00
2017/10/11	7.34	7.40	7.33	7.38	12066101	88832504.00
2017/10/12	7.37	7.37	7.32	7.35	7715950	56649640.00
2017/10/13	7.33	7.36	7.33	7.35	6027310	44256992.00
2017/10/16	7.35	7.36	7.28	7.29	8134894	59500224.00
2017/10/17	7.32	7.33	7.28	7.32	4110964	30022642.00
2017/10/18	7.32	7.33	7.25	7.26	5059400	36849832.00
2017/10/19	7.26	7.28	7.15	7.17	6907276	49744924.00
2017/10/20	7.17	7.24	7.15	7.22	3955899	28520996.00
2017/10/23	7.22	7.25	7.19	7.24	3720600	26880396.00
2017/10/24	7.22	7.24	7.17	7.20	3922264	28231192.00
2017/10/25	7.22	7.29	7.18	7.22	5783092	41800936.00
2017/10/26	7.22	7.26	7.19	7.25	5459966	39417532.00
2017/10/27	7.23	7.25	7.19	7.19	3755558	27076064.00
2017/10/30	7.20	7.22	7.01	7.05	11034189	77984656.00
2017/10/31	7.05	7.07	7.02	7.07	5661396	39881216.00
2017/11/01	7.06	7.10	7.05	7.10	5883746	41658268.00
2017/11/02	7.11	7.11	7.05	7.09	5217514	36872900.00
2017/11/03	7.09	7.10	7.02	7.05	5275340	37227268.00
2017/11/06	7.05	7.09	7.02	7.08	5213365	36771744.00
2017/11/07	7.08	7.16	7.03	7.15	8003788	56805860.00
2017/11/08	7.14	7.19	7.10	7.14	5287397	37792780.00
2017/11/09	7.14	7.17	7.13	7.15	3705000	26485392.00
2017/11/10	7.14	7.18	7.11	7.13	3844027	27442452.00
2017/11/13	7.16	7.17	7.12	7.15	4423477	31613784.00
2017/11/14	7.17	7.17	7.05	7.10	5285600	37520496.00
2017/11/15	7.08	7.10	7.06	7.08	4155980	29389932.00
2017/11/16	7.08	7.12	7.05	7.07	3196765	22650208.00
2017/11/17	7.06	7.08	6.81	6.89	9643460	67334168.00
2017/11/20	6.85	6.92	6.75	6.90	7598829	51792752.00
2017/11/21	6.89	6.91	6.84	6.89	4639718	31868400.00
2017/11/22	6.86	6.92	6.81	6.88	6914468	47352312.00
2017/11/23	6.88	6.89	6.76	6.88	11430730	77954960.00
2017/11/24	6.84	6.90	6.80	6.89	4396191	30110392.00
