600099 林海股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	16.03	16.51	15.51	16.12	11908299	190251408.00
2017/03/28	15.86	17.73	15.82	17.73	30754720	536162784.00
2017/03/29	17.20	18.15	17.18	17.83	28043107	498273792.00
2017/03/30	17.56	17.85	16.32	16.63	13324300	229202704.00
2017/03/31	16.65	16.88	15.50	16.20	12881435	206442880.00
2017/04/05	16.00	16.20	15.59	16.14	7329964	116713184.00
2017/04/06	16.10	16.59	16.01	16.16	6595895	107652792.00
2017/04/07	16.20	16.42	15.40	15.46	7564990	120363472.00
2017/04/10	15.25	15.46	14.45	14.53	9486851	140114864.00
2017/04/11	14.60	15.08	14.42	14.93	7337570	108138184.00
2017/04/12	14.90	15.41	14.72	14.91	6330300	95659592.00
2017/04/13	14.97	15.11	14.65	14.80	3671305	54748688.00
2017/04/14	14.87	15.75	14.71	15.54	8576521	131557616.00
2017/04/17	15.46	15.50	14.61	14.77	4653928	69924232.00
2017/04/18	14.77	15.18	14.77	14.86	3365500	50359480.00
2017/04/19	14.96	15.16	14.40	15.08	4073975	60304932.00
2017/04/20	14.94	15.83	14.93	15.77	7099555	109544288.00
2017/04/21	15.70	15.85	15.40	15.57	3490711	54435600.00
2017/04/24	15.47	15.48	14.01	15.03	4160048	61300328.00
2017/04/25	14.95	15.18	14.65	14.81	1875600	27961092.00
2017/04/26	14.81	15.00	14.30	14.82	3509010	51385932.00
2017/04/27	14.58	14.88	14.31	14.64	2573609	37537184.00
2017/04/28	14.65	14.98	14.60	14.82	2713799	40179916.00
2017/05/02	14.90	14.90	14.39	14.51	2799400	40870380.00
2017/05/03	14.51	14.66	14.27	14.31	3629301	52256200.00
2017/05/04	14.30	14.30	14.01	14.07	2239901	31650038.00
2017/05/05	14.16	14.26	13.76	14.08	2673040	37349508.00
2017/05/08	14.08	14.28	13.86	14.17	2652439	37370304.00
2017/05/09	14.17	14.50	14.01	14.47	2708800	38799952.00
2017/05/10	14.41	14.56	14.25	14.35	2999000	43154316.00
2017/05/11	14.15	14.32	13.80	14.09	3481700	48840576.00
2017/05/12	14.05	14.19	13.90	14.03	1744963	24451272.00
2017/05/15	14.03	14.08	13.92	14.01	1172518	16413892.00
2017/05/16	14.01	14.22	13.93	14.16	2666117	37530556.00
2017/05/17	14.34	14.74	14.10	14.62	6043835	87655064.00
2017/05/18	14.37	14.58	14.26	14.28	2816560	40564124.00
2017/05/19	14.28	14.46	14.11	14.16	1584200	22587696.00
2017/05/22	14.23	14.23	13.91	13.97	2194836	30737348.00
2017/05/23	13.91	14.06	13.76	13.94	2373001	33027996.00
2017/05/24	13.93	13.93	12.55	13.44	3286462	43599628.00
2017/05/25	13.33	13.45	12.35	12.62	3953419	50502912.00
2017/05/26	12.72	12.75	12.47	12.56	1590288	20037816.00
2017/05/31	12.63	12.88	12.60	12.67	1707750	21789388.00
2017/06/01	12.66	12.78	12.21	12.31	1997525	24895556.00
2017/06/02	12.35	12.35	11.60	11.97	2705840	32315466.00
2017/06/05	11.85	12.06	11.70	11.98	2436149	28880566.00
2017/06/06	11.90	13.18	11.80	13.18	3385030	41048864.00
2017/06/07	13.18	13.87	12.68	13.54	6790761	90233960.00
2017/06/08	13.30	13.50	13.11	13.19	4241121	56261424.00
2017/06/09	13.11	13.95	13.10	13.33	4166836	56381280.00
2017/06/12	13.08	13.43	13.02	13.16	1988716	26257034.00
2017/06/13	13.12	13.20	12.80	13.04	3237689	41976216.00
2017/06/14	13.03	13.18	12.81	12.93	2884653	37547008.00
2017/06/15	12.87	13.29	12.87	13.19	2759732	36108148.00
2017/06/16	13.21	13.44	13.04	13.39	3230543	42770868.00
2017/06/19	13.24	14.13	13.22	13.81	4769474	65607288.00
2017/06/20	13.78	14.07	13.65	13.72	4135026	57456152.00
2017/06/21	13.84	14.46	13.75	13.99	6952681	98157536.00
2017/06/22	13.85	14.00	13.41	13.47	4167092	57294376.00
2017/06/23	13.48	13.65	13.28	13.57	2020483	27232720.00
2017/06/26	13.65	14.09	13.52	13.82	3483292	48380060.00
2017/06/27	13.85	14.05	13.81	13.86	1901464	26408584.00
2017/06/28	13.86	13.88	13.52	13.70	1473688	20218160.00
2017/06/29	13.60	14.22	13.57	13.79	2003301	27861568.00
2017/06/30	13.65	13.86	13.56	13.69	1513400	20693652.00
2017/07/03	13.60	13.85	13.50	13.84	1995172	27355140.00
2017/07/04	13.76	14.08	13.75	13.91	1985400	27598488.00
2017/07/05	13.82	13.87	13.64	13.81	2079701	28587990.00
2017/07/06	13.73	13.80	13.56	13.71	1760000	24062994.00
2017/07/07	13.72	13.80	13.59	13.73	1777724	24382824.00
2017/07/10	13.70	13.81	13.31	13.56	2656989	35955156.00
2017/07/11	13.46	13.50	13.35	13.36	1467909	19707992.00
2017/07/12	13.36	13.36	12.70	12.95	2105264	27217484.00
2017/07/13	13.00	13.00	12.75	12.84	986910	12653927.00
2017/07/14	12.82	13.50	11.99	13.34	1991374	25752076.00
2017/07/17	13.21	13.22	12.05	12.41	1737500	22171620.00
2017/07/18	12.33	12.64	12.33	12.58	1284210	16053833.00
2017/07/19	12.55	12.87	12.43	12.69	1057001	13374873.00
2017/07/20	12.73	12.95	12.66	12.68	1202310	15394059.00
2017/07/21	12.65	13.23	12.65	12.92	2357693	30591210.00
2017/07/24	12.82	12.82	12.56	12.68	1899338	24008680.00
2017/07/25	12.75	12.76	12.53	12.63	1065572	13423610.00
2017/07/26	12.63	12.66	12.10	12.40	2163400	26652698.00
2017/07/27	12.37	12.57	12.25	12.51	2184201	27117024.00
2017/07/28	12.42	12.55	12.36	12.48	1408689	17517712.00
2017/07/31	12.40	12.47	12.30	12.40	1165876	14413144.00
2017/08/01	12.40	12.46	12.15	12.21	1651960	20223548.00
2017/08/02	12.28	12.28	12.02	12.16	1551364	18786756.00
2017/08/03	12.16	12.48	12.07	12.27	1737911	21259860.00
2017/08/04	12.27	12.30	12.08	12.12	1243901	15107969.00
2017/08/07	12.14	12.23	12.09	12.17	820047	9978586.00
2017/08/08	12.21	12.21	12.08	12.13	1213212	14701089.00
2017/08/09	12.15	12.18	12.03	12.17	1161446	14049780.00
2017/08/10	12.19	12.19	11.81	11.95	2038500	24318930.00
2017/08/11	11.83	12.00	11.63	11.83	1675801	19813052.00
2017/08/14	11.80	11.95	11.70	11.85	1713081	20308872.00
2017/08/15	11.92	12.50	11.81	12.14	3120825	37890080.00
2017/08/16	12.07	12.22	11.97	12.17	2373027	28719096.00
2017/08/17	12.16	12.51	12.15	12.47	4518607	55954496.00
2017/08/18	12.41	13.50	12.30	12.87	7003491	89767568.00
2017/08/21	12.99	12.99	12.48	12.65	4678685	59174868.00
2017/08/22	12.64	12.72	12.30	12.34	4383755	54495200.00
2017/08/23	12.30	12.47	12.26	12.34	2489933	30802944.00
2017/08/24	12.30	12.50	12.06	12.35	2193649	27009772.00
2017/08/25	12.35	12.43	12.24	12.36	2384933	29450712.00
2017/08/28	12.33	12.55	12.32	12.49	2334252	29074190.00
2017/08/29	12.49	12.58	12.42	12.50	2602780	32498010.00
2017/08/30	12.53	12.57	12.43	12.50	2979130	37211716.00
2017/08/31	12.53	12.53	12.43	12.49	2147973	26830970.00
2017/09/01	12.51	12.59	12.41	12.49	1817108	22696386.00
2017/09/04	12.45	12.48	12.32	12.34	1847411	22904942.00
2017/09/05	12.40	12.63	12.39	12.44	2371331	29694624.00
2017/09/06	12.45	12.49	12.35	12.44	2013419	25021828.00
2017/09/07	12.45	12.50	12.33	12.35	1983700	24639932.00
2017/09/08	12.33	12.47	12.28	12.36	1191673	14755425.00
2017/09/11	12.34	12.44	12.30	12.40	1507941	18656020.00
2017/09/12	12.40	12.41	12.04	12.09	2655193	32461112.00
2017/09/13	12.09	12.27	12.06	12.26	1471274	17879534.00
2017/09/14	12.26	12.29	12.06	12.08	1409642	17159136.00
2017/09/15	12.09	12.14	11.92	11.97	2219293	26706144.00
2017/09/18	11.96	12.06	11.89	12.00	1661556	19916200.00
2017/09/19	12.01	12.27	12.00	12.15	2136780	25981868.00
2017/09/20	12.15	12.19	12.05	12.18	1824347	22101632.00
2017/09/21	12.18	12.40	12.13	12.17	3274601	40110092.00
2017/09/22	12.22	12.24	12.07	12.12	1622847	19688826.00
2017/09/25	12.10	12.15	11.69	11.73	2648615	31535728.00
2017/09/26	11.70	11.78	11.40	11.61	1962601	22817334.00
2017/09/27	11.60	11.77	11.55	11.72	1318501	15411426.00
2017/09/28	11.75	11.75	11.37	11.41	1154300	13428033.00
2017/09/29	11.48	12.10	11.48	11.80	2272662	26724540.00
2017/10/09	11.86	12.04	11.83	11.87	1716358	20506672.00
