600004 白云机场 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	16.42	16.71	16.12	16.20	12820894	210401936.00
2017/03/28	16.18	16.18	15.82	15.98	8277423	132215072.00
2017/03/29	16.03	16.43	15.90	16.09	15339440	248123520.00
2017/03/30	16.08	16.10	15.69	15.83	8144509	129340288.00
2017/03/31	15.83	16.05	15.78	15.94	7594659	120884472.00
2017/04/05	16.00	16.11	15.94	15.98	9934533	158997760.00
2017/04/06	15.99	16.14	15.95	16.01	9496068	152298864.00
2017/04/07	16.01	16.25	15.91	16.17	8622299	138962848.00
2017/04/10	16.11	16.19	15.88	15.95	9430858	151091552.00
2017/04/11	15.94	16.04	15.55	16.03	15262097	241017424.00
2017/04/12	16.63	16.95	16.32	16.71	48719640	809938048.00
2017/04/13	16.48	16.85	16.39	16.70	40721526	677260160.00
2017/04/14	16.63	16.70	16.24	16.26	18061029	297399904.00
2017/04/17	16.15	16.26	15.91	15.97	9862624	158126992.00
2017/04/18	15.95	16.16	15.95	15.97	8461784	136000272.00
2017/04/19	15.99	16.12	15.64	16.05	13154056	208505104.00
2017/04/20	16.08	16.47	16.05	16.44	15395127	250517824.00
2017/04/21	16.39	16.40	16.16	16.27	7926978	128971760.00
2017/04/24	16.28	16.29	15.74	15.84	9384835	149483952.00
2017/04/25	15.90	16.09	15.81	15.98	8079170	128998352.00
2017/04/26	16.00	16.11	15.87	15.92	6074850	96982624.00
2017/04/27	15.92	16.04	15.72	16.03	7052073	112276112.00
2017/04/28	16.01	16.01	15.79	15.95	7455272	118539584.00
2017/05/02	16.02	16.36	16.02	16.29	13927882	225748768.00
2017/05/03	16.25	16.87	16.25	16.76	29536134	491919072.00
2017/05/04	16.88	17.02	16.66	16.69	20672171	348095168.00
2017/05/05	16.57	16.81	16.57	16.69	13572251	226781616.00
2017/05/08	16.75	16.89	16.39	16.63	14647328	244216544.00
2017/05/09	16.57	16.57	16.31	16.47	10015776	164659552.00
2017/05/10	16.40	16.55	16.06	16.07	9164441	149996128.00
2017/05/11	16.04	16.19	15.81	16.18	11946091	191204448.00
2017/05/12	16.15	16.62	16.08	16.45	13175007	216005072.00
2017/05/15	16.60	16.82	16.47	16.50	18978160	316428256.00
2017/05/16	16.53	17.09	16.48	17.08	25112732	421632992.00
2017/05/17	17.00	17.18	16.92	16.97	19871710	338483424.00
2017/05/18	16.85	17.10	16.78	16.93	14098566	239136208.00
2017/05/19	16.93	17.00	16.69	16.94	17313926	291995392.00
2017/05/22	16.92	17.05	16.66	17.01	18512402	312251616.00
2017/05/23	16.88	16.90	16.21	16.43	34691477	572501952.00
2017/05/24	16.29	16.32	15.89	16.01	34064893	547441472.00
2017/05/25	15.98	16.23	15.94	16.19	19530573	314200480.00
2017/05/26	16.28	16.50	16.18	16.31	26038171	425137088.00
2017/05/31	16.35	16.55	16.31	16.51	32400327	532267488.00
2017/06/01	16.48	16.91	16.40	16.75	28811420	482719680.00
2017/06/02	16.67	17.05	16.67	16.82	20900116	352790880.00
2017/06/05	16.83	17.03	16.70	17.01	15177315	255922016.00
2017/06/06	17.05	17.55	16.94	17.47	33027590	573372160.00
2017/06/07	17.50	18.12	17.47	18.07	27234969	487816704.00
2017/06/08	17.95	18.37	17.88	18.27	18622067	337920480.00
2017/06/09	18.27	18.28	17.96	18.12	17826893	321927744.00
2017/06/12	18.09	18.87	18.00	18.16	27845684	512539744.00
2017/06/13	18.19	18.27	17.91	18.19	12827825	232523824.00
