600006 东风汽车 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	6.95	6.97	6.87	6.91	13297812	91832608.00
2017/03/28	6.91	6.91	6.85	6.86	7764519	53319488.00
2017/03/29	6.86	6.88	6.79	6.81	8128539	55531632.00
2017/03/30	6.80	6.80	6.66	6.67	14582152	97789360.00
2017/03/31	6.70	6.92	6.66	6.88	20331633	138555568.00
2017/04/05	6.80	6.91	6.76	6.91	15594571	106917008.00
2017/04/06	6.92	7.06	6.86	6.96	18515773	128682792.00
2017/04/07	6.93	6.97	6.88	6.92	10403267	71997816.00
2017/04/10	6.90	6.97	6.88	6.91	10687105	73924048.00
2017/04/11	6.91	6.94	6.80	6.91	13083014	89860312.00
2017/04/12	6.88	6.96	6.82	6.91	12817066	88630608.00
2017/04/13	6.91	6.95	6.88	6.93	8390101	58027784.00
2017/04/14	6.92	6.92	6.81	6.82	8952557	61393952.00
2017/04/17	6.80	6.80	6.70	6.72	9032658	60813776.00
2017/04/18	6.71	6.75	6.56	6.62	12282135	81772568.00
2017/04/19	6.60	6.62	6.46	6.55	9314225	60795056.00
2017/04/20	6.55	6.58	6.50	6.56	6116488	40062512.00
2017/04/21	6.56	6.59	6.45	6.51	5694426	37112520.00
2017/04/24	6.50	6.51	6.31	6.32	8116783	51814720.00
2017/04/25	6.32	6.40	6.31	6.33	5780930	36667528.00
2017/04/26	6.33	6.37	6.30	6.32	6451964	40796032.00
2017/04/27	6.32	6.33	6.14	6.25	11237223	69849808.00
2017/04/28	6.26	6.34	6.23	6.31	5754416	36145448.00
2017/05/02	6.25	6.27	6.19	6.24	5337536	33247404.00
2017/05/03	6.23	6.24	6.14	6.18	8050688	49728424.00
2017/05/04	6.17	6.20	6.10	6.14	5160710	31751040.00
2017/05/05	6.13	6.18	6.09	6.10	5706635	34991100.00
2017/05/08	6.14	6.14	6.07	6.09	5191141	31683640.00
2017/05/09	6.09	6.11	6.01	6.09	5648639	34224112.00
2017/05/10	6.07	6.11	5.97	5.99	6320200	38270960.00
2017/05/11	5.99	5.99	5.73	5.92	10356012	60623144.00
2017/05/12	5.91	5.92	5.77	5.85	6829617	39988768.00
2017/05/15	5.85	5.88	5.84	5.86	3393798	19893156.00
2017/05/16	5.86	5.95	5.77	5.93	6815704	39900580.00
2017/05/17	5.94	5.96	5.90	5.91	9329002	55300520.00
2017/05/18	5.90	5.90	5.77	5.77	9061693	52798440.00
2017/05/19	5.80	5.93	5.75	5.81	14425093	83895216.00
2017/05/22	5.75	5.83	5.75	5.79	7678050	44419776.00
2017/05/23	5.76	5.79	5.57	5.60	10765335	61041080.00
2017/05/24	5.57	5.57	5.43	5.54	7978741	43842072.00
2017/05/25	5.52	5.62	5.50	5.61	9119681	50840636.00
2017/05/26	5.61	5.65	5.55	5.56	7350775	41140844.00
2017/05/31	5.60	5.67	5.60	5.62	7684241	43259808.00
2017/06/01	5.63	5.65	5.52	5.53	7005041	39000388.00
2017/06/02	5.52	5.57	5.45	5.55	6180207	34106036.00
2017/06/05	5.56	5.60	5.54	5.58	6157313	34354116.00
2017/06/06	5.58	5.62	5.58	5.62	5149780	28839354.00
2017/06/07	5.61	5.70	5.59	5.69	8096176	45815664.00
2017/06/08	5.69	5.71	5.65	5.69	7013168	39846976.00
2017/06/09	5.69	5.70	5.63	5.65	7589391	42869176.00
2017/06/12	5.64	5.72	5.63	5.64	7472731	42374988.00
2017/06/13	5.75	6.08	5.75	5.98	35314277	209476256.00
2017/06/14	5.90	6.06	5.90	5.96	24906559	148714736.00
2017/06/15	5.92	5.99	5.91	5.93	13170738	78267056.00
2017/06/16	5.93	5.98	5.90	5.93	8222400	48789280.00
2017/06/19	5.92	5.93	5.85	5.91	7967913	46949904.00
2017/06/20	5.92	5.97	5.91	5.93	7838864	46566488.00
2017/06/21	5.96	5.97	5.85	5.88	7437132	43821912.00
2017/06/22	5.88	5.90	5.77	5.77	9560200	55814472.00
2017/06/23	5.75	5.81	5.73	5.79	6007520	34655504.00
2017/06/26	5.78	5.85	5.73	5.85	7507532	43511824.00
2017/06/27	5.84	5.85	5.80	5.82	5919851	34450152.00
2017/06/28	5.82	5.96	5.79	5.88	13352189	78861416.00
2017/06/29	5.87	5.92	5.83	5.86	7819946	45805616.00
2017/06/30	5.86	5.86	5.82	5.85	4006247	23398068.00
2017/07/03	5.85	5.96	5.84	5.93	9195983	54292448.00
2017/07/04	5.92	6.02	5.87	5.94	11260252	66990052.00
2017/07/05	5.91	6.02	5.90	6.00	12741685	76108400.00
2017/07/06	6.02	6.02	5.91	5.95	11708322	69798048.00
2017/07/07	5.96	6.06	5.95	6.04	16314773	98267000.00
2017/07/10	6.01	6.10	5.96	6.08	12897573	77547968.00
2017/07/11	6.03	6.07	5.95	5.96	10525470	63285384.00
2017/07/12	5.95	5.98	5.82	5.87	8606439	50707428.00
2017/07/13	5.88	5.92	5.83	5.90	6401348	37652536.00
2017/07/14	5.89	6.09	5.85	6.05	19425454	116438064.00
2017/07/17	6.02	6.06	5.77	5.88	16255965	95799912.00
2017/07/18	5.83	5.94	5.75	5.92	8491509	49626672.00
2017/07/19	5.93	6.08	5.88	6.07	20196599	121471880.00
