600008 首创股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	4.32	4.34	4.29	4.30	21498269	92683664.00
2017/03/28	4.30	4.31	4.27	4.28	14762138	63236268.00
2017/03/29	4.27	4.31	4.26	4.28	18835884	80708296.00
2017/03/30	4.28	4.29	4.21	4.22	28117744	119242984.00
2017/03/31	4.22	4.26	4.22	4.26	18290049	77639472.00
2017/04/05	4.69	4.69	4.69	4.69	69923098	327939328.00
2017/04/06	5.16	5.16	4.90	5.16	576383430	2935222272.00
2017/04/07	4.99	5.68	4.93	5.68	364245092	1912217600.00
2017/04/10	6.25	6.25	6.25	6.25	37218980	232618624.00
2017/04/11	6.88	6.88	6.88	6.88	14260411	98111632.00
2017/04/12	7.57	7.57	7.48	7.57	313692440	2374180864.00
2017/04/13	7.60	8.33	7.58	8.33	981078020	7836580864.00
2017/04/18	7.69	8.05	7.50	7.50	622225251	4776349184.00
2017/04/19	7.25	7.56	6.86	7.30	534545250	3847500544.00
2017/04/20	7.30	7.38	6.78	7.02	484105023	3451061248.00
2017/04/21	6.83	7.00	6.32	6.32	478149711	3145480192.00
2017/04/24	6.22	6.58	6.18	6.29	364563109	2310799872.00
2017/04/25	6.28	6.88	6.08	6.56	543805524	3545056512.00
2017/04/26	6.38	7.22	6.32	7.22	546027782	3733705216.00
2017/04/27	7.45	7.94	7.31	7.38	926721329	7069356544.00
2017/04/28	7.24	7.65	7.21	7.51	557054577	4150643712.00
2017/05/02	7.51	7.84	7.28	7.79	549642965	4156100352.00
2017/05/03	7.58	7.61	7.08	7.11	461936964	3389885952.00
2017/05/04	6.99	7.82	6.95	7.70	804118444	6146013184.00
2017/05/05	7.55	7.70	7.22	7.49	472772097	3520502016.00
2017/05/08	7.46	7.54	6.87	6.93	377131661	2730233088.00
2017/05/09	6.91	7.04	6.70	6.94	320426668	2199787776.00
2017/05/10	6.88	6.95	6.32	6.43	345590313	2286701568.00
2017/05/11	6.48	6.85	6.36	6.79	363068157	2401129728.00
2017/05/12	6.72	7.47	6.59	7.15	545403126	3843663872.00
2017/05/15	7.06	7.38	7.01	7.07	398835261	2856561664.00
2017/05/16	6.93	7.78	6.85	7.78	554248471	4140317696.00
2017/05/17	8.26	8.44	7.92	8.11	727303830	5916158464.00
2017/05/18	7.95	8.28	7.53	7.85	576100728	4550405120.00
2017/05/19	7.75	7.88	7.52	7.76	346571986	2672072192.00
2017/05/22	7.61	7.90	7.41	7.75	340064458	2605412352.00
2017/05/23	7.66	7.83	6.98	7.06	366030186	2715023104.00
2017/05/24	6.85	7.17	6.73	7.15	253365501	1774394624.00
2017/05/25	7.08	7.34	6.81	7.22	289237551	2052126720.00
2017/05/26	7.20	7.50	7.03	7.07	262607852	1912840448.00
2017/05/31	7.09	7.11	6.85	6.96	165607595	1159226752.00
2017/06/01	6.87	6.93	6.41	6.45	230697340	1530491392.00
2017/06/02	6.43	6.68	6.40	6.60	155341369	1019130752.00
2017/06/05	6.60	6.76	6.57	6.63	121498088	810325568.00
2017/06/06	6.58	6.67	6.44	6.60	125239149	821315648.00
2017/06/07	6.58	7.26	6.57	7.14	455686528	3203012096.00
2017/06/08	7.06	7.13	6.97	7.03	266280161	1872761984.00
2017/06/09	7.00	7.06	6.79	6.97	211429177	1466484608.00
2017/06/12	6.90	7.19	6.88	7.02	232778757	1646750720.00
2017/06/13	7.02	7.09	6.92	7.08	138331880	970191296.00
2017/06/14	7.05	7.11	6.91	6.92	128977434	900273152.00
2017/06/15	6.90	7.04	6.88	6.94	123397117	857688128.00
2017/06/16	6.92	7.28	6.91	7.10	297302275	2124042752.00
2017/06/19	7.07	7.10	6.93	7.03	142407352	996510912.00
2017/06/20	7.06	7.27	7.03	7.15	270046036	1936387712.00
2017/06/21	7.16	7.32	7.11	7.23	195091256	1407462912.00
2017/06/22	7.25	7.34	6.95	6.97	226867457	1621032576.00
2017/06/23	6.91	6.97	6.70	6.88	186710139	1276096128.00
2017/06/26	6.88	6.92	6.75	6.92	114653491	786468096.00
2017/06/27	6.91	7.04	6.88	6.90	135763024	942842624.00
2017/06/28	6.85	6.86	6.66	6.70	148632907	1000077184.00
2017/06/29	6.67	6.81	6.66	6.71	94166923	634079104.00
2017/06/30	6.68	6.69	6.51	6.58	124136844	817261824.00
2017/07/03	6.60	6.71	6.59	6.64	74850936	497235808.00
2017/07/04	6.65	6.71	6.60	6.63	74766451	497640864.00
2017/07/05	6.61	6.63	6.48	6.60	101011496	660391424.00
2017/07/06	6.58	6.63	6.49	6.50	95031802	621188736.00
2017/07/07	6.49	6.55	6.40	6.42	98896167	637912512.00
2017/07/10	6.40	6.45	6.35	6.41	85007040	544327296.00
2017/07/11	6.40	6.43	6.14	6.16	123154263	772276672.00
2017/07/12	6.16	6.21	5.83	6.13	157135881	946644032.00
2017/07/13	6.05	6.09	5.95	5.99	77945004	469321120.00
2017/07/14	6.00	6.12	5.97	6.00	63355864	382533504.00
2017/07/17	6.01	6.02	5.40	5.52	130685351	736497664.00
2017/07/18	5.48	5.63	5.43	5.59	74096558	411465760.00
2017/07/19	5.56	5.64	5.54	5.64	79641044	446455488.00
2017/07/20	5.63	5.73	5.60	5.66	75013549	426041152.00
2017/07/21	5.63	5.94	5.58	5.83	131451088	762352960.00
2017/07/24	5.83	6.15	5.80	6.06	145546265	873336448.00
2017/07/25	6.01	6.04	5.88	5.91	87944605	521695520.00
2017/07/26	5.92	6.00	5.88	5.94	63743319	378031360.00
2017/07/27	5.94	5.96	5.86	5.90	57962749	342069280.00
2017/07/28	5.88	5.90	5.81	5.82	51046078	298122112.00
2017/07/31	5.83	5.95	5.80	5.88	61449464	361168480.00
2017/08/01	5.94	6.28	5.93	6.18	202763931	1242209664.00
2017/08/02	6.14	6.45	6.10	6.28	206338884	1287255936.00
2017/08/03	6.27	6.42	6.16	6.18	137331565	861712320.00
2017/08/04	6.18	6.29	6.11	6.12	91801153	567786304.00
2017/08/07	6.11	6.33	6.08	6.24	99064094	618383168.00
2017/08/08	6.38	6.45	6.20	6.24	118763044	748504832.00
2017/08/09	6.23	6.37	6.16	6.28	106940489	673829376.00
2017/08/10	6.29	6.29	6.08	6.14	97841781	603637120.00
2017/08/11	6.11	6.30	6.06	6.16	117113542	724611840.00
2017/08/14	6.20	6.78	6.20	6.78	392691012	2603156736.00
2017/08/15	6.89	7.04	6.78	6.84	419603766	2891960064.00
2017/08/16	6.80	6.84	6.66	6.68	218375756	1467795840.00
2017/08/17	6.72	7.02	6.67	6.92	291713759	2003195392.00
2017/08/18	6.83	7.08	6.81	6.84	234232493	1625441280.00
2017/08/21	6.87	6.90	6.73	6.88	135657730	921962688.00
2017/08/22	6.95	7.02	6.75	6.82	146330747	1006001472.00
2017/08/23	6.70	6.81	6.56	6.59	135349854	904517696.00
2017/08/24	6.62	6.73	6.57	6.64	92770832	615923840.00
2017/08/25	6.64	6.73	6.52	6.71	107370135	712284672.00
2017/08/28	6.70	6.86	6.67	6.82	134029215	908999424.00
2017/08/29	6.84	6.87	6.69	6.77	120893546	818358144.00
2017/08/30	6.76	6.81	6.69	6.72	94867124	639053312.00
2017/08/31	6.67	6.70	6.56	6.64	126576577	836258816.00
2017/09/01	6.67	6.86	6.65	6.71	139857207	944164928.00
2017/09/04	6.67	6.87	6.63	6.86	194386606	1322946432.00
2017/09/05	6.85	6.92	6.68	6.80	151258399	1027844096.00
2017/09/06	6.75	6.80	6.70	6.76	75579748	509279424.00
2017/09/07	6.78	6.84	6.69	6.71	117954672	799101632.00
2017/09/08	6.71	6.77	6.62	6.70	108957070	728558208.00
2017/09/11	6.66	6.85	6.62	6.82	214691837	1454034560.00
2017/09/12	6.82	7.04	6.77	6.96	327221666	2264956928.00
2017/09/13	6.93	7.03	6.85	6.92	215735450	1492357888.00
2017/09/14	6.90	6.96	6.71	6.78	192573144	1313359488.00
2017/09/15	6.73	6.78	6.66	6.66	102876800	690072064.00
2017/09/18	6.65	6.71	6.61	6.64	68167025	452670720.00
2017/09/19	6.68	6.70	6.61	6.64	57804682	384619616.00
2017/09/20	6.63	6.66	6.46	6.63	93913538	617435840.00
2017/09/21	6.60	6.60	6.43	6.44	76662500	499467072.00
2017/09/22	6.48	6.56	6.32	6.34	67312296	434311008.00
2017/09/25	6.30	6.40	6.25	6.26	47444100	299740640.00
2017/09/26	6.30	6.35	6.27	6.32	40168597	253613152.00
2017/09/27	6.35	6.36	6.28	6.30	36447422	229923168.00
2017/09/28	6.32	6.38	6.27	6.29	53496544	337981376.00
2017/09/29	6.34	6.41	6.32	6.40	58083251	370001472.00
2017/10/09	6.45	6.50	6.38	6.41	49376719	317432544.00
2017/10/10	6.40	6.42	6.33	6.40	41234292	262608192.00
2017/10/11	6.39	6.39	6.19	6.21	74963104	470272736.00
2017/10/12	6.21	6.28	6.16	6.20	41584715	258242576.00
2017/10/13	6.20	6.49	6.13	6.47	134984683	859196864.00
2017/10/16	6.48	6.50	6.25	6.26	75095333	476399680.00
2017/10/17	6.24	6.35	6.20	6.25	33736489	211364864.00
2017/10/18	6.29	6.44	6.26	6.27	61315082	388745824.00
2017/10/19	6.25	6.25	6.06	6.08	62646366	383815168.00
2017/10/20	6.05	6.11	6.02	6.10	34448900	209458864.00
2017/10/23	6.11	6.32	6.07	6.25	67999417	423906624.00
2017/10/24	6.23	6.24	6.11	6.17	43596133	268309344.00
