600011 华能国际 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	7.24	7.24	7.13	7.15	27414041	196749408.00
2017/03/28	7.11	7.18	7.10	7.15	14608907	104416856.00
2017/03/29	7.15	7.18	7.07	7.09	25103208	178677776.00
2017/03/30	7.11	7.24	7.05	7.17	32086307	229519744.00
2017/03/31	7.16	7.26	7.12	7.17	25501080	183578304.00
2017/04/05	7.18	7.30	7.15	7.28	21987790	159349840.00
2017/04/06	7.28	7.42	7.26	7.31	28265504	207244944.00
2017/04/07	7.32	7.40	7.29	7.38	19857773	146047552.00
2017/04/10	7.37	7.47	7.29	7.44	23780784	175907136.00
2017/04/11	7.43	7.60	7.26	7.54	36301858	270826720.00
2017/04/12	7.45	7.63	7.40	7.43	19808302	148905392.00
2017/04/13	7.42	7.63	7.40	7.61	29699804	224331856.00
2017/04/14	7.61	7.69	7.56	7.58	26753865	204329408.00
2017/04/17	7.57	7.67	7.46	7.47	18709877	141920976.00
2017/04/18	7.50	7.66	7.50	7.59	25386818	193047648.00
2017/04/19	7.55	7.64	7.44	7.58	15647243	117901248.00
2017/04/20	7.56	7.62	7.37	7.38	16039439	120593216.00
2017/04/21	7.40	7.69	7.39	7.69	31129478	235761264.00
2017/04/24	7.68	7.85	7.41	7.54	30450215	232988240.00
2017/04/25	7.54	7.81	7.50	7.77	30222145	233919456.00
2017/04/26	7.66	7.94	7.58	7.80	27791988	216099728.00
2017/04/27	7.75	7.87	7.73	7.82	20736540	162293504.00
2017/04/28	7.85	7.87	7.72	7.80	15902074	124176112.00
2017/05/02	7.78	7.84	7.56	7.62	12778016	97902776.00
2017/05/03	7.61	7.67	7.43	7.47	14515028	109417520.00
2017/05/04	7.47	7.68	7.40	7.56	15954162	120916624.00
2017/05/05	7.47	7.68	7.47	7.56	13949198	106298288.00
2017/05/08	7.52	7.63	7.41	7.45	7408307	55311072.00
2017/05/09	7.47	8.10	7.47	7.93	47967083	376524448.00
2017/05/10	7.95	7.95	7.73	7.74	20702102	162003792.00
2017/05/11	7.75	7.83	7.58	7.79	21316046	164413136.00
2017/05/12	7.74	7.96	7.70	7.76	21950797	172222864.00
2017/05/15	7.77	7.93	7.69	7.88	15296231	119742760.00
2017/05/16	7.87	7.94	7.75	7.89	17295852	135953760.00
2017/05/17	7.90	8.14	7.88	7.89	19463442	155616976.00
2017/05/18	7.76	7.85	7.61	7.67	20523840	158605472.00
2017/05/19	7.66	7.84	7.66	7.79	12204704	94719496.00
2017/05/22	7.76	8.00	7.70	7.80	15960779	125545552.00
2017/05/23	7.73	7.92	7.65	7.66	13749501	106802944.00
2017/05/24	7.58	7.82	7.56	7.79	11257819	86840032.00
2017/05/25	7.77	7.87	7.74	7.85	8713200	68153880.00
2017/05/26	7.85	8.02	7.82	7.95	13842278	109955344.00
2017/05/31	8.11	8.14	7.78	7.79	17095228	135162208.00
2017/06/01	7.77	7.91	7.77	7.90	9697844	76135936.00
2017/06/02	7.88	8.04	7.82	8.01	18893863	150677392.00
2017/06/05	8.14	8.36	8.05	8.30	29466589	243074640.00
2017/06/06	8.25	8.26	7.96	8.08	28529032	230374592.00
2017/06/07	8.07	8.21	8.02	8.11	20694151	167880352.00
2017/06/08	8.11	8.18	7.96	8.14	18079961	145490000.00
2017/06/09	8.13	8.13	7.92	7.98	24226856	193842224.00
2017/06/12	8.00	8.23	7.95	8.22	24531257	199378512.00
2017/06/13	8.20	8.20	8.03	8.12	17373898	140949696.00
2017/06/14	8.08	8.11	7.98	8.01	15923178	127615216.00
2017/06/15	7.98	8.00	7.87	7.89	17510439	138512576.00
2017/06/16	7.88	7.90	7.69	7.71	28680328	222424800.00
2017/06/19	7.72	7.83	7.69	7.81	18025976	139936832.00
2017/06/20	7.79	7.84	7.68	7.74	18700703	144659600.00
2017/06/21	7.76	7.81	7.69	7.80	16701468	129274784.00
2017/06/22	7.85	7.99	7.76	7.77	42262686	332880704.00
2017/06/23	7.78	7.78	7.58	7.75	28175740	215727888.00
2017/06/26	7.74	7.77	7.66	7.73	20680823	159417776.00
2017/06/27	7.72	7.78	7.69	7.75	14398577	111422176.00
2017/06/28	7.75	7.81	7.74	7.80	15804603	122753792.00
2017/06/29	7.83	7.84	7.68	7.72	19517929	150769136.00
2017/06/30	7.42	7.42	7.29	7.34	17037707	124919856.00
2017/07/03	7.30	7.33	7.13	7.17	26779301	192028208.00
2017/07/04	7.17	7.24	7.15	7.20	13707010	98598344.00
2017/07/05	7.18	7.25	7.15	7.21	13144268	94442312.00
2017/07/06	7.27	7.45	7.27	7.31	28113202	206346016.00
2017/07/07	7.28	7.36	7.27	7.32	17406253	127261768.00
2017/07/10	7.33	7.36	7.30	7.31	10683308	78257760.00
2017/07/11	7.31	7.31	7.17	7.22	22020124	158954928.00
2017/07/12	7.21	7.22	7.04	7.10	30643684	217667136.00
2017/07/13	7.10	7.16	7.08	7.13	18804952	133782536.00
2017/07/14	7.14	7.23	7.09	7.21	21021072	150631008.00
2017/07/17	7.19	7.19	7.06	7.08	22127034	157274528.00
2017/07/18	7.10	7.16	7.08	7.15	14867430	105771552.00
2017/07/19	7.14	7.36	7.11	7.35	38827163	280611104.00
2017/07/20	7.31	7.43	7.26	7.37	29582931	217138112.00
2017/07/21	7.36	7.40	7.31	7.33	16165243	119047704.00
2017/07/24	7.33	7.38	7.31	7.37	13126583	96452024.00
2017/07/25	7.38	7.38	7.26	7.29	13214202	96475968.00
2017/07/26	7.29	7.33	7.21	7.22	17583859	127838752.00
2017/07/27	7.21	7.26	7.18	7.26	10080920	72882720.00
2017/07/28	7.24	7.40	7.24	7.32	17512304	128305104.00
2017/07/31	7.32	7.38	7.31	7.34	11627174	85444072.00
2017/08/01	7.34	7.42	7.32	7.38	15437887	113892528.00
2017/08/02	7.38	7.42	7.23	7.24	26091058	191158144.00
2017/08/03	7.22	7.33	7.20	7.27	16640773	121004816.00
2017/08/04	7.28	7.30	7.25	7.29	9349205	67987000.00
2017/08/07	7.30	7.30	7.15	7.19	19819524	142726032.00
2017/08/08	7.19	7.20	7.09	7.12	17306966	123223032.00
2017/08/09	7.12	7.12	7.05	7.07	17695038	125115776.00
2017/08/10	7.07	7.12	7.00	7.03	17957141	126435744.00
2017/08/11	7.03	7.03	6.85	6.87	18815073	130154984.00
2017/08/14	6.87	6.93	6.86	6.91	11948767	82347256.00
2017/08/15	6.91	6.94	6.88	6.90	11245637	77617736.00
2017/08/16	6.91	6.94	6.86	6.93	10886417	75162192.00
2017/08/17	6.94	7.15	6.91	7.09	25693750	181065520.00
2017/08/18	7.06	7.18	7.03	7.17	21569611	154078208.00
2017/08/21	7.18	7.24	7.10	7.16	18099310	129819816.00
2017/08/22	7.16	7.20	7.12	7.18	10747138	76899096.00
2017/08/23	7.17	7.17	7.07	7.08	8445739	59989632.00
2017/08/24	7.08	7.24	7.08	7.11	19588535	140349104.00
2017/08/25	7.10	7.15	7.05	7.13	14701584	104536280.00
2017/08/28	7.10	7.21	7.09	7.18	15160189	108571672.00
2017/08/29	7.24	7.30	7.19	7.19	16630300	120406352.00
2017/08/30	7.18	7.22	7.14	7.17	9250519	66308040.00
2017/08/31	7.17	7.17	7.12	7.15	6325207	45142468.00
2017/09/01	7.23	7.28	7.17	7.19	18349236	132515976.00
2017/09/04	7.15	7.19	7.07	7.12	17959870	127644080.00
2017/09/05	7.12	7.12	7.02	7.05	15362351	108232640.00
2017/09/06	7.05	7.06	7.00	7.05	9142257	64213556.00
2017/09/07	7.04	7.05	7.01	7.02	7486321	52583192.00
2017/09/08	7.04	7.05	7.00	7.01	8406399	58977560.00
2017/09/11	7.01	7.05	6.97	7.05	11992287	84038120.00
2017/09/12	7.05	7.05	6.92	6.97	23329514	162688976.00
2017/09/13	6.96	7.00	6.90	6.97	12604256	87425808.00
2017/09/14	6.95	6.99	6.91	6.97	7983603	55493156.00
2017/09/15	6.96	6.96	6.90	6.92	13564754	93792336.00
2017/09/18	6.94	6.97	6.93	6.97	5527500	38428740.00
2017/09/19	6.97	6.98	6.93	6.97	4334145	30130756.00
2017/09/20	6.98	7.01	6.94	7.00	7329615	51104976.00
2017/09/21	7.01	7.02	6.94	6.97	7100300	49563032.00
2017/09/22	6.96	6.96	6.89	6.93	6316752	43729824.00
2017/09/25	6.94	6.94	6.89	6.90	5090444	35132712.00
2017/09/26	6.90	6.91	6.85	6.90	9058615	62273368.00
2017/09/27	6.87	6.93	6.87	6.91	4677500	32345580.00
2017/09/28	6.90	6.92	6.88	6.90	4524092	31223480.00
2017/09/29	6.91	6.94	6.88	6.94	4139106	28647044.00
2017/10/09	6.98	6.98	6.94	6.96	4614822	32108662.00
2017/10/10	6.96	7.00	6.94	6.98	5550600	38712196.00
2017/10/11	7.00	7.00	6.96	6.98	4871620	33966340.00
2017/10/12	6.98	6.98	6.88	6.91	10260191	70993712.00
2017/10/13	6.93	6.97	6.89	6.92	9210786	63710392.00
2017/10/16	6.90	6.92	6.86	6.86	7126465	49053168.00
2017/10/17	6.87	6.89	6.85	6.86	4193620	28797974.00
2017/10/18	6.87	6.89	6.84	6.86	4597643	31549108.00
2017/10/19	6.87	6.88	6.73	6.74	9926901	67227856.00
2017/10/20	6.74	6.79	6.72	6.79	3798902	25730988.00
2017/10/23	6.79	6.84	6.76	6.84	3738842	25413752.00
2017/10/24	6.83	6.83	6.77	6.82	2802322	19058944.00
2017/10/25	6.81	6.87	6.78	6.86	5052354	34592536.00
2017/10/26	6.87	6.88	6.83	6.87	5959668	40873384.00
2017/10/27	6.84	6.89	6.84	6.86	5827841	40054504.00
2017/10/30	6.86	6.87	6.77	6.79	6595962	44832528.00
2017/10/31	6.78	6.80	6.70	6.73	6642096	44846164.00
2017/11/01	6.73	6.75	6.68	6.74	13588700	91275416.00
2017/11/02	6.75	6.75	6.70	6.74	7269667	48845072.00
2017/11/03	6.74	6.75	6.65	6.67	6994301	46801632.00
2017/11/06	6.68	6.69	6.57	6.60	8557781	56455372.00
2017/11/07	6.60	6.64	6.57	6.59	12940981	85337432.00
2017/11/08	6.59	6.94	6.58	6.91	36270397	247724864.00
2017/11/09	6.92	6.94	6.82	6.86	18052460	123765040.00
2017/11/10	6.84	6.86	6.72	6.74	15760914	106545816.00
2017/11/13	6.75	6.78	6.66	6.69	19163245	128721056.00
2017/11/14	6.70	6.74	6.68	6.72	9602321	64494972.00
2017/11/15	6.71	6.77	6.65	6.66	9231550	61729900.00
2017/11/16	6.66	6.77	6.60	6.64	13687483	91518608.00
2017/11/17	6.66	6.67	6.53	6.55	10005865	65768500.00
2017/11/20	6.54	6.59	6.48	6.58	9411852	61514488.00
2017/11/21	6.56	6.57	6.48	6.52	13643451	88843160.00
2017/11/22	6.52	6.53	6.44	6.46	18522722	119857248.00
2017/11/23	6.45	6.50	6.44	6.47	15720281	101812032.00
2017/11/24	6.47	6.48	6.36	6.40	11328838	72440376.00
2017/11/27	6.38	6.40	6.29	6.39	13364670	84812248.00
2017/11/28	6.36	6.38	6.31	6.33	11066901	70084856.00
2017/11/29	6.34	6.36	6.28	6.35	13326401	84249664.00
2017/11/30	6.35	6.39	6.30	6.33	9303719	59039244.00
2017/12/01	6.33	6.37	6.31	6.34	10348100	65551152.00
2017/12/04	6.33	6.50	6.32	6.42	21496518	138297664.00
2017/12/05	6.38	6.50	6.38	6.44	17040758	109915336.00
2017/12/06	6.45	6.49	6.41	6.49	15807544	102235992.00
2017/12/07	6.50	6.58	6.46	6.56	22356818	146092048.00
2017/12/08	6.55	6.61	6.50	6.53	26836408	175757392.00
2017/12/11	6.55	6.58	6.50	6.53	13513986	88461464.00
2017/12/12	6.52	6.52	6.44	6.47	10580810	68460592.00
2017/12/13	6.45	6.51	6.44	6.45	6094913	39460300.00
2017/12/14	6.47	6.47	6.34	6.44	11654693	74643560.00
2017/12/15	6.44	6.61	6.41	6.56	17003560	111150584.00
2017/12/18	6.54	6.63	6.53	6.59	10978443	72432352.00
2017/12/19	6.57	6.61	6.54	6.56	6369171	41893296.00
2017/12/20	6.56	6.61	6.55	6.56	6870506	45200304.00
2017/12/21	6.54	6.55	6.46	6.47	4153816	26952420.00
2017/12/22	6.48	6.52	6.37	6.41	7365339	47274736.00
2017/12/25	6.40	6.46	6.20	6.39	21683927	137181312.00
2017/12/26	6.32	6.40	6.31	6.35	5917925	37596224.00
2017/12/27	6.35	6.37	6.26	6.27	7708002	48531488.00
2017/12/28	6.29	6.29	6.19	6.20	11525784	71688496.00
2017/12/29	6.20	6.22	6.10	6.17	7501148	46176536.00
2018/01/02	6.18	6.30	6.16	6.27	9818135	61418088.00
2018/01/03	6.27	6.32	6.23	6.32	7390053	46533668.00
2018/01/04	6.30	6.36	6.26	6.29	12379201	77880192.00
2018/01/05	6.27	6.35	6.25	6.31	13665499	86191792.00
2018/01/08	6.33	6.34	6.27	6.33	7779921	49091784.00
2018/01/09	6.31	6.33	6.26	6.28	7683696	48345280.00
2018/01/10	6.28	6.28	6.19	6.20	9058261	56364668.00
2018/01/11	6.20	6.24	6.18	6.20	7958092	49351444.00
2018/01/12	6.22	6.31	6.20	6.27	10137601	63430364.00
2018/01/15	6.30	6.30	6.11	6.14	13121815	81002632.00
2018/01/16	6.13	6.16	6.07	6.13	11224805	68619296.00
2018/01/17	6.13	6.19	6.11	6.16	10740746	66050852.00
2018/01/18	6.16	6.17	6.09	6.13	13919052	85100640.00
2018/01/19	6.13	6.32	6.11	6.32	25640263	159731472.00
2018/01/22	6.30	6.33	6.24	6.30	12585725	79096504.00
2018/01/23	6.30	6.31	6.26	6.30	8972168	56378232.00
2018/01/24	6.29	6.39	6.29	6.35	13058213	82712416.00
2018/01/25	6.34	6.39	6.30	6.36	9706263	61746580.00
2018/01/26	6.35	6.37	6.31	6.34	6903981	43760248.00
2018/01/29	6.40	6.59	6.40	6.48	24597642	159965568.00
2018/01/30	6.45	6.62	6.44	6.60	28571774	187853792.00
2018/01/31	6.56	6.56	6.27	6.31	19605428	125122224.00
2018/02/01	6.29	6.30	6.01	6.09	19179598	117898504.00
2018/02/02	6.09	6.13	6.02	6.09	12909839	78429024.00
2018/02/05	6.01	6.12	5.94	6.09	11363938	68757768.00
2018/02/06	6.03	6.15	6.01	6.03	14726717	89533512.00
2018/02/07	6.12	6.14	6.01	6.09	10692177	64911036.00
2018/02/08	6.06	6.11	6.00	6.06	11167047	67496320.00
2018/02/09	6.01	6.05	5.80	5.82	15825322	93777048.00
2018/02/12	5.83	5.98	5.83	5.92	8134868	48090352.00
2018/02/13	5.92	6.10	5.92	6.07	9709794	58759384.00
