600012 皖通高速 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	17.40	17.69	16.90	16.98	10772751	185134288.00
2017/03/28	16.98	17.63	16.98	17.36	10918528	189806320.00
2017/03/29	17.27	17.56	16.85	17.09	8059337	138704240.00
2017/03/30	17.00	17.30	16.08	16.45	7946610	133332176.00
2017/03/31	16.62	16.91	16.29	16.65	8029763	133736952.00
2017/04/05	16.67	16.97	16.35	16.62	9323291	154377648.00
2017/04/06	16.62	17.13	16.46	17.05	6911175	117211144.00
2017/04/07	17.23	17.42	16.90	16.99	7035538	121078744.00
2017/04/10	16.99	17.28	16.00	16.87	7163102	121737944.00
2017/04/11	16.83	17.10	16.00	16.63	8560069	141688080.00
2017/04/12	16.58	16.69	14.97	14.97	18333207	282922816.00
2017/04/13	14.68	14.68	13.81	14.23	18276488	258064912.00
2017/04/14	14.26	14.35	14.10	14.19	8118569	115393904.00
2017/04/17	14.11	14.54	14.11	14.28	6577571	94027976.00
2017/04/18	14.28	14.31	14.01	14.07	4653538	65684384.00
2017/04/19	14.05	14.15	13.28	13.60	10016550	136016960.00
2017/04/20	13.60	13.82	13.49	13.75	6022235	81859856.00
2017/04/21	13.75	14.30	13.72	14.09	6089558	85922600.00
2017/04/24	14.19	14.19	13.61	13.86	4973780	68818096.00
2017/04/25	13.92	14.05	13.70	13.78	3994000	55121240.00
2017/04/26	13.77	14.05	13.65	14.00	5164498	72011216.00
2017/04/27	14.00	14.08	13.81	14.05	5796742	80983032.00
2017/04/28	14.08	14.21	13.98	14.17	3524969	49797456.00
2017/05/02	13.72	14.06	13.00	13.85	8482711	116555872.00
2017/05/03	13.85	13.90	13.68	13.76	3589376	49422024.00
2017/05/04	13.78	13.82	13.43	13.51	5489574	74552336.00
2017/05/05	13.50	13.50	13.31	13.33	3993321	53449340.00
2017/05/08	13.25	13.35	12.85	12.91	4355043	57291248.00
2017/05/09	12.88	13.27	12.31	13.14	6157761	78838072.00
2017/05/10	13.03	13.30	12.85	12.87	3995841	52283476.00
2017/05/11	12.87	13.11	12.15	12.71	7670743	96392232.00
2017/05/12	12.69	12.80	12.50	12.69	1877301	23782404.00
2017/05/15	12.69	12.98	12.69	12.74	2022500	25927424.00
2017/05/16	12.78	12.91	12.58	12.87	6129841	77992064.00
2017/05/17	12.93	13.08	12.81	12.97	4180927	54314032.00
2017/05/18	12.89	13.07	12.75	13.00	3845002	49531092.00
2017/05/19	12.99	13.03	12.84	12.88	2854309	36868716.00
2017/05/22	12.98	12.98	12.40	12.48	3653775	46147464.00
2017/05/23	12.48	12.66	12.18	12.29	2897843	35841248.00
2017/05/24	12.29	12.38	12.15	12.26	2577400	31542448.00
2017/05/25	12.24	12.55	12.20	12.54	3641498	45108200.00
2017/05/26	12.60	12.85	12.46	12.75	2958200	37466448.00
2017/05/31	12.89	12.99	12.60	12.67	3468900	44276456.00
2017/06/01	12.62	12.75	12.55	12.57	2244400	28372364.00
2017/06/02	12.57	12.57	12.20	12.54	3594911	44383320.00
2017/06/05	12.56	12.72	12.40	12.65	2917093	36678856.00
2017/06/06	12.60	12.65	12.54	12.56	1641500	20652926.00
2017/06/07	12.62	12.74	12.48	12.73	3924885	49692328.00
2017/06/08	12.73	12.85	12.62	12.69	4171415	53068296.00
2017/06/09	12.73	12.73	12.49	12.68	3000957	37758360.00
2017/06/12	12.64	12.68	12.35	12.49	2207879	27694466.00
2017/06/13	12.42	12.60	12.41	12.58	1964800	24615312.00
2017/06/14	12.64	12.64	12.55	12.60	1143926	14414591.00
2017/06/15	12.54	12.72	12.54	12.68	3060506	38702652.00
2017/06/16	12.69	12.73	12.58	12.59	2039563	25776012.00
2017/06/19	12.60	13.68	12.52	13.51	12852886	168103424.00
2017/06/20	13.50	13.74	13.31	13.52	6247035	84608248.00
2017/06/21	13.54	13.58	13.34	13.39	2976486	39936984.00
2017/06/22	13.46	13.46	13.18	13.20	3888715	51910548.00
2017/06/23	13.09	13.30	13.04	13.27	2933515	38604200.00
2017/06/26	13.30	13.35	13.14	13.22	3474770	45985264.00
2017/06/27	13.22	13.28	13.13	13.23	2502245	33016570.00
2017/06/28	13.25	13.36	13.23	13.29	3024140	40185312.00
2017/06/29	13.28	13.67	13.27	13.39	4984697	67068672.00
2017/06/30	13.30	13.62	13.21	13.51	5032475	67625944.00
2017/07/03	13.54	14.38	13.54	14.05	11986399	167445616.00
2017/07/04	14.00	14.17	13.88	13.89	6589867	91942744.00
2017/07/05	14.00	14.10	13.89	14.00	2761642	38662644.00
2017/07/06	14.02	14.05	13.87	14.03	3420010	47747976.00
2017/07/07	13.97	14.10	13.77	13.84	4049452	56222880.00
2017/07/10	13.95	14.10	13.83	13.91	3262254	45619120.00
2017/07/11	13.92	13.94	13.66	13.71	2954200	40840628.00
2017/07/12	13.75	13.89	13.50	13.80	2773231	37942080.00
2017/07/13	13.84	14.00	13.71	13.96	4379150	60960096.00
2017/07/14	14.05	14.16	13.78	13.83	3879020	54001604.00
2017/07/17	13.80	13.80	12.45	12.81	7008030	91513648.00
2017/07/18	12.45	13.10	12.35	12.60	5335034	67208944.00
2017/07/19	12.60	12.96	12.45	12.75	4767803	60523392.00
