600018 上港集团 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	5.91	6.08	5.90	5.96	89325697	536874752.00
2017/03/28	5.96	6.00	5.83	5.87	34677048	203650032.00
2017/03/29	5.86	6.29	5.86	6.10	110818739	677603776.00
2017/03/30	6.10	6.21	5.95	6.02	84846560	514015456.00
2017/03/31	6.10	6.10	5.85	5.90	47804255	282603104.00
2017/04/05	5.90	5.96	5.85	5.96	35103771	207414848.00
2017/04/06	5.95	6.15	5.89	6.07	63538759	385009184.00
2017/04/07	6.05	6.07	5.98	6.00	41959007	252215456.00
2017/04/10	6.00	6.03	5.92	5.98	28132589	168516864.00
2017/04/11	5.96	6.12	5.96	6.11	54634218	330831072.00
2017/04/12	6.07	6.33	6.06	6.24	97329666	602745408.00
2017/04/13	6.17	6.31	6.12	6.15	57353951	355211776.00
2017/04/14	6.16	6.17	5.91	6.01	50400829	303773824.00
2017/04/17	6.00	6.08	5.94	6.05	24712087	148526576.00
2017/04/18	6.06	6.06	5.95	5.96	23252486	139704656.00
2017/04/19	5.92	5.97	5.83	5.97	26591057	156559488.00
2017/04/20	5.97	6.06	5.93	5.99	23202602	139536880.00
2017/04/21	5.99	6.06	5.92	6.06	27557039	165200016.00
2017/04/24	6.02	6.17	5.91	6.14	40365770	243762880.00
2017/04/25	6.08	6.16	6.03	6.04	23074754	140782096.00
2017/04/26	6.04	6.05	5.95	5.95	18414963	110269360.00
2017/04/27	5.94	6.05	5.85	6.04	31705703	189181344.00
2017/04/28	6.12	6.12	5.97	6.04	22083899	133137720.00
2017/05/02	6.04	6.06	5.95	5.96	16766053	100607456.00
2017/05/03	5.93	6.00	5.85	5.88	27376915	161390880.00
2017/05/04	5.85	5.87	5.73	5.86	27400003	158903296.00
2017/05/05	5.84	5.89	5.76	5.88	19161016	111642288.00
2017/05/08	5.85	5.99	5.77	5.97	30674863	180947696.00
2017/05/09	5.93	5.97	5.87	5.92	11828400	70006840.00
2017/05/10	5.92	5.94	5.74	5.87	21367356	124658880.00
2017/05/11	5.80	5.99	5.70	5.94	36701863	216533216.00
2017/05/12	5.89	6.04	5.87	5.96	18555266	110538488.00
2017/05/15	5.95	6.03	5.92	6.02	19284628	115603584.00
2017/05/16	6.02	6.09	5.95	6.08	23314871	140359760.00
2017/05/17	6.09	6.14	6.05	6.08	22805290	138986272.00
2017/05/18	6.07	6.14	6.03	6.11	17015467	103595704.00
2017/05/19	6.11	6.11	6.03	6.09	13196737	80002520.00
2017/05/22	6.03	6.13	5.98	6.12	22247899	134855584.00
2017/05/23	6.10	6.20	6.03	6.19	39083788	239766480.00
2017/05/24	6.16	6.20	6.08	6.20	26768229	164430752.00
2017/05/25	6.16	6.22	6.15	6.18	18733121	115953672.00
2017/05/26	6.18	6.22	6.15	6.21	19086874	118127672.00
2017/05/31	6.21	6.31	6.20	6.30	29565550	185382624.00
2017/06/01	6.32	6.40	6.23	6.39	38405742	243411856.00
2017/06/02	6.37	6.42	6.23	6.25	30587916	193863184.00
2017/06/05	6.26	6.28	6.13	6.17	28898493	178575392.00
2017/06/06	6.18	6.21	6.12	6.19	23038697	141950464.00
2017/06/07	6.20	6.23	6.16	6.19	26416148	163501328.00
2017/06/13	6.17	6.18	6.05	6.11	28990364	177287248.00
2017/06/14	6.11	6.25	6.11	6.18	23293721	144048752.00
2017/06/15	6.17	6.18	6.10	6.17	15895498	97704896.00
2017/06/16	6.17	6.19	6.11	6.12	12546824	76937088.00
2017/06/19	6.13	6.19	6.11	6.13	12139053	74746120.00
2017/06/20	6.12	6.16	6.08	6.15	19411414	118716032.00
2017/06/21	6.16	6.19	6.14	6.19	15465593	95434144.00
2017/06/22	6.16	6.32	6.16	6.28	28236931	176424704.00
2017/06/23	6.26	6.32	6.14	6.29	30533670	190659136.00
2017/06/26	6.27	6.39	6.25	6.31	33477659	212068448.00
2017/06/27	6.35	6.37	6.28	6.31	16931650	106888560.00
2017/06/28	6.31	6.33	6.25	6.26	14628703	91948504.00
2017/06/29	6.28	6.31	6.24	6.27	14653736	91867032.00
2017/06/30	6.25	6.35	6.20	6.34	24795715	155800416.00
2017/07/03	6.33	6.40	6.31	6.35	20562199	130841432.00
2017/07/04	6.34	6.39	6.30	6.39	20788085	132037704.00
2017/07/05	6.38	6.40	6.28	6.29	22913949	145022064.00
2017/07/06	6.31	6.34	6.27	6.30	19897710	125384984.00
2017/07/07	6.30	6.40	6.26	6.40	29160855	185147824.00
2017/07/10	6.40	6.65	6.40	6.60	54164252	355981632.00
2017/07/11	6.51	6.62	6.51	6.56	32776866	215567712.00
2017/07/12	6.59	6.67	6.49	6.57	34251084	224903280.00
