600019 宝钢股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	6.57	6.58	6.43	6.49	64266054	418004896.00
2017/03/28	6.46	6.51	6.43	6.49	38844500	251070544.00
2017/03/29	6.51	6.59	6.46	6.53	43955158	287041536.00
2017/03/30	6.51	6.56	6.43	6.44	43312446	280260384.00
2017/03/31	6.46	6.53	6.44	6.51	38689607	250979936.00
2017/04/05	6.58	6.75	6.57	6.73	114285451	765253696.00
2017/04/06	6.75	6.78	6.70	6.74	73727760	497734272.00
2017/04/07	6.71	6.71	6.64	6.69	46295629	308856064.00
2017/04/10	6.68	6.75	6.65	6.71	62814094	421517632.00
2017/04/11	6.70	6.71	6.50	6.61	117436652	773666944.00
2017/04/12	6.57	6.61	6.50	6.55	71106583	465624128.00
2017/04/13	6.55	6.57	6.51	6.54	42043752	275019712.00
2017/04/14	6.53	6.67	6.51	6.55	60795720	400163264.00
2017/04/17	6.55	6.55	6.46	6.50	47834196	310876128.00
2017/04/18	6.50	6.52	6.39	6.40	58475325	377151392.00
2017/04/19	6.38	6.40	6.12	6.19	73983766	461340576.00
2017/04/20	6.21	6.26	6.18	6.22	37766772	234872816.00
2017/04/21	6.26	6.28	6.20	6.25	29217373	182109264.00
2017/04/24	6.23	6.23	6.00	6.05	59823432	364101600.00
2017/04/25	6.06	6.11	6.03	6.09	33235227	201944336.00
2017/04/26	6.09	6.18	6.05	6.16	55432284	339071648.00
2017/04/27	6.13	6.15	6.02	6.14	49756851	303101632.00
2017/04/28	6.15	6.26	6.14	6.24	54360493	338206112.00
2017/05/02	6.23	6.35	6.23	6.28	54499205	343257120.00
2017/05/03	6.26	6.30	6.16	6.22	46017477	286511552.00
2017/05/04	6.16	6.21	6.11	6.15	40051582	246564624.00
2017/05/05	6.14	6.14	6.03	6.05	45306296	274975808.00
2017/05/08	6.06	6.10	6.00	6.00	36783837	222026576.00
2017/05/09	6.00	6.02	5.93	5.97	43178690	257497920.00
2017/05/10	5.98	6.01	5.91	5.92	42305390	252269808.00
2017/05/11	5.90	5.90	5.74	5.87	69433803	403834208.00
2017/05/12	5.85	5.88	5.80	5.85	44856789	261578464.00
2017/05/15	5.87	5.92	5.86	5.90	36190915	213377776.00
2017/05/16	5.88	5.94	5.83	5.94	38241417	224868560.00
2017/05/17	5.93	5.99	5.92	5.96	43689741	260136064.00
2017/05/18	5.92	5.99	5.90	5.95	35122516	208990944.00
2017/05/19	5.96	6.00	5.95	5.99	50414893	301485312.00
2017/05/22	6.02	6.18	6.02	6.15	95406794	586101952.00
2017/05/23	6.16	6.31	6.13	6.28	102015163	638297088.00
2017/05/24	6.28	6.29	6.13	6.22	54878945	340705568.00
2017/05/25	6.21	6.44	6.21	6.41	97152634	617818816.00
2017/05/26	6.42	6.56	6.41	6.47	74698403	485192384.00
2017/05/31	6.48	6.52	6.34	6.34	70907206	453539616.00
2017/06/01	6.34	6.39	6.26	6.31	57311764	361982592.00
2017/06/02	6.33	6.37	6.28	6.36	41020130	259919968.00
2017/06/05	6.34	6.38	6.28	6.29	39301591	248481568.00
2017/06/06	6.27	6.36	6.21	6.36	54901394	344513728.00
2017/06/07	6.36	6.44	6.32	6.43	57519194	367367360.00
2017/06/08	6.42	6.51	6.39	6.49	45879044	296507008.00
2017/06/09	6.50	6.53	6.43	6.49	46026974	298032096.00
2017/06/12	6.48	6.54	6.44	6.46	41624023	269831808.00
2017/06/13	6.46	6.60	6.46	6.58	70125764	458821600.00
2017/06/14	6.36	6.40	6.31	6.32	55461870	352416608.00
2017/06/15	6.31	6.39	6.29	6.36	43161102	273510592.00
2017/06/16	6.36	6.39	6.31	6.38	79367182	505379808.00
2017/06/19	6.35	6.45	6.31	6.45	66590471	425660096.00
2017/06/20	6.44	6.50	6.41	6.42	44999003	290550016.00
2017/06/21	6.46	6.61	6.42	6.56	72089738	472275872.00
2017/06/22	6.56	6.62	6.49	6.51	59641737	391664512.00
2017/06/23	6.50	6.51	6.37	6.46	46472445	299393760.00
2017/06/26	6.46	6.62	6.42	6.59	95025415	621718784.00
2017/06/27	6.60	6.64	6.52	6.61	81949508	538526592.00
2017/06/28	6.60	6.80	6.57	6.70	137286688	923471680.00
2017/06/29	6.71	6.79	6.66	6.71	52569001	353287680.00
2017/06/30	6.70	6.78	6.67	6.71	41956960	281545888.00
2017/07/03	6.75	7.00	6.72	6.99	169768963	1172077440.00
2017/07/04	7.01	7.02	6.82	6.84	97577776	673338816.00
2017/07/05	6.85	6.95	6.83	6.92	69321983	478638816.00
2017/07/06	6.90	7.03	6.87	7.01	93093519	647913920.00
2017/07/07	6.99	7.05	6.96	7.02	73052751	511667456.00
2017/07/10	7.01	7.38	6.98	7.26	176287781	1273245952.00
2017/07/11	7.29	7.31	7.15	7.21	80827321	582593600.00
2017/07/12	7.20	7.27	7.00	7.10	108512208	771770880.00
2017/07/13	7.10	7.27	7.09	7.23	82845521	596373184.00
2017/07/14	7.23	7.25	7.12	7.18	46098662	331179200.00
2017/07/17	7.17	7.32	6.95	7.12	114730963	823059648.00
2017/07/18	7.09	7.32	7.09	7.31	110352984	799009216.00
2017/07/19	7.32	7.64	7.31	7.59	204795725	1545145728.00
2017/07/20	7.58	7.61	7.43	7.45	103903189	780599680.00
2017/07/21	7.41	7.52	7.37	7.48	80672474	599398976.00
2017/07/24	7.43	7.48	7.26	7.29	163972732	1205511680.00
2017/07/25	7.29	7.32	7.12	7.20	115294149	829403456.00
2017/07/26	7.19	7.31	7.14	7.21	97979113	707771712.00
2017/07/27	7.20	7.24	7.02	7.05	113106036	802696256.00
2017/07/28	7.05	7.14	7.04	7.12	61195220	433972928.00
2017/07/31	7.19	7.46	7.17	7.44	202557696	1493639808.00
2017/08/01	7.43	7.60	7.39	7.44	131172029	983873536.00
2017/08/02	7.46	7.64	7.45	7.56	151425386	1147916288.00
2017/08/03	7.50	7.86	7.48	7.77	176073723	1361659008.00
2017/08/04	7.80	8.45	7.80	8.10	308486526	2512481792.00
2017/08/07	8.43	8.77	8.12	8.64	359041378	3053891584.00
2017/08/08	8.60	8.98	8.33	8.47	332766357	2881470208.00
2017/08/09	8.49	8.71	8.27	8.64	218641311	1854788352.00
2017/08/10	8.46	8.53	8.19	8.22	160381425	1338522240.00
2017/08/11	8.06	8.22	7.61	7.71	239560402	1886903296.00
2017/08/14	7.78	7.99	7.72	7.79	168234370	1323243392.00
2017/08/15	7.69	7.94	7.53	7.82	122352784	946599232.00
2017/08/16	7.80	7.89	7.72	7.84	83596650	652542272.00
2017/08/17	8.00	8.09	7.81	7.96	120439647	955809600.00
2017/08/18	7.90	7.90	7.70	7.82	83916701	652502336.00
2017/08/21	7.87	8.14	7.81	8.13	136995608	1099278208.00
2017/08/22	8.13	8.35	8.00	8.22	113434072	928514304.00
2017/08/23	8.00	8.10	7.87	7.91	95519397	760327808.00
2017/08/24	7.94	8.13	7.94	8.04	82512105	663929792.00
2017/08/25	7.96	8.24	7.93	8.08	147656010	1190635392.00
2017/08/28	7.99	8.05	7.81	8.00	152513099	1214171648.00
2017/08/29	7.97	8.18	7.87	7.98	127184868	1025560384.00
2017/08/30	7.94	8.42	7.94	8.30	206425075	1685808640.00
2017/08/31	8.25	8.36	8.04	8.20	171428930	1399895424.00
2017/09/01	8.19	8.90	8.19	8.57	303842426	2599803904.00
2017/09/04	8.72	8.88	8.36	8.64	203545001	1754943744.00
2017/09/05	8.61	8.62	8.30	8.39	116625905	981249408.00
2017/09/06	8.30	8.54	8.27	8.39	85183739	717664832.00
2017/09/07	8.38	8.38	8.12	8.16	120305968	986806272.00
2017/09/08	8.15	8.22	7.98	8.02	114918940	930219584.00
2017/09/11	7.95	7.99	7.80	7.98	115381168	908282112.00
2017/09/12	8.08	8.15	7.95	8.04	111337642	894605888.00
2017/09/13	8.05	8.16	7.95	8.05	119495698	963173504.00
2017/09/14	8.04	8.04	7.70	7.76	187797586	1468651904.00
2017/09/15	7.76	7.77	7.32	7.40	262172081	1951792896.00
2017/09/18	7.30	7.38	7.29	7.37	126121943	924562816.00
2017/09/19	7.41	7.43	7.33	7.36	93927184	692170112.00
2017/09/20	7.36	7.45	7.33	7.43	88816072	657150592.00
2017/09/21	7.42	7.45	7.31	7.32	93565210	690564224.00
2017/09/22	7.18	7.24	7.06	7.17	137128424	979176960.00
2017/09/25	7.15	7.21	7.11	7.13	55830620	399169408.00
2017/09/26	7.12	7.33	7.12	7.27	79648765	578581312.00
2017/09/27	7.36	7.49	7.34	7.46	125582443	934574272.00
2017/09/28	7.44	7.44	7.32	7.34	62150291	457643392.00
2017/09/29	7.33	7.45	7.32	7.39	35691021	263699728.00
2017/10/09	7.53	7.58	7.44	7.46	69892607	524139424.00
2017/10/10	7.43	7.44	7.30	7.34	64387287	473103776.00
2017/10/11	7.34	7.36	7.16	7.28	75799114	549157056.00
2017/10/12	7.28	7.38	7.23	7.37	67655179	494753504.00
2017/10/13	7.39	7.54	7.37	7.53	99207564	740452672.00
2017/10/16	7.57	7.69	7.55	7.61	100314659	764167680.00
2017/10/17	7.58	7.59	7.46	7.48	56792079	427057120.00
2017/10/18	7.48	7.54	7.34	7.40	49351692	366259904.00
2017/10/19	7.34	7.46	7.31	7.45	73252082	540911424.00
2017/10/20	7.42	7.56	7.39	7.55	48805791	365434688.00
2017/10/23	7.53	7.57	7.46	7.52	42532098	320107584.00
2017/10/24	7.50	7.66	7.50	7.65	92691785	706799616.00
2017/10/25	7.63	7.73	7.63	7.71	58877708	453170752.00
2017/10/26	7.68	7.95	7.65	7.86	104502076	819336832.00
2017/10/27	7.90	7.97	7.68	7.70	84790950	661720704.00
2017/10/30	7.82	7.87	7.55	7.71	108251106	829255744.00
2017/10/31	7.68	7.73	7.60	7.67	49226563	377468032.00
2017/11/01	7.71	7.92	7.71	7.85	98193216	769592448.00
2017/11/02	7.87	7.93	7.74	7.88	73591750	576925952.00
2017/11/03	7.86	7.90	7.61	7.87	104140740	810348032.00
2017/11/06	7.85	8.12	7.81	8.11	136491844	1088724224.00
2017/11/07	8.09	8.45	8.06	8.22	205587893	1707778048.00
2017/11/08	8.23	8.36	8.10	8.22	113064717	926924608.00
2017/11/09	8.30	8.43	8.15	8.29	104731999	871089152.00
2017/11/10	8.27	8.37	8.11	8.34	91966706	754932352.00
2017/11/13	8.35	8.73	8.31	8.66	195868841	1679637376.00
2017/11/14	8.70	9.02	8.67	8.83	220668212	1957436928.00
2017/11/15	8.71	8.80	8.55	8.75	149777964	1298410752.00
2017/11/16	8.72	8.74	8.50	8.63	108850654	938994304.00
2017/11/17	8.60	8.86	8.52	8.84	166735977	1453531776.00
2017/11/20	8.75	8.78	8.41	8.67	120163314	1032036544.00
2017/11/21	8.67	9.09	8.64	8.93	172282044	1542108672.00
2017/11/22	9.08	9.18	8.86	9.09	145841523	1316274304.00
2017/11/23	9.05	9.31	8.74	8.88	156763195	1427966592.00
2017/11/24	8.82	8.94	8.62	8.90	109513122	965657600.00
2017/11/27	9.00	9.13	8.66	8.91	135869294	1206431616.00
2017/11/28	8.81	9.17	8.56	9.12	161577679	1434100736.00
2017/11/29	9.10	9.49	9.10	9.42	236961362	2215771904.00
2017/11/30	9.47	9.53	9.26	9.38	133408483	1254037504.00
2017/12/01	9.29	9.34	8.90	9.11	178802413	1625034240.00
2017/12/04	9.16	9.20	8.86	9.00	136785489	1224846976.00
2017/12/05	8.92	9.25	8.90	9.00	233167115	2122931968.00
2017/12/06	8.89	8.90	8.30	8.50	216840224	1850530944.00
