600020 中原高速 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	4.76	4.79	4.74	4.77	14086579	67168144.00
2017/03/28	4.76	4.76	4.72	4.72	7948423	37627776.00
2017/03/29	4.74	4.97	4.71	4.86	69874886	340523072.00
2017/03/30	4.83	5.05	4.81	5.02	81230956	398384736.00
2017/03/31	4.94	4.98	4.85	4.91	55496424	271972864.00
2017/04/05	4.97	4.99	4.87	4.93	41112896	202320128.00
2017/04/06	4.93	5.01	4.85	4.97	49017904	241570272.00
2017/04/07	4.93	4.93	4.87	4.89	29972822	146776400.00
2017/04/10	4.88	4.90	4.85	4.87	20125124	98162056.00
2017/04/11	4.87	4.92	4.80	4.92	37523380	182586128.00
2017/04/12	4.90	5.01	4.86	4.91	41800981	206542016.00
2017/04/13	4.89	4.99	4.88	4.95	28728293	141863648.00
2017/04/14	4.94	4.94	4.82	4.83	28901002	140860576.00
2017/04/17	4.82	4.82	4.75	4.79	16166082	77355528.00
2017/04/18	4.78	4.81	4.73	4.74	12492475	59616072.00
2017/04/19	4.74	4.74	4.62	4.68	18657640	87088592.00
2017/04/20	4.66	4.70	4.61	4.65	13463156	62662240.00
2017/04/21	4.65	4.69	4.64	4.67	9420058	43962564.00
2017/04/24	4.67	4.67	4.58	4.59	14171388	65261776.00
2017/04/25	4.60	4.63	4.58	4.61	7746541	35703588.00
2017/04/26	4.69	4.77	4.67	4.75	25672937	121127832.00
2017/04/27	4.72	4.80	4.70	4.77	21264458	101065008.00
2017/04/28	4.78	4.80	4.75	4.78	10037639	47917488.00
2017/05/02	4.76	4.88	4.76	4.86	22521292	108965992.00
2017/05/03	4.86	4.87	4.81	4.85	13749587	66564488.00
2017/05/04	4.82	4.86	4.81	4.85	14367612	69526504.00
2017/05/05	4.83	4.84	4.78	4.79	10612758	50943364.00
2017/05/08	4.76	4.76	4.70	4.71	16324365	77099168.00
2017/05/09	4.69	4.77	4.69	4.76	11193343	52944032.00
2017/05/10	4.76	4.77	4.69	4.70	8099405	38395144.00
2017/05/11	4.68	4.72	4.62	4.71	15307880	71506008.00
2017/05/12	4.71	4.77	4.68	4.75	12932695	61183224.00
2017/05/15	4.75	4.78	4.74	4.75	10200237	48529364.00
2017/05/16	4.74	4.85	4.72	4.84	19793272	94855160.00
2017/05/17	4.83	4.85	4.80	4.83	17469600	84271704.00
2017/05/18	4.80	4.82	4.78	4.81	11006176	52848488.00
2017/05/19	4.80	4.83	4.77	4.81	7666317	36846808.00
2017/05/22	4.79	4.82	4.71	4.73	11652543	55474152.00
2017/05/23	4.73	4.76	4.68	4.70	11558055	54556120.00
2017/05/24	4.68	4.74	4.67	4.74	10968906	51583160.00
2017/05/25	4.74	4.84	4.71	4.84	22799383	109355672.00
2017/05/26	4.84	4.86	4.81	4.85	17709283	85716576.00
2017/05/31	4.88	4.90	4.83	4.86	16817586	81687328.00
2017/06/01	4.84	4.87	4.81	4.81	14487139	70052776.00
2017/06/02	4.82	4.96	4.78	4.94	41403516	203119488.00
2017/06/05	4.93	4.96	4.89	4.92	25841329	127346504.00
2017/06/06	4.90	4.94	4.87	4.94	17476843	85636808.00
2017/06/07	4.93	4.98	4.91	4.97	31775469	157238944.00
2017/06/08	4.96	4.98	4.89	4.93	21955541	108426312.00
2017/06/09	4.91	4.95	4.91	4.93	14554123	71760072.00
2017/06/12	4.94	5.07	4.91	4.96	45854219	229084112.00
2017/06/13	4.93	4.98	4.92	4.96	22551695	111478984.00
2017/06/14	4.95	4.99	4.91	4.93	15320972	75744536.00
2017/06/15	4.94	4.95	4.92	4.93	14844761	73269640.00
2017/06/16	4.93	4.94	4.85	4.86	24964300	121964000.00
2017/06/19	4.86	4.92	4.84	4.91	16310441	79769400.00
