600022 山东钢铁 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	2.70	2.73	2.69	2.71	47741503	129103856.00
2017/03/28	2.69	2.71	2.69	2.71	23235852	62656276.00
2017/03/29	2.71	2.76	2.69	2.72	84523741	230354608.00
2017/03/30	2.72	2.73	2.67	2.69	66576593	179589008.00
2017/03/31	2.69	2.70	2.67	2.69	38413126	103178056.00
2017/04/05	2.76	2.80	2.72	2.79	127697931	353046944.00
2017/04/06	2.78	2.82	2.75	2.80	102617836	285693792.00
2017/04/07	2.79	2.79	2.75	2.77	80186755	222621520.00
2017/04/10	2.76	2.83	2.76	2.79	99397733	278210880.00
2017/04/11	2.79	2.91	2.77	2.85	162081909	460194112.00
2017/04/12	2.83	2.87	2.79	2.82	149005965	420726336.00
2017/04/13	2.80	2.84	2.80	2.82	69681122	196268848.00
2017/04/14	2.81	2.86	2.80	2.84	124928332	353456288.00
2017/04/17	2.82	2.83	2.75	2.78	81788764	227511808.00
2017/04/18	2.77	2.78	2.73	2.74	56186103	155144960.00
2017/04/19	2.72	2.73	2.64	2.67	76914367	205842096.00
2017/04/20	2.71	2.75	2.68	2.71	105302576	286892864.00
2017/04/21	2.71	2.74	2.70	2.71	53467509	145234944.00
2017/04/24	2.71	2.72	2.65	2.66	66597573	178968256.00
2017/04/25	2.66	2.69	2.64	2.67	41645898	111018600.00
2017/04/26	2.67	2.67	2.64	2.65	42879430	113754488.00
2017/04/27	2.64	2.65	2.55	2.63	67606774	175881872.00
2017/04/28	2.62	2.70	2.61	2.69	63590023	169557920.00
2017/05/02	2.69	2.71	2.66	2.68	40935569	109867672.00
2017/05/03	2.67	2.69	2.66	2.67	27102640	72520128.00
2017/05/04	2.66	2.70	2.63	2.66	44816570	119439832.00
2017/05/05	2.65	2.66	2.62	2.63	32630344	86079776.00
2017/05/08	2.63	2.65	2.61	2.63	32205369	84748000.00
2017/05/09	2.63	2.63	2.59	2.63	30970241	80859520.00
2017/05/10	2.62	2.64	2.57	2.58	36117183	94247120.00
2017/05/11	2.54	2.56	2.46	2.53	64999995	163575152.00
2017/05/12	2.52	2.55	2.48	2.53	37539353	94511688.00
2017/05/15	2.53	2.55	2.53	2.54	17627029	44734532.00
2017/05/16	2.53	2.58	2.50	2.58	33470855	85101552.00
2017/05/17	2.56	2.61	2.56	2.59	38874346	100601712.00
2017/05/18	2.57	2.60	2.57	2.58	24387293	62954320.00
2017/05/19	2.58	2.61	2.57	2.60	34488628	89353136.00
2017/05/22	2.60	2.65	2.55	2.56	72087922	187978480.00
2017/05/23	2.55	2.57	2.52	2.54	48635540	123720232.00
2017/05/24	2.54	2.56	2.50	2.56	28039708	71037088.00
2017/05/25	2.55	2.62	2.54	2.61	46933357	121025120.00
2017/05/26	2.60	2.63	2.58	2.60	33620182	87496640.00
2017/05/31	2.61	2.63	2.59	2.60	31413753	82052992.00
2017/06/01	2.61	2.62	2.55	2.57	38782488	100370560.00
2017/06/02	2.56	2.59	2.53	2.58	35043580	89635456.00
2017/06/05	2.59	2.61	2.58	2.61	31255845	81279200.00
2017/06/06	2.61	2.63	2.59	2.63	27740821	72380120.00
2017/06/07	2.62	2.66	2.62	2.65	46951290	123842640.00
2017/06/08	2.04	2.07	2.04	2.05	64719339	132901416.00
2017/06/09	2.04	2.05	2.01	2.04	69026650	139970848.00
2017/06/12	2.03	2.04	2.01	2.01	47647054	96416840.00
2017/06/13	2.01	2.05	2.01	2.04	49156053	99854768.00
2017/06/14	2.04	2.05	2.03	2.04	34592385	70491144.00
2017/06/15	2.04	2.05	2.03	2.05	32738441	66832876.00
2017/06/16	2.05	2.05	2.03	2.04	43203653	88092432.00
2017/06/19	2.03	2.07	2.03	2.07	74771240	153488128.00
2017/06/20	2.06	2.08	2.05	2.07	61007884	126221936.00
2017/06/21	2.07	2.07	2.05	2.07	53166338	109521264.00
2017/06/22	2.06	2.07	2.03	2.04	61564979	126297584.00
2017/06/23	2.03	2.07	2.01	2.07	129491581	263877936.00
2017/06/26	2.06	2.07	2.05	2.07	73840645	152063920.00
2017/06/27	2.06	2.08	2.06	2.08	93338989	193199456.00
2017/06/28	2.06	2.10	2.06	2.07	142385922	295643008.00
2017/06/29	2.07	2.08	2.06	2.07	65400249	135289856.00
2017/06/30	2.06	2.07	2.05	2.06	50659221	104347072.00
2017/07/03	2.07	2.14	2.06	2.13	191733384	402774080.00
2017/07/04	2.12	2.12	2.09	2.10	106601009	224298816.00
2017/07/05	2.10	2.12	2.09	2.12	71729902	151021760.00
2017/07/06	2.11	2.14	2.11	2.13	107051827	227293488.00
2017/07/07	2.12	2.17	2.11	2.16	122867670	262730416.00
2017/07/10	2.16	2.24	2.14	2.19	201670329	442398592.00
2017/07/11	2.19	2.20	2.15	2.16	125885959	273372896.00
2017/07/12	2.16	2.18	2.13	2.16	103358384	222272336.00
2017/07/13	2.16	2.22	2.15	2.20	139703299	305405184.00
2017/07/14	2.19	2.20	2.17	2.19	83429305	182201840.00
2017/07/17	2.19	2.20	2.12	2.13	158460329	340871456.00
2017/07/18	2.13	2.20	2.12	2.20	148600061	321397696.00
2017/07/19	2.20	2.28	2.19	2.27	311985494	702026944.00
2017/07/20	2.26	2.27	2.23	2.24	165157007	371462624.00
2017/07/21	2.22	2.25	2.22	2.25	103486241	231408768.00
2017/07/24	2.24	2.29	2.23	2.25	138445200	312763424.00
2017/07/25	2.24	2.26	2.22	2.25	112573220	251632480.00
2017/07/26	2.25	2.27	2.23	2.26	129624216	291799776.00
2017/07/27	2.25	2.30	2.24	2.26	170001105	385757216.00
2017/07/28	2.25	2.29	2.19	2.28	224181651	502328544.00
2017/07/31	2.27	2.40	2.26	2.37	374812673	878018112.00
2017/08/01	2.39	2.40	2.33	2.35	219602973	517190400.00
2017/08/02	2.35	2.45	2.34	2.40	340447136	816533440.00
2017/08/03	2.38	2.55	2.37	2.53	461608483	1132121344.00
2017/08/04	2.51	2.74	2.49	2.57	689976174	1810177920.00
2017/08/07	2.64	2.70	2.49	2.69	613451639	1605791488.00
2017/08/08	2.67	2.70	2.56	2.59	510950240	1341414144.00
2017/08/09	2.58	2.65	2.46	2.62	559354507	1420829184.00
2017/08/10	2.55	2.58	2.50	2.50	371569394	942444416.00
2017/08/11	2.45	2.45	2.33	2.36	378294002	904197952.00
2017/08/14	2.36	2.42	2.35	2.40	213719558	511963712.00
2017/08/15	2.38	2.44	2.36	2.41	159571900	382303072.00
2017/08/16	2.39	2.41	2.37	2.39	122757562	293309216.00
2017/08/17	2.42	2.44	2.40	2.43	156047812	378360640.00
2017/08/18	2.41	2.41	2.36	2.40	107676256	257009856.00
2017/08/21	2.40	2.44	2.38	2.44	159192173	384937504.00
2017/08/22	2.43	2.43	2.39	2.40	92007293	221406400.00
2017/08/23	2.36	2.38	2.33	2.33	159158017	374144096.00
2017/08/24	2.34	2.35	2.30	2.31	91791500	213704400.00
2017/08/25	2.33	2.37	2.32	2.36	130689882	306689280.00
2017/08/28	2.34	2.39	2.33	2.38	138368372	327030432.00
2017/08/29	2.37	2.43	2.36	2.39	142778616	342457344.00
2017/08/30	2.39	2.50	2.37	2.47	289018486	704892544.00
2017/08/31	2.45	2.50	2.43	2.47	222413141	545960320.00
2017/09/01	2.46	2.72	2.46	2.64	949534842	2503856896.00
2017/09/04	2.71	2.74	2.58	2.62	691709987	1839552000.00
2017/09/05	2.63	2.64	2.52	2.56	313701177	804826944.00
2017/09/06	2.52	2.62	2.51	2.59	294471171	760136256.00
2017/09/07	2.58	2.58	2.50	2.53	223313264	566175424.00
2017/09/08	2.53	2.55	2.46	2.47	281042614	704425024.00
2017/09/11	2.45	2.49	2.41	2.48	225230993	552812928.00
2017/09/12	2.50	2.54	2.48	2.52	277966264	697901504.00
2017/09/13	2.51	2.56	2.50	2.55	286696277	728319936.00
2017/09/14	2.54	2.54	2.47	2.49	213095791	533652000.00
2017/09/15	2.47	2.47	2.40	2.43	242853387	589353408.00
2017/09/18	2.41	2.45	2.40	2.45	100178855	243527152.00
2017/09/19	2.45	2.46	2.41	2.41	126743425	308042464.00
2017/09/20	2.40	2.43	2.38	2.43	145266541	350028192.00
2017/09/21	2.41	2.51	2.39	2.45	256987678	628673984.00
2017/09/22	2.42	2.49	2.39	2.47	244672231	599461952.00
2017/09/25	2.44	2.47	2.41	2.42	121129161	295208448.00
2017/09/26	2.40	2.50	2.39	2.46	230967376	566651776.00
2017/09/27	2.45	2.53	2.45	2.53	339519860	849291648.00
2017/09/28	2.51	2.52	2.47	2.48	196256303	489156736.00
2017/09/29	2.47	2.51	2.43	2.47	150116464	370835808.00
2017/10/09	2.51	2.52	2.47	2.49	157570131	392885728.00
2017/10/10	2.48	2.48	2.44	2.46	117373959	287990368.00
2017/10/11	2.45	2.45	2.40	2.44	180990580	440007520.00
2017/10/12	2.43	2.46	2.38	2.46	219455344	530380544.00
2017/10/13	2.44	2.47	2.42	2.45	139120646	339050272.00
2017/10/16	2.44	2.47	2.42	2.44	121160687	295879168.00
2017/10/17	2.41	2.43	2.38	2.39	125248468	301552128.00
2017/10/18	2.39	2.40	2.36	2.36	124324954	295612032.00
2017/10/19	2.34	2.35	2.30	2.31	118010265	273952384.00
2017/10/20	2.30	2.35	2.29	2.34	82192636	191190992.00
2017/10/23	2.33	2.34	2.31	2.33	55586471	129274408.00
2017/10/24	2.34	2.36	2.33	2.35	79528060	186630448.00
2017/10/25	2.35	2.35	2.33	2.35	52125978	121970256.00
2017/10/26	2.33	2.37	2.33	2.36	69584344	163554816.00
2017/10/27	2.36	2.36	2.31	2.32	85151206	198993856.00
2017/10/30	2.32	2.34	2.28	2.30	120160298	276530624.00
2017/10/31	2.29	2.30	2.28	2.30	75147571	172210944.00
2017/11/01	2.30	2.33	2.29	2.31	76289938	176324624.00
2017/11/02	2.30	2.31	2.26	2.27	104936368	239488992.00
2017/11/03	2.27	2.28	2.19	2.21	171565304	381122592.00
2017/11/06	2.22	2.25	2.18	2.25	139244508	307657248.00
2017/11/07	2.23	2.32	2.23	2.29	151467331	344771136.00
2017/11/08	2.27	2.30	2.26	2.28	102257044	233270128.00
2017/11/09	2.29	2.31	2.27	2.29	77068690	176456304.00
2017/11/10	2.28	2.29	2.26	2.28	61828021	140641936.00
2017/11/13	2.28	2.31	2.26	2.30	120025143	274280000.00
2017/11/14	2.29	2.33	2.28	2.30	136319158	314804384.00
2017/11/15	2.28	2.29	2.24	2.25	97875205	221381264.00
2017/11/16	2.24	2.26	2.23	2.24	64905836	145495136.00
2017/11/17	2.23	2.24	2.18	2.19	110642614	244136336.00
2017/11/20	2.17	2.19	2.12	2.18	115673347	248891168.00
2017/11/21	2.17	2.20	2.15	2.17	92071554	200074480.00
2017/11/22	2.17	2.18	2.14	2.18	97221015	210630576.00
2017/11/23	2.17	2.22	2.16	2.16	125779041	275204576.00
2017/11/24	2.14	2.18	2.14	2.17	64379474	138938928.00
2017/11/27	2.17	2.21	2.16	2.18	89005194	194436128.00
2017/11/28	2.17	2.25	2.16	2.23	149649055	330249728.00
2017/11/29	2.23	2.29	2.22	2.28	209613367	473843840.00
2017/11/30	2.28	2.31	2.26	2.26	145399551	331229664.00
2017/12/01	2.25	2.27	2.24	2.26	70069361	158100656.00
2017/12/04	2.27	2.32	2.27	2.28	108817800	249482608.00
2017/12/05	2.28	2.28	2.21	2.23	106591473	240140160.00
2017/12/06	2.21	2.22	2.17	2.21	99324990	217686928.00
2017/12/07	2.19	2.23	2.19	2.20	65021961	143461280.00
2017/12/08	2.19	2.24	2.18	2.23	78178000	173035968.00
2017/12/11	2.24	2.25	2.22	2.25	99562344	222442096.00
2017/12/12	2.25	2.25	2.21	2.21	84702370	189185536.00
2017/12/13	2.20	2.22	2.18	2.21	76798101	169203728.00
2017/12/14	2.20	2.21	2.18	2.19	58070745	127473912.00
2017/12/15	2.18	2.19	2.16	2.17	61926271	134464208.00
2017/12/18	2.18	2.19	2.17	2.19	55614268	121244752.00
2017/12/19	2.19	2.19	2.17	2.18	65319221	142244576.00
2017/12/20	2.18	2.18	2.13	2.14	70786679	152481584.00
2017/12/21	2.14	2.16	2.12	2.15	59644486	127797840.00
2017/12/22	2.15	2.16	2.14	2.15	46471648	99916976.00
2017/12/25	2.14	2.15	2.10	2.11	57911432	122797960.00
2017/12/26	2.11	2.12	2.09	2.12	61938817	130461344.00
2017/12/27	2.11	2.14	2.09	2.11	84739395	179410032.00
2017/12/28	2.10	2.14	2.09	2.14	92857138	197135680.00
2017/12/29	2.13	2.14	2.12	2.14	44573133	94974920.00
2018/01/02	2.14	2.18	2.13	2.18	79025947	170740160.00
2018/01/03	2.17	2.20	2.16	2.18	90257957	196888128.00
2018/01/04	2.17	2.21	2.16	2.19	112380046	245527504.00
2018/01/05	2.18	2.19	2.16	2.18	84278845	183313376.00
2018/01/08	2.18	2.22	2.17	2.21	110752332	243173696.00
2018/01/09	2.21	2.21	2.18	2.19	78148951	171288032.00
2018/01/10	2.18	2.19	2.17	2.18	71859576	156516288.00
2018/01/11	2.17	2.19	2.16	2.18	55606200	120811000.00
2018/01/12	2.17	2.21	2.17	2.19	95739478	209666416.00
2018/01/15	2.18	2.19	2.12	2.13	107894580	231984176.00
2018/01/16	2.13	2.15	2.12	2.15	51391351	109815856.00
2018/01/17	2.15	2.17	2.13	2.15	74282017	159588384.00
2018/01/18	2.15	2.19	2.14	2.19	95347104	207188496.00
2018/01/19	2.18	2.21	2.17	2.19	110432715	242220352.00
2018/01/22	2.21	2.26	2.21	2.24	152608163	340587680.00
2018/01/23	2.23	2.24	2.21	2.23	76916563	170544720.00
2018/01/24	2.23	2.24	2.22	2.23	86144451	192182112.00
2018/01/25	2.23	2.26	2.22	2.25	112927437	253451840.00
2018/01/26	2.25	2.25	2.22	2.23	56773663	126939096.00
2018/01/29	2.24	2.28	2.23	2.27	168382909	381251968.00
2018/01/30	2.26	2.27	2.23	2.24	86339936	194229232.00
2018/01/31	2.23	2.23	2.19	2.20	105336966	232962624.00
2018/02/01	2.21	2.26	2.19	2.21	147519487	327825408.00
2018/02/02	2.19	2.24	2.02	2.24	192687239	416871584.00
2018/02/05	2.19	2.30	2.17	2.26	226080308	507878464.00
2018/02/06	2.22	2.27	2.16	2.17	186151022	412543392.00
2018/02/07	2.21	2.25	2.17	2.20	155755282	345047168.00
2018/02/08	2.19	2.22	2.16	2.18	126112032	275762560.00
2018/02/09	2.14	2.16	2.06	2.11	164953446	349570048.00
2018/02/12	2.11	2.14	2.09	2.12	97066247	205861232.00
2018/02/13	2.13	2.16	2.12	2.13	74879847	160115680.00
2018/02/14	2.13	2.16	2.11	2.15	82939184	177230416.00
2018/02/22	2.16	2.21	2.15	2.20	101885977	221892960.00
2018/02/23	2.19	2.25	2.18	2.23	122933188	271724544.00
2018/02/26	2.25	2.29	2.24	2.26	137670858	311787424.00
2018/02/27	2.26	2.27	2.22	2.23	107039970	239499056.00
2018/02/28	2.22	2.25	2.21	2.25	78695180	175524384.00
2018/03/01	2.23	2.26	2.22	2.24	82055423	183773632.00
2018/03/02	2.22	2.22	2.18	2.19	97196358	214123168.00
2018/03/05	2.19	2.20	2.16	2.16	74505881	161960176.00
2018/03/06	2.17	2.20	2.15	2.20	76437164	166244080.00
2018/03/07	2.19	2.20	2.16	2.17	78525547	171255856.00
2018/03/08	2.17	2.19	2.16	2.18	47676303	103820912.00
2018/03/09	2.19	2.19	2.17	2.18	54476270	118507800.00
2018/03/12	2.18	2.19	2.16	2.17	75546078	164243632.00
2018/03/13	2.17	2.18	2.15	2.16	79518537	172094912.00
2018/03/14	2.16	2.18	2.15	2.16	57870501	124929592.00
2018/03/15	2.16	2.16	2.13	2.15	69647873	149386096.00
2018/03/16	2.15	2.15	2.13	2.13	45721338	97803480.00
2018/03/19	2.13	2.13	2.11	2.12	48800512	103586512.00
