600028 中国石化 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	5.85	5.86	5.65	5.71	205816978	1184060672.00
2017/03/28	5.71	5.72	5.65	5.67	87886201	498474240.00
2017/03/29	5.68	5.72	5.65	5.69	101238261	575706176.00
2017/03/30	5.70	5.73	5.61	5.67	128092198	725747648.00
2017/03/31	5.69	5.75	5.65	5.74	110164132	628633728.00
2017/04/05	5.74	5.86	5.73	5.85	151070481	877324224.00
2017/04/06	5.86	5.91	5.81	5.89	138001591	810340992.00
2017/04/07	5.91	6.03	5.86	5.99	190777639	1140870912.00
2017/04/10	6.00	6.02	5.93	5.95	82140021	489598752.00
2017/04/11	5.96	6.01	5.85	5.94	110522187	654580416.00
2017/04/12	5.93	5.95	5.85	5.93	96920228	570987136.00
2017/04/13	5.90	5.92	5.87	5.89	53970257	318444640.00
2017/04/14	5.90	5.90	5.85	5.88	58997522	346625952.00
2017/04/17	5.89	5.91	5.81	5.85	102502347	598541568.00
2017/04/18	5.85	5.87	5.80	5.80	62089360	362578208.00
2017/04/19	5.79	5.79	5.69	5.76	90991885	522878944.00
2017/04/20	5.72	5.76	5.66	5.75	97088774	553374784.00
2017/04/21	5.74	5.81	5.67	5.80	95240734	548446848.00
2017/04/24	5.77	5.84	5.72	5.84	112190681	649048064.00
2017/04/25	5.80	5.86	5.76	5.79	83939996	486423232.00
2017/04/26	5.80	5.81	5.77	5.78	44331576	256786688.00
2017/04/27	5.78	5.82	5.72	5.78	60152538	346762048.00
2017/04/28	5.80	5.81	5.73	5.78	62922963	362413696.00
2017/05/02	5.77	5.77	5.72	5.73	45254533	259644432.00
2017/05/03	5.71	5.73	5.69	5.73	49767498	284352256.00
2017/05/04	5.72	5.72	5.66	5.71	80045178	455488096.00
2017/05/05	5.66	5.66	5.53	5.64	204412100	1144980352.00
2017/05/08	5.61	5.73	5.57	5.72	140065744	793020288.00
2017/05/09	5.70	5.75	5.68	5.71	44816126	256032000.00
2017/05/10	5.70	5.73	5.67	5.71	56194672	320391360.00
2017/05/11	5.70	5.82	5.68	5.80	130189680	749473856.00
2017/05/12	5.78	5.88	5.77	5.87	102486462	597827968.00
2017/05/15	5.85	5.94	5.82	5.90	108443661	638975872.00
2017/05/16	5.91	5.93	5.85	5.87	63290245	372173952.00
2017/05/17	5.85	5.88	5.77	5.79	86428933	501294592.00
2017/05/18	5.77	5.82	5.76	5.81	35441050	205342688.00
2017/05/19	5.81	5.90	5.80	5.84	76358825	446478080.00
2017/05/22	5.88	5.95	5.84	5.95	134547573	794676160.00
2017/05/23	5.94	6.02	5.89	6.00	188146550	1121440640.00
2017/05/24	5.98	5.99	5.91	5.98	95798674	569608128.00
2017/05/25	5.95	6.17	5.93	6.16	222019348	1350537088.00
2017/05/26	6.14	6.22	6.07	6.14	168157162	1031600704.00
2017/05/31	6.11	6.32	6.11	6.27	196186743	1215847296.00
2017/06/01	6.22	6.35	6.19	6.33	218728322	1374242560.00
2017/06/02	6.30	6.35	6.23	6.26	99772305	627119744.00
2017/06/05	6.20	6.23	6.08	6.12	118726802	727918080.00
2017/06/06	6.10	6.11	6.03	6.09	99021718	601297088.00
2017/06/07	6.10	6.14	6.05	6.09	133518047	812589248.00
2017/06/08	6.05	6.16	6.02	6.14	134469939	819029696.00
