600048 保利地产 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	9.67	9.74	9.60	9.66	34392889	332687520.00
2017/03/28	9.70	9.70	9.55	9.57	34019363	326438368.00
2017/03/29	9.57	9.61	9.47	9.49	45161352	430404896.00
2017/03/30	9.48	9.52	9.34	9.49	44109663	416085952.00
2017/03/31	9.45	9.58	9.39	9.53	32098876	303948480.00
2017/04/05	9.67	9.74	9.59	9.64	44662816	431169280.00
2017/04/06	9.64	9.70	9.58	9.68	40115743	386883872.00
2017/04/07	9.70	9.74	9.59	9.68	42052103	406567776.00
2017/04/10	9.68	9.90	9.61	9.80	66223844	646883136.00
2017/04/11	9.78	9.95	9.57	9.88	87150432	851933120.00
2017/04/12	10.00	10.17	9.88	9.99	108044999	1080815360.00
2017/04/13	9.94	9.95	9.74	9.91	58317455	573209216.00
2017/04/14	9.84	9.90	9.75	9.89	45569147	447507072.00
2017/04/17	9.83	9.88	9.72	9.85	37651891	368996992.00
2017/04/18	9.81	9.82	9.59	9.60	57851549	559377920.00
2017/04/19	9.57	9.67	9.52	9.63	32168009	308739680.00
2017/04/20	9.60	9.67	9.54	9.66	30560832	293714176.00
2017/04/21	9.66	9.77	9.63	9.72	36231376	351605696.00
2017/04/24	9.72	9.80	9.55	9.79	68700977	665580736.00
2017/04/25	9.76	9.82	9.71	9.75	33684073	328673920.00
2017/04/26	9.76	9.81	9.67	9.69	25615736	249376048.00
2017/04/27	9.66	9.67	9.32	9.55	54140387	515078304.00
2017/04/28	9.50	9.52	9.35	9.42	65500627	614990464.00
2017/05/02	9.39	9.40	9.31	9.36	23064595	215815136.00
2017/05/03	9.36	9.39	9.28	9.36	25031547	233714720.00
2017/05/04	9.33	9.37	9.31	9.35	21496037	200840208.00
2017/05/05	9.35	9.38	9.18	9.36	76976224	713382912.00
2017/05/08	9.29	9.47	9.11	9.33	111512396	1037704896.00
2017/05/09	9.29	9.33	9.25	9.32	27461308	255168272.00
