600053 九鼎投资 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	41.85	41.85	40.90	40.99	2578650	106383328.00
2017/03/28	40.60	40.95	40.50	40.59	1655935	67400960.00
2017/03/29	40.69	40.79	39.59	39.99	2352763	93987560.00
2017/03/30	39.71	39.87	38.11	38.81	3067786	118533152.00
2017/03/31	38.84	39.21	38.58	38.90	1207779	46961392.00
2017/04/05	38.76	41.18	38.76	40.12	2235404	90193832.00
2017/04/06	40.09	40.35	39.80	40.00	1207621	48413692.00
2017/04/07	40.00	40.11	39.61	39.62	930281	37013464.00
2017/04/10	39.60	40.26	39.39	39.52	1621512	64531184.00
2017/04/11	39.52	40.04	39.05	39.53	1491606	59029724.00
2017/04/12	39.49	39.85	38.74	39.17	1691956	66180956.00
2017/04/13	38.90	42.25	38.60	40.93	3539236	144381200.00
2017/04/14	41.03	41.03	39.66	40.26	2119299	84909072.00
2017/04/17	39.52	40.00	38.93	39.87	1465425	57665160.00
2017/04/18	39.87	40.53	39.40	39.70	1150891	45948416.00
2017/04/19	39.50	40.17	38.06	39.74	2029203	79707608.00
2017/04/20	39.74	39.99	39.10	39.76	1342250	53110360.00
2017/04/21	39.97	40.52	39.71	40.00	1179263	47331844.00
2017/04/24	40.00	40.24	39.03	39.05	904753	35627104.00
2017/04/25	39.45	39.45	38.61	38.67	792269	30860810.00
2017/04/26	38.69	38.95	38.51	38.79	677869	26233088.00
2017/04/27	38.89	39.20	38.50	39.02	983016	38131724.00
2017/04/28	38.85	40.13	38.66	39.63	1187092	46950456.00
2017/05/02	40.22	40.44	38.58	38.60	1526715	60200256.00
2017/05/03	38.87	38.93	38.31	38.65	746370	28842068.00
2017/05/04	38.65	38.80	38.35	38.38	934120	36019604.00
2017/05/05	38.50	38.50	37.61	37.86	1199599	45594964.00
2017/05/08	37.54	37.81	36.31	36.41	1551114	57232352.00
2017/05/09	36.33	36.92	36.33	36.71	725945	26622752.00
2017/05/10	36.70	37.19	36.03	36.09	1114517	40859028.00
2017/05/11	36.17	36.44	35.08	35.69	1422297	50453312.00
2017/05/12	35.89	35.89	35.11	35.40	1101434	39049000.00
2017/05/15	35.80	36.36	35.43	35.62	766996	27523648.00
2017/05/16	35.22	35.85	34.80	35.73	1644052	57917928.00
2017/05/17	35.78	35.95	35.41	35.47	1039160	37073872.00
2017/05/18	35.28	35.78	34.70	35.27	754910	26695714.00
2017/05/19	34.80	35.20	34.78	35.12	846491	29569856.00
2017/05/22	35.12	35.27	33.42	33.61	1549180	52734264.00
2017/05/23	33.33	33.99	32.95	33.05	1377063	45837808.00
2017/05/24	33.05	33.50	32.21	33.36	1030802	34051792.00
2017/05/25	33.39	33.97	32.82	33.51	1020007	34089824.00
2017/05/26	33.80	33.88	33.31	33.62	827946	27821300.00
2017/05/31	33.20	33.78	33.00	33.06	1330425	44451920.00
2017/06/01	33.19	33.19	31.81	32.46	1492000	48461392.00
2017/06/02	32.46	32.95	31.13	32.90	1255567	40299852.00
2017/06/05	33.00	34.70	33.00	33.66	1666230	56684556.00
2017/06/06	33.21	33.60	33.04	33.48	1120930	37293608.00
2017/06/07	33.29	34.19	33.29	33.73	1660889	56185704.00
2017/06/08	33.89	34.23	33.58	33.87	1137125	38647068.00
2017/06/09	33.87	34.10	33.71	34.01	954207	32352788.00
2017/06/12	33.80	33.90	32.74	32.94	1486985	49364080.00
2017/06/13	32.95	34.13	32.55	33.90	1298132	43604940.00
2017/06/14	33.97	34.58	33.70	34.19	1261541	43110832.00
2017/06/15	34.20	35.25	34.12	35.06	1910826	66447144.00
2017/06/16	35.00	35.50	34.51	35.06	1409140	49200960.00
2017/06/19	34.33	35.39	34.33	35.05	975144	34083532.00
2017/06/20	34.95	35.20	34.60	35.06	718458	25069812.00
2017/06/21	35.35	35.35	33.90	34.41	1286943	44261792.00
2017/06/22	34.59	34.97	34.35	34.37	1106178	38363460.00
2017/06/23	34.36	34.46	33.10	33.86	1295991	43696632.00
2017/06/26	33.86	34.69	33.44	34.67	998894	34301536.00
2017/06/27	35.25	35.25	34.65	34.75	862499	30054496.00
2017/06/28	35.25	35.25	34.16	34.42	1015866	35040320.00
2017/06/29	34.47	34.98	34.22	34.83	1220907	42417656.00
2017/06/30	34.80	35.24	34.51	34.96	965978	33674852.00
2017/07/03	35.14	35.20	34.36	34.87	1077222	37472916.00
2017/07/04	34.80	35.19	34.62	35.01	758892	26483894.00
2017/07/05	34.81	35.15	34.79	35.03	861363	30091288.00
2017/07/06	34.72	34.79	33.74	33.90	1306809	44557440.00
2017/07/07	33.40	34.27	33.30	34.16	1130703	38433460.00
