600056 中国医药 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	23.30	23.58	22.92	23.15	6173488	143117664.00
2017/03/28	23.30	23.48	22.58	23.38	7804744	178960912.00
2017/03/29	23.20	23.58	22.90	23.01	5539079	128123984.00
2017/03/30	23.03	23.20	22.60	22.96	5965648	136705568.00
2017/03/31	23.00	23.80	23.00	23.64	8548008	200788384.00
2017/04/05	23.35	24.16	23.35	23.96	8184373	195114352.00
2017/04/06	23.95	24.20	23.62	23.91	8342703	199000608.00
2017/04/07	23.75	23.90	23.60	23.64	7069714	167598640.00
2017/04/10	23.68	23.68	22.87	23.10	8934323	206239552.00
2017/04/11	23.05	23.42	22.79	23.28	6712446	155216448.00
2017/04/12	23.28	23.38	23.11	23.24	3092719	71886712.00
2017/04/13	23.28	23.87	23.19	23.73	4821305	114207008.00
2017/04/14	23.60	23.87	23.29	23.52	4619268	108750528.00
2017/04/17	23.52	23.61	23.20	23.43	3328379	77642824.00
2017/04/18	23.43	24.01	23.23	24.00	8750154	207882160.00
2017/04/19	23.95	24.27	23.60	24.10	7393308	176990976.00
2017/04/20	24.02	24.65	23.96	24.52	10546256	257584864.00
2017/04/21	24.49	24.64	24.15	24.39	6020277	146974480.00
2017/04/24	24.02	24.20	23.28	23.92	6085894	145316432.00
2017/04/25	23.95	24.15	23.65	24.07	5074148	121485376.00
2017/04/26	24.05	25.08	23.81	24.43	8241278	201514432.00
2017/04/27	24.39	24.95	23.75	24.92	6330604	154395264.00
2017/04/28	24.80	24.95	24.36	24.49	6263955	153956688.00
2017/05/02	24.25	24.59	24.21	24.42	4735891	115476216.00
2017/05/03	24.42	24.42	23.99	24.11	5511635	133107048.00
2017/05/04	24.02	24.52	23.94	24.48	4859746	117867504.00
2017/05/05	24.48	24.69	24.27	24.53	4762741	116819568.00
2017/05/08	24.40	24.40	23.21	23.64	9641628	229848784.00
2017/05/09	23.59	23.70	22.92	23.56	6646226	154725376.00
2017/05/10	23.53	24.08	23.41	23.80	4940473	118100632.00
