600062 华润双鹤 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	23.66	23.75	23.28	23.58	4949254	116225496.00
2017/03/28	23.57	23.57	23.22	23.49	2965350	69462128.00
2017/03/29	23.55	23.75	23.27	23.52	3875734	91412464.00
2017/03/30	23.50	23.59	23.10	23.33	3954443	92471624.00
2017/03/31	23.34	23.69	23.18	23.65	2875959	67555008.00
2017/04/05	23.66	24.00	23.58	23.69	7863087	186776944.00
2017/04/06	23.70	23.90	23.49	23.70	3088756	73171520.00
2017/04/07	23.72	24.07	23.64	23.95	5336957	127608216.00
2017/04/10	23.95	24.05	23.43	23.49	3637678	86522448.00
2017/04/11	23.49	23.68	23.14	23.41	3798013	88554584.00
2017/04/12	23.31	23.53	23.22	23.26	2464573	57505176.00
2017/04/13	23.21	23.41	23.17	23.25	2609096	60639628.00
2017/04/14	23.21	23.25	22.40	22.57	6776893	154861264.00
2017/04/17	22.58	22.65	22.36	22.54	4693179	105477232.00
2017/04/18	22.61	22.61	22.31	22.33	5913427	132367600.00
2017/04/19	22.30	22.60	21.94	22.58	4962238	110445584.00
2017/04/20	22.51	23.12	22.50	22.93	4497274	102932576.00
2017/04/21	22.95	23.04	22.72	22.80	2501116	57243080.00
2017/04/24	22.71	22.72	21.97	22.26	4092835	91070944.00
2017/04/25	22.20	22.55	22.20	22.40	1257771	28161128.00
2017/04/26	22.39	22.67	22.25	22.55	2206718	49621832.00
2017/04/27	23.20	23.88	23.11	23.82	10759481	253371584.00
2017/04/28	23.84	24.21	23.70	23.76	6143197	147319184.00
2017/05/02	23.89	24.40	23.77	24.16	5413689	130887776.00
2017/05/03	24.19	24.26	23.86	23.93	4032778	96988464.00
2017/05/04	23.92	24.40	23.76	24.08	3714285	89626568.00
2017/05/05	24.10	24.30	23.81	24.01	3824138	91940240.00
2017/05/08	24.05	24.05	23.39	23.76	3760821	89261224.00
2017/05/09	23.51	23.76	23.40	23.57	2681225	63193060.00
2017/05/10	23.57	23.99	23.57	23.77	2660626	63321900.00
2017/05/11	23.77	23.79	23.15	23.64	4130578	97045968.00
2017/05/12	23.46	23.68	23.38	23.49	2535986	59587096.00
2017/05/15	23.41	25.25	23.36	25.13	8850864	216625120.00
2017/05/16	25.00	25.85	24.73	25.56	11754255	298645888.00
2017/05/17	25.49	25.78	25.30	25.36	5225676	133102528.00
2017/05/18	25.31	25.75	25.11	25.53	3396257	86172000.00
2017/05/19	25.42	25.80	25.25	25.60	4145241	105737168.00
2017/05/22	25.58	25.98	25.03	25.23	5066364	129068032.00
2017/05/23	25.21	25.79	24.96	25.23	6003417	152050960.00
2017/05/24	25.03	26.08	25.01	26.00	6733910	172365840.00
2017/05/25	26.00	26.15	25.38	25.78	6171492	158868928.00
2017/05/26	25.78	25.79	24.86	25.05	6580778	166207136.00
2017/05/31	25.20	25.58	24.96	25.56	4662835	117609912.00
2017/06/01	25.34	26.09	25.22	25.79	6606915	170474528.00
2017/06/02	25.79	25.90	25.26	25.54	4355193	111370808.00
2017/06/05	25.46	25.92	25.12	25.32	3679004	93610080.00
2017/06/06	25.28	26.00	25.23	26.00	3602811	92388568.00
2017/06/07	25.90	26.50	25.85	26.29	7408228	193880880.00
2017/06/08	26.18	26.69	26.18	26.23	5740480	151750464.00
2017/06/09	26.23	26.80	26.04	26.70	5871028	155254416.00
2017/06/12	26.76	27.88	26.60	27.21	10059145	275284736.00
2017/06/13	27.14	27.68	27.05	27.35	4689467	128219704.00
2017/06/14	27.35	27.39	26.60	26.75	3895755	104979208.00
2017/06/15	26.65	27.00	26.44	26.99	3840394	102515536.00
2017/06/16	27.00	27.00	26.51	26.60	2360061	62992152.00
2017/06/19	26.62	27.16	26.47	26.80	3452087	92668720.00
2017/06/20	26.88	26.93	26.30	26.50	3516455	93174872.00
2017/06/21	26.48	27.15	26.22	27.09	4001131	106840320.00
2017/06/22	26.95	27.29	26.27	26.38	7626424	204748528.00
2017/06/23	26.38	26.66	26.00	26.62	4363209	114914232.00
2017/06/26	26.70	27.43	26.56	27.27	5582373	151433008.00
2017/06/27	27.14	27.55	27.00	27.47	4200464	114708544.00
2017/06/28	27.44	27.51	26.90	26.99	3703899	100525552.00
2017/06/29	26.92	27.24	26.88	27.16	3266706	88390576.00
2017/06/30	27.06	27.53	27.02	27.43	3612037	98745360.00
2017/07/03	27.38	27.58	27.02	27.28	2049361	55862608.00
2017/07/04	27.14	27.20	26.37	26.39	5304734	141064832.00
2017/07/05	26.28	26.60	26.21	26.53	3659226	96591152.00
2017/07/06	26.57	26.57	25.63	25.89	6403569	166517744.00
2017/07/07	25.88	25.97	25.40	25.72	3798031	97540048.00
2017/07/10	25.70	25.78	25.28	25.47	7024843	178573376.00
2017/07/11	25.40	25.84	25.30	25.63	4375834	112261632.00
2017/07/12	25.52	25.65	25.03	25.29	4382659	110733976.00
2017/07/13	25.33	25.47	25.01	25.28	2702995	68386576.00
2017/07/14	25.25	25.54	25.16	25.37	2890282	73247272.00
2017/07/17	21.13	21.13	20.30	20.66	5164746	105978336.00
2017/07/18	20.38	20.52	19.96	20.19	6209764	125247880.00
2017/07/19	20.16	20.93	20.11	20.82	5496059	113399448.00
2017/07/20	20.81	21.47	20.50	21.39	5437902	114276904.00
2017/07/21	21.39	21.60	21.16	21.36	3823133	81833240.00
2017/07/24	21.30	21.52	21.00	21.18	2996351	63617944.00
2017/07/25	21.16	21.35	21.00	21.06	2505049	52988184.00
2017/07/26	21.06	21.17	20.70	20.74	2062147	42924440.00
2017/07/27	20.70	20.98	20.45	20.75	2909172	60283584.00
2017/07/28	20.63	21.14	20.46	20.96	3078438	64198456.00
2017/07/31	20.55	21.19	20.55	20.98	3890124	81617368.00
2017/08/01	21.00	21.19	20.75	20.93	2947316	61894136.00
2017/08/02	20.80	20.91	20.46	20.47	3863693	79763312.00
2017/08/03	20.45	20.79	20.45	20.63	1398725	28834770.00
2017/08/04	20.65	20.75	20.28	20.31	1926606	39525588.00
2017/08/07	20.30	20.40	20.05	20.23	3133478	63426716.00
2017/08/08	20.25	20.82	20.25	20.79	3245109	66827288.00
2017/08/09	20.89	21.26	20.70	21.17	3440778	72454000.00
2017/08/10	21.10	21.21	20.63	21.07	2619540	55028904.00
2017/08/11	20.98	21.39	20.80	21.12	4892404	103925576.00
2017/08/14	21.14	21.36	21.09	21.24	2987411	63394424.00
2017/08/15	21.24	21.43	20.69	21.09	4317904	90492424.00
2017/08/16	21.07	21.07	20.80	20.86	1823454	38094232.00
2017/08/17	20.84	21.34	20.83	21.29	2379520	50459584.00
2017/08/18	21.47	22.30	21.41	21.93	13054736	287112832.00
2017/08/21	22.00	22.59	21.77	22.49	6681960	149039984.00
2017/08/22	22.40	22.76	22.21	22.26	4352587	97643024.00
2017/08/23	22.26	22.48	22.01	22.13	2482612	55016860.00
2017/08/24	22.11	22.25	21.71	21.82	3253130	71339632.00
2017/08/25	21.75	22.10	21.75	22.06	3145223	69248320.00
2017/08/28	22.01	22.33	21.81	22.23	3839599	84810312.00
2017/08/29	22.20	22.20	21.83	21.90	2785252	61136568.00
2017/08/30	21.90	21.95	21.43	21.64	7945797	171496640.00
2017/08/31	21.60	21.64	21.16	21.20	7163226	152696016.00
2017/09/01	21.22	21.58	21.13	21.48	6189156	132270088.00
2017/09/04	21.45	21.87	21.30	21.82	3345524	72390952.00
2017/09/05	21.82	21.82	21.37	21.59	3887847	83813232.00
2017/09/06	21.58	21.59	21.30	21.37	3384701	72448184.00
2017/09/07	21.45	21.53	21.25	21.39	2769676	59323100.00
2017/09/08	21.44	21.52	21.18	21.45	3866835	82509912.00
2017/09/11	21.40	21.42	20.80	20.97	5414508	114111352.00
2017/09/12	20.93	21.03	20.75	20.77	3547933	73933696.00
2017/09/13	20.78	21.27	20.78	21.26	3351137	70523800.00
2017/09/14	21.26	21.48	21.15	21.46	2294185	48884564.00
2017/09/15	21.46	21.46	21.19	21.32	1611594	34374664.00
2017/09/18	21.25	21.48	21.16	21.22	2996817	63848500.00
2017/09/19	21.22	21.47	21.10	21.13	2905322	61726704.00
2017/09/20	21.14	21.26	20.98	21.10	2328980	49092076.00
2017/09/21	21.09	21.16	20.99	21.00	1469961	30952264.00
2017/09/22	20.95	21.13	20.80	20.97	2438806	51091704.00
2017/09/25	20.97	21.28	20.82	21.22	2548159	53784096.00
2017/09/26	21.22	21.37	21.06	21.16	1930536	41001680.00
2017/09/27	21.30	21.31	20.75	20.79	3659908	76581312.00
2017/09/28	20.81	20.90	20.77	20.82	2120048	44153088.00
2017/09/29	20.92	21.19	20.83	21.05	2429852	51164940.00
2017/10/09	21.20	21.50	21.16	21.22	4527168	96585752.00
2017/10/10	21.30	21.57	21.16	21.55	11456200	244028016.00
2017/10/11	21.55	22.28	21.42	21.90	12751567	280145472.00
2017/10/12	22.20	22.38	21.85	22.12	8055777	178475936.00
2017/10/13	22.11	22.25	21.86	22.00	5148980	113488608.00
2017/10/16	21.95	22.12	21.58	21.70	4716757	102953504.00
2017/10/17	21.71	21.91	21.67	21.87	2686809	58635648.00
2017/10/18	21.87	22.58	21.86	22.50	10360170	231063904.00
2017/10/19	22.35	22.71	22.24	22.49	7525030	169096384.00
2017/10/20	22.43	22.45	22.06	22.35	4238575	94100928.00
2017/10/23	22.28	23.11	22.28	23.00	9687607	221044688.00
2017/10/24	22.86	23.22	22.81	23.02	6425288	147955712.00
2017/10/25	23.00	23.48	22.66	23.08	10434300	240056288.00
2017/10/26	23.09	23.58	22.53	22.72	13721454	315712224.00
2017/10/27	22.79	22.97	22.39	22.85	10543038	239243456.00
