600063 皖维高新 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	5.02	5.07	4.97	4.99	15373796	76951280.00
2017/03/28	4.99	5.00	4.92	4.94	11239231	55645608.00
2017/03/29	4.95	5.01	4.89	4.92	19352248	95780904.00
2017/03/30	4.92	4.94	4.82	4.89	20794444	101339288.00
2017/03/31	4.89	4.93	4.85	4.88	10855917	53083288.00
2017/04/05	4.88	4.99	4.88	4.98	25821118	127893016.00
2017/04/06	4.98	5.03	4.96	5.01	20878994	104353744.00
2017/04/07	5.00	5.05	4.97	5.04	22434183	112797488.00
2017/04/10	5.04	5.04	4.98	5.01	16788261	84018896.00
2017/04/11	5.02	5.03	4.94	5.02	21769052	108575808.00
2017/04/12	5.00	5.00	4.92	4.98	18936702	94069104.00
2017/04/13	4.97	5.07	4.94	5.06	26788474	134933360.00
2017/04/14	5.05	5.06	4.86	4.92	23447970	116698328.00
2017/04/17	4.91	4.97	4.85	4.89	17645033	86652192.00
2017/04/18	4.89	4.95	4.72	4.74	25838812	124997152.00
2017/04/19	4.70	4.74	4.61	4.71	19471981	90998832.00
2017/04/20	4.71	4.76	4.63	4.68	15320152	72108280.00
2017/04/21	4.69	4.73	4.68	4.70	6132601	28831978.00
2017/04/24	4.70	4.71	4.57	4.58	13832525	63971396.00
2017/04/25	4.58	4.64	4.58	4.60	7601200	35025884.00
2017/04/26	4.58	4.62	4.55	4.55	8712577	39954160.00
2017/04/27	4.55	4.59	4.38	4.58	16537439	74280952.00
2017/04/28	4.56	4.58	4.53	4.56	7141610	32587844.00
2017/05/02	4.52	4.61	4.49	4.58	6959360	31748472.00
2017/05/03	4.58	4.61	4.55	4.60	6727507	30827674.00
2017/05/04	4.60	4.60	4.52	4.54	8923700	40682224.00
2017/05/05	4.51	4.54	4.41	4.53	11303344	50837620.00
2017/05/08	4.49	4.51	4.19	4.22	18724632	81803248.00
2017/05/09	4.29	4.37	4.25	4.33	9316261	40159740.00
2017/05/10	4.30	4.34	4.18	4.20	12728715	54178824.00
2017/05/11	4.17	4.21	4.08	4.19	12243806	50775008.00
2017/05/12	4.18	4.21	4.15	4.18	5722003	23934436.00
2017/05/15	4.20	4.22	4.16	4.17	4547500	19016508.00
2017/05/16	4.15	4.25	4.09	4.24	14817074	61587952.00
2017/05/17	4.23	4.28	4.21	4.23	8767654	37213000.00
2017/05/18	4.18	4.24	4.13	4.21	5851959	24575872.00
2017/05/19	4.21	4.24	4.20	4.23	5370381	22657732.00
2017/05/22	4.22	4.23	4.13	4.15	7098640	29687710.00
2017/05/23	4.17	4.20	3.99	4.00	11393841	46552384.00
2017/05/24	4.00	4.01	3.91	4.01	8365192	33143036.00
2017/05/25	3.98	4.08	3.90	4.05	12846039	51348000.00
2017/05/26	4.03	4.08	4.02	4.04	5888642	23868452.00
2017/05/31	4.08	4.13	4.03	4.04	9761000	39834560.00
2017/06/01	4.05	4.06	3.91	3.96	6330330	25278930.00
2017/06/02	3.92	4.06	3.92	4.03	6870654	27345906.00
2017/06/05	4.04	4.08	4.02	4.05	4324981	17514080.00
2017/06/06	4.06	4.08	4.03	4.07	4991800	20247764.00
2017/06/07	4.07	4.14	4.06	4.14	10090820	41434736.00
2017/06/08	4.13	4.14	4.10	4.13	6099944	25129850.00
2017/06/09	4.13	4.13	4.05	4.10	8097310	33032336.00
2017/06/12	4.07	4.08	4.01	4.01	6494358	26230084.00
2017/06/13	4.00	4.08	4.00	4.06	7752173	31392720.00
2017/06/14	4.06	4.08	4.04	4.07	4907401	19908164.00
2017/06/15	4.05	4.13	4.05	4.11	10035229	41119984.00
2017/06/16	4.10	4.11	4.06	4.07	7953485	32500384.00
2017/06/19	4.07	4.14	4.07	4.13	10171094	41780628.00
2017/06/20	4.13	4.17	4.10	4.14	8827966	36527552.00
2017/06/21	4.14	4.19	4.14	4.16	8391294	34889652.00
2017/06/22	4.15	4.16	4.07	4.07	8108379	33407756.00
2017/06/23	4.06	4.10	4.03	4.09	6180160	25128324.00
2017/06/26	4.07	4.13	4.04	4.13	7277564	29809360.00
2017/06/27	4.13	4.15	4.10	4.13	8539333	35217512.00
2017/06/28	4.11	4.14	4.10	4.12	6904400	28426718.00
2017/06/29	4.11	4.16	4.11	4.15	8521815	35282064.00
2017/06/30	4.15	4.15	4.12	4.13	5142332	21270420.00
2017/07/03	4.14	4.17	4.12	4.17	9226517	38264012.00
2017/07/04	4.17	4.21	4.15	4.18	11326736	47367680.00
2017/07/05	4.18	4.24	4.16	4.23	11663446	49074240.00
2017/07/06	4.22	4.36	4.22	4.30	26198883	112462128.00
2017/07/07	4.28	4.37	4.24	4.33	13612700	58538212.00
2017/07/10	4.34	4.43	4.32	4.35	14281685	62389640.00
2017/07/11	4.34	4.40	4.27	4.28	11277800	48610728.00
2017/07/12	4.27	4.32	4.20	4.27	12081269	51405356.00
2017/07/13	4.25	4.33	4.25	4.29	9859179	42403324.00
2017/07/14	4.29	4.30	4.24	4.26	6214770	26510518.00
2017/07/17	4.24	4.26	4.00	4.00	24658796	100807880.00
2017/07/18	3.99	4.09	3.97	4.07	10711774	43130644.00
2017/07/19	4.07	4.18	4.05	4.16	16718656	69087024.00
2017/07/20	4.17	4.33	4.17	4.27	25087253	107123616.00
2017/07/21	4.28	4.32	4.21	4.31	18108724	77255568.00
2017/07/24	4.30	4.32	4.26	4.30	16983458	72836360.00
2017/07/25	4.36	4.36	4.22	4.27	15796403	67425584.00
2017/07/26	4.25	4.48	4.22	4.43	39672657	172752224.00
2017/07/27	4.37	4.41	4.28	4.37	25583038	111436584.00
2017/07/28	4.34	4.38	4.31	4.35	15576203	67744448.00
2017/07/31	4.35	4.43	4.33	4.43	20341402	89423400.00
2017/08/01	4.44	4.46	4.36	4.41	17751454	78169344.00
2017/08/02	4.42	4.45	4.30	4.34	23321899	102062736.00
2017/08/03	4.34	4.39	4.34	4.35	14186423	61819596.00
2017/08/04	4.36	4.78	4.36	4.59	80623412	369105376.00
2017/08/07	4.58	4.68	4.53	4.65	41201948	189945136.00
2017/08/08	4.63	4.66	4.55	4.60	24924571	114585968.00
2017/08/09	4.61	4.62	4.49	4.57	21818543	99117808.00
2017/08/10	4.55	4.63	4.51	4.58	26777477	122309672.00
2017/08/11	4.55	4.55	4.35	4.36	29464700	131355288.00
2017/08/14	4.37	4.44	4.37	4.44	13192348	58312368.00
2017/08/15	4.45	4.46	4.40	4.44	11075906	48996116.00
2017/08/16	4.44	4.52	4.41	4.47	14103400	63031148.00
2017/08/17	4.47	4.57	4.47	4.55	15521693	70254016.00
2017/08/18	4.54	4.54	4.46	4.48	13471405	60513648.00
2017/08/21	4.49	4.52	4.47	4.50	10271247	46134088.00
