600069 银鸽投资 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	10.98	11.95	10.96	11.73	53293043	614290496.00
2017/03/28	11.58	11.59	11.23	11.38	28744488	327667328.00
2017/03/29	11.32	11.73	11.21	11.28	31628736	362096288.00
2017/03/30	11.12	11.12	10.71	10.72	27928117	303161984.00
2017/03/31	10.71	10.89	10.58	10.83	14920716	160316896.00
2017/04/05	10.73	11.03	10.66	10.91	15885291	172081792.00
2017/04/06	10.92	10.99	10.75	10.89	13737923	149138080.00
2017/04/07	10.85	10.88	10.70	10.71	14563215	156976880.00
2017/04/10	10.68	10.68	10.19	10.39	19582152	203834640.00
2017/04/11	10.36	10.65	10.26	10.62	16396285	172486000.00
2017/04/12	10.67	10.67	10.35	10.41	12154860	126913032.00
2017/04/13	10.33	10.55	10.30	10.40	8425390	87975984.00
2017/04/17	10.00	10.36	9.90	10.07	15416069	154811760.00
2017/04/18	10.07	10.15	9.06	9.06	16976501	164827312.00
2017/04/19	8.94	8.94	8.15	8.43	29084577	245672832.00
2017/04/20	8.41	8.62	8.32	8.57	14522427	123328984.00
2017/04/21	8.61	9.25	7.75	9.06	37906159	312805600.00
2017/04/24	8.70	9.10	8.32	8.76	23850525	208655472.00
2017/04/25	8.67	9.09	8.61	8.81	12865403	114385496.00
2017/04/26	8.90	9.03	8.51	8.73	11190681	98020600.00
2017/04/27	8.67	8.92	8.38	8.73	13044299	112795416.00
2017/04/28	8.67	8.83	8.62	8.78	8766149	76782648.00
2017/05/02	8.78	9.58	8.78	9.43	25022122	229468352.00
2017/05/03	9.32	9.47	9.21	9.26	13545205	126146160.00
2017/05/04	9.26	9.44	9.12	9.18	9924100	92038424.00
2017/05/05	9.13	9.27	8.93	8.99	10436855	94978872.00
2017/05/08	8.90	9.18	8.82	8.92	8497751	76728112.00
2017/05/09	8.88	9.05	8.81	8.95	6250398	55640424.00
2017/05/10	8.95	9.01	8.20	8.66	11709200	101770480.00
2017/05/11	8.51	8.76	8.26	8.67	11419064	97204168.00
2017/05/12	8.58	8.69	8.46	8.58	6894110	59171760.00
2017/05/15	8.58	8.65	8.55	8.62	5895766	50714604.00
2017/05/16	8.61	8.76	8.45	8.72	7211300	62459352.00
2017/05/17	8.73	9.15	8.72	8.92	12772532	114681248.00
2017/05/18	8.85	8.97	8.76	8.78	7673841	68051008.00
2017/05/19	8.74	9.08	8.72	8.88	7549511	67223944.00
2017/05/22	8.82	9.02	8.77	8.78	5727990	50940984.00
2017/05/23	8.75	8.87	8.40	8.47	8557984	73341184.00
2017/05/24	8.50	8.68	8.30	8.64	7537191	63985980.00
2017/05/25	8.64	8.75	8.51	8.70	6564322	56726708.00
2017/05/26	8.67	8.73	8.56	8.58	4864500	42067516.00
2017/05/31	8.60	9.07	8.58	9.05	15731538	138814240.00
2017/06/01	9.01	9.15	8.84	8.92	10624588	95531568.00
2017/06/02	8.83	8.99	8.82	8.90	7156301	63732744.00
2017/06/05	8.92	8.96	8.80	8.86	5809389	51410600.00
2017/06/06	8.84	8.96	8.81	8.88	4436252	39372728.00
2017/06/07	8.91	9.03	8.85	8.96	8718257	78048344.00
2017/06/08	8.94	8.99	8.82	8.84	7641327	67765616.00
2017/06/09	8.83	8.87	8.76	8.87	5021237	44288524.00
2017/06/12	8.80	8.81	8.62	8.70	6799100	59168232.00
2017/06/13	8.70	8.78	8.62	8.69	4441600	38655556.00
2017/06/14	8.67	9.48	8.65	9.24	31721585	289930080.00
2017/06/15	9.10	9.24	9.02	9.06	19551673	178016048.00
2017/06/16	9.06	9.23	8.89	8.92	14324533	129230952.00
2017/06/19	8.90	8.96	8.84	8.92	6700066	59589252.00
2017/06/20	8.94	9.17	8.85	9.03	12004001	108587760.00
2017/06/21	9.02	9.13	8.90	8.98	8901727	80139128.00
2017/06/22	9.00	9.03	8.80	8.81	7897731	70450216.00
2017/06/23	8.72	8.83	8.66	8.75	7185642	62811256.00
2017/06/26	8.84	9.01	8.78	8.90	8396578	74708856.00
2017/06/27	8.89	9.11	8.83	9.00	14903565	134251296.00
2017/06/28	8.91	9.27	8.91	9.15	18166674	166165952.00
2017/06/29	9.13	9.25	9.10	9.19	11564318	105897216.00
2017/06/30	9.18	9.25	9.12	9.13	7674014	70459704.00
2017/07/03	9.08	9.44	9.02	9.35	14366303	133392848.00
2017/07/04	9.30	9.96	9.27	9.65	23495850	225975056.00
2017/07/05	9.70	9.88	9.52	9.78	19784712	192127360.00
2017/07/06	9.76	9.86	9.62	9.77	12308622	120105824.00
2017/07/07	9.83	10.74	9.81	10.47	35376179	369273280.00
2017/07/10	10.28	10.57	10.20	10.32	20669051	213962048.00
2017/07/11	10.32	10.34	10.03	10.05	14345884	145708528.00
2017/07/12	10.07	10.15	9.80	9.96	12066201	119547736.00
2017/07/13	10.15	10.55	10.08	10.29	18683501	193469088.00
2017/07/14	10.20	10.24	9.93	10.07	10608800	106865992.00
2017/07/17	10.45	10.58	9.55	9.80	19494101	197827952.00
2017/07/18	9.82	9.97	9.58	9.92	13222751	129605296.00
2017/07/19	9.87	10.19	9.82	10.15	12637882	126669872.00
