600072 中船科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	19.91	20.42	19.85	20.23	16098233	325289568.00
2017/03/28	20.22	20.65	20.07	20.15	11997975	244162208.00
2017/03/29	20.00	20.40	19.55	20.11	13572070	271915072.00
2017/03/30	19.92	20.06	19.20	19.26	13004767	254454320.00
2017/03/31	19.52	21.10	19.52	20.69	30287258	622557440.00
2017/04/05	20.33	21.96	20.27	21.52	33222761	703898368.00
2017/04/06	21.56	21.88	21.33	21.45	20730519	446941280.00
2017/04/07	21.99	22.68	21.46	21.70	32573711	720086400.00
2017/04/10	21.90	22.96	21.60	22.57	32801834	733311616.00
2017/04/11	22.40	24.18	22.20	23.69	40950471	947900800.00
2017/04/12	23.60	24.49	23.31	23.55	27727789	658639872.00
2017/04/13	23.49	23.75	23.13	23.48	15764071	368850752.00
2017/04/14	23.70	24.77	23.70	24.40	36097783	878674688.00
2017/04/17	23.91	23.96	22.45	22.63	27858331	639136064.00
2017/04/18	22.62	23.12	21.99	22.64	18805063	424268416.00
2017/04/19	22.39	22.59	21.50	21.80	17463855	382488832.00
2017/04/20	21.83	22.60	21.71	22.46	24049696	532483936.00
2017/04/21	22.53	22.85	21.39	21.46	21644184	478523424.00
2017/04/24	21.35	21.88	19.62	19.69	22137040	455558976.00
2017/04/25	19.73	21.66	19.05	21.66	29331662	592402496.00
2017/04/26	21.78	21.78	20.16	20.27	33026830	685823872.00
2017/04/27	19.80	19.80	18.48	19.24	27483298	527153248.00
2017/04/28	19.16	19.88	19.00	19.29	13097634	254988672.00
2017/05/02	19.00	19.20	18.70	19.02	11943375	226507600.00
2017/05/03	18.95	19.00	18.52	18.55	15249507	285711168.00
2017/05/04	18.48	18.48	17.64	17.70	19514211	350086016.00
2017/05/05	17.63	17.99	17.15	17.19	13201646	232415744.00
2017/05/08	17.06	17.18	16.28	16.32	13672084	229739968.00
2017/05/09	16.35	17.45	16.35	17.21	19815069	336472320.00
2017/05/10	17.28	17.36	17.01	17.19	16708378	287499040.00
2017/05/11	17.00	18.58	16.91	18.44	28302328	505934016.00
2017/05/12	18.25	18.57	17.80	18.36	16987629	309803808.00
2017/05/15	18.25	18.45	18.02	18.10	9859521	179491488.00
2017/05/16	17.86	18.50	17.38	18.43	18378923	331826496.00
2017/05/17	18.33	19.02	18.15	18.23	17016768	315408640.00
2017/05/18	17.85	18.29	17.73	17.77	9766454	175260848.00
2017/05/19	17.81	18.13	17.62	17.74	8223489	147125424.00
2017/05/22	17.53	17.91	16.90	16.96	10080007	175065184.00
2017/05/23	16.92	17.09	15.40	15.74	15515593	251832928.00
2017/05/24	15.58	16.15	15.12	16.13	11961978	188551376.00
2017/05/25	16.43	16.43	15.81	16.36	10780409	174546512.00
2017/05/26	16.35	16.55	16.21	16.32	6957503	113856416.00
2017/05/31	16.52	16.84	16.15	16.17	9394389	154902816.00
2017/06/01	16.03	16.16	15.20	15.30	9590606	149563232.00
2017/06/02	15.14	15.83	14.96	15.75	10191729	158713696.00
2017/06/05	15.70	16.23	15.65	16.00	8215045	131620856.00
2017/06/06	16.00	16.25	15.85	16.17	7324020	117730912.00
2017/06/07	16.01	16.59	15.93	16.41	10635730	173937568.00
2017/06/08	16.38	16.51	16.25	16.42	8057374	132023080.00
2017/06/09	16.40	16.47	16.07	16.23	8502331	138254640.00
2017/06/12	16.20	16.20	15.52	15.58	8469455	134196912.00
2017/06/13	15.59	15.95	15.51	15.82	5653137	89231720.00
2017/06/14	15.77	16.39	15.77	15.91	11698151	187910080.00
2017/06/15	15.83	16.25	15.80	15.99	14693845	235486976.00
2017/06/16	16.03	16.48	15.82	16.32	15856240	256385488.00
2017/06/19	16.30	17.24	16.21	17.15	24814787	415641440.00
2017/06/20	17.14	17.14	16.83	16.96	14753987	250016224.00
2017/06/21	17.06	17.38	16.69	17.01	13396625	228072336.00
2017/06/22	16.85	16.99	16.38	16.41	10112927	169293360.00
2017/06/23	16.39	16.73	16.02	16.50	10769092	176563680.00
2017/06/26	16.36	17.05	16.36	17.02	12855887	216122608.00
2017/06/27	17.00	17.18	16.77	16.92	12587159	213146928.00
2017/06/28	16.80	16.99	16.70	16.81	6987402	117466288.00
2017/06/29	16.81	16.97	16.70	16.95	7641192	128694008.00
2017/06/30	16.89	16.93	16.61	16.82	6413052	107661488.00
2017/07/03	16.82	16.98	16.71	16.94	6382397	107646168.00
2017/07/04	17.01	17.09	16.80	17.07	9620117	163032832.00
2017/07/05	17.00	17.12	16.80	17.02	8261565	140319648.00
2017/07/06	16.95	17.36	16.78	17.34	16153305	276505568.00
2017/07/07	17.21	17.79	17.13	17.54	19744904	345323264.00
2017/07/10	17.72	18.04	17.44	17.45	17640047	313282560.00
2017/07/11	17.35	17.53	17.05	17.07	11912767	205675856.00
2017/07/12	17.07	17.17	16.51	16.79	10117605	169913168.00
2017/07/13	16.77	17.68	16.61	17.66	20746201	358485888.00
2017/07/14	17.58	18.02	17.40	17.82	21093526	375225344.00
2017/07/17	17.70	17.74	16.04	16.26	19143609	321184512.00
2017/07/18	16.06	16.64	16.06	16.47	9424423	154390048.00
2017/07/19	16.45	17.15	16.29	16.86	13504593	226149600.00
2017/07/20	16.85	17.14	16.75	17.01	11497239	194553280.00
2017/07/21	17.01	17.17	16.75	16.91	10624760	180150944.00
2017/07/24	16.80	17.57	16.60	17.51	18867174	321824800.00
2017/07/25	17.50	17.60	17.15	17.36	12768577	221499952.00
2017/07/26	17.36	17.48	17.08	17.43	12898188	223062944.00
2017/07/27	17.39	17.85	17.10	17.73	17366793	304007232.00
2017/07/28	17.63	17.89	17.40	17.44	12578339	221425472.00
2017/07/31	17.53	17.58	17.05	17.11	12113537	207941472.00
2017/08/01	17.14	17.23	16.85	16.96	10930895	185839280.00
2017/08/02	16.90	17.06	16.20	16.32	16347661	269842912.00
2017/08/03	16.34	16.56	16.27	16.33	6999437	114786520.00
2017/08/04	16.36	17.69	16.36	17.23	25005941	427436768.00
2017/08/07	17.26	17.30	16.80	16.92	10524985	178237888.00
2017/08/08	17.00	17.18	16.62	16.86	11174343	188724128.00
2017/08/09	16.83	16.96	16.54	16.62	9079341	151327024.00
2017/08/10	16.65	16.94	16.48	16.61	8376996	139866096.00
2017/08/11	16.50	17.00	16.35	16.40	12343899	206584064.00
2017/08/14	16.41	16.64	16.28	16.60	6908501	113917240.00
2017/08/15	16.62	16.91	16.46	16.70	7912649	131936280.00
2017/08/16	16.54	16.91	16.51	16.85	8962963	150117984.00
2017/08/17	17.09	18.54	17.09	18.54	31061883	562581376.00
2017/08/18	19.20	19.98	18.89	19.63	71068869	1378674688.00
2017/08/21	19.52	19.54	19.02	19.33	42961679	827427840.00
2017/08/22	19.26	19.53	18.71	18.84	31195191	593962048.00
2017/08/23	18.74	19.16	18.65	18.90	20964687	396484672.00
2017/08/24	18.90	19.25	18.51	18.75	24310862	459193952.00
2017/08/25	18.60	18.92	18.40	18.75	17959057	335075360.00
2017/08/28	18.74	19.87	18.65	19.44	31990411	617314944.00
2017/08/29	19.32	19.48	19.00	19.25	22104414	425225216.00
2017/08/30	19.18	19.40	18.89	19.38	17379445	332709952.00
2017/08/31	19.29	19.65	19.11	19.38	19743025	382705088.00
2017/09/01	19.42	19.52	19.05	19.12	15680272	300823808.00
2017/09/04	19.16	19.29	18.89	18.93	15366438	292848352.00
