600073 上海梅林 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/27	10.83	10.89	10.80	10.85	6074165	65905240.00
2017/03/28	10.86	10.87	10.76	10.76	4522738	48837412.00
2017/03/29	10.76	10.82	10.62	10.64	6025740	64507244.00
2017/03/30	10.64	10.64	10.26	10.29	11040961	115081864.00
2017/03/31	10.30	10.41	10.28	10.37	5198878	53898196.00
2017/04/05	10.39	10.67	10.38	10.59	6796140	71718968.00
2017/04/06	10.60	10.73	10.56	10.70	7090644	75588832.00
2017/04/07	10.70	10.72	10.63	10.68	4907552	52382192.00
2017/04/10	10.66	10.67	10.58	10.59	5488347	58265328.00
2017/04/11	10.59	10.67	10.50	10.66	6512684	69085696.00
2017/04/12	10.61	10.65	10.51	10.58	6142693	65049600.00
2017/04/13	10.55	10.63	10.51	10.55	4844239	51264548.00
2017/04/14	10.55	10.55	10.27	10.28	8243081	85380136.00
2017/04/17	10.26	10.39	10.23	10.31	5128846	52867732.00
2017/04/18	10.31	10.43	10.26	10.27	5283182	54741228.00
2017/04/19	10.22	10.32	9.85	9.97	10735312	107337040.00
2017/04/20	9.93	10.04	9.86	9.96	6356364	63233240.00
2017/04/21	9.96	9.98	9.63	9.69	10917379	107222032.00
2017/04/24	9.67	9.69	9.40	9.56	8169827	77748848.00
2017/04/25	9.54	9.64	9.47	9.49	5356631	51197716.00
2017/04/26	9.55	9.55	9.45	9.47	5330766	50612208.00
2017/04/27	9.40	9.42	9.07	9.38	9876356	91180848.00
2017/04/28	9.56	10.07	9.56	9.93	18651424	184231024.00
2017/05/02	9.85	9.99	9.81	9.94	11325686	112226552.00
2017/05/03	9.90	9.98	9.81	9.95	8497919	84104520.00
2017/05/04	9.93	9.96	9.76	9.83	7893682	77844656.00
2017/05/05	9.85	9.92	9.65	9.71	6321887	62143528.00
2017/05/08	9.69	9.84	9.59	9.70	6429785	62528172.00
2017/05/09	9.70	9.80	9.67	9.79	5469464	53230460.00
2017/05/10	9.76	9.87	9.29	9.32	8458279	81575168.00
2017/05/11	9.24	9.37	9.02	9.34	10292453	94817064.00
2017/05/12	9.30	9.35	9.17	9.22	6355225	58776664.00
2017/05/15	9.22	9.38	9.19	9.23	4918229	45441340.00
2017/05/16	9.24	9.40	9.06	9.38	9669335	88990944.00
2017/05/17	9.39	9.44	9.30	9.33	8773796	82164192.00
2017/05/18	9.27	9.32	9.17	9.19	5672484	52446340.00
2017/05/19	9.21	9.38	9.18	9.23	5270741	48720900.00
2017/05/22	9.22	9.22	8.91	9.00	9845580	89262856.00
2017/05/23	8.92	8.96	8.53	8.61	12931060	113039168.00
2017/05/24	8.60	8.73	8.52	8.68	9061870	78170320.00
2017/05/25	8.68	8.85	8.59	8.80	8640496	75408720.00
2017/05/26	8.80	8.85	8.77	8.80	6158417	54225436.00
2017/05/31	8.95	8.99	8.76	8.80	7172127	63389684.00
2017/06/01	8.76	8.81	8.55	8.56	7218986	62887764.00
2017/06/02	8.60	8.84	8.52	8.80	8083513	70107944.00
2017/06/05	8.81	8.86	8.78	8.85	7573841	66795292.00
2017/06/06	8.81	8.87	8.79	8.84	6586104	58091284.00
2017/06/07	8.84	9.02	8.81	8.99	10221416	91411264.00
2017/06/08	8.98	9.07	8.94	9.00	7645801	68831448.00
2017/06/09	8.99	9.22	8.94	9.13	14007664	127491296.00
2017/06/12	9.09	9.11	8.90	8.93	8889229	80060392.00
2017/06/13	8.91	9.22	8.90	9.18	11845260	108181384.00
2017/06/14	9.18	9.34	9.11	9.18	9687634	89267376.00
2017/06/15	9.18	9.35	9.15	9.25	8324549	77199952.00
2017/06/16	9.25	9.31	9.18	9.25	6388061	58998604.00
2017/06/19	9.28	9.32	9.23	9.30	6600632	61195408.00
2017/06/20	9.32	9.34	9.17	9.19	7186077	66462284.00
2017/06/21	9.22	9.39	9.16	9.31	8411451	78132192.00
